孔家72代的,:舒口水总结就是到位，赞
执梦人生V,本来因说话太难而搁笔了，不想遇到了这个影响几乎所有人的生活乃至生命轨迹的大疫情，希望这次惨痛的代价能多少促动我们对说真话说实话的反思。故作此文。《如果群殴高福是搞错了对象》如果群殴高福是搞错了对象
寻人总动员鸣警,:【专家复盘：“不明原因肺炎”上报失灵的背后】疫情之后的总结反思十分重要，其中首当其冲的一个问题就是：疫情为什么没有更早一些时间引起高度重视？到底卡在了哪个环节？国家卫健委第二批专家组的一位专家称，当地提供给专家组的资料有限，很难判断出病毒有没有人传人的能力。临床医生被感染，是疾病人传人的敏感信号。1月1日至11日，武汉已有7名医务人员感染。可这样的情况为什么没有向专家组汇报？http://t.cn/A67OrgCT
安俊宇丶,:2019年8月，美国关闭生化实验室；2019年9月，美国爆发大规模流感，死亡14000人；2019年10月18日～27日，武汉军运会，美国代表团下榻华南海鲜市场附近的酒店，11月中旬离开武汉；2019年12月16日，武汉大量不明原因肺炎病人入院；2020年1月23日，武汉封城；2020年2月21日，日本电视台爆出，美国的死亡14000中，有部分死于新冠肺炎；2020年2月22日，有中科院专家研究证实，华南海鲜市场不是新冠肺炎的源头；2020年2月24日，钟南山发声，当务之急要区分流感和新冠肺炎。～～～～新冠病毒的源头究竟在哪？把这些时间点串联起来，让人不得不多了一些猜测。转自小马出动体育http://t.cn/EvSFPbk
明月我家,:白俄罗斯卫生部：白方累计新型冠状病毒感染确诊病例6例白俄罗斯卫生部新闻处4日表示，该国新型冠状病毒感染确诊病例6例，其中4例在明斯克。新闻处称：“实验室COVID-19诊断信息：今日实验室已确诊昨日谈到的两例疑似病例。因此，白俄罗斯累计新型冠状病毒感染病例6例，包括明斯克4例，维捷布斯克州2例。”中国政府2019年12月31日通知世界卫生组织，中国武汉市爆发不明原因肺炎。专家确定，疾病由2019-nCoV冠状病毒引起。世界卫生组织宣布，冠状病毒疫情已构成“国际关注的突发公共卫生事件”并正式命名为“COVID-19”（2019年新型冠状病毒疾病）。
彦东闹市,:#今日看盘[超话]#注册制对市场的影响总结一句话就是：牛13的股越走越13，垃圾股即使指数涨到10000点，它也无动于衷！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
舒中胜,:为什么失灵？真相来了。专家复盘：“不明原因肺炎”上报失灵的背后http://t.cn/A67l4cgT
薇溟usagi,【#中国科研团队发现新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。对不同亚型的深入了解，将有助于新冠肺炎的差异化的治疗和防控。以上研究来自中国科学院主办的《国家科学评论》于3月3日发表的论文《关于SARS-CoV-2的起源和持续进化》。论文通讯作者为陆剑研究员（北京大学生命科学学院生物信息中心）、崔杰研究员（中国科学院上海巴斯德研究所）。http://t.cn/A67Wwyzc
性少数,纽约医院出现“李文亮”：他爆料说，美国患者人数少完全是人为的。他的医院已经患者如山，但每一个患者的测试他必须向美国卫生部申请试剂盒，他手上至今没有试剂盒。按照他的预测，再过一个星期，美国的确诊患者将上千。证实了老李昨天的猜测，美国死亡率高的原因是大量患者没有统计上来。我又猜对了，是不是？如果你善意去理解美国卫生部的行动，那就是第一批试剂盒可能有问题，他们要控制使用等第二批大量生产的试剂盒上来。如果你恶意去理解美国卫生部的行动，那就是通过控制试剂盒的使用，来控制通报的患者人数。进而掩盖了实际患者数量。比较两国在这场防疫打仗中的表现，不需要你对政府明显的错误打掩护，但要正确的理解：啥是真的明显错误，啥是因为信息不足，技术手段不到位而造成的“错误”。比方说，当大家都在炒作伊朗掩盖疫情的时候，老李断言：伊朗政府不是在掩盖疫情，而是他们根本没有技术手段了解疫情（和美国现在面对的局面一样）。伊朗高层接二连三的中招，证实了老李的断言。看问题要客观，不要被自己的政治立场所左右，那你成了别人的蠢驴。
西班牙胡子哥,:#西班牙疫情#-瓦伦西亚刚确诊一死亡病例，2月13号因不明原因肺炎死亡，69岁男性之前曾去尼泊尔旅行！-西班牙总计160例确诊，卫生部保持防疫警报1级仍没有提高级别！-西媒强调中国官方报道新冠病毒可能两种变异，后者传染性和治病率更高！-回国请慎重选择！#全球疫情##海外抗疫日记#
manyou2008,:【专家复盘：“不明原因肺炎”上报失灵的背后】...他听到的是武汉市已经隔离了多少人，密切接触者中没有出现感染者，感染者病症不是太重，和季节性流感差不多……“我们得到的都是这样的信息。”在向《中国新闻周刊》回忆起那次经历时，曾光拍着桌子问，“那时我哪知道还有个李文亮，还有张继先？”...http://t.cn/A67owEDv
