爱信阳,:#信阳生活#【3月2日信阳新增确诊0例，新增治愈5例！】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。（来源：信阳市卫生健康委员会）#新型冠状病毒感染肺炎#http://t.cn/A6hwF3tg
帆软软件,:#新冠状病毒数据#更新至21点，其他国家合计（不含中国）：是指除图中以外的其他国家#韩国累计确诊5186例#via：数据化管理帆软软件的微博视频
襄阳国安,:【美媒：#中国境外新冠肺炎确诊病例超万例#】美国有线电视新闻网（CNN）3日消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。
天枰座Anny_,:疫情速报！澳大利亚新冠肺炎确诊病例已达38例！含一中国男性！澳大利亚新南威尔士州3月3日一天新增4例新冠肺炎确诊病例，均为从海外返澳人员。这4人中包括一名来自伊朗的39岁男子、一名来自新加坡的53岁男子以及分别来自韩国和日本的两名60多岁的女性。至此，新州已累计发现13例确诊病例。
禅宗随笔,:【美媒：中国境外#新冠肺炎#确诊病例超万例】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，#新冠肺炎#确诊病例已超过1万例，其中包括至少170例死亡病例。
0o心情,:3月2日新疆（含兵团）3例新冠肺炎病例治愈出院累计治愈出院67例http://t.cn/A67o6GmK
y多么哇塞的姑娘y,:3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例http://t.cn/A67XGYRB
新民周刊,:【刚刚消息，境外确诊超万例！】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。刚刚消息，境外确诊超万例！
操奇制胜,:截至当地时间3月3日18时30分，日本累计确诊985例新冠肺炎病例，含“钻石公主”号确诊病例706例（央视新闻）
凤凰卫视欧洲台,:【美媒：中国境外新冠肺炎确诊病例超万例】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。据CNN统计，其中包括阿富汗1例、阿尔及利亚2例、安道尔1例、亚美尼亚1例、澳大利亚31例（1例死亡）、奥地利10例、巴林49例、白俄罗斯1例、比利时1例、巴西2例、柬埔寨1例、加拿大24例、克罗地亚6例、捷克1例、丹麦3例、多米尼加共和国1例、厄瓜多尔7例、埃及2例、爱沙尼亚1例、芬兰3例、法国130例（2例死亡）、格鲁吉亚1例、德国158例、希腊7例、冰岛3例、印度5例、印度尼西亚2例、伊朗1501例（66例死亡）、伊拉克26例、爱尔兰1例、以色列12例、意大利2036例（52例死亡）、日本974例（12例死亡）、约旦1例、科威特56例、拉脱维亚1例、黎巴嫩13例、立陶宛1例、卢森堡1例、马来西亚25例、墨西哥5例、摩纳哥1例、尼泊尔1例、荷兰7例、新西兰1例、尼日利亚1例、北马其顿1例、挪威15例、阿曼6例、巴基斯坦5例、菲律宾3例（1例死亡）、葡萄牙2例、卡塔尔7例、罗马尼亚3例、俄罗斯6例、圣马力诺1例、沙特阿拉伯1例、塞内加尔1例、新加坡108例、韩国4812例（29例死亡）、西班牙73例、斯里兰卡1例、瑞典13例、瑞士18例、泰国42例（1例死亡）、突尼斯1例、阿联酋21例、英国35例、美国105例（6例死亡）、越南16例。
东莞日报,:【东莞新冠肺炎疫情权威报告：99例确诊病例85例来源于湖北】截至2020年3月2日，东莞累计报告确诊病例99例，累计出院81例（含今天上午出院的7人），死亡1例，在院治疗17例，在院患者中危重型2例，重型0例，普通型11例，轻型4例。无医务人员感染。11镇街（园区）已无在院确诊病例。透过数字，更多的市民渴望知道：现在东莞的疫情防控重点是什么？东莞的新冠肺炎疫情有什么特点？东莞的这些确诊患者大多来自哪里？现阶段市民是否可以稍稍轻松一点了？了解更多，请戳》》》http://t.cn/A67N4wQA
