陈骁,:#美国累计确诊100例新冠肺炎#川普3月加急枪毙名单新成员⬇️
英国红领巾,:突发！英国确诊又新增12例，现在累积确诊51例。关于新病例还没有很多信息，有消息委员会和大家更新。
时分yjl,:伊朗刚刚宣布，在过去的一天里新确诊新冠肺炎病例835例，累计2336例。新增死亡11例，累计77例。伊朗的疫情看来失控了。担心伊朗的医疗体系被压垮。这个8000多万人口的国家不太可能有力量进行像中国各省援助武汉那样的大规模抗疫总动员。不知道该国的形势接下来会如何恶化。默默祈祷吧！
酒菇啵啵鱼,韩国新增确诊477例新冠肺炎病例，韩国累计确诊增至4812例#韩国累计确诊4812例新冠肺炎#(crnaver)
36氪,:【#疫情播报#｜3月3日17:00-21:00疫情消息】20:17#华南海鲜市场开始消杀工作#，预计5日消毒完毕并清空存物19:19湖北卫健委：42322名医务人员支援湖北，#钟南山李兰娟等10个院士团队齐聚湖北#17:12武汉将分批分步恢复正常医疗秩序：武汉重点保障肿瘤孕产妇等医疗需求17:20德国累计确诊188例新冠肺炎18:53伊朗确诊病例升至2336例，伊朗累计77例死亡病例19:49#美国又有4人死于新冠肺炎#：来自同一护理中心19:56#武汉将逐步缩减新冠肺炎定点医院#，武汉将有序关停方舱医院
高台检察,:【疫情之中数千人聚集，法国举行罢工游行】不戴口罩，没有防护，数千名法国人走上街头，聚集在巴黎波旁宫外进行罢工游行，抗议新生效的退休金改革法案。目前，法国有130例确诊新冠病人，半数以上属聚集性感染，卢浮宫被迫闭馆，但法国各大工会依旧呼吁反对者今天走上街头。http://t.cn/A67NdnwO.
楚天音乐广播,:【#德国累计确诊188例新冠肺炎#】根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截止当地时间3月3日上午10时，德国共确诊188例新冠病毒肺炎感染病例。其中，仅西部的北莱茵-威斯特法伦州就累计确诊101例。此外，勃兰登堡州、萨克森州和图林根州这3个新联邦州也首次出现了新冠病毒肺炎感染者。至此，德国全境仅剩西部的萨尔州，东部的梅克伦堡-前波美拉尼亚州和萨克森-安哈尔特州未出现确诊病例。罗伯特·科赫研究所2日已宣布将新冠病毒肺炎疫情对德国人口健康的风险等级上调为中等。（人民日报记者花放）http://t.cn/R2WxQOQ
深圳新闻网,:【每日疫情|深圳首例境外输入病例93名密接者全部找到！69人受检全为阴性】3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会，省卫生健康委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。周紫霄介绍，广东省卫健委于3月1日凌晨1点47分，接到深圳市卫生健康委报告1例境外输入新冠肺炎病例。病例详情回顾：3月1日，网传深圳报告1例境外输入新冠肺炎病例，现将有关情况说明如下：患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月27日，孙某由英国伦敦飞往香港（航班号CX250），28日13：27抵达香港机场，15:30渡轮（船次3A109）从香港至深圳蛇口码头，在码头入境时体温无异常。随后，孙某打车回家。返程期间，孙某全程佩戴口罩。回家后，孙某自述没有外出。2月29日上午10时，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果亦为阳性。目前孙某已被转到深圳市第三人民医院隔离治疗，病情稳定，疾控部门已对其住所等区域进行消杀。经过初步排查，截至3月1日，该病例的密切接触者共有93人，目前已有46人被集中隔离（家庭密接者4人、出租车司机1人、渡轮船员11人、渡轮乘客28人、海关密接者2人），他们均未出现异常情况。另有47名渡轮乘客（含港、台及外籍人士）正在排查中，其中22人在追查和转运至隔离点，对于离深的25人，深圳已发函请求异地协查。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。广东省卫健委以及深圳市高度重视，省市联动立即组织开展流行病学调查和密切接触者追踪等工作。该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点，经核酸检测，69人全为阴性。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。周紫霄表示，广东将继续严格落实“四早”防控要求，继续筑牢交通检疫、发热门诊筛查、重点人群管理疫情防控“三道”防线，通过早发现，实现早报告，早诊断，早隔离，早治疗。http://t.cn/A67NeaVV
南洋视界,:新加坡新增2个新冠状病毒肺炎病例，其中一例和之前的在线教育公司病例簇相关，另一例的感染源不明，当局正在追查其接触史。新加坡总的确诊病例为110，其中七例在重症监护室抢救，另有78人病愈出院。
杭州网,:【新研究：#巴西新冠病毒存在三处突变#】2月28日，巴西首例新冠肺炎患者的病毒基因组序列（Brazil/SPBR1/2020）公布，这项工作由巴西圣保罗大学和英国牛津大学的科学家合作完成，他们对比了17个国家的127个病毒基因组，进行遗传分析后发现巴西新冠病毒与武汉参照菌株（Wuhan-Hu-1）相比，存在三处突变，其中两处与德国慕尼黑的菌株（Germany/BavPat1/2020）非常接近。巴西首位新冠肺炎患者曾于2月9日至21日到意大利伦巴第地区旅游。http://t.cn/A67Sn4Cb（梨视频文化）
微微万象民生直通车A,:【#韩国政府进入24小时全面戒备状态##韩国100多名军人是新天地教徒#】据韩联社报道，韩国总统文在寅表示，韩国进入24小时全面戒备状态。截至3月3日0时，韩国累计确诊病例达4812例，确诊病例中女性占62.4%。韩国军队累计确诊31例，8270名军人被隔离。在“新天地”教会提供的教徒名单中，竟有100多人是军人。（时间视频）http://t.cn/A67CEwYB
