我不做主你做主,:#韩国大邱一确诊者混入长队买口罩#确诊了不入院治疗吗？这是什么操作
花总,:#急需武汉本地痊愈A型血患者血浆#求助内容已核实，恳求武汉朋友帮忙转发
安徽发布,:#安徽打响清零战#【六安清零！69例确诊患者全部治愈出院
天津高速交警,:【#天津[地点]#公布一例复阳后治愈出院患者治疗细节】#天津公布一例复阳后治愈出院患者治疗细节#天津第43例确诊病例2月11日出院，2月27日复阳，3月2日再次出院，为何从复阳入院到再次出院仅用了4天？治疗细节来了：第43例确诊病例2月11日出院后，一直在宝坻区集中隔离观察点进行医学观察，27日复查核酸检测结果为阳性，再次转入海河医院观察。该患者2月29日、3月1日两次核酸检测结果均为阴性，经市专家组讨论，于昨日出院，再次转入宝坻区集中隔离观察点进行医学观察。今天，中医一附院在微信公众号上介绍了这名患者复阳入院后的治疗细节：该患者从入院到出院仅用了短短4天时间。重新收治住院时她极度焦虑，海河医院中西医结合病区的李桂伟主任每次查房时候在她床前停留时间最长，除了对病情的充分询问，还要安抚病人的情绪。刚开始，该患者因为排斥中药的味道而拒绝中药治疗，在李桂伟主任耐心的开导下，患者终于尝试着开始服用中药。在服用了第一副中药以后，患者明显感觉睡眠有所改善，逐渐改变了对中医的看法，在医护人员的精心诊疗下，很快康复。（津云）
中年小牙,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
巴中发布,:#抗击疫情巴中在行动#【即日起！未主动报告的高危人员，隔离费用全部自己掏腰包】巴中市应对新冠肺炎疫情应急指挥部医疗救治组通告（第1号）为进一步做好新冠肺炎疫情防控和医疗救治保障工作，现作如下通告：一、新冠肺炎确诊和疑似患者（含出院后病情复发的），其医疗救治费用按巴财社〔2020〕10号文件规定执行；无症状感染者医疗救治费用参照执行。二、确诊、疑似患者入院前和出院后集中隔离医学观察期间及后续复查所产生的费用，以及确诊、疑似患者的密切接触者和3月3日前从湖北、武汉等疫情较重地区（含境外）来（返）巴人员在集中隔离医学观察期间所产生的费用，由各区县指挥部确定处理方式。三、自3月3日起，对从湖北、武汉等疫情较重地区（含境外）来（返）巴人员主动到所在地社区、村组报到并被集中隔离医学观察的，隔离期间产生的费用由辖区政府补助50%；对未主动报告被社区、村组排查或他人举报发现的，集中隔离医学观察期间所产生的费用由个人全部承担。市内人员因违反不聚集不聚餐等防控规定被集中隔离医学观察的，隔离期间产生的费用由个人全部承担；市内人员未违反疫情防控规定而因疫情被集中隔离医学观察的，隔离期间产生的费用由区县指挥部确定处理方式。四、欢迎广大市民对3月3日后从湖北、武汉等疫情较重地区（含境外）或途经疫情较重地区（含境外）来（返）巴且不主动到社区、村组报到的人员进行举报，或者提供有关线索。对举报和线索查证属实的，按照市应急指挥部疫情防控组第五号通告给予举报人和线索提供人奖励。举报电话：巴中市应急指挥部办公室5256661巴州区应急指挥部办公室2226691恩阳区应急指挥部办公室3368300南江县应急指挥部办公室8232977通江县应急指挥部办公室7540120平昌县应急指挥部办公室6228455巴中经开区应急指挥部办公室8651040巴中市应对新冠肺炎疫情应急指挥部医疗救治组2020年3月3日
吉林交通广播,:【一家三代确诊后老人不愿治疗欲轻生#医生手抄35首歌词劝解轻生确诊老人#】3月2日，湖北咸宁，熊女士是一名新冠肺炎确诊患者，她的老伴已是癌症晚期。随着儿孙相继被确诊，入院时，熊女士的情绪极度焦虑，不愿治疗甚至有轻生念头。医护人员得知熊女士平时喜欢唱歌，连忙为她手抄了35首歌词，让她用唱歌的方式缓解心中压力。在医护人员的精心护理下，熊女士的病情有了明显好转。http://t.cn/A67NnXSWvia.时间视频
河北大小事,:故意隐瞒病情和行程，一对母子被立案侦查！近期，十堰两名新冠肺炎患者因故意隐瞒病情和行程或者违反隔离观察等疫情防控措施，造成了严重后果，涉嫌妨害传染病防治罪，被公安机关立案侦查。1月24日（除夕）中午，王某、瞿某夫妇及其7日内从武汉返堰的两个儿子瞿某甲、瞿某乙，还有其他家庭成员共9人在家中聚餐吃团年饭。1月26日，社区工作人员到王某家走访，其间询问家中是否有武汉返堰人员时，王某明知其儿子瞿某甲、瞿某乙系武汉返堰人员，仍答复家中没有武汉返堰人员。2月3日，瞿某因高血压需要住院治疗，其妻子王某等人陪同瞿某搭乘应急出租车到某医院住院治疗，入院前及治疗期间，多名医务人员多次向王某询问核实家中是否有武汉返堰人员，王某明知其儿子瞿某甲、瞿某乙系武汉返堰人员，且瞿某甲在2月1日已发病、2月2日被隔离治疗的情况下，仍向医务人员隐瞒家中存在武汉返堰人员情况，导致多名医护人员在未采取严格防护措施的暴露环境下对瞿某进行治疗，直至2月4日晚瞿某高烧发病，其女儿才向医务人员说明真实情况。因存在传染病感染风险，应急出租车司机及数名医护人员被安排或自行居家隔离。十堰茅箭区警方对瞿某一家涉嫌违法犯罪问题展开全面调查，并于2月28日对涉嫌妨害传染病防治罪的犯罪嫌疑人王某及其儿子瞿某乙立案侦查。目前，案件正在侦办中，瞿某乙已被隔离收治，目前病情稳定。警方提示，广大人民群众要积极按照重大突发公共卫生事件一级响应机制要求，严格遵守隔离观察等疫情防控措施，对社区工作人员上门测量体温、调查是否有武汉旅居史等情况积极配合，如实报告。切实对自己、家人以及社会大众的生命安全和身体健康负责，切勿以身试法！来源：十堰晚报
嘿毛毛虫91,:#陕西一医院被曝多位领导补助高于援鄂一线#疫情爆发以来，全国所有的医院都很紧张，全国各市所有地方都有确诊病例的情况下，实际上医院是一个相对最不安全的地方，病毒在潜伏期的患者毫无症状，或者有症状的患者，比如发热病人，你也不知道他到底是不是病毒性肺炎，当病毒这东西，不怕万一，就怕一万，病毒感染人，不挑人的呀，他只会趁虚而入，管你谁呢？所以无论是不是接触确诊病病例，疑似病例，实际上每一个医院的急诊科人员，发热门诊人员都应该算是一线人员，这些才是潜在风险最高的医护，这些人应该享受国家的防疫补贴。而且是国家规定的300/天的标准。对于这部分人员，还有直接接触确诊或者疑似病例的医护人员，包括检验这些病人标本的辅助科室人员，都该按照补贴要求发放，不得克扣少算，不要寒了这些一线人员的热心，不要辜负了他们的辛勤付出，更不应该行政人员多领多拿！作为伪一线的医生，疫情暴发来，其实我的工作比平时少多了，因为在规培轮转，科室基本不用去，每周一两天去门诊查就诊患者体温，查看健康码，或者在入院口筛查入院者体温，工作内容很少，比起平时真的轻松太多了（当然也有累的时候，比如有时候给你安排早上6-7点去测体温，天冷地黑的，现在更惨了，要6-9点，早餐都没的吃了）。但照理说，这也是防疫工作的一部分，但我不知道算不算，算不算我都无所谓，我个人觉得的我的工作感染风险非常低，而且比我平时还轻松，不算我也一点意见都没有，只希望不要克扣了一线医护人员的补贴，被行政领导们领了大头，这样怎么都是不服众的。
凤凰周刊,:【一家三代确诊后老人不愿治疗欲轻生#医生手抄35首歌词劝解轻生确诊老人#】3月2日，湖北咸宁，熊女士是一名新冠肺炎确诊患者，她的老伴已是癌症晚期。随着儿孙相继被确诊，入院时，熊女士的情绪极度焦虑，不愿治疗甚至有轻生念头。医护人员得知熊女士平时喜欢唱歌，连忙为她手抄了35首歌词，让她用唱歌的方式缓解心中压力。在医护人员的精心护理下，熊女士的病情有了明显好转。http://t.cn/A67NnXSWvia.时间视频
兔牙小小困,2.5发出一句“你好”2.28说不出一句“再见”
