驻马店广视网,:最新！驻马店0新增！钟南山团队：建议严格防控措施实施至4月底2020年3月3日驻马店新型冠状病毒感染的肺炎疫情情况　2020年3月3日0:00-24:00，我市无新增确诊病例。截至2020年3月3日24:00，累计治愈出院139例。累计报告确诊病例139例。目前累计追踪到密切接触者4336人，已解除医学观察4326人，尚在医学观察10人。2020年3月3日驻马店新型冠状病毒感染的肺炎疫情情况　2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。3月2日，据广州呼吸健康研究院消息，钟南山院士团队近日在《JournalofThoracicDisease》期刊发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19（新冠肺炎）暴发趋势预测”的研究文章。该研究把1月23日前后的人口迁徙数据以及最新的COVID-19流行病学数据整合到经典传染病学预测模型（SEIR）中并得出流行曲线。预测显示：疫情4月底趋于平缓预测显示，本次疫情中国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国内地的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。其中，优化的模型预测表明，截至4月底中国内地有9万例至12万例的疫情规模。同时该研究团队也提醒，模型预测与现实存在一定差距，若政府继续严格实行管控政策，提高诊断水平，推出使用药物，该疫情规模将得到极大控制。文章称，SEIR优化模型及成功建立的人工智能模型能有效预测新冠病毒的流行趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。严格的防控措施如“早期筛查”最好实施至2020年4月底。
陕西检察,:【不能以“应急思维”建设“应急法治”】居安思危、未雨绸缪，这既是一种生活经验，更是公共治理的智慧。疫情当前，社会各界都在献计献策，探寻疫情防控之道，“法治”成为其中一个绕不开的重要关键词。连日来，法律界和社会舆论提出了诸多法律上的意见建议，从禁食野生动物立法到公共卫生事件应对机制完善，尽快健全我国应急法治成为共识。（检察日报）http://t.cn/A67OAVpW
在海边捡贝壳,:“中国为世界公共卫生安全作出重要贡献”http://t.cn/A670jwmL
中国移动,:#移动人日历2020#今天是2020年3月4日，星期三，沟通有我，中国移动在全国通过10086发送公益短信，提供防疫信息、公共卫生提示及防疫知识等信息，架起大家沟通的桥梁，全民战“疫”我们在一起！
新浪云南,:#企业取名不得含野味野生动物#【云南企业起名注意了：“野味”“野生动物”字样不能用】野生动物交易与滥食对公共卫生安全构成的重大隐患，引发了全社会的高度关注。3月3日，云南省市场监督管理局副局长马翔介绍，云南省市场监管部门采取有力措施加强野生动物市场监管，将“野味”“野生动物”字样加入全省市场主体名称“禁限用”字词库，禁止餐饮单位加工出售野生动物及其制品，加重打击违法交易力度。
伤寒经方传承,:#美疾控官员报告病例时舔手指翻页#【错误示范三连
天水秦安发布,:#复工复产#【复工复产进行时】秦安县市建中心扎实做好所属各市场复工复产工作目前，新冠肺炎疫情防控工作正处在关键时期，按照中央、省、市、县关于切实做好企业复工复产中疫情防控工作和关于调查甘肃省省级创业就业孵化示范基地（园区）复工情况的通知精神，秦安县市建中心及时成立领导小组、制定应急预案、防控方案，完善防控措施，补充设备物资，扎实开展所属各市场疫情防控工作，同时党组书记带头积极开展自愿捐款支持新冠肺炎疫情防控工作。在复工复产工作中，秦安县市建中心配备工作人员，对兴国小商品市场，定时开关大门、排班值守，对进出市场的所有人员填写《秦安县兴国小商品市场出入人员登记表》、检测体温、督促戴口罩，本地经营者开工填写《员工健康情况登记表》，外地来秦安的经营人员填写《复工复产人员健康排查表》并依据《甘肃省新冠肺炎分区分级防控指导意见》，参照每日疫情，对照高风险、中风险、低风险的不同地区来人，高风险、中风险地区的来人采取居家自行隔离14天，低风险地区来人在经营摊位检测隔离14天的具体办法防控，通过自行登记、群众反映、管理人员摸排，截止目前共有外地来秦19个经营者居家隔离14天。对复工经营户发出通知，要求经营人员必须佩戴口罩、每天自行两次体温检测、且有记录，经营商铺对来客须测量体温、身份信息进行登记，不佩戴口罩者拒绝进店、经营商铺每天不少于两次消杀工作，须有记录;对市场内每天坚持2次消毒、加强卫生清理。在加强疫情防控的同时，经中心研究，经营场所在秦安·中国西部小商品市场创业就业孵化示范基地内，受新型冠状病毒疫情影响，生产经营遇到困难的在孵企业，免1个月摊位费、3个月其他费用；免收宽带网络费；减免创业导师服务费；疫情期间，坚决落实“外防输入、内防扩散”的要求，充分利用电话、微信群、QQ群等工具开展线上各类服务。在果蔬批发市场，对进出市场的所有人员填写《秦安县果品批发市场出入人员登记表》、检测体温、戴口罩，经营者开业填写《员工健康情况登记表》，市场内每天坚持2次消毒、卫生2次彻底清扫。在北坛步行街，为进一步加强步行街秩序管理、维护公共卫生管理秩序，根据县上关于加强北坛步行街管理，彻底取缔占道经营、取缔倚门经商等相关规定，县城市管理行政执法局和我中心联合发出通告，取缔北坛步行街区域内所有零散经营户，店铺全部进店经营，坚决取缔倚门经商，不得占用台阶、人行道设点加工、销售，严格落实“门前三包”责任，保证做到门前无垃圾杂物、无污水、无污垢、无油渍或严重积尘，卫生设施完好整洁，无破损。2020年2月27日，党组书记带头，全中心党员干部职工积极开展自愿捐款支持新冠肺炎疫情防控活动，县市建中心30人共捐款3300元。
雁塔宣传,:【短评：维护地球所有生命，让万物皆可自然生长】今天是第七届世界野生动植物日，今年的主题是“维护地球所有生命”。疫情当前，有关滥食野生动物严重威胁公共卫生安全问题引发强烈关注，今年这一日子也在提醒我们：热爱生命，善待自然。“生态文明”，这个词对所有人来讲都并不陌生。怎么看待自然，怎么对待人和动植物的关系，“生态文明”理念给出了最好的回答——追求人与自然的和谐共生。随着城市化进程的开疆扩土，人们的活动半径几何式增大，就连深山老林和无人区也变得喧嚣起来，与此同时，原始的生态系统越来越多地暴露在人类活动的影响下，野生动植物的生存空间日渐被压缩挤占。这并不是偶然发生的零星事件，而人们却常常忽略了生产生活对野生动物造成的影响。实际上，恩格斯就指出“美索不达米亚、希腊、小亚细亚以及其他各地的居民，为了得到耕地，毁灭了森林，但是他们做梦也想不到，这些地方今天竟因此而成为不毛之地”。从这个意义上讲，保护野生动植物，对维护生态安全、公共卫生安全、推动可持续发展都有着非同一般的意义。根据《2019年IPBES关于生物多样性和生态系统服务的全球评估报告》，大约25%的物种已经面临灭绝的威胁，自然生态系统平均下降了47%。除此之外，还有人为“舌尖上的野味”而高价追逐，有人为攫取暴利而大肆捕杀野生动物，非法买卖珍稀野生植物时有发生……有人说，人与动物的距离，衡量着更高级别的文明。此处所谓的“距离”，不是冷漠的疏远，不是刻意的隔绝，而意味着尊重与善待，要求我们时刻明确自身行为的边界，不能任性地为所欲为。十三届全国人大常委会第十六次会议2月24日通过决定，以更加严厉的惩处，全面禁止非法野生动物交易，促进人与自然和谐相处。陕西省野生动植物保护协会日前发出倡议，呼吁社会各界树立爱护野生动植物新风尚，用实际行动为保护野生动植物和确保可持续利用贡献力量。山水林田湖草是一个生命共同体。行动起来吧，维护全球生命共同体，让万物皆可自然生长，这是我们的使命所在，也是建设生态文明的应有之义。（西安报业全媒体评论员李晓莉）
·一霏冲天·,#中国境外确诊病例超过1万#回国人员很多，一定要严防境外输入！#德国载有1200名乘客游轮检测结果出炉#阴性就好！千万不要再成为第二艘公主号了！也要注意个人公共卫生安全！
国网浙江电力,:#浙江电力快讯#根据浙江省政府调整重大公共突发卫生事件应急响应至二级的统一部署，3月3日12时，国网浙江省电力有限公司突发公共卫生事件应急响应由一级调整为二级。国网浙江电力要求各单位继续密切监测疫情发展变化情况，严格按照突发公共卫生事件应急预案，继续做好各项防范应对工作。
万家灯火sn,:#筑牢防疫第一线#小善意，大温暖。我在“筑牢防疫第一线--基层公共卫生应急防线”项目捐款成功！愿点滴之举温暖更多心灵。@中国人口福利基金会筑牢防疫第一线--基层公共卫生应急防线
中南大学,:#中南大学#为向大众普及疫情中的个人防护措施以及致敬勇于奉献的医疗工作者，我校湘雅公共卫生学院以及土木工程学院的学生创作了这篇《防疫disco》视频。疫情当前，白衣天使奋勇前行，抗疫于一线；疫情当下，我们应做好防护措施，保护好自己，就是对社会最大的贡献！中南大学的微博视频
九江晨报,:【#美国四百名学者联名公开致信彭斯#：疫情史无前例，影响程度取决于领导者
z倩儿_,#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#数据天天在增加，希望每个国家都能够重视起来，赶紧最好抗疫情准备。愿所有人平安
