lanfanqiema,“网课请用Vapp上吧”
广元网警巡查执法,:【3月3日，世界野生动植物日】2013年12月20日，联合国大会第六十八届会议决定宣布3月3日为世界野生动植物日。1973年3月3通过《濒危野生动植物种国际贸易公约》，该公约在确保物种生存免受国际贸易威胁方面起到了重要作用。
分享你以前编的故事,当人们热情谈论新冠病毒是生物武器的阴谋论时，当代的生物武器早已身处边缘化的窘境。作者：候知健病毒是人为武器？连「生物战」都快过时了｜大象公会
幸福创造靠劳动,:2001年，美国第一个宣布退出《禁止生物武器公约》。而且，当年美国还非常得意地宣布完成了人类基因组的草图绘制，这标志着基因组战争将由传说变为现实。2003年，当时美国的《军事医学》杂志曾发表过一篇文章，标题是《基因组计划与基因治疗通向下一代生物武器的途径》，这篇论文表明，美国已经走上了研究下一代生物武器的道路。『金一南：为什么有人觉得病毒可能是从美国流出来的？』http://t.cn/A67CssYi
糖果暖昧1003,#世界野生动植物日##做自然的朋友#尊重每一个生命，与大自然和谐相处，共同维护地球所有生命。@中国绿化基金会
幻像的湖底,#世界野生动植物日#【我国是全球生物多样性最丰富的国家之一】自1981年加入《濒危野生动植物种国际贸易公约》（CITES）以来，我国政府认真履行国际义务，采取了一系列比CITES更严格的措施，紧紧围绕生态文明建设大局，在强化履约管理、完善监管执法、打击非法贸易、推进履约合作、提高公众意识和增强综合履约能力等多方面取得了显著成效。http://t.cn/A67K3Rc9
foreverukiouji,:现在只期待出道公约，能让他多唱唱[淚]
龙哥350627,:北大西洋公约组织，简称北约，是目前全球规模最大的一个国际军事集团组织，以下关于它的说法正确的是：---------------Dhttp://t.cn/A67CQIvI
来点石锤,:《禁止酷刑公约》令难民祸港假难民祸根源于港英政府签署联合国《禁止酷刑公约》，令香港成为第一收容港，后续港府处理假难民问题，受到泛民主派制约，一宜束手无策，任由毒瘤扩大扩散。近年政界人士及学者均狠批港府处理声请的安排不妥，令香港俨如一个极吸引的假难民天堂，且现时假难民在港有别于外国以禁闭式难民营禁闭，认为长远应考虑退出联合国《禁止酷刑公约》和设立收容中心，解决假难民这个棘手困局。港府应向中央反映，订立计划退出公约。#祖国反黑站[超话]#
烽火蔷薇,全包眼线也依旧清纯啾咩啊啾咩的微博视频
大东_113,现在看微博热搜都感觉像是降智挑战从刚开始只讨论“外国人永久居留管理条例”本身，到后来变成“种族歧视、黑人歧视”，再到“中国男孩守护中国女孩”，又变成了现在的“中国女孩只属于自己”。在内部争斗、忘记重点、话题转向这些事上，中国网友从不让人失望。
啾咩啊啾咩,:全包眼线也依旧清纯啾咩啊啾咩的微博视频
麦兜兜米红豆,#超话小秘书[超话]#我要举报超话糊糊澄清防炸根据地http://t.cn/A6huI0GI已关该超话由黑粉恶意组织申请开通，申请人皆为杨紫黑粉，旨在借由该超话发布对艺人不利的内容，此行为严重危害艺人杨紫的名誉权和公众形象，危害未成年网友身心健康。根据《话题管理规定》严重影响了微博社区环境和网络环境，违反了《微博社区公约》的多项规定。现请贵方尽快采取措施，关闭此类超话，维护微博的良好环境，谢谢！@超话小秘书@超话社区
北京绿色阳光,#3月3日世界野生动植物日##维护地球上所有的生命#同一个世界，共同的健康——从现在开始，真正行动起来。拒食野味，拨打12315或通过企鹅爱地球@腾讯110的举报入口，积极举报违法行为。这场战“疫”还有长路要走，我们必须意识到，对于哺乳类动物和鸟类而言，世界上是没有“零卫生风险”的野生动物贸易和消费的，无论其来源是野捕还是家养。更多信息，请参与腾讯企鹅爱地球野保科普周，看WCS亚洲项目主任的问答挑战~
lily3825,:我想知道哪里违规了#微博社区公约#
百夫长CENTURION旅行箱,:1973年3月3日，《濒危野生动植物种国际贸易公约》（CITES）在美国首都华盛顿签署。2013年，联合国大会宣布设立每年的3月3日为世界野生动植物日，旨在提高人们对于野生动植物的认知，加强对濒危动植物的保护意识，珍惜我们赖以生存的美好家园。2020年“世界野生动植物日”的主题是“维护地球上所有的生命”（SustainingalllifeonEarth）。2020虽然开年艰难，但是全世界保护动物的步伐从未停止。在世界野生动植物日之际，#百夫长CENTURION旅行箱#想与您分享五个全球野生动物保护的工作进展。其实，动物保护距离我们并不遥远。每个人在生活中都可以践行“动物友好型”生活方式，在旅游、保健、饮食、养宠等消费行为中，避免给动物造成不必要的痛苦和伤害，以“尊重生命、善待动物”的理念，做出正确的选择。随着春天的来临，相信很多小伙伴们有在疫情结束后出游的打算。1.澳大利亚大火灾后重建，受救治的小袋鼠2.中国全面禁止食用野生动物3.澳大利亚昆士兰州终止在大堡礁扑杀鲨鱼4.濒临灭绝的灰狼种群回归美国科罗拉州5.重获新生的熊关注#百夫长CENTURION旅行箱#，一起加入保护动物的行列吧！*图片均来源于网络
