宋旗,:#4128万多名党员捐款47.3亿元#众志成城，共克时艰日照
浙江之声,:【温州永嘉：乡贤群“云岭乡音”里的温暖】“下阶段防疫形势依然严峻，防控物资紧张、短缺！望各位云岭乡贤发扬优良传统，献爱心、共克时艰……”近日，随着“战疫”进入关键时期，温州永嘉云岭乡贤群“云岭乡音”里，一封抗疫爱心募捐倡议书迅速传递。倡议书言辞朴素却情感真挚，得到了广大乡贤的迅速响应和鼎力支持。作为此次捐款活动的发起人，曾荣膺“浙江好人”的云岭乡贤潘林福时刻关注着家乡的疫情防控动态，在潘林福的组织牵头下，50余名乡贤积极响应、快速行动，捐款人数越来越多。截至目前，乡贤组织累计捐款近10万元，捐赠口罩1.5万只、消毒液40桶，各类慰问品5万余元。（浙江之声记者李晓华）#关注新冠肺炎##武汉加油，浙里挺你#
SOWAY旅行,【#共克时艰，文旅在行动#第六批全国博物馆网上展览资源来啦】国家文物局推送第六批全国博物馆网上展览资源，截至目前，已推送300项↓↓↓国家文物局推送第六批全国博物馆网上展览资源
肃玉瓜煌,:#今日贴纸打卡#一个民族要想走向世界，首先要给世界贡献新的世界观。如果一个民族没有比以前引领世界的民族更先进的世界观，这个民族就无法走向世界，更不能引领世界。此次疫情在全球暴发，是个让世界重新认识东方的机会，中、日、韩、伊等国应该加强协作，共克时艰，在拯救自身同时也将拯救世界。
天津高速交警,:【以爱之名，共克时艰
-Cindywith7,:#4128万多名党员捐款47.3亿元#很荣幸参加了一个大项目，愿尽绵薄之力，共克时艰！
喜爱手机摄影随手拍的老皖童,:#Mate30重构想象#将华为最新5G芯片安装在华为Mate30手机上，宅家就能随时测量体温，这样人人抗疫就方便多了。实现此功能除了应用华为最新系统外，还需要红外感应和微型温度计测量模块的加持。万众一心，共克时艰。抗击疫情，华为在行动！#武汉加油##中国加油#@华为终端官方微博http://t.cn/Rt5qRxf
R_ipcord,:#4128万多名党员捐款47.3亿元#尽绵薄之力共克时艰❤️
莲心白鹭,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！TCL大屏电视，全场景AI，无需遥控器，语音一句话操控全屋家电！我承诺，与@万和电气一起，用云端科技助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！关注@TCL电视@万和电气带话题转发+评论本微博，3月31日抽1位幸运鹅送【故宫手表】！@微博抽奖平台
xu-00-xu,#为家守护共克时艰#，阿飞给#万和“安全家”行动#点赞！黄飞红麻辣花生为你的生活添滋味！@黄飞红huangfeihong与@万和电气一起，用云端服务助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！转发评论，3月31日抽1位幸运鹅送故宫手帐@微博抽奖平台
大河报,:【公示来了！河南省慈善总会累计接收款物17268.08万元】河南省慈善总会“防控疫情共克时艰”慈善项目最新公示来了!截至3月4日18:00，“防控疫情共克时艰”慈善项目累计接收款物17268.08万元，其中，资金12889.31万元，物资价值4378.77万元;累计支出款物14513.87万元，其中，资金10135.1万元，物资价值4378.77万元。http://t.cn/A67l3l5P
