V1v1an-GAO,:同款你get了吗
拾光筑与,:#安危与共齐心抗疫#戴口罩勤洗手保护自己为社会做贡献中国加油！疫情必定会被战胜！我们一定会胜利！
看满目春色无边,久不见好想念，今晚#漫游记#和你云相见
扑扑喵唔,#朴灿烈[超话]##朴灿烈虎牙直播##朴灿烈studioNNG#【NNGㄴㄴㄱ】200305油管更新HandwashSonng@real__pcyyyyy洗手歌hhhh怎么这么可爱！又可爱又苏😭朴灿烈吧CHANBAR的微博视频
程程橙子君ZZZ,:#复工后上班有多难#真想做个调查，疫情还没有结束，我们根据单位要求复工了，但也是要戴口罩，勤洗手，做好消毒防护的，这样心里也总是害怕防护做的不好，结果早上领导开完会，要求大家手拉手围在一起做游戏，20几人聚众，
Woodoctor,【今日#惊蛰#
yoo-kakuyi,:#韩国新冠肺炎升至5766人#🙏🚿🚰少出门，戴口罩，勤洗手，勤消毒!
Awangmmm,:#武汉加油##八闽青心共战疫#@福建江夏学院团委在这里向一线医务工作者致敬，你们辛苦了！防疫期间大家一定要，勤洗手，不聚会，少出门，如果一定要出门的话，必须要戴好口罩武汉加油！相信我们一定可以齐心协力！战胜疫情！石狮市
果果可卿,【徐州现全国首个#口罩自助售卖机#：刷身份证买，每人每天限2只
VFRIENDS,:疫情期间勤洗手！你们快来猜猜，四小只谁最爱洗手呢？#全民洗手舞##VFRIENDS#
S渣女呀,:平安到家🚉这两天时间过的太漫长了、感觉我还是比较适合呆在家“养老”上班什么的不适合我
凯瑟琳娜_CMX,:讲实话不太理解为什么冠状病毒明明是靠空气传播的加拿大政府一直鼓励民众以勤洗手的方式预防被传染而非常反对带口罩认真问号脸#口罩还要戴多久#加拿大·Vancouver
满月的欢喜,:#医护后盾#阳光总是一如既往，普照着大地，赐予我们光芒。不能出门的日子，躺在床上，听着收音机，享受着阳光，生活的美好总是这样不期而遇！这个冬天快点过去吧！！！虽然我们不能身至，但是勤洗手，戴口罩，减少出门，这是我们能尽到的一份责任，我们心连心，众志成城共抗疫情，愿疫区的同胞和奋战在一线的医护人员平安健康！
诤闻军事微博号,:【特朗普：我几周没碰自己的脸了】3月2日，在白宫冠状病毒小组会议中，冠状病毒应对协调员强调要勤洗手，不要碰自己的脸。特朗普说：有已经好几周没有碰自己的脸了，好几周呢！我想它。随后，总统还把手指放到自己的脸上，表情甚是可爱。
美宋MSong,:不聚会，少出门，勤洗手，戴口罩！我正在使用“戴口罩”#微博头像挂件#，共同抗疫从戴好口罩开始，你也快带上吧！头像挂件：戴口罩
早禾川纪,:#北京新增1例新冠肺炎#害一定要密切跟踪啊，然后防护措施还是不可以少的，口罩要带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据，要对全球负责
每天喜欢肖战多一点,:#北京新增1例新冠肺炎#1例了但是还是不能放松警惕做好防护#四川新增确诊病例1例#一定会过去的[加油][加油]戴口罩勤洗手
庚辰且二三,:永安市燕城救援义务队温馨提示：疫情就是命令，我们坚守为你守护！守得住初心，能坚持自我！面对疫情，我们绝不退缩！武汉加油！中国加油！戴口罩，勤洗手，不聚会，少出门，向一线的医务工作者致敬，为武汉人民加油！用爱发热！病毒无情，爱有意！从我做起，认真做好各项防控防护工作。
子蜜美妆店,:勤洗手的同时别忘了来点护手霜滋润
Jameshuoo,#亲肤无刺激，守护有孩家庭健康防线#健康防护千万条，居家洁净第一条！好爸爸除菌产品亲肤又安心，除菌率高达99.9%，全家衣物安心洗，点此速gethttp://t.cn/A67CKxnX此次好爸爸更是携手众多蓝V小卫士倡导：全面做好家居除菌亲肤工作，合力筑起家庭健康防线。关注+转发，并@一位好友关注，说说你的健康小妙招，3月11日抽一位小可爱及TA的好友送【好爸爸亲肤除菌大礼包】！
佳思多食品料理超市,:最近的新冠肺炎搞得人心惶惶，大家要提高警惕，做好防护工作。佳思多为大家整理了一份消毒用品清单：优护优家空气物表消毒液、索芙莲84消毒液、NOCE宝宝免洗洗手液、NOCE宝宝免洗洗手液。疫情期间，戴口罩、勤洗手、注意室内通风、勤消毒，保护好自己和家人哦~
搞啥子咯,#和exo携手同行#.#吴世勋[超话]#200305世勋ins更新一则【不要生病哦】💕💕💕
西安薇莳婚礼,:#通知#3月2日薇莳门店全面复工，营业时间定为每日10：30～18:00为确保客人们的健康，提供安全的咨询环境，店内已做好全面消毒，到店咨询的新人宝宝们为避免扎堆请提前预约哦温馨提示:特殊时期，出门的宝宝们一定要戴好口罩哦，勤洗手多喝水！
脂肪失败修复黎星医生,:小伙伴们已陆续返工，疫情结束前防护马虎不得！爱多邦提示您：要复工，体温报；防新冠，多开窗；勤洗手，戴口罩；分餐吃，一米遥；身有恙，要上报，咳嗽礼仪太重要！
脂肪失败修复黎星医生,:小伙伴们已陆续返工，疫情结束前防护马虎不得！爱多邦提示您：要复工，体温报；防新冠，多开窗；勤洗手，戴口罩；分餐吃，一米遥；身有恙，要上报，咳嗽礼仪太重要！
