呼和浩特市总工会,:【日韩两国口罩价格飞涨#日本口罩一只卖300元#
梁启学,:《制售假劣医用口罩100万只盐城一窝点被警方捣毁》经调查，该团伙共销售假冒口罩100余万只，涉案金额50余万元。http://t.cn/A67O5qhg
薅羊毛队长-,:#购物分享[超话]##医用外科口罩#宝贝迪补库存了，安排，这家也是比较容易拍的一家。
炜炜在努力,:人生与命运无关，与自己的选择有关。心态表示一个人的精神状态，只要有良好的心态，你才能天天保持饱满的心情。心态好，运气就好。精神打起来，好运自然来。#医用外科口罩推荐##袋鼠医生##振德口罩#买个便宜酱领券的秒拍视频
梁启学,:【郑州济南铁警查获32万只假口罩18人制假贩假被抓】3月3日，记者从郑州铁路公安处获悉，郑州、济南铁警联手破获一起特大生产、销售假冒伪劣口罩案。累计缴获假冒“飘安”牌医用口罩32万余只，先后将涉嫌生产、销售假冒伪劣产品的18名犯罪嫌疑人抓获。#疫情当前警察不退#新京报我们视频的秒拍视频
北京怀柔泉河健康教育,:摘戴口罩过程中，要注意哪些问题？佩戴前和摘除后均应注意手卫生。摘除口罩时应把套耳朵的橡皮筋摘下来，注意不要触碰口罩前部。一次性使用医用口罩在弄湿或弄脏时应及时更换，废弃后不要随地乱扔，应按照生活垃圾分类要求处理。
小玲儿儿儿儿啊,:出小米有品口罩，医用外科，可改地址
阳新新阳网,:#阳新新闻#【3月4日阳新城区部分药店口罩消毒液购买指南】县市场监督管理局提醒广大市民，如果出现发烧、咳嗽、乏力等症状，请务必戴好口罩、做好防护，第一时间去医院发热门诊就诊。为方便市民购买口罩、消毒液等防疫物品，缩短外出时间，县市场监督管理局发布第二十三期城区部分药店口罩、医用酒精、84消毒液的当日销售情况，请市民出门前提前电话确认，切勿盲目排队。　　　　为保障阳新城区口罩消毒液的稳定供应，各药店在销售过程中严格执行每人每天限购5个口罩和1瓶84消毒液（或医用酒精）的措施，并实行每日定量投放，现将3月4日城区有口罩消毒液销售的部分药店名单公布如下：http://t.cn/A67OqniM
平安中原,:#抗击疫情豫警在行动#【郑州济南铁警查获32万只假口罩18人制假贩假被抓】3月3日，记者从郑州铁路公安处获悉，郑州、济南铁警联手破获一起特大生产、销售假冒伪劣口罩案。累计缴获假冒“飘安”牌医用口罩32万余只，先后将涉嫌生产、销售假冒伪劣产品的18名犯罪嫌疑人抓获。http://t.cn/A67p2YpP
月牙湖在线,【#南京新增7条口罩生产线#企业转产医用口罩日产16万只】疫情发生前，南京仅有1家企业生产医用口罩。经调研后，市场监管部门鼓励有条件的企业调整经营范围，并为企业开辟绿色审批通道。目前，南京新增3家企业获得省药监局的防疫物资口罩应急生产备案件，共新增7条口罩生产线，全市日产量16万只以上。#南京[地点]#http://t.cn/A679VFFN
香港商报湖南办事处,:【疫情期间怎么乘坐公共交通？】疫情防控期间，坐地铁、公交是不是得戴口罩？摸到地铁、公交上的拉手怎么办？需要戴医用手套吗？乘坐地铁、公交临时指南，一起来看看吧（中国疾控中心）#抗击疫情在行动#
商界BUSINESS,:【#胸罩厂开始产口罩#：爱慕经营范围再增口罩业务】企查查数据显示：3月2日，爱慕股份有限公司经营范围新增“生产非医用口罩（仅限疫情期间生活保障）”。该公司成立于1981年，注册资本3.6亿元，法定代表人为张荣明。2020年已申请“爱美丽”、“爱慕”等4个医疗器械类型商标。
随州快讯网,:【“急事急办、特事特办”随州为企业投产开辟绿色通道】“随州市市场监管局在疫情防控关键时期急企业之所急，为我们采取线上服务、容缺办理登记业务，当场便拿到变更后的营业执照，现在我们可以立即投入医用口罩生产，力...http://t.cn/A67OGSqI
美湖派出所,:公安提醒：大家做好疫情防控的同时，警惕各类以售卖医用口罩、消毒用品等物资为由实施诈骗的违法犯罪行为。
黄袍加身宋太祖,刚认真地看了下口罩说明书，发现口罩有“有效期”呢，请注意口罩有“有效期”，口罩有“有效期”。所以说，想囤积或备存口罩的就放弃这个念头吧，有效期过了，口罩就没用了。
美湖派出所,:公安提醒：近期诈骗分子利用网络散布预防新型冠状病毒肺炎医用口罩、护目镜、测温器等信息，等受害人上钩后诱骗购买，以先付款后发货为由要求转账，付款后骗子就会消失，提醒广大市民擦亮双眼，走正规渠道购买，一旦被骗及时拨打110报警。
泉州网警巡查执法,:#抗击疫情公安在行动#【德化网安大队破获一起假售口罩诈骗案涉案金额20万余元】近日，德化县公安局网安大队破获一起跨省假售口罩诈骗案，涉案金额20万余元。2月初，德化籍男子肖某通过玩游戏认识一山东烟台的网友刘某，肖某称其有医用口罩的供货渠道，可以将口罩销售给刘某，通过刘某在网上发布销售口罩广告拉取客户，肖某将口罩寄给买家，刘某作为中间商赚取差价，二人很快达成协议。2月中旬以来，先后多名买家联系刘某称收到的快递都是空盒，刘某尝试联系肖某，肖某处于失联状态，刘某遂向当地公安机关报案。3月3日，德化网安大队在德化县浔中镇华骏东方城抓获涉嫌诈骗嫌疑人肖某。肖某对其在网上假借卖口罩为由实施诈骗的行为供认不讳。目前案件正进一步审理中。@泉州公安@德化公安@福建网警巡查执法#韩国大邱一确诊者混入长队买口罩##开学##逃犯因脸太大戴不全口罩落网#
kceeyang,:这几天买了：一次性医用口罩level1100个level2100个level340个N95口罩20个酒精棉600片一次性手套400个卷筒纸40个湿纸巾一箱水一箱明天妈妈还有出去看能不能买到足够的水，纸，和米。据说黄瓜都涨价了
璤婞諨,:准备回学校，备用口罩用完了，去买口罩了，一次性医用口罩，3块钱一个？？以前3块钱一包，我不知道这算不算发国难财，反正药店都这么卖的
