有实话就说,【#韩国大邱一确诊者混入长队买口罩#，接受采访称：早上刚确诊
wuli_banana,:吃完饭说散步锻炼的人吃了两个冰淇淋回家🍦就是脱口罩吃东西有点慌
这视频,:【安倍参议院发言9秒内咳嗽3下】当地时间3月3日上午，日本首相安倍晋三在参议院预算委员会上发表讲话时捂嘴咳嗽，9秒内咳嗽3次。这段视频和安倍捂嘴咳嗽的图片也引起日本网友热议。有网友吐槽，“戴上口罩，别往衣服上蹭了。”（《环球时报》三缺二视频组）@这视频这视频的秒拍视频
苏格儿-,:被口罩封印的颜值（这个肿眼泡的女人是谁！）
不言krystal,:戴口罩的第N天以及不用化妆的第N天，怎么说呢，虽然带口罩不是很舒服，但是不用化妆的早晨更加🉐爽呀
TAKOOOOKAT,:明明疫情还没结束，总有人不当一回事，口罩也不好好戴，也不保持适当的距离，总觉得不上心…
Gralody,:#英国首次发布防疫措施#刚刚在药店看到排在我前面买口罩的是个外国人瞬间流下了欣慰的泪水要是都这么有防范意识就好了
好不欢喜,:连我妈都记住了：没收到快递之前都不等于你有口罩了，你只是下单了
我姑娘她爹好帅,#财政部表示群众不会因费用延误救治#社会主义制度优越性感谢党和国家
起昵称专业户,:不好看
85号-Yibo小摩托,:#韩国大邱一确诊者混入长队买口罩#求求你善良点，你知道这样会毁了很多家庭
保定那点事儿,:【#郑州济南铁警查获32万只假口罩#18人制假贩假被抓】3月3日，@新京报我们视频从郑州铁路公安处获悉，郑州、济南铁警联手破获一起特大生产、销售假冒伪劣口罩案。累计缴获假冒“飘安”牌医用口罩32万余只，先后将涉嫌生产、销售假冒伪劣产品的18名犯罪嫌疑人抓获。#聚焦新冠肺炎疫情#http://t.cn/A67p4VhB
火速头条,:#火速头条#【#台湾政客称健康的人不用戴口罩#，不健康的待在家里也不需要口罩
TONGLIU_,:连续戴口罩每日工作10小时，终于我的脸上焖出豆了
埃及驻华使馆新闻处,#全球战疫总动员#【埃及卫生部长：100万只口罩是我们送给中国人民的礼物】受埃及总统塞西委派，埃及卫生部长哈莱·扎伊德于3月2日访华。她说，埃及人民愿与中国一起抗疫，共渡时艰
起昵称专业户,:不好看
85号-Yibo小摩托,:#韩国大邱一确诊者混入长队买口罩#求求你善良点，你知道这样会毁了很多家庭
保定那点事儿,:【#郑州济南铁警查获32万只假口罩#18人制假贩假被抓】3月3日，@新京报我们视频从郑州铁路公安处获悉，郑州、济南铁警联手破获一起特大生产、销售假冒伪劣口罩案。累计缴获假冒“飘安”牌医用口罩32万余只，先后将涉嫌生产、销售假冒伪劣产品的18名犯罪嫌疑人抓获。#聚焦新冠肺炎疫情#http://t.cn/A67p4VhB
火速头条,:#火速头条#【#台湾政客称健康的人不用戴口罩#，不健康的待在家里也不需要口罩
TONGLIU_,:连续戴口罩每日工作10小时，终于我的脸上焖出豆了
埃及驻华使馆新闻处,#全球战疫总动员#【埃及卫生部长：100万只口罩是我们送给中国人民的礼物】受埃及总统塞西委派，埃及卫生部长哈莱·扎伊德于3月2日访华。她说，埃及人民愿与中国一起抗疫，共渡时艰
郑州铁路局,:#河南防控新型肺炎疫情#【防控有温情！郑州为18900位空巢（独居）老人免费送口罩】1.89万人，对于郑州市1000万人口来说，或许只占很小的比例；60岁以上，对于广大老年朋友来说，可能正在享受天伦之乐、度过金色人生；然而一些空巢（独居）老人，却被疫情所阻隔，更加需要社会的帮助和关爱。其实他们一直牵动着郑州市新冠肺炎疫情防控领导小组的心，根据市民朋友呼声和“郑州发布”各平台后台留言建议，防控领导小组决定在3月6日前，为他们每人送上门10只口罩。（郑州发布）#抗击疫情我们在一起#http://t.cn/A67pq0Xm
广东手机台官微,#逃犯因脸太大戴不全口罩落网#虽然很不厚道，但还是忍不住笑了，
过把瘾就萌死,:突然的惊喜
呆梨的呆梨,【日本一女子喉咙痛不戴口罩看演唱会致5人感染】2月29日，日本大阪府公布了一则集体感染案例。高知县一名女子2月13日出现喉咙痛等症状，2月15日傍晚前往大阪市观看了一场演唱会，且当时并未佩戴口罩，回去后被确诊感染新冠肺炎。当天大约有100人观看了演唱会，大阪市卫生部门得知后已对演奏厅进行了消毒。此后，一名参加同一场演唱会的爱知县女子被确诊感染。另外，2月15日和16日去过演奏厅的两名男性工作人员也被确诊，其中一人的妻子和上幼儿园的女儿也被感染。#患者不戴口罩看演唱会致5人感染#http://t.cn/A67N2ZMT
缘于骄傲,:#逃犯因脸太大戴不全口罩落网#法网恢恢疏而不漏，做贼心虚了
於潔如,:真的开始上班了又缺鞋缺裤子缺外套缺耳环缺眼影缺指甲油还缺口罩
宅生,:草才知道突然所有人（？）都不戴口罩了是因为之前有人带口罩被打了我孤陋寡闻(……但这干我屁事
努力2020107,:#逃犯因脸太大戴不全口罩落网#这可以笑吗
Lizart1,:所以日本寺庙发写有符咒的口罩。。emmmm更多是个心理安慰
李赫海你一点都不怂,？？？土味挖掘机的微博视频
赵天天,:#韩国大邱一确诊者混入长队买口罩#确诊的有带口罩的意识还是在为大家或者家人着想的，不住院总要生活要防护啊，也不能饿死自己。买口罩又必须要排队，不排队又买不到口罩，没人帮忙解决只能自己上了。这题标准答案相关人士没做事，不能怪病人
西北路迢迢,:#抗击疫情公安在行动#求助！！！坐标湖北襄阳，去年腊月30在附近药店买了六包一次性口罩，一包20块买的，今天才发现，竟然全部是假的！！！没有中间的防水层，只有两层无纺布！但时间太久了，小票已经扔了，我该怎样维权呢？这会儿真的气的浑身发抖，家里老小八口人，等于一直暴露在外面，什么防护措施都没做啊！！！真的是丧尽天良！@襄阳网警巡查执法@襄阳晚报@襄阳日报
--Blueberryfay--,:口罩终于有盼头了，邮寄个东西一波三折的，奥地利发中国的EMS封了，想找人带回来，又没有人回国，无奈之下从匈牙利终于发出来了，等了小溜一个月，终于更新信息到海关了，老公说马上要通知清关了
风泽宇晴薇,【
春耕域名出售,【韩国政府发售588万个口罩：民众扎堆抢购现场人山人海】为缓解口罩供应紧张难题，3月2日，韩国政府在邮局等官方定点销售处发售了588万个口罩。当天，韩国各地销售处都排起了长龙。韩媒《中央日报》感慨，这人山人海的场面，堪比中秋节抢票。韩国政府发售588万个口罩现场人山人海
香港经济导报,:【北京：疫情嚴重地區入境人員進京須隔離觀察14天】本刊記者邢寶華3月3日，北京市舉行新冠肺炎疫情防控工作第39場新聞發布會，發布會由北京市委宣傳部副部長、市政府新聞辦主任徐和建主持。北京市人民政府副秘書長陳蓓表示，凡是從韓國、意大利、伊朗、日本等疫情嚴重國家經北京口岸入境的、目的地是北京的，不論是中國人，還是外國人，都要實行隔離觀察。在北京有固定居所的，納入社區防控體系，居家隔離觀察14天；在京無固定居所的，安排在指定賓館集中醫學觀察14天。陳蓓坦言，近期，新冠肺炎疫情在海外呈現擴散態勢，部分國家疫情發展很快，形勢嚴峻。一些海外留學生、務工人員回國意願比較強烈。她透露，近幾天，僅在伊朗的中國留學生從北京口岸回國的就有20餘人。北京作為全國最重要的入境口岸之一，防範疫情輸入風險的壓力很大。這幾天，首都嚴格進京管理聯防聯控協調機制緊鑼密鼓地研究應對方案，加強力量統籌，開展工作調度，應對境外疫情風險輸入的工作全面有序鋪開。一是建立了口岸聯防聯控機制，組織民航局、海關、公安、衛健、外事、邊檢、機場等部門聯勤聯動，統籌做好信息通報、身份登記、健康監測、應急處理等工作。二是加強信息獲知，通過駐外使領館，提前了解伊朗等疫情嚴重國家留學生、務工人員的回國意願，以便有針對性地提前做好工作預案。三是依據《中華人民共和國國境檢疫法》等法律法規，全面加強入境檢驗檢疫工作。嚴格落實入境人員《健康申報卡》填報，實現全員、全項、電子化、可共享。四是嚴格落實隔離觀察措施。此前，我們對於過去14天內未在中華人民共和國境內停留，經北京口岸入境的人員，免除居家觀察14天的要求。現在，根據境外疫情變化我們要對前期政策作出調整，凡是從韓國、意大利、伊朗、日本等疫情嚴重國家經北京口岸入境的，如果是中轉去外地的，嚴格按當地規定做好防疫工作；如果目的地是北京的，不論是中國人，還是外國人，都要實行隔離觀察。在北京有固定居所的，納入社區防控體系，居家隔離觀察14天；在京無固定居所的，安排在指定賓館集中醫學觀察14天。五是對到達北京的航班加強始發地健康安全提示，提醒乘機人員、乘務人員，全程佩戴口罩，加大途中體溫檢測頻次。如果在途中出現體溫異常情況的，開啟相對獨立的空間，保證相對隔離。http://t.cn/A67p5rDg
我的微博已经不是我的,【#台湾政客称健康的人不用戴口罩#，不健康的待在家里也不需要口罩
BrokeR8,:特斯拉那美股就是宇宙顶，明天资金围攻板块涨停股，利好基建，利好口罩，顺便带下我的模塑科技！
Dodoer__,:#英国首次发布防疫措施#觉得自己可能生活在两个不同的维度国内新闻报道和感染数据觉得新冠状太可怕了转头看自己的生活大家都戴口罩没有防控意识仿佛就是一个小感冒一片片岁月静好的样子可真让人抽离
仓鼠爱吃白萝卜,:一个月前从霓虹回来的时候日本韩国同学都叫我小心注意病毒让我千万千万不能染上病毒要小心每天都很担心我问我怎么样期间还让日本同学买了口罩寄过来到现在我每天问日本韩国的情况怎么样担心他们
我的微博已经不是我的,【#台湾政客称健康的人不用戴口罩#，不健康的待在家里也不需要口罩
BrokeR8,:特斯拉那美股就是宇宙顶，明天资金围攻板块涨停股，利好基建，利好口罩，顺便带下我的模塑科技！
Dodoer__,:#英国首次发布防疫措施#觉得自己可能生活在两个不同的维度国内新闻报道和感染数据觉得新冠状太可怕了转头看自己的生活大家都戴口罩没有防控意识仿佛就是一个小感冒一片片岁月静好的样子可真让人抽离
仓鼠爱吃白萝卜,:一个月前从霓虹回来的时候日本韩国同学都叫我小心注意病毒让我千万千万不能染上病毒要小心每天都很担心我问我怎么样期间还让日本同学买了口罩寄过来到现在我每天问日本韩国的情况怎么样担心他们
活着要努力再努力,:能给我安全感的，居然是口罩！
HERMES的小窝,:#最新疫情地图#【日本一女子喉咙痛不戴口罩看演唱会致5人感染】2月29日，日本大阪府公布了一则集体感染案例。高知县一名女子2月13日出现喉咙痛等症状，2月15日傍晚前往大阪市观看了一场演唱会，且当时并未佩戴口罩，回去后被确诊感染新冠肺炎。当天大约有100人观看了演唱会，大阪市卫生部门得知后已对演奏厅进行了消毒。此后，一名参加同一场演唱会的爱知县女子被确诊感染。另外，2月15日和16日去过演奏厅的两名男性工作人员也被确诊，其中一人的妻子和上幼儿园的女儿也被感染。#患者不戴口罩看演唱会致5人感染#http://t.cn/A67N2ZMT
