七月ssst,:#火箭军回应护士向国家要男朋友#我🍋了我也想要国家分配
汉水襄阳,:#襄阳[超话]#【破万!警惕】来源：央视新闻。当地时间3月3日16时，韩国新冠肺炎确诊病例，累计达到5186例，到今天，除中国外，全球70多个国家出现新冠肺炎确诊病例，累计确诊人数超过10000例。韩国确诊病例破5000例24小时新增851例据韩国卫生部门消息，当地时间3日0时至16时，韩国共报新冠肺炎确诊病例374例，累计确诊病例5186例，死亡病例31例。3月2日16时至3日16时，24小时共报新增确诊851例。韩国政府在3日的新闻发布会上呼吁，民众做好个人防疫是抗击疫情的第一道防线，呼吁韩国民众保持社交距离，注意个人卫生。伊朗累计确诊病例2336例。伊朗卫生部3日消息，截至当地时间3日中午，伊朗新增新冠肺炎确诊病例835例，新增死亡病例11例。伊朗累计确诊新冠肺炎病例2336例，其中435例康复，77例死亡。日本累计确诊病例近1000例。据日本放送协会统计，截至当地时间3日18时30分，日本新冠肺炎累计确诊病例985例，其中包括在日本国内的感染者和中国游客等265人，“钻石公主”号邮轮的乘客和乘务人员706人，以及乘坐日本政府包机回到日本国内的14人。德国累计确诊病例188例，13个州受到影响。据德国联邦疾控机构罗伯特·科赫研究所3月3日公布的数据，截至3月3日10时，德国累计确诊新冠肺炎病例188例，16个联邦州中已有13个受到影响。其中，北威州确诊病例已达到101例。
目击者贾先生,2020.3.3这是记载历史的时刻!涉美CIA攻击组织（APT-C-39）对中国核心关键领域长达十一年的网络渗透攻击！这不仅是全球首度揭秘！更是全球首度实锤！铁证如上面前，试看美方如何作答！详情请戳原文~~披露美国中央情报局CIA组织对中国关键领域长达十一年的网络渗透攻击
广州新闻电台FM962,:#主播说联播#【#隔离不分内外一视同仁#】这几天有些省增加了输入性病例。当下新冠肺炎疫情已蔓延到70多个国家，中国之外的确诊病例数已突破1万。韩国、意大利、伊朗等国形势尤其严峻。据我们的防控经验，加强隔离是可行的办法。隔离不分内外，也不会区别对待，更不会有例外，只有一视同仁和严格执行。http://t.cn/A67pGrZf
-Bestinme,:#希腊派特种部队严防难民越境#不是歧视其他人种，知道点事的国家都不会大量引进难民吧！人家这发达国家都知道，我们这还是发展中国家就要#外国人永久居留管理条例#，想不通么？！提出来这个提案的人！
易路向钱,:#火箭军回应护士向国家要男朋友#哇，好甜啊，我可以有吗
易路向钱,:#火箭军回应护士向国家要男朋友#哇，好甜啊，我可以有吗
爱durian的小孩,:#2021考研[超话]#请问怎么查历年过国家线的人数以及上岸的分数线呀
第一财经日报,:【新研究：#巴西新冠病毒存在三处突变#】2月28日，巴西首例新冠肺炎患者的病毒基因组序列（Brazil/SPBR1/2020）公布，这项工作由巴西圣保罗大学和英国牛津大学的科学家合作完成，他们对比了17个国家的127个病毒基因组，进行遗传分析后发现巴西新冠病毒与武汉参照菌株（Wuhan-Hu-1）相比，存在三处突变，其中两处与德国慕尼黑的菌株（Germany/BavPat1/2020）非常接近。巴西首位新冠肺炎患者曾于2月9日至21日到意大利伦巴第地区旅游。http://t.cn/A67Sn4Cb
SEHUN的宽粉条儿,:#国际泳联考虑将孙杨金牌罚给霍顿#真是的不要脸！！！光想着怎么针对孙杨。也不想想自己国家的森林保护
生态灞桥,:【#人民锐评#：#严防境外输入的硬核措施#，不妨再多些】境外日新增病例数连续多日超过中国，对疫情“输入”的担忧已非杞人之忧。疫情防控仍处在最吃劲的关键阶段，容不得一丝大意。我们看到，国家移民管理局已经把防范海外疫情输入风险作为当前最重要任务，海关总署全面启动健康申报制度，并严格开展出入境检疫。这样的“硬核”措施，不妨再多些。http://t.cn/A67o2PBl
淼淼aubrey,:#火箭军回应护士向国家要男朋友#我说句煞风景的话，两个职业都忙得很，时间上怕是不太合适
闰土伉俪一生的推,:疫情时期，我国人民也就是囤食物囤菜，发达国家人民第一件事囤厕纸
outside-Alborada,【钟南山院士团队：#若管控措施推迟5天实施疫情规模将扩大至3倍#】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了新冠肺炎疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。其中，优化的SEIR模型和AI模型预测表明，截至4月底国内有9万至12万的疫情规模，请大众不要误解，模型预测与现实是存在一定差距的，如政府继续严格的管控政策，提高诊断水平，推出使用药物，该疫情规模将得到极大控制。#钟南山团队建议严格防控实施至4月底#另外，本文提及的湖北出现二次高峰是在管控降低的情况下作出的假设，如正常春运，复工等。按目前情况，湖北省政府仍将继续保持严格管控，出现二次高峰的可能性也相对较少。目前本文预测结果是基于2月9日前的管控政策，疫情规模均比Lancet及国外学者预测的少。Wu等学者预测武汉的疫情规模将在1月25日达到17.5万例，疫情将在4月达到高峰。同样，Read等人预测，在没有控制措施的情况下，将在2月4日达到高峰，高达19万例。即使是交通管控也不能获得很好的效果。上述预测均没有考虑到我国严格管控的措施，导致可能夸大的疫情规模。本文数据显示截至4月底国内疫情现存确诊病例（非累计确诊数）高峰不高于7万例，湖北不高于52000例，广东和浙江不高于1200例，目前流行数据均在本文的预测范围内，更贴近真实情况。http://t.cn/A67SqaFY
弘悦的弘,:历史上从没有一个国家在投机大行其道的同时还能安心工作、静心实业。德国房价几十年稳定，才成就了世界领先的制造业；日本在经历过全民炒房、泡沫破灭的大起大落之后，才懂得制造业、高新技术的重要性。记得中学课本的《过秦论》里经典语录:秦人不暇自哀，而后人哀之；后人哀之而不鉴之，亦使后人而复哀后人也。http://t.cn/RghlcLS
斯图卡98,:3月2日塔利班宣布，终止部分停战协议，恢复在阿富汗的进攻行动。称根据与美国协议，不会攻击美国等外国军队，但将继续对阿富汗政府部队采取行动。——美国单独和塔利班谈，就当阿富汗政府不存在，就这样日常卖小弟的国家，居然还有某些政府把身家性命放在它身上
