Bluuue_Nel,截了下魔法世界到目前为止全十部电影片头➕片尾图片！你最爱哪一部？
家在遵义,:公交线路：从贵州省遵义市红花岗区中华北路674号到高铁遵义站(公交站)，25路/303路，约36分钟(步行5分钟)共12站http://t.cn/A670iVGn#高德地图#
钟福生摄影,:#蔚蓝地图#实景。2020年03月04日07点，济南市，晴，1°C，湿度43%，风力3级，风向东风，空气质量优。
馊夫君的媳妇大人,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#
信达雅翻译WingSing努力工作,【5国首现确诊病例！#中国境外确诊病例超过1万#】#关注全球疫情地图#截至北京时间3月3日16时，各国公布的新冠肺炎疫情数据显示，中国境外新冠肺炎确诊病例已经超过1万例。据报道，目前，意大利新冠肺炎累计确诊病例已增至2084例；韩国增至5186例，日本增至985例，伊朗增至1501例。美国、德国、西班牙等确诊病例均过百。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#。#伊朗23名议员确诊新冠肺炎#，总统下令国家进入备战状态。http://t.cn/A67pLnMa
西部祖国,【霾自何处起？2020年1-2月#蔚蓝地图#全国空气逐小时动态地图为你呈现】春节假期，举国战疫，封闭隔离，重污染天气从何而来，又有什么新的规律？基于4000余个监测站点，覆盖全国所有地级以上城市，#蔚蓝地图#将过去两个月逐小时的空气质量，浓缩成为不到2分钟动态地图，为您可视化呈现重污染时空分布，揭示霾尘和沙尘的传输轨迹，助力认知大气污染规律，关注并参与蓝天保卫战！@公众环境马军@何春银微想@生态梦人@邹毅的邹@微博环保@微公益http://t.cn/A67CpsBQ
说道安桥财阀,:兔子对乌龟说！今天我们比个赛……先行版》上线内容前瞻爆料】《九阳神功！先行版》首张5V5对战地图“光明顶”为欲光复明教的黑道余孽与当年灭亡明教的正道联军所展开的光明顶总坛争夺战。”！
不知道怎么起名的狗哥假粉丝,:#犬来八荒[超话]#依然是调查，当然是仿的了，看看各位狗崽崽都在祖国的哪个地方了，够不够画一张地图（有缘我们江湖再见）无锡
Anylnb,:从刷丁香医生地图到现在刷一亩三分地dashboard从周末被小伙伴抓着costco到今天劝身边所有的人和同事wfh历史总是惊人的相似Humansalwaysrepeatthemselves....看看两周后会不会outbreak
制革技师,:今天开车从广东省佛山市南海区罗村大道中2号到广东省清远市清城区源新三路96号用时1小时8分钟，平均时速85公里/小时，@高德地图
钧钊29,“在屈辱和人类面前，我建议你选择人类。”
丽江日报,:#最新疫情地图#【#云南连续12天无新增##云南累计治愈出院169例#】3月3日12时至24时，云南无新增确诊病例。截至3月3日24时，已连续12天新增病例为0，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例5例。密切接触者当日解除医学观察12人，正在观察81人。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（信息来自云南省卫生健康委员会官网）
妞妞de夏天1816,#兵林往事#【视频带你了解清末西藏军民抗英战争全程战线变化】@史图馆史图馆的微博视频
-DeviL-L-,:#最新疫情地图#做好防护，努力工作…
山西市场导报微博,:#最新疫情地图#【山西连续8天0新增累计治愈出院124例】2020年3月3日0时至24时，山西省无新增#新型冠状病毒肺炎#确诊病例，累计报告确诊病例133例。新增治愈出院5例，累计治愈出院124例。现有在院隔离治疗确诊病例9例，其中重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察23人，尚在医学观察的密切接触者96人。（山西卫健委）
绿色江南公众环境关注中心,:2020年03月04日07点，苏州工业园区星塘街当前站点空气质量优。#蔚蓝地图#48小时空气质量变化详见：http://t.cn/RitCdKr
广东佛本正道,:人生没有地图，我们一路走一路被辜负，一路点燃希望，一路寻找答案，生活需要重复，但不能重蹈覆辙，早安！绿洲
缺得就是耐心,:#蔚蓝地图#实景。2020年03月04日07点，广州市，阴，17°C，湿度97%，风力1级，风向东风，空气质量优。
是脆皮酱啊,:七月小天使生日快乐！！！@盐系沈七月w我爱你我爱你我爱你我爱你我爱你我爱你我爱你么么哒祝你学业进步平安健康愿你和数学英语哲学地图环环相扣还有泡泡玛特和小羊也要和你环环相扣臭屁小兔子十七岁快乐乐乐乐乐
kerrytheretard,#兵林往事#【视频带你了解清末西藏军民抗英战争全程战线变化】@史图馆史图馆的微博视频
柠檬杀手仙道彰,美国这个国家非常邪乎，“进化论”达不成共识我也就忍了，连“地球是圆的”都达不成共识，美国还有无数人觉得地球是平的，所以我经常说美国上层精英，下层神棍，一点也没夸张。
山西发布,:【山西连续8天0新增！】#最新疫情地图#2020年3月3日0时至24时，山西省无新增#新型冠状病毒肺炎#确诊病例，累计报告确诊病例133例。新增治愈出院5例，累计治愈出院124例。现有在院隔离治疗确诊病例9例，其中重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察23人，尚在医学观察的密切接触者96人。
Phoenix_J,看小地图的公孙离应该会很好玩#王者荣耀[超话]#王者荣耀攻略君的微博视频
慈济丫丫,:iOS游戏《仙剑奇侠传五-剑傲丹枫》1.2版于今日正式上架，内容上将增加新绝技、新地图、新关卡、新怪物、新BOSS、新成就目标等多项要素，期望可带给玩家紧张、刺激的作战乐趣。《仙剑奇侠传5：剑傲丹枫》普洱·江三木罗大酒店
見行見心90,:#蔚蓝地图#实景。2020年03月04日06点，安阳市，晴，3°C，湿度39%，风力3级，风向北风，空气质量良。
龙腾虎跃有内涵_71145,:『实时更新|新型冠状病毒肺炎全国疫情地图』实时更新|新冠肺炎疫情地图
银川海娜养森,【霾自何处起？2020年1-2月#蔚蓝地图#全国空气逐小时动态地图为你呈现】春节假期，举国战疫，封闭隔离，重污染天气从何而来，又有什么新的规律？基于4000余个监测站点，覆盖全国所有地级以上城市，#蔚蓝地图#将过去两个月逐小时的空气质量，浓缩成为不到2分钟动态地图，为您可视化呈现重污染时空分布，揭示霾尘和沙尘的传输轨迹，助力认知大气污染规律，关注并参与蓝天保卫战！@公众环境马军@何春银微想@生态梦人@邹毅的邹@微博环保@微公益http://t.cn/A67CpsBQ
南通广播电视台城市日历,:『实时更新|新冠肺炎江苏疫情地图』http://t.cn/A6PoyJwh
奶妈56223712,:【太行山为何被称为“中华脊梁山“？三维地图告诉你答案】（来自@一点资讯）太行山为何被称为“中华脊梁山“？三维地图告诉你答案
苏梓萱,:#最新疫情地图##长沙#想你呀
甜心沙画,:医保电子凭证专用地图上线济南已有1300余家定点药店可无接触购药http://t.cn/A67NXZ9L
专专316,“在屈辱和人类面前，我建议你选择人类。”
行业洞察者,:伊朗精神领袖哈梅内伊发表关于冠状病毒的讲话说，病毒没什么可怕，也有可能是一种形式的祝福！最后其强调人们可以通过祈福打败病毒。#最新疫情地图#行业洞察者的微博视频
烤翅烤串烤生蚝,:总有一天我要把这地图颜色都填满
第1001根筷子,:2020年03月04日06点，长春，市均值站点，空气质量良。#蔚蓝地图#-8至0℃，北风4-5级，多云转小雪
尧馨香丶职员,:【丛林之谜《激战2》暮光之根一日探险】《激战2》中；让他们对生活充满期待……暮光之根副本位于希尔瓦里新手地图：是一个与希尔瓦里种族相关的副本……随时都能看见彩虹：卡勒顿之森的左上角
只是离不开哥哥酱的小笨蛋,:和平精英雪地图我只跳城堡因为我是公主那里是我家你如果不带我去跳城堡那你就是拐卖公主那你就是犯法
咖啡豆qj,:#蔚蓝地图#实景。2020年03月04日05点59分，安阳市，当前晴，3℃，湿度41%，东北风2级，空气质量良。
浪里闪电小白龙,:小王昨天打电话讲故事哄我睡觉，今天在做我随手一提的地图，把我俩各自去过的地方分别按颜色都标起来。
仰望星空的Pie,:#英国三餐[超话]#每年都会有新店开张，老店歇业，而且速度很快！英国美食地图也需要及时更新！第18个城市：Newcastle纽卡斯尔老规矩！我会把去年人气高的城市单独发出来，并在评论里依次列出去年胖友们推荐过的餐厅/集市/摊位的名字。请胖友们回复餐厅/集市/摊位名并评论，哪道菜式，哪道甜品，甚至哪道酒水饮料值得推荐！又或者哪道是雷！至于值得推荐的新店有哪些，靠胖友们把店名列在评论区里了！【2020英国美食地图】靠胖友们了！(づ￣3￣)づ
吃咖啡咯,这三年来，你在NintendoSwitch上玩到最喜欢的游戏是什么呢？
