种花的小神经,:#武汉日记#等复查.....
新浪广东顺德,:#顺德战疫#再传捷报！再增7人出院，其中4人是顺德患者！3月3日，佛山再有7名新冠肺炎确诊患者经医护人员的全力救治和专家组确认，身体状况和复查指标符合国家规定的确诊病例出院标准，从佛山市第四人民医院治愈出院，其中，有4名患者来自顺德。至此，佛山累计出院66例。再传捷报！再增7人出院，其中4人是顺德患者！
戴戴桑style_,:博主，你知道海淀、通州哪里有做好的医院吗？想找个技术和价格都比较好的，@近视眼科室可以顺便帮我预约一下专家吗？#近视手术复查项目都有什么##北京上海深圳成都济南沈阳近视手术#
华厦光明,:镇江近视手术分享~T-PRK患者是镇江一名女大学老师，觉得戴眼镜很麻烦，再加上朋友做的近视手术效果很好，于是动心了。预约了镇江康复眼科医院张芹主任，检查结果近视600度，但是角膜稍薄，厚度达不到飞秒激光手术的要求，张芹主任推荐了T-PRK（这种手术对角膜厚度没有那么高的要求）。手术后的第4天来复查双眼1.0。T-PRK激光手术的标准名称经上皮激光角膜切削术，属于表层切削手术。主要特点是只用一种准分子激光同时去掉角膜上皮和前部基质，完成对角膜曲率的改变，使外界物体在视网膜上的成像更清晰，达到矫正屈光不正的目的，也被称为“全激光”手术。T-PRK手术不需要使用角膜板层刀或飞秒激光制作角膜瓣，亦避免了其他表层手术的机械或化学的损伤，整个手术过程无需任何器械接触角膜表面，无需使用酒精或角膜上皮刀，一步完成角膜上皮和角膜基质的切削。节约了更多的角膜组织，保留了角膜的生物力学强度，提高了手术的安全性，术后角膜愈合更快，手术操作时间缩短。T-PRK手术要求患者年龄18至45岁，近视度数一般在100-600度，并且稳定两年，远视、散光小于500度，配戴隐形眼镜者，术前需停戴：软性隐形眼镜需停戴2周，硬性RGP需停戴1个月。全身无手术禁忌症和其他眼病。患者是否能做“T-PRK”近视治疗手术，需到医院检查由医生判断。（V：hxyk888）
付亮的竞争情报应用,:进入三月，武汉连续2日新增确诊病例数低于200，但这两天平均核酸检测人数接近20000人。像外地一样，武汉开始将富裕的核酸检测能力用于密切接触者筛查和住院患者复查。http://t.cn/A67pKsfY
白衣咸饭,:【请问左医生，我目前是否需要专科进一步检查，复查？还是等待生完了，再进一步检查呢？感谢🙏盼复。】孕36周＋4天，单位体检，甲胎蛋白650.55微克每升，癌胚抗原0.94纳克每升。甲状腺右侧叶结节建议随访。总胆固醇7.84，甘油三酯3.74，低密度脂蛋白4.61，这三项均偏高。孕期有妊娠糖尿病，空腹血糖最高5.28，餐后血糖水平在正常范围，一直控制饮食，未注射胰岛素。此次检查空腹血糖5.02。孕期甲功检查水平正常，肝功能正常。作为医生我的建议是：http://t.cn/A670ud5b
佛山市祖庙博物馆,:疫情通报|再增7人出院，佛山累计出院66例！3月3日，佛山再有7名新冠肺炎确诊患者经医护人员的全力救治和专家组确认，身体状况和复查指标符合国家规定的确诊病例出院标准，从佛山市第四人民医院治愈出院。至此，佛山累计出院66例。今天出院回家的是他们：病例38：病例15儿子，33岁男性患者，长期居住佛山。1月27日入院治疗。（病例15已于2月11日出院）病例63：14岁男性患者，常住佛山。2020年1月17—19日在湖北武汉、1月20—25日在湖北襄阳停留，1月26日返回佛山。2月3日入院治疗。病例69：病例54女儿，40岁女性患者，常住佛山顺德。患者在病例54入院治疗后即在定点场所集中医学观察，2020年2月8日入院治疗。病例70：32岁女性患者，湖北孝感人，现住佛山顺德。2020年1月17日下午前往武汉，1月18—22日在湖北孝感家中停留，1月23日返回佛山顺德。1月26日—2月7日在定点场所集中医学观察，2月7日入院。病例73：34岁男性患者，常住佛山南海。2020年1月16日前往武汉，1月23日返回佛山。1月29日入院，2月11日，结合流行病学调查、临床症状、实验室检测结果，确认为新型冠状病毒肺炎确诊病例。病例77：病例54妻子，67岁女性患者，常住佛山顺德。患者在病例54入院治疗后接受医学观察。在密切接触者采样检测中发现新型冠状病毒阳性，故于2020年2月6日入院。病例81：病例80外甥，13岁男性患者，长住佛山。在密切接触者采样检测中发现新型冠状病毒阳性，故于2020年2月11日入院隔离治疗。
233网校考证指导,:#教师资格证面试成绩##教师资格证认定##教师资格证面试##233网校助学计划##停课不停学#【成绩复查】关于2019年教资面试成绩复查相关通知，各省已整理完毕：http://t.cn/A670mlEO
魅力十堰,:#“疫”路有爱#【宁可备而不用不可用而无备（来自疫情防控一线的报道）】北抵秦岭，南依巴山，十堰市地处鄂西北，汽车工业发达，被称为“车轮上的城市”。全市有60多万人在外务工，疫情输入性风险不可谓不大。　　应收尽收、应治尽治对战胜疫情十分重要。怎样抓实抓细从筛查甄别，到转送救治，再到康复出院的各项工作？2月22日，记者一行在十堰实地探访。　　来到茅箭区五堰街道京东路社区百强世纪城小区门口，值守的工作人员给记者测完体温，指着旁边的指示牌：“麻烦您再扫下二维码，登记下信息。”　　拿出手机一扫，弹出一个小程序电子表格，上面有姓名、性别、详细地址、出行日期、目的地、通行证号码等条目。“这是街道开展的无接触式登记，信息提交后，有助于我们追踪溯源。”京东路社区党支部书记王娟娟递过来一张打印出来的表格，当天进出小区人员的信息一目了然。　　“这个二维码给了我们很大的帮助。”王娟娟说，京东路社区常住居民13902户，常住人口2.9万余人，辖区面积大，而社区现有干部6人、网格员6人，人手十分紧张。　　社区网格员赵玉鸥回忆，2月2日，她和物业人员一起入户排查时，发现住户曹女士体温37.5摄氏度，他们立即拨打了120救护车，把曹女士送到十堰市太和医院。曹女士做了CT检查，结果显示肺部有些感染；当天晚上做了核酸检测，第二天确诊新冠肺炎。她很快被送到十堰市定点救治医院西苑医院，住进隔离病房。　　在医院接受治疗后，曹女士于2月17日出院。社区又派人把她接到家中隔离。“隔离期满后，还要去医院复查。很幸运，当时医院能够腾出床位！”曹女士说。　　应收尽收、应治尽治，床位很关键。记者又赶到十堰市西苑医院。　　西苑医院是一家专门的传染病医院，在十堰最早收治新冠肺炎确诊患者。医院感染科主任吴激波对收治的第一例患者记忆犹新：1月19日晚，接诊一对夫妇，男方从武汉回来，被怀疑感染肺炎，从太和医院转入西苑医院隔离治疗。1月23日，经湖北省疾控中心检测，该男子被确诊为十堰市首例新冠肺炎患者。　　“自收治首例患者开始，短短5天，第一隔离病区20多张病床全部收满。”吴激波介绍，医院迅速开放第二、三、四隔离病区。紧急转移病人，腾出了结核病区三层楼，改造为隔离病区。暂时关闭部分临床科室，开设4个隔离病区，开放133张应急隔离病床。　　“宁可备而不用，不可用而无备。”十堰医疗资源相对丰富，城区有6所三甲医院、3所综合医院、3所专科医院以及一所省属医学院，他们还把一处新院区加速改造成最多可提供400张床位的医院。据统计，十堰通过征用、改造，全市定点医院由最初的7个增加至目前的14个，床位数由1月24日的170张提高至现在的1734张。目前十堰病人确诊后，都能及时转入定点医院进行救治。截至2月26日24时，十堰累计报告新冠肺炎确诊病例671例，目前仍在院治疗296例。　　“宁可床等人，不能人等床。我们立足于第一时间做到应收尽收、应治尽治，力争早日打赢这场疫情防控阻击战。”湖北省政协副主席、十堰市委书记张维国说。http://t.cn/A670EGjf
太平牛,【#武汉首家方舱医院休舱#】3月1日，武汉市硚口武体方舱医院34名康复的患者出院，这是最后一批出院的患者，他们将转运到隔离点进行14天隔离后再回家。其他76名患者将进行转诊处理，转诊完毕后，武体方舱医院将进行“休舱”处理，不再接收患者。网友：祝患者早日康复，祝方舱医院早日“关门大吉”。http://t.cn/A67JI2nj
吃完西瓜吃南瓜,非武汉城市，其他疾病的收治能力，也下降了非常多，更别提武汉了。次生伤害造成的死亡人数，会超过新冠肺炎的死亡人数。这种说不出的痛苦，时刻发生在我们周边。
