盘龙MoreLife,:#盘龙君和你一起战疫##疫情最新情况#【连续13天无新增！截至3月4日24时，云南累计治愈出院169例，现有确诊病例3例】3月4日12时至24时，无新增确诊病例。截至3月4日24时，已连续13天新增病例为0，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例5例。密切接触者当日解除医学观察39人，正在观察60人。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南发布）@昆明盘龙发布
玉蕊红梅,:#既要打赢疫情防控阻击战又要打好经济发展主动仗#【大理州人社局推进农村劳动力转移暨援企稳岗政策落实“五进五送”行动】进企业送政策，进基层送培训，进项目送人员，进村组送岗位，进社区送服务。参与永平、云龙县人社局摸清政策落实底数，分析措施，促进稳岗就业，企业开工复工和劳动力转移。图文/ZZS#共战疫情大理行动#@大理同城
科普永平,:月球有着怎样的前世今生？@手机浏览器http://t.cn/A67jUHLt美丽云南微科普@大理科普@科普中国@大理州科学素质行动@永平科素
科普永平,:［实时辟谣］这些“谣言”！千万别信！@手机浏览器http://t.cn/A67jUK3a永平科素@美丽云南微科普@大理科普@科普中国@大理州科学素质行动@永平科素
科普永平,:口罩产量井喷，距离实现“口罩自由”不远了@手机浏览器http://t.cn/A67jUful大理州科学素质行动@永平科素@美丽云南微科普@大理科普@科普中国@大理州科学素质行动
科普永平,:只冲水约等于没洗手！洗手的重要细节，很多人都忽略了@手机浏览器http://t.cn/A67jUhAH大理州科学素质行动@永平科素@美丽云南微科普@大理科普@科普中国
科普永平,:［抗疫防控科普］办公场所和公共场所新冠肺炎防控技术方案@手机浏览器http://t.cn/A67jLT6Z大理州科学素质行动@永平科素@美丽云南微科普@大理科普@科普中国
大理融媒,:【写给“抗疫”爸爸的心里话~“您是我一辈子的骄傲”】我的爸爸是大理州人民医院感染病科的一名普通医生，平时总忙于工作，我记忆中很少有一家人团圆出行的日子。记得今年春节前夕，在宾川县医院支援扶贫工作的爸爸终于有假期陪我、妈妈还有弟弟一起回妈妈日思夜想的家乡过春节，我们全家都兴奋不已。http://t.cn/A67jPEde
不潮不深圳,:寺登街位于大理州剑川县南部的沙溪镇，是茶马古道要冲，可以说是茶马古道上唯一幸存的集市了。茶马古道指的是存在于我国西南和西北地区，以马帮为主要交通工具的民间国际商贸通道，是我国西南民族经济和文化交流的走廊。茶马古道可以说是一个非常特殊的地域称谓，同时也是一条世界上自然风光最为壮观，文化最为神秘的旅游精品线路，它蕴藏着开发不尽的文化遗产。
单反LOVE上摄影,:寺登街位于大理州剑川县南部的沙溪镇，是茶马古道要冲，可以说是茶马古道上唯一幸存的集市了。茶马古道指的是存在于我国西南和西北地区，以马帮为主要交通工具的民间国际商贸通道，是我国西南民族经济和文化交流的走廊。茶马古道可以说是一个非常特殊的地域称谓，同时也是一条世界上自然风光最为壮观，文化最为神秘的旅游精品线路，它蕴藏着开发不尽的文化遗产。
不潮不深圳,:寺登街位于大理州剑川县南部的沙溪镇，是茶马古道要冲，可以说是茶马古道上唯一幸存的集市了。茶马古道指的是存在于我国西南和西北地区，以马帮为主要交通工具的民间国际商贸通道，是我国西南民族经济和文化交流的走廊。茶马古道可以说是一个非常特殊的地域称谓，同时也是一条世界上自然风光最为壮观，文化最为神秘的旅游精品线路，它蕴藏着开发不尽的文化遗产。http://t.cn/RXZRrI7
