一粒橙色丸子,【王源17岁就演爸爸】虽然知道很久了，但我还是表示震惊
宋和亓,:#宋亚轩[超话]##宋亚轩遇见十六岁的你##宋亚轩0304生日快乐#不知道你们有没有发现亚轩的那六张照片都是按照年龄大小发的！他真的很温柔啊！希望我的亚轩十六岁开心快乐健康平安！十六岁的宋亚轩！生日快乐!(^O^)y！
借钱未雨不愁,:【中国古代各年龄称谓】男子20岁称弱冠，30岁称而立，40岁称不惑，50岁称知天命，60岁称耳顺。70岁称古稀，80岁称杖朝。90岁称合耄耋。100岁称乐期颐。女子12岁称金钗之年，13岁称豆蔻年华，15岁称及笄之年，16岁称碧玉年华，20岁称桃李年华，24岁称花信年华，出嫁女子称梅之年。
吃土小白菜,:无意间刷到的一条朋友圈让我很不情愿地又丧了这一路走来别人是从苦到甜算是美满也明白抱怨没用天生下来这路便是这样的崎岖因为不是所有人肩上所背负的都平等徐姑姑说的对期盼无非两种没得到和已失去两者我都占据了也明白那种五味杂陈的心情人随着年龄也不得不看开一些事要学着如何去消化负能量调节心态做好自己虽然很难可是人生就是一场修行对于生活来说我们如此渺小但是无论收获多少我们也都是为了生活而选择默默努力的小人物
单仁的烙印,上周末，我和Taka@TAakKaa飞到了阿德莱德去见我们许久未见的朋友。我和斐然认识已经好多年，一起做过一篇被枪毙了的报道，还拍了一部关于日本威士忌的纪录片，后来各奔东西，没想到最终在澳洲相遇——斐然和男友小裴一起辞掉了国内的工作，来到澳洲打工度假，如今已经近两年的时间。这期间，他们已经熟练驾驭了澳大利亚的各种农活。这次见我和Taka窜访南澳，就带我们去。。。抓了一天螃蟹。而且我们最终居然真的抓了32只，经Taka专业计算，价值人民币2000多块钱呢。这或许是我和Taka近期拍过最随心所欲的一期Vlog，还拍到了好多特别漂亮的镜头。我剪完是觉得还蛮有意思的，也尝试了一些不同的叙述方法，希望在这个无聊的春天，给大家能带过去一份快乐。贼累，求转求火
海南洋浦政法,【方舱医院来了个年龄最小的男护士】2018年韩旭东毕业后，来到了南京中医药大学附属南京中医院当护士。新冠肺炎疫情爆发，看到护士长在微信群里发出前线召集令的那一刻，韩旭东热血满腔地主动报了名。在武汉江夏区大花山方舱医院工作之余，韩旭东的年龄是聊天的谈资之一。很多患者一开始都猜不出他的年龄，得知他只有22岁，一位患者忍不住拉住了他的手说，你和我的儿子一样大！http://t.cn/A67NGcrk
A奥夫F,你怕变老吗？我对变老虽然没有特别怕，但也确实没有很期待，直到之前看到JenniferLopez在超级碗的表演。亮片紧身衣、钢管舞、旋转跳跃倒挂，每个细节都完成得流畅自然，如果不是当时下面的评论提醒：「这是50岁吗？」、「我完全无法相信她50岁了！」我也无法把JLo和惯性思维中认定的50岁联系起来。那50岁有「应该」的样子吗？如果有，是谁规定的？奥普拉说JLo让全世界重新认识50岁，那大家看完这个视频也来跟我说说，你想过50岁是什么样子的吗？我们为什么会形成这样的想法？这是有道理的吗？#Alex周一视频见#http://t.cn/A67Slksj
宅女小格儿,:#文轩[超话]#第一次来文轩超话，还有点紧脏，来到这里的原因，就是因亚轩微博发合照的顺序，我一张一张往下翻，看了前面几张，笃定相信是按年龄顺序发的，结果到了小熊那儿发现事情不简单，果然，最爱的要压轴出场是吗？
我心依旧_YJ,【王道特辑】“好想念当年的快乐”
Minerva-Pumpkin,#音乐剧好听#再来搬运一遍音乐剧《伊丽莎白》20周年的时候各国女主们一起演唱的《我只属于我自己》。ichbinnichtdasEigentumvondirdennichgehörnurmir我不是你的所有物因为我只属于我自己七幕人生音乐剧的微博视频
胡尼玛DavidWho,记得2000年左右混mop等论坛时，经常能看到很多人在就某些问题争论得不可开交时，还会把“我可能不同意你的观点，但我将誓死捍卫你说话的权利。”这句话挂在嘴边。现如今完全不一样了，成了“你说的话让我感到讨厌，所以我将不惜一切代价封住你的嘴。”
扯须须的拔丝地瓜,:突然发现我们轩好倔强的番位不管我就按年龄来刚
阿饼啵,:虽然年龄在渐渐增加但是我好像也在渐渐失去和别人自在坦然地交流的能力
此方冬菇OUO,说起古早的男男CP……或许有人知道上海绝恋吗？
ilsissi_YF,#刘亦菲VOGUE首封#印象中也是第一位拿到蓝血代言的小花，作品王道👏静待木兰花开
某不知名楼民,:老婆生日快乐
甜悠悠爱喝茶,:她说，某个阶段曾有的积累不能支撑膨胀的野心了，所以她会慢慢来。这让我想起以前一位挺红的卢姓作家说过类似的话大意就是年龄大了你要靠努力而不是天赋。（后来我查了查这位作家好像叫卢思浩，在人人网还存在于我的学生时代时，他很红）。我当过墙头草，在我偶像被爆出来出轨啦恋爱啦人品不好之类的新闻的时候，我和吃瓜群众一样:“咦这是什么人品脱粉脱粉。”但这位不一样，她八月长不长安我不知道，但是她不会做。不用看调色盘不用看对比，她不会做，她把手摊开，里面空空如也，向人证明:“我没有偷糖。”“我们相信你，你本来就是甜的，你不需要偷。”
