李留申i,:2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。
河南交通广播,:【这辈子不想再看了！#开封#疫情报告停发】2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月3日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无疑似病例，密切接触者已全部解除医学观察。开封市已连续17日无新增确诊病例，自即日起，如无新的疫情情况，不再发布。（开封市卫生健康委员会）
文明血站1996,#疫情防控开封在行动##共同战疫#3月3日，开封市野生动物保护站工作人员走上街头，向行人宣传保护野生动物和禁食野生动物相关法律法规。@文明河南@中国文明网
文旅开封,:线上展览（十一）|开封市文化馆光影艺术长廊优秀作品展——共赏古城好风景，相聚山河无恙时http://t.cn/A67WRc9f
视角志,:这辈子不想再看了！河南这个地市疫情报告，停发！2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月3日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无疑似病例，密切接触者已全部解除医学观察。开封市已连续17日无新增确诊病例，自即日起，如无新的疫情情况，不再发布。开封市卫生健康委员会2020年3月4日
作家张建云,:发表了博文《【家风故事·第6篇】我们不强求儿女孝敬，但一定要教会儿女怎样孝敬》东晋名儒范宣，是河南开封市陈留镇人。自幼刻苦自励，博综群书。父母死后，亲自背土成坟，在墓侧结庐而居，为父母守孝。范宣八岁那【家风故事·第6篇】我们不强求儿女孝敬，但一定要教会儿女怎样孝敬
开封交警,:3月4日上午，开封市公安局党委委员、交警支队支队长徐桢带领相关同志，专程到开封市交警第二大队，为大队送来“疫情防控工作成绩突出集体”奖。此次获奖充分肯定了二大队全体民警、辅警在疫情阻击战中的突出表现，凝聚了警心，鼓舞了斗志，增强了全体民警、辅警的责任感、荣誉感，鼓励他们在今后的工作中以更高更严的标准要求自己，以更饱满的精神状态投身到疫情防控和助力复工复产工作中，向人民群众交上一份忠诚满意的答卷。@公安部交通管理局@央视新闻@人民日报@法制日报@中国警方在线@新华社@交通安全小V@平安中原@平安开封@河南交警@开封网@映象网
文明开封交通运输局,:#疫情防控开封在行动#【抗击疫情阻击战，开封市交通运输局在行动】为响应党中央和省委关于对广大党员的号召，充分发挥党员干部先锋模范作用，3月3日，市交通运输局组织开展党员干部捐款活动，为抗击新冠肺炎疫情奉献自己的爱心。活动现场，党组书记、局长牛彦斌首先给党员干部们做了动员讲话，然后和其他党组班子成员一起带头捐款，随后其他干部职工也纷纷踊跃捐款，积极为抗击疫情贡献自己的一份力量。一份份捐款，见证着骨肉同胞血脉相连、同舟共济的磅礴力量。@文明开封@文明河南@中国文明网
开封检察,:【喜报】开封市人民检察院、鼓楼区人民检察院疫情防控工作受到表彰【喜报】开封市人民检察院、鼓楼区人民检察院疫情防控工作受到表彰
文明开封社会保险,:#全民战疫##疫情防控开封在行动#开封市社保中心慰问汉中社区疫情防控人员春风轻拂，阳光温暖，3月4日上午，市社保中心工作人员赴汉中社区慰问奋战在疫情防控一线的工作人员，与他们互相交流勉励，共商携手协力做好社区防疫抗疫工作。　慰问中，一行人向汉中社区防疫期间坚守一线的工作人员送去了一批防护口罩、防护手套、84消毒液、酒精、净手消毒剂等疫情防护用品及火腿肠、方便面等慰问品，向辛勤付出的值班值守人员表示诚挚地慰问，叮嘱他们坚守岗位，认真履责，在抗击疫情的同时做好自我防护，确保自身安全。社区主任薛华介绍了当前疫情防控的主要措施、工作开展情况，对市社保中心提供的物资帮助表示感谢。社保中心工作人员询问汉中社区的疫情防控工作，了解工作中遇到的困难。大家表示，作为文明共建单位，市社保中心会根据疫情防控需要，及时向社区提供力所能及的支持和帮助，与社区一道共同抗击疫情，众志成城，共克时艰，坚决打赢疫情防控阻击战。
大河报,:#疫情实时播报#【这辈子不想再看了！#开封疫情报告停发#】2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月3日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无疑似病例，密切接触者已全部解除医学观察。开封市已连续17日无新增确诊病例，自即日起，如无新的疫情情况，不再发布。http://t.cn/A67WviOp#开封[地点]#
