我的身体已经菠萝菠萝哒,http://t.cn/A67qod6l大家记得一定要填法米通六周年调查问卷啊
帮猪挠痒痒,李文亮的同事，同科室的医生，武汉市中心医院眼科主任梅仲明，刚刚走了。该医院目前还有数名医生危重。
937江苏新闻广播,:【#钻石公主号患者治愈后再确诊#】3月2日，因同机乘客被确诊感染新冠病毒，11名台湾旅客被以色列送回台湾。这批台湾旅客于2月28日飞往以色列旅行，转机时遇到一名以色列乘客，该名乘客为“钻石公主”号邮轮上确诊患者，在日本治愈后乘飞机回国，不料下飞机检测时再次被确诊。@世面http://t.cn/A67Cvmh0
元气峰妹妹丫,:#常见病患者网上复诊医保可报销#怎么弄了？自己在外边买药，可以报销？
欧洲杯足球事儿,:发布了头条文章：《你还敢去现场看球吗？亚冠比赛有新冠患者，现场球迷冷汗直冒！》#亚冠##足球#你还敢去现场看球吗？亚冠比赛有新冠患者，现场球迷冷汗直冒！
李强巨思特,#特朗普称现在举行集会安全#【特朗普：现在举行集会非常安全民主党人也在搞】3月2日，有记者问特朗普：在这样一个公共卫生危机期间，举行竞选集会是否安全？特朗普：这些集会早就定下来了。那些民主党人都有集会，他们就在这么做，他们在搞竞选。记者：你觉得这样安全吗？特朗普表示：我觉得非常安全。#特朗普要求几个月内开发出新冠疫苗##特朗普称疫情被媒体夸大##特朗普称像对待流感一样对待新冠肺炎##风视频#http://t.cn/A6793kkIhttp://t.cn/A6791hiS
一碗旮瘩汤-,懒癌们快点站出来，我要像逢年过节时的村头老干部一样来给大家送温暖啦！今天要给大家安利的是多芬洁面泡泡！其实关注我足够久的粉丝应该知道，我之前讲过一次这款洁面，今天之所以又讲一次，是因为旧的用完了，刚买了新的，唤起了我的远古记忆。我都不记得这是第几次回购了，详细功课在下面哦，姐妹们安排起来！http://t.cn/A67CwA5R
医美整形团团,:今日份双眼皮科普来喽科普医生:北京医院丁金萍今天刚拆线的患者问我：“为什么要翻白眼啊？”在我提出“多眨眼，没事翻翻白眼”的要求后，不少患者都会问这个问题，也有很多患者以为多眨眼就是为了伤口恢复。1.当然，多眨眼能促使眼睛肌肉和周围组织的血液循环，减轻并逐渐消除手术部位的肿胀，促进手术淤血的早日吸收；2.然而“翻白眼”还有另一个重要作用，那就是，双眼皮术后做一些类似眨眼、转眼的眼部运动，可以增强眼部肌肉的力量。眼部肌肉的力量关系到眼睛的神态问题。而衡量一个眼睛是否漂亮，并不是只论单双，主要还是看眼睛的神态好不好、眼睛有没有精神。4.如果眼部肌肉力量不够，眼睛看起来是耷拉的、萎靡的，甚至会造成斜视、上睑下垂等症状。这样的话，即便做了漂亮的双眼皮，眼睛也不会十分出彩。北京双眼皮医生推荐:八大处范飞八大处朱姗八大处王太玲#双眼皮##全切双眼皮##割双眼皮反馈案例##双眼皮整形##双眼皮案例##切开双眼皮##北京双眼皮#
和谐鹤山--幸福之城,【疫情期间，基础病患者还能定期去医院吗？】专家提示：疫情期间，基础病患者，如糖尿病、高血压等，要坚持治疗，去医院开药时也要做好个人防护。①戴好口罩，尤其是与他人接触时；②与他人保持距离，最好间隔1米以上；③要特别注意手卫生，尤其在触摸公共部位后要及时洗手。央视一套的秒拍视频
今日马鞍山,:【科大讯飞新冠肺炎影像辅助诊断平台问世】在3秒内就可完成一例患者新冠肺炎辅助诊断，阳性病例全召回，病灶召回率达到90%，可为医生提供准确、高效的辅助诊断参考。记者3月2日获悉，近日在“中科院科技攻关指挥部”协调下，科大讯飞攻关团队在3天内便快速完成了“新冠肺炎影像辅助诊断平台”建设。http://t.cn/A67CkkBe
FM9358,为什么美国CDC不建议大家戴口罩预防新冠肺炎？除了产量之外，还有一点就是对民众的「可教育程度」的理解不同。#特朗普要求几个月内开发出新冠疫苗#⬇️回答知友【司马懿】
略略略毛,#肺炎患者求助[超话]##武汉加油##非肺炎患者求助##非新冠肺炎危重病人#求助信息为志愿者代发【姓名】张德胜【性别】男【年龄】56【所在城市】武汉洪山区【所在小区、社区】金色世家观庭小区A区8栋701【患病时间】2019.11.27【联系方式】本人18871487109【其他紧急联系人】妻子15813124532【病情描述】肺癌晚期，非肺炎2019.11.27在复兴路人民医院进院确诊，化疗三次，第四次应该在2.10，但由于疫情防控需要被迫出院，延误化疗至今，怕有复发的可能，急需第四次化疗。【是否有病史】做过胃穿孔手术【主要诉求】去可以继续化疗的医院，最好是人民医院
samsnic,广东援汉医生：汉口医院呼吸科整个科室几乎全军覆没应该说汉口医院一线的情况，还是让我们很震撼的。第一天进入病区后，一名有十多年经验的老医生就和我说，那天晚上睡不着觉、做了噩梦，有的医护人员也会在房间里哭。因为受条件所限，许多救治手段上不了，我们的医护人员就觉得有力气使不上，眼看着病人不行了，感觉很无助、感觉救不了。这种情况下，队员们的信心受到很大打击，有的人会来找你倾诉，有的人会发脾气吵架。那种状态，你得去理解他。这个事情可能对那个医生触动比较大。一方面，感染科平时接触的大多是乙肝这类病人，危重症的比较少。另一方面，绝大部分医生、护士都很善良，他可能觉得一个37岁的男人正是家里的顶梁柱，人就这么没了，他过意不去。从那以后，这个医生变得很沉默寡言，经常躲在房间不出门。http://t.cn/A67Se75w
兴宁市人民检察院,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa（央视新闻）
LEJF,:【刘良谈新冠逝者遗体解剖情况：肺已不像肺】华中科技大学同济医学院法医学系教授刘良在接受央视采访时，还原新冠肺炎逝者遗体解剖后的情况：不同于正常人的肺，患者的肺很韧“像一个肝脏”，能看到有黏液性分泌物。视频|刘良谈新冠逝者遗体解剖情况：肺已不像肺
浪迹天涯0706,【急救车接隔离患者闯红灯撞翻，司机：去接隔离患者有点着急】3月3日，哈尔滨一辆120急救车去接被隔离患者途中闯红灯，与一辆出租车相撞后侧翻，等红灯的另一辆出租车也被波及。驾驶员姚先生称，当时是接到防疫指挥部的任务，前往定点隔离宾馆接一个隔离的患者。#哈尔滨爆料#新京报我们视频的秒拍视频
风起淮上_,:【#安徽打响清零战#，治愈率超95%】#安徽抗击肺炎#截至3月3日，安徽省累计报告确诊病例990例，累计治愈出院病例941例，治愈出院率达95.1%。治愈出院病例中，年龄最大的93岁，年龄最小的9个月。安徽16个市中，铜陵、六安两市实现住院患者清零，其他市也在全力清零。
鸡先生delifer,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
南昌联通微博,#“疫”无反顾护你平安#【援鄂医护为患者过八十大寿：关注患者心理健康，建立信心】江西援鄂医护在信息系统上发现，3月1日是患者陈爷爷的80岁生日，便悄悄为他准备蛋糕，在病房给他庆生，“关注患者心理和情绪，希望建立战胜疾病的信心”。此前，陈爷爷和老伴在病房“重逢”紧紧相拥，感动许多网友。http://t.cn/A67oVh76
SunBamboo-,#肺炎患者求助[超话]#求助人信息（若有相关化验单，请上传图片）【姓名】陈芷君【年龄】25【所在城市】湖北汉川【所在小区、社区】金鹏职校【患病时间】2020年1月31号【联系方式】15997451417【其他紧急联系人】【病情描述】#提问武汉#我妻子(陈x君)现居地址湖北省孝感市汉川市体育管路金鹏校，现在因2019年7月份切脾手术引发的肠系膜血栓，现在病情加重出现水肿伴随着强烈剧痛，现在出现肝昏迷情况比较危机，联系了武汉协和医院和武汉同济医院都没有开放病床，医生建议我们转三甲医院，我们想转到湖北省人民医院但是现在转过去需要核酸检测结果48小时以内的，但是医院现在没有试纸，检测出结果还需要两天，但问题是现在我们不能等时间就是生命现在她还年轻才25岁我希望她能活下去，多一份希望，希望汉川到武汉有一条绿色的救治通道.
经济之声,:【#湖北将逐步恢复正常医疗秩序#，保障肿瘤患者等就医需求】今天下午，湖北省召开疫情防控工作新闻发布会，湖北省卫生健康委员会党组成员、副主任涂远超表示，将统筹考虑解决好人民群众正常的就医问题，分区、分级管理、分类、分步逐步恢复湖北省正常的医疗秩序和服务。他介绍，要合理地用好、用足现有的医疗资源，尽最大努力满足患者的正常医疗需求。湖北省已指定了一批医院，重点保障血液透析、肿瘤、孕产妇和儿童等患者急需的医疗需求。同时，也指定一批重点医院全面地提供综合性的医疗服务。（via新京报）#新型冠状病毒#http://t.cn/A67NwfpY
严道医声网,:#抗击肺炎#逆行者｜上海市一徐浩：医患携手打赢未来每一场“战疫”“我宣誓：作为援鄂医疗队的一员，我将不忘初心，牢记使命，遵守纪律，服从指挥，做好自我防护，竭力救治患者，发扬敬佑生命，救死扶伤，甘于奉献，大爱无疆的医者精神。”逆行者｜上海市一徐浩：医患携手打赢未来每一场“战疫”
双流区住建交局,:【成都二医院普通门诊全面开放可提前14天预约】根据疫情变化，针对企业复工复产和流动人员增加，普通疾病、慢性疾病及特殊疾病的患者就诊需求越来越强。自2月26日起，成都市第二人民医院逐步有序恢复正常诊疗工作，截至目前，已经全面开放普通门诊。成都二医院普通门诊全面开放可提前14天预约
浙江团省委,:【勇战红区！高危、汗水、勒痕，只为与死神抢人！】“红区”，抗疫医院中重症隔离病房的别称。这里是人类与疫魔激烈交锋的战区。浙团：在这里，医护人员与死神抢人，在这里，对每一位重症患者的救治，都是一场惊心动魄的战役。（记者岳冉冉、周磊视频来源：云南省第一人民医院）#上海已追踪71名浙江输入病例密切接触者##克里木去世#http://t.cn/A67CU7dB
来跟我念第四声桦,【投稿】“国内确诊了一例以荨麻疹和低热为首发症状的新型冠状病毒感染，麻烦提醒皮肤科的老师们注意”病毒感染是急性荨麻疹的一大诱因，请皮肤科医生们不要忽略，注意防护防护再防护！
京墨在野,#肺炎患者求助[超话]##武汉加油##非肺炎患者求助#【志愿者代发】【姓名】胡琴【年龄】33【所在城市、社区】湖北天门市第一人民医院【患病时间】2.19【联系方式】黄春能（老公）13396065250【其他紧急联系人】【病情描述】目前人在湖北天门市第一人民医院，因发烧住院隔离，两次咽拭子结果都是阴性，CT双肺正常，血小板值过低，确诊急性白血病，因医院条件有限，需要转武汉三甲医院。由于疫情联系医院均无法接收，没办法只能向微博求助，希望大家能帮帮她【主要诉求】病人已排除肺炎，目前所在的天门医院条件有限，无法检测病因，急需转至武汉三甲医院。
我有我莹,:我在看【湖北将逐步恢复正常医疗秩序，保障肿瘤患者等就医需求】#跟新浪看热点#湖北将逐步恢复正常医疗秩序，保障肿瘤患者等就医需求
正义网,:【北京回应“望京一韩国人确诊”：患者并非新冠肺炎】3日，北京市就疫情防控召开新闻发布会。北京市朝阳区望京街道工委副书记、办事处主任杨晓昇介绍，2月27日上午，在北京市朝阳区望京街道某社区，一位从韩国返京的外籍人士致电社区，称身体不适，并伴有呕吐症状。社区工作人员第一时间联系120，将其送往医院。后经医疗机构确认，并非新冠肺炎。该人士出院后，继续返回社区进行居家隔离。@中国新闻网
今日马鞍山,:【新增“清零”地市！安徽六安最后6名患者今日出院】记者从六安市卫健委获悉，今天将治愈出院6例确诊患者，至此，六安市69例新冠肺炎确诊患者将全部治愈出院。继铜陵市后，六安市成为安徽省第二个实现“清零”目标的地市。新增“清零”地市！安徽六安最后6名患者今日出院
每日经济新闻,:【#北京回应望京一韩国人确诊#：患者并非新冠肺炎】3日，北京市就疫情防控召开新闻发布会。北京市朝阳区望京街道工委副书记、办事处主任杨晓昇介绍，2月27日上午，在北京市朝阳区望京街道某社区，一位从韩国返京的外籍人士致电社区，称身体不适，并伴有呕吐症状。社区工作人员第一时间联系120，将其送往医院。后经医疗机构确认，并非新冠肺炎。该人士出院后，继续返回社区进行居家隔离。（中国新闻网）
z锦笑,【TED：也许这才是你抑郁和焦虑的原因】我40岁了，在我一生中，年复一年，严重的抑郁和焦虑症状在美英等国家不断浮现出来，横扫整个西方世界。我想要搞清楚为什么。为什么这开始发生在我们身上？为什么过去的每一年里，越来越多人发现更难以度过每一天？TEDNews的微博视频
西北信息报,:【我#转院去火神山医院陪外婆#
下城发布,:#防疫知识汇#【新冠肺炎患者的“心理康复处方”】患上新冠肺炎，除了接受治疗，还应该增强康复信念。北京大学第六医院临床心理中心副主任医师钱英表示，患者应重视四个方面：1.多关注积极信息，如医生成功治愈病人的经验、其他患者的康复历程等。2.听音乐帮助舒缓心情。3.免疫力是战胜病魔的关键，要吃好、睡好、保持好心情。4.多和家人、朋友等交流，告诉自己“我不是一个人，很多人都在支持着我”。（视频制作：中国健康教育中心）（via生命时报）http://t.cn/A67CaGCv
金陵野百合,【#隔离病房老奶奶患者只吃剩饭#背后真相令护士小姐姐泪目】#警民同心#在武汉泰康同济医院医护人员为患者发放晚饭的时候，有一位老奶奶却拒绝了晚饭，医护人员问她为什么不吃饭，老奶奶说她有剩的饭，随后从抽屉里就拿出了剩饭。医护人员劝奶奶吃新饭，老奶奶的回答令人泪目，她说：“我们在这次来看病不花一分钱，虽说不掏钱，但这是国家的钱，你叫我把吃剩的倒了，我舍不得倒，我要给国家省点粮食。http://t.cn/A67ip072
hdjjdkndbhs,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
贤贤不爱吃咸_,:#老苏#当时就是因为看到了转发的老人的求助信息才关注了肺炎患者求助超话看到了武汉那么多同胞在与病魔斗争，看到了许多家庭被这场疫情拆散
大河财立方,:#豫论场#【治愈者的故事，请用心写下去】武汉一方舱医院病人“清零”、宣布“休舱”，网友们纷纷贺上“关门大吉”。今天，全国累计治愈出院病历已达47204例，数字的背后，大家都爱看那些治愈者的故事——98岁高龄的特殊患者，仅用11天转危为安。全国瞩目的“南阳奇迹”，述说着生命的坚韧，如同荒漠中的胡杨，枯木朽根之上也有嫩芽如初。http://t.cn/A67NADEY
鹤栖伴山,如果中国人在赛场内外都一直赢，谁会受不了？刘仰的微博视频
_Choc0late_,非武汉城市，其他疾病的收治能力，也下降了非常多，更别提武汉了。次生伤害造成的死亡人数，会超过新冠肺炎的死亡人数。这种说不出的痛苦，时刻发生在我们周边。
阜阳新闻网,:新增“清零”地市！安徽六安最后6名患者今日出院新增“清零”地市！安徽六安最后6名患者今日出院
