呆梨各种吹,巴萨铁三角又来了！
山哈佬,:#抗疫战争#【科学防控境外疫情输入青田县在三地机场派设服务组】据了解，目前青田约有华侨33万人，旅居欧洲居多。其中，在意大利近10万人，在西班牙约11万人。针对国外疫情，青田县已在华侨回国落地的3个主要机场——上海浦东国际机场、杭州萧山国际机场和温州机场安排专班人员，指导遇紧急情况必须回国的华侨安全返乡。#红色浙西南绿色新丽水#
X温如言-,:#韩国新冠肺炎升至5766人#韩国这上升速度也太快了吧，希望做好防护措施，让疫情得到有效控制吧
拥有Emily和Dora的好爸B,还记得上周有一位意大利歌手FrancescoFacchinetti帮助中国老人怒扇意大利种族歧视的年轻人吗？当他将此消息发送到社交媒体后，有很多人质疑他炒作，为了证明这位意大利正义的歌手是否是作秀博眼球，意大利一节目安排了一次观察测试，快来看看这位歌手是如何表现的把！BridgeSchool意桥语言中心的微博视频
骑鉿,截至三月五日零点，澳大利亚累计确诊COVID-19患者51人，除首都领地堪培拉以外全部6个周都已发现确诊病例。
原来是雨加糖呀zzt,#美疾控中心停止公布各州确诊数#为什么不公布，自欺欺人吗？#意大利确诊病例升至3089例#做好防护措施，一定要带口罩
文博微摘,意大利疫情爆发的如此迅猛，想必也与有这样的议员有关吧？竟然要关闭博物馆、剧院、学校，完全影响到哥看戏了，这完全是暴力行为，只要禁止中国人进入就足够了
龙二妮,:#浙江输入病例曾途经巴黎广州杭州#一直生活在意大利，入境的时候海关应该能查出来的吧，为什么不强制隔离，允许她们从广州转机到杭州？
许晋嘉Steven,:中国新冠疫情从湖北武汉发生欧洲新冠疫情从意大利蔓延两地都是枢纽地带，辐射范围大太巧合？
去污小可爱,#中国境外新冠肺炎确诊12668例#曾经以为只会在国内，没想到现在全球了
宋元艺术12018,:4日，法国电视台播出一则“恶搞广告”：一名厨师取比萨时，因剧烈咳嗽将一坨痰状黏稠液吐在比萨上，并说“为您呈现意大利新款比萨，它将在全球风靡。”镜头拉近拍摄比萨上的浓痰，并以意大利国旗绿白红三色配上“新冠比萨”字样，引起意大利全国上下的抗议！
落叶falling,是我想太多。。你总这样说。。
袋鼠国的泰勒蜀黍,:据TheGuardian讯，澳大利亚总理莫里森于3月5日宣布：澳大利亚对中国大陆和伊朗的旅行禁令被再度延长；同时，澳大利亚正式对韩国实施旅行禁令；澳大利亚会对所有来自意大利的旅客在机场实施强制检查措施；#袋鼠国的泰勒蜀黍[超话]##澳大利亚留学##澳大利亚##澳洲留学##澳洲##留学##出国留学##澳洲政府将延长14日中国来澳入境禁令##澳洲禁止中国留学生入境##澳洲对韩国实施旅行禁令#
封面新闻,:【#意大利确诊病例升至3089例#死亡病例上升至107人】据路透社消息，当地时间3月4日，意大利官方表示，意大利新型冠状病毒肺炎确诊病例由2502例上升到3089例，死亡病例上升至107人。意大利政府计划在全国范围内禁止进行公共活动，并关闭电影院及剧院。封面新闻视频的秒拍视频
旅游攻略妃,:阳光下的童话小镇，意大利那不勒斯。
微博澳大利亚,:【#澳洲对中国旅行禁令延长到3月14日#！韩国加入旅行禁令名单
想说时说,:伊朗意大利累计确诊超6000例，美国3州宣布进入应对疫情紧急状态伊朗意大利累计确诊超6000例，美国3州宣布进入应对疫情紧急状态
北京东城,:#共同战疫#【从韩国、意大利、伊朗、日本等疫情严重国家抵京者，中外人士均须隔离】3月3日下午，北京市政府新闻办组织召开北京市新冠肺炎疫情防控工作第三十九次新闻发布会。会上，市政府副秘书长陈蓓介绍了关于加强疫情防控期间北京口岸入境管理工作的有关情况。#本市动态#
我是维小尼哟哟哟,【#浙江输入病例曾途经巴黎广州杭州#】4日，浙江省湖州市公布2例新增意大利输入病例情况。2例病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班），2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清县，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。http://t.cn/A67T2t04
光着脚丫晒月光2016,【#浙江输入病例曾途经巴黎广州杭州#】4日，浙江省湖州市公布2例新增意大利输入病例情况。2例病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班），2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清县，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。（人民日报）http://t.cn/A67T2t04
hwangchingyee,:昨天我让我爸螺蛳粉第一次买了通心粉我快被气死了今天他又告诉我他买了螺蛳粉结果是螺旋状的意大利面好气又好笑再一次被气死虽然我知道他真的出于好心……
糊二岁,趁自己还年轻多去几次属于自己的旅行.💎
小怪出现啦,:#意大利确诊病例升至3089例#这发展的也太迅速了吧记得前两天还是800多啊赶快出应对措施呀#意大利决定关闭全国学校及大学#学校是很多人聚集的地方确实得暂时关了
芒果柚子和青提,【#浙江2境外输入病例曾途经巴黎广州杭州#】新增2例境外输入病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班）、2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。
教授老头-TX,:意大利有点严重?👉🏻【浙江公布2例意大利输入病例路径：途经巴黎广州杭州】2020年3月4日0-24时，浙江省湖州市新增新型冠状病毒肺炎确诊病例2例。http://t.cn/A67TOr5r
每日经济新闻,:【#法媒新冠披萨恶搞广告惹恼意大利#】据法新社4日报道，法国电视台“Canal+”一档讽刺类节目播出一则“恶搞广告”：一名厨师取披萨时，因剧烈咳嗽将一坨痰状黏稠液吐在披萨上，广告语则称：“为您呈现意大利新款披萨，它将在全球风靡。”镜头拉近拍摄比萨上的浓痰，并以意大利国旗绿白红三色配上“新冠披萨”字样。3日，意大利多名政要发声斥责。外交部长迪马约表态：“拿意大利的疫情紧急状态取乐，这是对我国完全丧失尊重的做法。”（《环球时报》三缺二视频组）@这视频http://t.cn/A67TXBEA
江湖人称张女侠i,:#浙江输入病例曾途经巴黎广州杭州#一直生活意大利，怕死回来了。咋滴中国治病不花钱呗？建议自费！再采取法律措施制裁！中国人民辛辛苦苦这么多天！！！！这可不是仅几个所经城市的问题。有些人觉得浙江没说啥。别人没资格说！我想问问是不是全国都在等清0。乱跑回来还清啥零了。还能出门了吗？
北川森-無,宁愿给美国大亨当情妇、倒贴法国残疾男的，也不愿意嫁给中国男孩…
