走马观花998,#外国人永久居留管理条例#杨宜勇你是想引进黑人传播爱兹病？
激情燃烧2020,【#伊朗民众涌入寺庙舔圣墙#：希望接收病毒以保护别人】在伊朗，部分民众在网上分享舔舐和亲吻圣墙的画面和视频，以表明他们并不害怕该国日益严重的冠状病毒疫情。舔舐墙壁的民众称，希望墙壁上的病毒进入自己体内，这样就可以保证之后舔墙的人是安全的，画面中甚至有孩子舔舐墙壁。据外媒报道，截至3月2日中午，伊朗共确诊新冠肺炎病例1501例，其中291例康复，66例死亡。@沸点国际http://t.cn/A679gxXv
Nightglow夜气辉,2.5发出一句“你好”2.28说不出一句“再见”
干净么食安,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
财经网,:【湖北减灾办：#湖北3月极端天气增多#，#严防极端天气导致疫情回头#】近日，湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形式分析报告》，经过省应急管理厅、省减灾委员会办公室会同省水利厅、省交通厅等部门专事会商，综合判断，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。进入仲春时节，各种病毒和有害细菌也会更加活跃，这对全省业已紧绷的防疫工作和超负荷运转的医疗体系带来挑战。一方面，高温高湿环境有可能加大病毒和细菌的滋生和传播。今年3月，较常年全省气温偏高1～2℃、降水量偏多1～3成，且降水多以阵雨的形式集中出现，气温偏暧、湿气偏重的环境不利于抑制病毒和细菌。另一方面，冷暖不定的气象条件极易诱发各类春季流行疾病。预计3月主要冷空气及降水过程集中在7～8日、14～15日、17～18日、20～22日、25～26日五个阶段，其中，17～18日、25～26日会伴有短时大风，中下旬中可能出现“倒春寒”。在忽冷忽热、大风大雨的天气条件下，人们更易感冒发烧，极易诱发各类春季流行疾病。有关部门提供，湖北省各地特别是武汉及周边地区务必抓细抓实抓早各项防范措施，严防疫情回头和其它春季流行病的发生。一要指导社会公众做好防潮保暖的工作，利用晴好天气加强室内通风，阻断各类流行疾病诱发因素；二要强化消毒隔离工作；三要加大物资储备力度，尤其是消毒消炎物资及预防各类流感等春季易发病药材配给量，早防早治其它流行性疾病；四是做好医护人员的防护，特别是援鄂医护人员着衣调配，防止出现医护人员感染或生病的情况。@人民日报
环球网,:【湖北减灾办：#湖北3月极端天气增多##严防极端天气导致疫情回头#】近日，湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形式分析报告》，经过省应急管理厅、省减灾委员会办公室会同省水利厅、省交通厅等部门专事会商，综合判断，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。进入仲春时节，各种病毒和有害细菌也会更加活跃，这对全省业已紧绷的防疫工作和超负荷运转的医疗体系带来挑战。一方面，高温高湿环境有可能加大病毒和细菌的滋生和传播。今年3月，较常年全省气温偏高1～2℃、降水量偏多1～3成，且降水多以阵雨的形式集中出现，气温偏暧、湿气偏重的环境不利于抑制病毒和细菌。另一方面，冷暖不定的气象条件极易诱发各类春季流行疾病。预计3月主要冷空气及降水过程集中在7～8日、14～15日、17～18日、20～22日、25～26日五个阶段，其中，17～18日、25～26日会伴有短时大风，中下旬中可能出现“倒春寒”。在忽冷忽热、大风大雨的天气条件下，人们更易感冒发烧，极易诱发各类春季流行疾病。有关部门提供，湖北省各地特别是武汉及周边地区务必抓细抓实抓早各项防范措施，严防疫情回头和其它春季流行病的发生。一要指导社会公众做好防潮保暖的工作，利用晴好天气加强室内通风，阻断各类流行疾病诱发因素；二要强化消毒隔离工作；三要加大物资储备力度，尤其是消毒消炎物资及预防各类流感等春季易发病药材配给量，早防早治其它流行性疾病；四是做好医护人员的防护，特别是援鄂医护人员着衣调配，防止出现医护人员感染或生病的情况。（人民日报）
下一个十年_2020,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
城规田宝江,:转：钟南山院士团队：如果早五天防控，最终感染人数将减少三分之二。近日钟南山院士团队在JournalofThoracicDisease(JTD)发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。如果早五天防控，最终感染人数将减少三分之二。
加拿大乐活网,:【快讯！美媒：#中国境外新冠肺炎确诊病例超万例#】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。
义承办震,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入同传染病战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。（总台记者唐鑫）
Sivantonge,分享几例本地消息。昨天附近小区有个老人受不了禁足，要求出门买菜，被工作人员阻拦，于是辱骂了工作人员并返回家中，工作人员气不过报警，最终警察跑到家里把老人抓走了。本人在家躺床上耳闻了事发过程，其他细节由目睹全程的小区居民补充。昨天有个小区的年轻人，据传患有精神疾病，因不堪忍受禁足，跳楼自杀，没断气，被救护车拉走了。有网传视频为证。之前有个老人，作为密切接触人士被隔离，因儿女不能探视，老人误以为是儿女不孝，又担心自己染病，最终上吊自杀而亡。有其同社区的我爹老哥们说法为证。
深圳嘉权知识产权,:#商标注册#【抢注李文亮商标申请被驳回】2月27日，个别商家将因接诊而感染新冠肺炎、不幸去世的湖北省武汉市中心医院眼科医生李文亮的姓名申请注册商标的消息经媒体报道后，在社会上掀起轩然大波。当晚20时，国家知识产权局商标局在官方网站发布《商标局严厉打击与疫情相关的恶意商标注册申请行为》一文，明确指出，李文亮商标注册申请依法应予驳回。（via：新浪网）http://t.cn/A67NAR0S
