肥鱼鳞,:#日本福岛核禁区解禁#快去住快去住，核辐射能抗击新冠病毒，不信你们去试试
唐山公安网络发言人,:【广州一女子#潜入新冠隔离病房偷走确诊患者手机#警方：已进行核酸检测为阴性】#抗击疫情公安在行动#广州市第八人民医院4日通报：3月2日晚，一女子潜入该院隔离病区，偷走新冠肺炎患者手机1部。3日，22岁的嫌疑女子杨某被警方抓获，经调查其有多起盗窃前科。目前，杨某的核酸检测结果为阴性，因被判定为新冠肺炎密切接触者，正在医院隔离留观，暂未发现其离开医院后与他人近距离接触的情况。#蚊子会不会传播新冠病毒#http://t.cn/A67W5YhD
西门町吃在宁波,:#甬抗肺炎#中国科研团队最新发现:新冠病毒已突变，一新变种传染力更强（NBTV新闻中心）#抗击新型肺炎第一线#
书法白阿木,:#坚决反对称新冠病毒是中国病毒#坚决反对，都说了疫情是全球现象。面对疫情先遏制继续蔓延，需要团结众志成城抗击疫情，而不是没有任何依据退给别人，最可怕的是人心。
用户在新乡,我发表了头条文章:《社长抗击新冠病毒期间带头不戴口罩天天聚众赌博》社长抗击新冠病毒期间带头不戴口罩天天聚众赌博
新西兰驻华大使馆,:#抗击新冠肺炎我们在行动#新西兰正与南太平洋地区国家合作，为其准备应对新型冠状病毒肺炎(COVID-19)疫情的全球威胁提供支持。新西兰副总理兼外交部长温斯顿·彼得斯在今天发表的声明中说道：“目前(南)太平洋地区尚无新冠肺炎确诊病例，但至关重要的是，新西兰正在与我们的邻国合作，以努力确保该地区的安全，尽可能地做好应对准备。”应太平洋地区岛国的援助请求，新西兰与澳大利亚合作，出资支持@世界卫生组织的太平洋地区应对新冠肺炎疫情行动计划(PacificActionPlanforCOVID-19)。新西兰为世卫组织在斐济的新冠肺炎疫情准备与应对行动提供了100万新元资助。新西兰政府还与新西兰环境科学研究院(ESR)签署了合约，以使南太平洋国家可以将其有可能出现的新冠肺炎病例样本送到ESR的新西兰实验室进行免费检测。支持同新西兰保持自由联系的三个国家是新西兰防备疫情的另一重点。彼得斯阁下表示：“新西兰与世界卫生组织合作，已向库克群岛派遣工作组支持其抗疫准备，并将从下周起向托克劳和纽埃派遣联合工作组。”#共同战疫#
中国人权网,:#抗击新型肺炎我们在行动##中国科研团队发现新冠病毒已突变#武汉方舱医院医护人员和患者跳起欢快的兔子舞，提前庆祝最后一名患者顺利出院，关“舱”大吉！👏👏👏中国人权网的微博视频
ACR陈舟医生,:新冠病毒终于有世界西医的参与，感觉能靠谱和严谨一点了[捂脸]#抗击新型肺炎我们在行动#
老闲于,新闻：我们已经宣布提供3700万美元帮助抗击新型冠状病毒COVID-19。这笔资金将帮助强化实验室，改善疾病监测与响应，支持就风险进行沟通等等。http://t.cn/A67loXO0
法明光,《新冠状病毒的最前瞻、对应方法与解救之道》，这是我和同学们的某些对话，发给大家参考，希望能有所启发。
慕容帆帆muse,:勃拉姆斯匈牙利舞曲第一号指挥（防新冠病毒正确洗手方法）#抗击新型肺炎我们在行动#这手洗的真好#武汉加油#慕容帆帆muse的微博视频
全国高校志愿服务联盟,:#全国高校志愿服务动态##抗击疫情高校在行动#【高校学子原创抗疫歌曲《樱花》为人们送上祝福
河北交通职业技术学院,:#新型冠状病毒##抗击疫情希望同行#中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。对不同亚型的深入了解，将有助于新冠肺炎的差异化的治疗和防控。#抗击新型肺炎第一线#http://t.cn/RxEvdat
武汉同城,:#万众一心抗击新冠肺炎#【#蚊子会不会传播新冠病毒#？】上海中医药大学附属曙光医院主任医师崔松：目前，还没有证据表明新型冠状病毒会通过蚊子的叮咬传播。但是现在春季来了，气温逐渐升高，灭蚊倒是正当时，希望大家做好清洁卫生工作。“蚊子传播新型冠状病毒”的说法莫须有，但做好防蚊灭蚊、个人防护工作必须有。
武汉新闻广播,:【#蚊子会不会传播新冠病毒#？】#抗击疫情此时此刻#上海中医药大学附属曙光医院主任医师崔松：目前，还没有证据表明新型冠状病毒会通过蚊子的叮咬传播。但是现在春季来了，气温逐渐升高，灭蚊倒是正当时，希望大家做好清洁卫生工作。“蚊子传播新型冠状病毒”的说法莫须有，但做好防蚊灭蚊、个人防护工作必须有。（央视新闻）
