青梅Zl,我们的同事：逝者刘章西:新闻老兵创中国名专栏🙏🙏🙏
清新福建,:累计下达41.45亿！福建财政保医疗救治、疫情防控“两不误”累计下达41.45亿！福建财政保医疗救治、疫情防控“两不误”
医药卫生报,:疫情期间保障医务人员人身安全维护良好医疗救治秩序　本报讯（记者刘岩通讯员齐惜）“个别地方发生的扰乱医疗秩序、暴力伤害医务人员、干扰疫情防治工作时有发生，现在正处于疫情抗击阶段，医务人员的人身安全问题至关重要，保障医务人员人身安全、维护良好医疗救治秩序、确保疫情防控工作顺利开展，是当前我们公安机关一项非常重要的任务。”三门峡市陕州区公安局特巡警大队大队长王建秀说道！　　3月3日，陕州区公安局特巡警大队大队长王建秀、教导员陈海鹏等一行4人带着区公安机关党委对医护人员的关心、关爱来到三门峡市第三人民医院，实地察看了医院警务室，王建秀说：一定会全力做好定点医院医护人员的后勤保障工作，全面派驻警力，加强治安防范，剔除一切安全隐患。　　三门峡市第三人民医院负责人表示：感谢特巡警大队对医护人员的关心和慰问，特巡警“停靠式”巡逻机制，不仅增强了医护人员和群众的安全感，也对盗抢及伤医的犯罪分子起到了震慑作用！
火速头条,:#火速头条#【湖北卫健委：#钟南山李兰娟等10个院士团队齐聚湖北#】3月3日下午四点，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会，湖北省卫生健康委员会副主任涂远超在会上介绍，钟南山、李兰娟、王辰、张伯礼、乔杰等10位业内院士及其团队齐聚湖北，参与救治工作。http://t.cn/A67NRDXx
新闻夜航,:【好消息！哈尔滨市传染病院第13批5名确诊新冠肺炎患者治愈出院】今天哈尔滨市传染病院继续传来喜讯：第13批5名确诊新冠肺炎患者治愈出院。看到越来越多的患者康复出院，医务工作者的内心充满了成就感和喜悦感。这批5名确诊新冠肺炎患者，年龄分别为8岁、56岁、63岁、65岁、73岁，皆为新冠肺炎普通型病例。在医院的精心救治和护理下，体温恢复正常三天以上、呼吸道症状明显好转、肺部影像学显示炎症明显吸收、连续三次呼吸道病原的核酸检测阴性。经省专家组评估，达到治愈出院标准，于今日出院。其中陈XX，男，73岁，既往高血压病史多年，半年前脑梗，左侧肢体瘫痪，有确诊病例接触史，2月1日出现发热，体温38.2℃，2月8日由120转送至市传染病院，以“新型冠状病毒肺炎疑似病例”收入院。2月9日核酸检测阳性，确诊为“新型冠状病毒肺炎”。国家在抗疫，医护人员在抗疫，各个战线都在抗疫，但最关键的抗疫者，还是我们自己。请广大市民切不可麻痹大意，不扎堆人群，待病毒消散之际，再看遍大好河山！#钟南山李兰娟等10个院士团队齐聚湖北##美国又有4人死于新冠肺炎#http://t.cn/R2WxClD
玄中宏,#美国疫情#平日特朗普找国会要一分钱都很难，这次应对新冠疫情，国会嫌特朗普25亿美元要太少了，现在基本上达成一致，决定拨款超过70亿美元，议案可能本周通过。美国食品药物监督局FDA今天表示，一周内将把新冠试剂盒增加到100万，大幅增加可以检测的人数。截至29号CDC更新的数字显示，美国接受新冠测试的人为472。
你要給我要的幸福,:《一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫》一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫
都市条形码,:#战“疫”最前线#【透过防护服也能认出你，#火神山的大眼睛医生#】火神山医院感染二科一病区主任董宇超，被患者亲切称为“大眼睛医生”。在他的“紧盯”下，不少患者病情明显好转。在抗“疫”一线，他带领50名医护全力救治80多例患者，无一人转向危重症或病亡。在患者出院证明上郑重签下名字，他说，这就是最好的回报。http://t.cn/A67NfthA
东风pk西风,#蓝色生命线##白血病哥哥求放弃治疗#【白血病哥哥向母亲下跪求放弃治疗妹妹饿哭视频令人心碎】近期，一名女孩哇哇大哭的视频让人心碎。视频中女孩穿着肥大的白色背心，一双破旧的鞋子，站在脏乱的环境中，手里拿着半块啃过的馒头，视频中还有一名年纪稍大的男孩疑似下跪的画面。记者辗转联系上了视频的发布者得知，两人是兄妹。妹妹3岁，名叫琳琳；哥哥叫乐乐，今年7岁，他们一家来自浙江台州。乐乐患有白血病，正在北京一家医院治疗。全家为了给乐乐凑医药费，省吃俭用。因为馒头太硬啃不动，肚子又太饿，琳琳哭着要吃饭。通过视频发布者，记者在北京见到了刚刚做完骨髓移植的乐乐以及他的父亲林增、母亲林玲，妹妹琳琳跟随奶奶毛女士在江苏农村打工。http://t.cn/A6vmhBSh
平安井庄,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
林彦俊的小富贵,:湖北省省长王晓东：确保救治红区力保抗疫一线http://t.cn/A67NjBtv
