永州同城,:#永州身边事#【大爱
兜兜在日本,:【参加大阪LiveHouse的全员成为病毒检查对象】由于多名新型冠状病毒感染者到访位于大阪市的同一LiveHouse，大阪府知事吉村在记者会上宣布，上月15日、16日参加演唱会的所有人都将作为病毒检查对象。知事呼吁所有参加演唱会的人，与保健所的谘询中心联络。
连淮徐盐,:【胜者联盟】武汉爆发新型冠状病毒以来，各种牛鬼蛇神纷纷跳了出来，谣言四起，其中就有谣言称此次的新型冠状病毒就是美国发动的一场生物基因战，而在近日，日本朝日电视台发布的一则新闻，似乎就成为了这谣言最好的佐证。日前，日本朝日电视台提到了，美国疾控中心怀疑美国这次的14000的流感死亡人数，其中一部分是死于新型冠状病毒，并提到了之前的检查机制有漏洞，应该对有新型冠状肺炎患者症状的病人再重新进行检查才行。这个“新闻”从日本发布之后，迅速就在中文媒体流传开来，而因为该新闻的流传，再加上之前权威媒体报道过，新型冠状病毒是一种输入型病毒，只可能进行被输入感染，这次美国出现了大规模的感染者，似乎说明了美国原本就是有着该病毒存在的。再加上之前一些无良自媒体为了追求利益，编造了“这次新型冠状肺炎是美国的基因战”的谣言，而现在日本朝日电视台的这次报道就成了“美国投毒”最好的佐证，这也导致了一时之间，一些人难以分辨真假，也开始相信这一极度不靠谱的谣言。当然了，谣言始终是谣言，它始终是假的，包括腾讯在内的多家媒体就对于这一新闻进行了辟谣。首先是朝日电视台的这次报道，它们最早的原始信息是美国疾控中心的那次媒体电话报告会，但是实际上当时的疾控中心主任南希.梅索尼耶做为当时的主讲人，在这次报道里提到了美国对于新型冠状病毒的认识和一些防疫策略，而对于14000，也只是提到了美国本季度估计将有至少14000之多的流感死亡人数。根本没有提到过这14000的死亡人数跟新型冠状病毒有半毛钱的关系。在这次的报道会中，CDC更多的还是介绍了流感的威胁，朝日电视台的这次报道其实本身就是媒体的不负责任，那个报道就是朝日电视台为了谋取利益所编造的一个谣言。为啥作为日本的电视媒体，却会如此不负责任的散布谣言呢？其实这个朝日电视台本身就是一个日本的一个私营电视台罢了，其实这个电视台与我国那些自媒体没有太大的区别，而这次的报道就是朝日电视台为了利益的假新闻罢了！
崖伯博,:《世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍》据日本共同社报道，世界卫生组织总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。http://t.cn/A67l9RJx
皇马新闻,:西班牙的新冠疫情确诊人数，已经更新到179人，其中马德里确诊人数70人！其中一名马德里的4岁小孩，确诊为无症状新冠肺炎感染者，他的家人此前有出国旅游史，病毒检测皆为阳性，都是新冠肺炎确诊病例。这名小孩的学校，距离伯纳乌球场大概不到1公里的距离。
最新疫情地图更新,:哈什·瓦尔丹3月4日表示，迄今为止，印度已经报告了28例新冠肺炎确诊病例。
全球新闻发布平台,:据日本共同社报道，世界卫生组织(WHO)总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。在过去24小时内的新增确诊病例中，中国约有120人，而世界各地共计约为1800人，约为中国的15倍，除中国以外，世界各地感染者增加的趋势显著。
酷酷1105,:《世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍》据日本共同社报道，世界卫生组织总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。http://t.cn/A67la2pl
社会与法频道阎肃,:【世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍】#全球共战疫情##新型冠状病毒##世卫组织#据日本共同社报道，世界卫生组织(WHO)总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。在过去24小时内的新增确诊病例中，中国约有120人，而世界各地共计约为1800人，约为中国的15倍，除中国以外，世界各地感染者增加的趋势显著。《今日日本》报道称，疫情在世界的迅速蔓延与中国的乐观形势形成了鲜明对比。在中国，数千名康复病人正在回家的路上，新感染病例的数量已经降至数周以来的最低水平。在记者招待会上谭德塞称，中国以外的新增病例，八成出现在韩国、意大利、伊朗这3个国家。出现确诊病例的国家和地区数量也比前一天增加了12个。死亡人数累计3110人。谭德塞说：“我们担心，由于不断增长的需求、囤积和滥用，会导致全球个人防护装备供应严重中断，各国的应对能力正在受到损害。”“如果不保护我们的卫生工作者，我们就无法阻止新冠病毒。”谭德塞指出，目前为止能够判明的事是：新型冠状病毒“并没有流行性感冒的感染效率高”。流感多为通过无症状的感染者进行扩散，但新冠病毒无症状感染者只占比1%，且这些无症状感染者多数也会在确诊2天之内出现症状。来源于环球时报
芝麻大叔KK,:《世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍》据日本共同社报道，世界卫生组织总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。http://t.cn/A67lwfnV
联通韩福秀,:#东京奥运圣火传递拟采取克制助威等措施##日本#据共同社3月4日报道，东京奥运会日本国内圣火传递将于3月26日开始。3日，相关人士透露，为防止新型冠状病毒疫情，奥运组委制定了基本方针草案。报道称，各地区根据感染者出现状况等，或将采取庆祝圣火抵达的活动会场限制入场、呼吁克制沿途助威等措施。各都道府县和奥组委协商后，若进行上述限制，计划在各地圣火传递的至少1周前公布应对措施。对于跑者和工作人员将实施测温，将让身体状况不佳的跑者避免参加。奥组委将在以电视会议形式参加的4日国际奥委会（IOC）执委会上报告上述应对的基本方针。此外，奥组委等基本决定缩小12日参加希腊奥林匹亚圣火采集仪式的日本派遣团规模。而将于19日举行的雅典圣火交接仪式，原计划由140名日本中小学生进行文艺表演，也可能被探讨调整。
