Any-mua,xql小動作好多哦🥰
听音识乐,千呼万唤始出来，真的不容易！让大家久等了！舞剧《昭君》音乐（完整版）在网易云音乐正式独家上线！全部免费收听！！！！感谢出品方呼和浩特民族演艺集团的大力支持，感谢网易云平台！也感谢为此专辑成功上线付出努力的人们！更感谢长期以来支持我们剧的你们！http://t.cn/A67p2Jrm
很可爱的_他的小猫咪,:一天的闲暇时间都在拉黑营销号，推一个拉黑一个
胡同里的影子再长一点,:Day1⃣✅10h成就达成(上课时间应该也算8⃣)✅今日疑问之我为什么要对我最喜欢的一张照片下毒手
施勛道上,:为什么b站要上线东京大饭店，我真的没有时间追剧
干净么食安,武汉被打的蔬菜配送员李锋称，事发当天因为配送蔬菜较多，店内放不下，就把几个菜筐放在外边，但是随后城管以“影响市容市貌”为由与其发生冲突，“我问特殊时期不能理解一下吗？他们说理解不了”。（武汉街上空荡荡的也不知市容整给谁看？还TM啥子“屎容屎貌”，是要和猪比蠢吗？）#武汉被打配菜员发声#http://t.cn/A67NqDUi
黑龙江高速交警,:【高速上错过出口，这个害人又害己的动作绝对不能做！】返岗复工的车逐渐增多，在这里提醒所有驾驶人：在高速上万一错过出口，千万不要为了省时间图便利而采取急刹停车、随意变道、倒车逆行等操作，否则极易引发严重事故！而是要“将错就错”继续前行，及时变换到右侧车道并在下一个出口下高速！想要避免“错过出口”情况出现，要记住：①出发前提前规划行程和路线，途中应该在哪儿停车休息、应该在哪儿上下高速要做到心中有数！②途中要留意道路指示标志和导航语音提示，提前变换至合适的车道！
山东辟谣,:【爸爸去哪儿？8岁女儿画漫画告诉弟弟：#爸爸去打病毒了#！】2月2日，解放军第960医院重症医学科代理主任崔云亮随医疗队赴湖北武汉火神山医院支援，至今已经过去了1个多月的时间。思念之余，8岁的女儿用漫画告诉弟弟：爸爸去打病毒了，等到病毒被打败，爸爸就能回来了。戳视频看这个想念爸爸的小可爱吧>>http://t.cn/A67pA2Yd
钦州检察,:【经历过战争时代的老检察官，这一次战"疫"依然没有缺席……】"医护人员为抢救病人与时间赛跑，和我们当年上战场没什么两样，我们得为国家捐款！"今天，这个平凡却让人动容的故事主人公是原吉林省长春市检察院96岁的老检察官王春太，他以普通党员的身份捐款人民币三万元。戳视频听听他的故事↓http://t.cn/A67NLjr7
银川老干部局,#战胜新型冠状病毒#【宁夏继续推迟大中小学幼儿园2020年春季开学时间】根据党中央、国务院关于“全国大中小学、幼儿园等开学时间原则上继续推迟”的统一部署，经自治区应对新冠肺炎疫情工作指挥部同意，全区大中小学、幼儿园2020年春季按照教育部要求，疫情没有得到基本控制前不开学，学校基本防控条件不具备不开学，师生和校园公共卫生安全得不到切实保障不开学。具体开学日期视疫情防控情况另行通知。http://t.cn/A67oJVQo
成都网警巡查执法,:【两分钟筛查上百人体温实时报警“黑科技”头盔亮相成都】#都知道#2日，在成都市锦江区春熙路街头，头戴智能头盔的工作人员正为市民排查体温。据了解，该智能头盔可完成对前方5米范围内所有目标人员的扫描，若发现体温超过37.3摄氏度的发热人员，头盔立刻声光报警，上百人队伍可以在不到2分钟时间就完成发热人员筛查和记录。http://t.cn/A67p2uUb
体育最世界,:#C罗母亲中风被紧急送医#北京时间3月3日，据《镜报》等媒体报道，C罗母亲因中风被紧急送往医院。据悉，在当地时间周二早上5：00，C罗母亲住进了当地医院。根据知情人透露称，C罗母亲意识清醒，情况比较稳定。在未来几个小时之内，C罗母亲将会接受新的检查，以确定她的健康状况。希望多洛雷斯能够平安
黑龙江高速交警,:【高速上错过出口，这个害人又害己的动作绝对不能做！】返岗复工的车逐渐增多，在这里提醒所有驾驶人：在高速上万一错过出口，千万不要为了省时间图便利而采取急刹停车、随意变道、倒车逆行等操作，否则极易引发严重事故！而是要“将错就错”继续前行，及时变换到右侧车道并在下一个出口下高速！想要避免“错过出口”情况出现，要记住：①出发前提前规划行程和路线，途中应该在哪儿停车休息、应该在哪儿上下高速要做到心中有数！②途中要留意道路指示标志和导航语音提示，提前变换至合适的车道！
山东辟谣,:【爸爸去哪儿？8岁女儿画漫画告诉弟弟：#爸爸去打病毒了#！】2月2日，解放军第960医院重症医学科代理主任崔云亮随医疗队赴湖北武汉火神山医院支援，至今已经过去了1个多月的时间。思念之余，8岁的女儿用漫画告诉弟弟：爸爸去打病毒了，等到病毒被打败，爸爸就能回来了。戳视频看这个想念爸爸的小可爱吧>>http://t.cn/A67pA2Yd
钦州检察,:【经历过战争时代的老检察官，这一次战"疫"依然没有缺席……】"医护人员为抢救病人与时间赛跑，和我们当年上战场没什么两样，我们得为国家捐款！"今天，这个平凡却让人动容的故事主人公是原吉林省长春市检察院96岁的老检察官王春太，他以普通党员的身份捐款人民币三万元。戳视频听听他的故事↓http://t.cn/A67NLjr7
银川老干部局,#战胜新型冠状病毒#【宁夏继续推迟大中小学幼儿园2020年春季开学时间】根据党中央、国务院关于“全国大中小学、幼儿园等开学时间原则上继续推迟”的统一部署，经自治区应对新冠肺炎疫情工作指挥部同意，全区大中小学、幼儿园2020年春季按照教育部要求，疫情没有得到基本控制前不开学，学校基本防控条件不具备不开学，师生和校园公共卫生安全得不到切实保障不开学。具体开学日期视疫情防控情况另行通知。http://t.cn/A67oJVQo
成都网警巡查执法,:【两分钟筛查上百人体温实时报警“黑科技”头盔亮相成都】#都知道#2日，在成都市锦江区春熙路街头，头戴智能头盔的工作人员正为市民排查体温。据了解，该智能头盔可完成对前方5米范围内所有目标人员的扫描，若发现体温超过37.3摄氏度的发热人员，头盔立刻声光报警，上百人队伍可以在不到2分钟时间就完成发热人员筛查和记录。http://t.cn/A67p2uUb
用户5361800704,:『营养冷知识』身心健康是一体，记得时刻关注自己的细胞需要什么，因为我们自己才是和自己在一起最长时间的人。全面的营养不仅跟身体健康有关，综合一些调查研究显示，营养还和心理和性格的状态有关系哟～👇🏻✨缺乏维A容易不自觉地挑刺、产生嫉妒心理✨缺乏维B易怒易燥✨缺乏维C也会容易缺乏耐心✨缺乏维E则容易没有信心爱自己的你get到了吗？#河北张家口葆婴吕计霞##健康科普汇#http://t.cn/R2WxabV
东方晓师爷,:【关键时刻挺身而出，大批运20蜂拥而至火速驰援，军方举动令人振奋】据媒体报道，为了支援武汉对付疫情，中国军方的举动令人振奋，空军在关键时刻挺身而出，直接派出大批运20蜂拥而至火速驰援中部，短时间内运来了大批医疗物资和人员，使得无数国人振奋不已。#中国我要对你说##花开时节又逢君·祈福亲友##祖国我为您承诺##东方晓师爷#http://t.cn/A67C32Il
地场卫的神秘屋,:#白羊座运势##白羊座性格#白羊座本周（0302-0308）事业/学业运势：你在事业/学业方面倾向于保守的做法，本身很有可能需要你在某些状况中做出一个新的决定，而你在经过考虑之后会更倾向于不作出改变，维持原有的样子。尽管你知道你应该如何去达成你的目标，但害怕的情绪过大的束缚着你，你也很可能因此而白白的错失了一些好的机会。可能是面对某个机会的时候害怕失败而选择保守的做法；可能是在某个事项的发展上与他人无法达成一致的想法而被搁置；可能是整个人的思维较为消极，在做决定的时候迟疑不定。戒语：较为消极的能量，想好什么就果断点去做，不然可能会白白的浪费了时间。
枫唯宁,:如果可以
一手Video,:【男子#武汉转车遇封城滞留40天#：工作丢了，房贷车贷还要还
一粒沙白聊运营,:【日常生活中如何利用“沉没成本”的心理获益？】沉没成本是指那些已经发生且无法收回的支出，如已经付出的金钱、时间、精力等。人们在做某件事的时候，往往不止考虑做这件事的益处，还会去考虑之前在这件事上的投入。所以，沉没成本虽然发生在过去，但还是会导致很多非理性决策。那么换个角度，我们日常生活中如何利用沉没成本的心理给自己带来益处呢？比如当你在商场看中一件衣服，又觉得太贵时，最好的办法不是讨价还价，而是反复不停地挑选并试穿衣服，让老板几乎认定你已经打算买下这件衣服了，这时，如果你突然指出衣服的一个小缺陷，并要求折扣时，老板同意的概率会大大提升。一来，老板已经在你身上花费了大量时间，为了不损失已经付出的沉没成本，他会极大努力地促成这笔交易；二来，人们都有厌恶损失的心理，在你对衣服表现得很满意时，老板心理上认为已经获得了这笔收益，一旦损失，则会倍感痛苦，所以这也会促使他同意降价售出。
柚柚不可爱,发布了头条文章：《21世纪网络喷子学--杠精，喷子，带节奏的区别在哪？》21世纪网络喷子学--杠精，喷子，带节奏的区别在哪？
一手Video,:【男子#武汉转车遇封城滞留40天#：工作丢了，房贷车贷还要还
FashionLanding,:【Runway】#巴黎时装周#当地时间3月3日，Chanel举办2020/2021秋冬高级成衣系列大秀，超美丽的脱脱VittoriaCeretti现身走秀。
桃味犬,xql小動作好多哦🥰
漂亮男孩研究中心,:今天浪费时间了吗浪费了！明天绝对不看手机（因为明天下午要交片
扇子要开花儿,:这段时间来的关注好多顶着二改图的头像简介格式——主修xxxxxxxx微博不到十条大部分人一条都没有空的…主页的图基本都是降噪过度，朦胧魔鬼色调
江宁发布,:#健康科普汇#【远程居家办公怎么保护眼睛？专家：#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示：①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒。http://t.cn/A67CFqPQ
呼和浩特校园,:#科普·呼和浩特#【史上最强经济学视频！经济机器是怎样运行的？(双语字幕）】豆瓣9.6分！投资界乔布斯RayDalio：30分钟解释清楚经济机器是怎样运行的，看懂你就明白怎么赚钱了！厉害了！满满干货！时间较长，建议先马再看！看完脑洞大开，受益匪浅！via英国院校百科的微博视频
广西气象,:#晚安#一眨眼，就又到了跟大家说“晚安”的时间咯！睡觉之前，问一下大家：你喜欢伴着风雨声入睡，还是喜欢在无风无雨的静夜里入睡？。。最后，晚安，艾瑞巴蒂~
黑龙江高速交警,:【高速上错过出口，这个害人又害己的动作绝对不能做！】返岗复工的车逐渐增多，在这里提醒所有驾驶人：在高速上万一错过出口，千万不要为了省时间图便利而采取急刹停车、随意变道、倒车逆行等操作，否则极易引发严重事故！而是要“将错就错”继续前行，及时变换到右侧车道并在下一个出口下高速！想要避免“错过出口”情况出现，要记住：①出发前提前规划行程和路线，途中应该在哪儿停车休息、应该在哪儿上下高速要做到心中有数！②途中要留意道路指示标志和导航语音提示，提前变换至合适的车道！
黄馨Sophia,:疫情基间有时间来一场甜甜的恋爱吧！疫情过后就往民政局去
一只小梨子啊,:我在北京等你天天云时间朋友请听好甜蜜的任务安家谁都渴望遇见你刘老根3上古密约法证先锋4无心法师3
CICY_秃头春风吹又生,我辽要火🔥，下边介绍一下2月30日、2月31日的天气情况
