旎朔月华,:#中国女孩#换了个标题，终于能上热搜了，坚决反对这个外国人永久居住条例
我超冷漠_,:这标题
美橙荟,:【百度零位置排名，如何利用其快速获得精准流量？】1、标题设计2、正文结构3、内容专业；4、借助SEO优化工具，如千站推广等http://t.cn/Ai1LPjlk
1920sLINRUI,一两年前有一段时间自媒体们突然都在写Marina和Ulay的故事，说起他们的时候，总是提到Marina在2010年MoMA的一场表演，Ulay突然从人群中走来，坐下和Marina对视，一直面无表情的Marina朝他伸出手，终于流下了眼泪。一时间所有人都在感叹遗憾分开多年的恋人终于和解，为这样的感情感动掉泪。但很少有人告诉读者们后续，几年之后，因为作品版权纠纷Ulay起诉了Marina，最后对簿公堂，Ulay胜诉。今天，Ulay离世，Marina在社交媒体上悼念这位老友。在一起的12年的确是难忘的，当时的他们是恋人也是合作伙伴，两个人在一起迸发的灵感和激情让他们留下了热烈的、疯狂的、前卫大胆的作品们，令人惊叹也引起思考和争议，到现在都是经典，以至于大众很难把两个人分开，提到其中一位的时候，总能想到另一位。我挺喜欢的一个他们的共同作品是《Floating》，在澳大利亚拍的，没什么太大的意义，就是觉得好看。当时还有其他照片记录了他们的旅行，比如「Marina和Ulay的漂浮早餐」，比起其他表现他们强烈爱意和情感的作品，这让我感到平静。而且就是从那个时候开始，两人开始策划一次分别从长城两端出发，在中间相遇的旅行。其起源是当一轮巨大的满月从沙漠升起时，他们开车穿过内陆，谈论着这样一个事实：宇航员说在太空里可以看到的人类建筑只有长城和金字塔（其实看不到哈），他们又想到了一首关于长城的中国古诗，深感震撼，最后做下决定，要以这种浪漫的方式走过长城。没想到最后走完长城，两人拥抱，彻底分开了。许多人为他们的爱情伤怀感慨，但我不觉得可惜也不为谁难过，都年轻过，都歇斯底里过，感谢两个人创造的传奇，艺术家的爱和恨确实是创作源泉。最后有一点，除了爱好摄影，其实Ulay对“水”的兴趣也非常大，他还编写过《EarthWaterCatalogue》希望提升人们对水的认真和尊重。R.I.P🕯我会记住这样一位艺术家。
镇沅,:【文明创建】曲靖中院开展“大清扫、大消毒”志愿者活动原标题：【文明创建】曲靖中院开展“大清扫、大消毒”志愿者活动3月2日，曲靖市中级人民法院志愿者积极投入“大清扫.大消毒”爱国卫生运动中。活动中，志愿者深入清理办公区域、住宅区卫生死角、清运暴露垃圾【文明创建】曲靖中院开展“大清扫、大消毒”志愿者活动
镇沅,:海报|低风险≠零风险！别大意，还没到摘口罩的时候原标题：海报|低风险≠零风险！别大意，还没到摘口罩的时候目前，新冠肺炎疫情防控取得了阶段性成效。同时，根据各地疫情水平，各省以县域为单元将各个地区划分为低风险、中风险和高风险三个风险等级，分区分海报|低风险≠零风险！别大意，还没到摘口罩的时候
镇沅,:提倡文明新风！使用公勺公筷战“疫”从舌尖做起原标题：提倡文明新风！使用公勺公筷战“疫”从舌尖做起疫情当下，为有效防止病毒在餐桌上蔓延保护家人和朋友我们要坚决打好“舌尖上的防护战”让使用公勺公筷成为一种文明新风在这场“防护战”中我们提倡文明新风！使用公勺公筷战“疫”从舌尖做起
双流区妇女联合会,:#3月起明令禁止网络暴力人肉搜索#【我们在网上如何表现，网络世界就会如何呈现！拒绝乌烟瘴气，还网络气正风清！
梅涅劳斯的圆,#向往的美食#茶粉烤棉花糖，绿茶冰淇淋甜筒，绿茶巧克力冰淇淋球，绿茶蛋糕条，绿茶冰淇淋麻薯，可食用透明胶带，一切绿色健康食品吃播酱酱菌的微博视频
CY郝希纯医生,:#梅仲明医生感染新冠肺炎去世#很奇怪，媒体报道梅医生去世的消息，都是用李文亮医生的同事医生这样的标题，其实，梅医生，就是梅医生
Gabrielle200709,:我:标题:《xxxxx》老师:gqz你疯了吗，标题怎么里怎么可以有标点符号！我:没有啊老师:怎么没有，你看你这冒号书名号的，真是男人的嘴，骗人的鬼我:……老师我的意思是我的标题是书名号里面的内容。另外我是女孩子……我好累，我好难
林家栋--,:我记得我父亲给我买了一本很厚的书。故事的结尾是#恋母情结#一个小故事。这意味着它告诉我们真相。它和儿童的#小仙女bbw#故事书一样，但它只是一个#恋熟#纯粹的文本版本，故事和真理对成年人#长得胖却很漂亮的女生#有一定的含义。它的标题是小#恋肥癖#故事真理。爸爸喜欢#绅士超话#书中的真相。我也喜欢一遍又一遍地读。http://t.cn/A6hjgXGc
陈小五Clw,华为余承东其实没说过五年后小米要倒闭，是腾讯新闻当时标题党，但是潜在表达的意思就是未来五年大部分手机厂商要消失，仅剩三大手机厂商，那如果是算三星，苹果，华为三大还存在，那潜在意思就是小米，oppo，vivo都要消失，但是实际上这几家大厂都活的好好的，没有消失。当然这五年也消失了不少手机厂商，乐视，360，htc，黑莓，诺基亚基本上可以算消失了，没啥量了，锤子手机消失过一阵子又转卖了，魅族，金立，联想，酷派消失谈不上，但是也都也不如原来了，所以余承东的话也算对一半，不是乱说，只是在剩余厂商数量上太少了一些。全球还有很多手机厂商呢，不只三家。这些都不是我今天要说的重点，重点是腾讯新闻迷之操作，电脑端还是原来的标题党的新闻标题，手机端的改了，改成了，华为的对手是西方公司
十二949698,:【【就是无标题】】爱奇艺泡泡圈-卜凡@爱奇艺泡泡http://t.cn/AisnGr9G
我爱小荷holland,:有病？@小狼养成记我爱小荷holland的微博视频
阿庙庙,【官方紧急通知：#沙漠蝗有侵入中国的风险#】国家林业局日前发布关于切实做好2020年沙漠蝗相关防控工作的紧急通知，通知指出，经专家研判，如果气候条件适宜，此次发生的沙漠蝗存在从巴基斯坦和印度直接侵入西藏，或者经缅甸侵入云南，或者经哈萨克斯坦侵入新疆的风险。
施秉县公安局,:发布了头条文章：《【警方提醒】当家长群里又来了个“班主任”，小心有诈！标题评分》【警方提醒】当家长群里又来了个“班主任”，小心有诈！标题评分
丿在韵诗Miss,:这次暌违3年的新单曲。和标题一样透着神秘色彩，表达了今年迎来出道15周年的大无限乐团对未来的强烈意志，DoAsInfinity（大无限乐团）将于12月10日发行新单曲《MysteriousMagic》：新曲是人气动画「FAIRYTAIL」的OP曲、菡萏花间立并鸳、梧桐枝上栖双凤。完整版PV已经释出鹤壁·东街村
赛铭1020,【武汉城管殴打配菜员：3名城管被辞退1人被立案调查】#武汉城管殴打配菜员3人被辞退#3月2日，一则“城管队员殴打生鲜店配送员”的网传视频显示，多名身穿制服的城管人员和一名黄衣男子发生肢体冲突。3月3日，该视频发布者向南都记者表示，这名黄衣男子为武汉阿拉加鲜生店的员工，双方因开店经营问题产生冲突。3月3日9时，武汉市江汉区政府办公室通报称，江汉区汉兴街工委和纪工委对发生冲突的城管人员吕某某、蒋某某、李某某予以辞退，对负有管理责任的汉兴街公共管理科相关负责人予以立案调查。（南方都市报）http://t.cn/A67Kjv6G
CHENMENGFAN_,#欧豪[超话]#这个真的是温柔的帅哥罢了@欧豪#中国机长首映礼#B943号星球的微博视频
八音寞,各位网友：老爷子虽经全力救治仍于2月28日中午在光谷同济医院离世。
迷糊老杨Yoki,:yxh天天都起的一些什么破标题啊？！写的都什么破内容啊！SB一样，天天胡说八道，乱编八编一些有的没的！还有人天天吃的挺香！天天费那么多流量？？！Csb！
