用户6185715777如鹰,:霍阳任梅州市副市长霍阳任梅州市副市长
梅州日报,:【霍阳任梅州市副市长】#梅州新闻[超话]#今天上午，市七届人大常委会举行第三十五次会议，会议审议通过了一批人事任免名单，并举行宪法宣誓仪式。其中，任命霍阳同志为梅州市人民政府副市长（挂职），免去刘棕会同志的梅州市人民政府副市长职务。霍阳任梅州市副市长
梅州新闻联播,:【刚刚，梅州市人大常委会通过一批人事任免，霍阳任副市长】今日（5日）上午，梅州市第七届人大常委会第三十五次会议召开。会议决定任命霍阳同志为梅州市人民政府副市长。会议还通过一批人事任免。#梅州身边事#
梅州天气,:【中午天气预报】今天中午到明天早晨，全市阴天，局部有小雨，最低气温11到13度，最高气温19到20度，偏北风1到2级。梅州市气象台5日10时发布
梅州新闻联播,:【注意了！梅城新增8个路口交通监控设备，24小时抓拍】梅州市公安局梅县区分局交通警察大队交通技术监控设备运行公告(十一)为进一步强化道路交通安全管理，切实维护有序、安全、畅通的交通环境，预防道路交通事故，根据《中华人民共和国道路交通安全法》、《中华人民共和国道路交通安全法实施条例》、《广东省道路交通安全条例》、公安部《道路交通安全违法行为处理程序规定》等有关规定，决定自2020年4月1日起启用以下8组新建交通电子监控设备，对机动车“闯红灯”、违反禁令标志、禁止标线指示等交通违法行为实施全日24小时抓拍取证。现将新建交通监控设备地点公告如图。#梅州身边事#
梅州日报,:【梅州市中小学线上开课如何操作？操作指南来啦】#梅州新闻[超话]#梅州市中小学线上开课如何操作？这份操作指南可供参考
旅游梅州,:梅州市剑英图书馆牵手QQ阅读为您带来海量正版电子书梅州市剑英图书馆牵手QQ阅读为您带来海量正版电子书
鸭丫呐呐,:梅州市中小学线上开课如何操作？这份操作指南可供参考梅州市中小学线上开课如何操作？这份操作指南可供参考
梅州电台1058,:【早间天气预报】今天白天，全市阴天，有小到中雨，最高气温18到20度，偏北风1到2级。梅州市气象台5日6时发布
李荪_Listen聆,:【1】广东省梅州市梅江区城北镇玉西村李龙秀（城北中学郑xiangling；LVMeiLing般Beautiful的teachers.Fashional的student）【2】广东省梅州市松口镇丘春梅（有月亮的夜晚）
中国社会福利基金会,:2月29日至3月3日，广东省伙伴机构-英德市亮石志愿者协会联合梅州市关爱妇女儿童社会组织中心、清远市青桥社会工作、韶关市乐善义工会和广东救援辅助队、湛江市情暖湛江志愿者协会、江门市应急总队在清远、韶关、广州和英德、梅州、湛江江门开始疫情防控工作。英德市亮石志愿者协会向省内其他伙伴转运一次性口罩50000只，免洗洗手液50箱，用于支持英德、清远、湛江、梅州、韶关、广州、江门等城市一线防控工作；其间，各伙伴主要开展社区消杀、驻点排查、线上线下宣传和物资捐赠活动，在近6个社区、街道进行了防疫宣传和物资发放，对余个社区、单位、街道进行了防疫消杀、人员排查等工作；湛江市情暖湛江志愿者协会，持续开展慰问一线防控点防控人员的活动，组织志愿者早晚给一线防控人员送餐、梅州在西郊街道进行驻点防控，同时向西郊街道防控点和未成年人心理咨询捐赠免洗洗手液。
广东梅州民政,:自新冠肺炎疫情发生以来，梅州市儿童福利院全力保障孤残儿童和全院职工的生命安全和身体健康，齐心协力，共筑铜墙铁壁守护院内儿童。梅州市儿童福利院众志成城打赢防疫攻坚战
旅游梅州,:你们守护世界，我们守护你们！梅州社会各界用心用情关爱医务人员。疫情发生以来，梅州市出台了系列政策措施，用心用情关爱广大医务人员。医疗机构多措并举做好院感防控工作，最大限度减少新冠肺炎在医疗机构的传播风险，为患者和医务人员的安全铸就“铜墙铁壁”。社会各界也通过捐资捐物、慰问家属等实际行动，解决医务人员后顾之忧。http://t.cn/A67leSKR
梅州电台1058,:【注意了！梅城新增8个路口交通监控设备，24小时抓拍】梅州市公安局梅县区分局交通警察大队交通技术监控设备运行公告(十一)为进一步强化道路交通安全管理，切实维护有序、安全、畅通的交通环境，预防道路交通事故，根据《中华人民共和国道路交通安全法》、《中华人民共和国道路交通安全法实施条例》、《广东省道路交通安全条例》、公安部《道路交通安全违法行为处理程序规定》等有关规定，决定自2020年4月1日起启用以下8组新建交通电子监控设备，对机动车“闯红灯”、违反禁令标志、禁止标线指示等交通违法行为实施全日24小时抓拍取证。现将新建交通监控设备地点公告如下：
梅州日报,:【梅州造机器人征战“疫”线！一台机器人＝3个人“跑腿”工作量】#梅州新闻[超话]#“谢谢你们，‘礼物’已收到，即将进入一线征战。”日前，梅州市新的社会阶层联合会会长、飞翔云计算有限公司董事长刘榆厚收到了一条来自湖北武汉的短信。据介绍，短信中提到的“礼物”，是飞翔云计算有限公司向武汉金银潭医院捐赠的6台智能送物机器人。http://t.cn/A67lae1S
诚信粤商,:#诚信动态#【再创全国第一！梅州市银行率先全覆盖进驻国家“信易贷”平台】3月3日，经全国中小企业融资综合信用服务平台（全国信易贷平台）确认，梅州市符合进驻国家“信易贷”平台条件的15家银行已于3月3日全部进驻平台，已发布金融产品40个，目前梅州市企业已发布融资需求5.67亿元，成为全国首个实现“信易贷”全覆盖的市。http://t.cn/A67lIQ2n#诚信粤商#
梅州日报,:【点对点助企招工派专车送人到岗】#梅州新闻[超话]#3日上午，一辆载着30名梅江区三角镇务工人员的“爱心专车”从三角镇政府出发，前往梅州市稻丰实业有限公司、博敏电子股份有限公司、梅州市嘉荣超市等地，送新员工报到上班（如下图，钟伟才摄），为企业在疫情时期渡过难关送上“及时雨”。http://t.cn/A67lLxu3
梅州日报,:【兴宁宁江、渡田河水域进入禁渔期】#梅州新闻[超话]#日前，梅州市农业农村局发布梅州市2020年韩江、梅江禁渔期制度的通告。梅州市辖区韩江、梅江干支流水域均为禁渔范围，禁渔期时间为3月1日0时至6月30日24时，为期4个月。在此期间，除休闲渔业、娱乐性垂钓外，在禁渔水域范围禁止所有捕捞作业。宁江作为梅江流域面积最大的支流，也在此次禁渔范围内。此外，位于罗浮西北部的渡田河也将禁止所有捕捞作业。
旅游梅州,:梅州年龄最小患者出院了！累计出院13例。4日上午，我市最小的新冠肺炎患者3岁女孩在梅州市人民医院治愈出院。截至3月4日，全市累计治愈出院13例确诊患者。杨某某，女，3岁，常住于江西省南昌市，1月25日返梅，系我市确诊病例14、16的女儿。2月14日收治我院并确诊为新冠肺炎病例。经过我院医疗团队的精心救治，患者无发热、咳嗽、气促等症状，复查胸部CT提示肺部未见明确异常，连续两次（间隔24小时以上）复查咽拭子核酸检测均为阴性，符合国家卫健委新型冠状病毒肺炎确诊病例出院标准，予今日出院。
梅州时空网官方微博,:[加油]【梅州无新增！我省首例境外输入病例密切接触者的去向公布】#梅州#3月3日零时至24时，广东省0新增确诊病例。梅州市0新增确诊病例。3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会，省卫生健康委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。周紫霄表示，深圳首例境外输入性病例93名密切接触者中的69人纳入深圳市的管理，另外24人的去向也已查清楚。病例详情回顾3月1日，网传深圳报告1例境外输入新冠肺炎病例，现将有关情况说明如下：患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月27日，孙某由英国伦敦飞往香港（航班号CX250），28日13：27抵达香港机场，15:30渡轮（船次3A109）从香港至深圳蛇口码头，在码头入境时体温无异常。随后，孙某打车回家。返程期间，孙某全程佩戴口罩。回家后，孙某自述没有外出。2月29日上午10时，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果亦为阳性。目前孙某已被转到深圳市第三人民医院隔离治疗，病情稳定，疾控部门已对其住所等区域进行消杀。经过初步排查，截至3月1日，该病例的密切接触者共有93人，目前已有46人被集中隔离（家庭密接者4人、出租车司机1人、渡轮船员11人、渡轮乘客28人、海关密接者2人），他们均未出现异常情况。另有47名渡轮乘客（含港、台及外籍人士）正在排查中，其中22人在追查和转运至隔离点，对于离深的25人，深圳已发函请求异地协查。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。周紫霄介绍，广东省卫健委以及深圳市高度重视，省市联动立即组织开展流行病学调查和密切接触者追踪等工作。该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点并安排采样检测。截至3月3日19:30，69人核酸检测结果均为阴性。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。
梅州新闻联播,:【梅州年龄最小的患者出院！累计出院13例】今天上午，梅州市年龄最小的确诊病例，3岁的女孩从梅州市人民医院治愈出院了。梅州市累计报告确诊病例16例，出院13例。其中在梅州市人民医院治疗9例，出院8例，包括2例重症患者。杨某某，女，3岁，常住于江西省南昌市，1月25日返梅，系梅州市确诊病例14、16的女儿。2月14日收治梅州市人民医院并确诊为新冠肺炎病例。经过该院医疗团队的精心救治，患者无发热、咳嗽、气促等症状，复查胸部CT提示肺部未见明确异常，连续两次（间隔24小时以上）复查咽拭子核酸检测均为阴性，符合国家卫健委新型冠状病毒肺炎确诊病例出院标准，予今日出院。#梅州#
梅州电台1058,:【中午天气预报】今天中午到明天早晨，全市阴天，有小到中雨，最低气温11到14度，最高气温17到20度，偏北风2到3级。梅州市气象台4日10时发布
