中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
陆丰发布,:#陆丰要闻#汕尾市政协领导走访委员企业疫情防控和复工复产工作汕尾市政协领导走访委员企业疫情防控和复工复产工作
优雅四会,:【2020年3月4日，广东无新增确诊病例】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
清远日报,:#每日疫情#【3月4日，清远无新增新冠肺炎病例】我市3月4日无新增病例。截至3月4日24时，全市累计报告新冠肺炎确诊病例12例（男性6名，女性6名），年龄介于2-62岁之间，其中清城区6例、清新区1例、英德市1例、连山壮族瑶族自治县3例、阳山县1例。已全部出院，无死亡病例。有10名密切接触者正在接受医学观察。据广东省卫生健康委网站通报：截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，全省在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。清远市卫生健康局2020年3月5日
佛山市祖庙博物馆,:疫情通报|4日广东确诊0新增！新增出院30例，累计出院1159例！截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
汕尾天气,:【午间天气】预计今天下午到夜间，我市阴天偶有小雨，汕尾城区15到18度，海丰13到18，陆丰14到18度，陆河11到19度，偏东风3到4级，阵风5级，相对湿度70%到98%。汕尾市气象台3月5日中午发
汕尾生态环境,:【原创】省生态环境厅二级巡视员刘其汉到我市调研督导黄江河海丰西闸国考断面水质达标攻坚工作http://t.cn/A67T9OtD2月27至28日，省生态环境厅二级巡视员刘其汉率队到我市调研督导黄江河海丰西闸国考断面水质达标工作。在坚决防控疫情的同时，全力做到水污染防治攻坚工作不停滞、不拖延，实现疫情防控阻击战与污染防治攻坚战“双赢”局面。省生态环境厅气候与交流处处长洪建武等参加活动。市生态环境局局长郑伟中、海丰县委书记郑俊雄等陪同调研。刘其汉一行深入海丰县公平镇污水处理厂、城东镇后塘村支流水质一体化处理设施现场、海丰中闸以及海丰县第二污水处理厂实地察看，听取市生态环境局及海丰县政府有关黄江河海丰西闸国考断面水质达标攻坚工作情况汇报。刘其汉指出，汕尾市各级政府及有关部门在黄江河海丰西闸国考断面水质达标攻坚方面做了大量工作，2019年顺利如期达标，为全省水污染防治攻坚战作出了汕尾贡献。但2019年12月、2020年1月水质有所变差，今年要保持Ⅲ类水质目标形势依然严峻。刘其汉要求，汕尾市和海丰县两级政府要进一步强化决策机制、执行力度和监督措施，确保水质稳定达标。一是要加快生活污水处理设施和配套管网建设。要加快推进公平镇污水收集管网特别支管的建设，确保污水应收尽收。要加强公平镇生活污水厂的管理，确保充分发挥减排效益。要加快海丰县第二污水处理厂建设进度，争取尽早投入使用。同时加快黄江河流域农村污水处理设施建设，减少入河污染。二是要全力推进重点支流整治，特别是日兴河、下关村后路桥小支流等劣Ⅴ类支流。三是要解决海丰西闸断面PH值较高问题。以海丰西闸断面为中心点，加强水质监测，调查藻类影响范围，全面清理水体藻类植物，避免出现PH值过高。四是要加大对重点企业的动态监控，确保涉水重点排污企业全面达标排放，严厉打击偷排、漏排等违法行为。
汕尾天气,:【一周天气】预计未来一周，6-8日，多云为主，温暖有雾，气温逐日回升；9-10日，受冷空气影响，降温并伴有小到中雨；11-12日，阴天有小雨。具体预报：6日，阴天间多云，13-21℃；7-8日，多云，早晚有（轻）雾，16-25℃；9-10日，多云有小到中雨，13-22℃；展望11-12日，阴天有小雨。另外，6日我市沿海及海面风力维持6-8级东北阵风。汕尾市气象台3月5日发布
DV现场,:【4日广东新增确诊病例0例，新增出院30例】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
南方都市报,:【广东新增出院30例2例为危重型病例治愈出院】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。http://t.cn/A67TAZiy
新快报,:#同舟共济战疫情#【#广东确诊零新增#！新增出院30例，累计出院1159例！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。（广东卫健委）
