儒小艺,:瓜又来啦
济源网信,:#河南战疫我们在行动#【V视·时政+】省委书记王国生在周口、漯河看望重点项目建设者http://t.cn/A67TFMPH
第12年的创业老板,:关于企业复工有数据说规模企业复工达90%以上，又有说浙江要求企业用电量数据配合复工指标，还有说复工不复产，这是我拍的家门口一排店面真实复工情况，五、六十个店面除了药店、超市、蔬菜店以及房屋中介开张了，其它都还关着，这些个小店面月租都得8K+，记得有一做河南拉面的24小时从未关过门，吃过一两回，说实话味道不很喜欢，我的理解是房租这么贵，夜里可以做夜宵，美团小哥下班了自己也可以送，从老家出来就是为了挣钱，不这么真对不起这么高的房租。2020老百姓的日子真不好过啊。
小黑马6221975116,#河南防控新型肺炎疫情#【快讯！王国生到平顶山市检查重点项目建设和企业复工复产等工作】3月5日，省委书记王国生深入平顶山市企业车间和重点项目施工现场，检查疫情防控、复工复产和项目建设情况。（来源：大河网）#抗击疫情我们在一起#快讯！王国生到平顶山市检查重点项目建设和企业复工复产等工作
海潮海螺音,#河南防控新型肺炎疫情#阻击疫情，河南一直在行动！
杞县财政局,:#疫情防控开封在行动#杞县财政局驻守一品百合防控点的江卫锋同志为驻守小区进行全面消杀，维护小区群众身体健康和生命安全。@中国文明网@文明河南@文明开封
大河网,:【主动请缨深入一线值守甘肃小伙儿逆行800公里赶回工作地河南参与抗“疫”】春节以来，一场防疫阻击战在全国打响，举国上下齐心抗“疫”。3月5日，中国青年志愿者服务日，在河南新乡原阳县，24岁的芮建雄同往常一样忙碌在自己的工作岗位上。从甘肃庆阳老家逆行800公里赶回工作地河南原阳，主动请缨深入社区一线义务值守，身为河南省大学生志愿服务贫困县计划志愿者的他已经坚守岗位30多天。http://t.cn/A67Hvuqr
henan田建光,河南的一位农民小伙，表演完主持人傻眼了……#搞笑视频##搞笑#爆笑解忧菌的微博视频
济南市中法院,:#决胜执行难#122户村民“线上”领款@山东高法@济南中院@济南历下法院|来源：人民法院报|作者：黄宪伟张永平图为通过视频会议布置发放案款相关事宜。　　2月28日，疫情期间，河南省安阳县人民法院执行局通过“线上”服务，为122户村民发放了11万余元执行款。　　原告刘某、杨某等128户村民与被告郑某等合同纠纷一案，涉案金额12万余元。判决生效后，因被告未如期履行，128户村民向法院提出强制执行申请。今年1月上旬，该院组织8名干警到村民住所地，分别为他们办理了执行立案和委托手续。因涉及人员较多，执行期间干警分组行动，积极搜寻和调查被执行人可供执行的财产线索，最终通过网络查控，将128户村民占地款执行到位。　　新冠肺炎疫情来袭，导致案款不能面对面及时发放，申请执行人虽然没有催促，但该院非常重视此案，党组书记、院长景瑞红要求干警在做好防疫工作的同时，克服困难及时兑付；执行局局长也多次与村委会干部联系，协调128户村民的案款发放事宜，最终决定通过“线上”模式进行。该院将执行干警分为四个小组，每组负责30余户村民的案款发放，干警通过电话、微信视频等方式分别与村民进行沟通交流，先后拨打电话200余人次，视频连线总时长超过300分钟，经过3天的不懈努力，最终，将所有申请执行人身份和银行卡信息确认完毕。6户村民因信息不符推迟发放，其余122户村民执行款共计11万余元，按照标的数额通过网上银行分别转入了其银行卡中，受到了广大村民的好评。
河南大学附属中学微博,:在一起｜40000毫升血液启程！河南周口首次向武汉热血支援http://t.cn/A67WloAm
优雅静公主,:#豫见真善美[超话]##逆行者支持逆行者#【武汉消防和河南医护隔墙拉歌还送小零食致谢】湖北武汉，河南第二批援鄂医疗队所住酒店与消防救援站仅一墙之隔。2日晚，消防员拉起写有“逆行者支持逆行者”的横幅，为医护人员送去小零食致谢，双方戴着口罩隔着一道墙拉歌互动。http://t.cn/A67CZzkH
