鲜成都,多芬深层营润滋养沐浴露
负己多时,偷偷摸摸干嘛呢！文科班校花酱的微博视频
雨桑花媚,《一些超级温柔的座右铭句子。》
快乐因子出没,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
瞅瞅丑丑臭臭小姐,:奇迹男孩
想去苏黎世--,:下雨不开心热巧克力治愈一下
悟空是头猪,:#李跃华#宣称自己治愈上百例新冠患者，最后实际治疗15例，其中至少有6例经过治疗后还是被确诊入院治疗。他伪造，变造，买卖国家证件，甚至有网友爆料他无证行医，给人看新冠打针致人死亡，但是网上还是有大批的人为他喊冤造势，这就是谣言的危害，蛊惑人心，让人是非不分，最后劣币驱逐良币，大家都会受累。希望一定要严惩中医中的神棍和骗子，只有整顿了市场，人们才会对中医重拾信心！！！@人民日报@武汉发布
林三岁的妖怪,:有时候，一想真好。还好有小黄，还好小黄愿意让我粘着。真让人治愈
美森琉璃子,:小羊肖恩第二部多了个外星小可爱依旧那么治愈！
Nymphetelf,返工了吗！howareyoutoday！外国快手系列的微博视频
守护甜倩,#金钟大beautiful#
HZTV惠州电视台,:【惠州62名新冠肺炎确诊患者全部治愈出院】3月3日，2名新冠肺炎确诊患者（病例4，吴某某；病例57，阙某某）经包括中医的综合治疗，通过专家组评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准，于今日痊愈出院。为做好出院患者的健康管理，医疗单位还将对患者开展随访，跟踪后续身体情况。我市目前收治的62例新冠肺炎确诊病例已全部痊愈出院。来源：惠州市卫生健康局
Shui流年,#肖战#xz#向全世界安利肖战#愿少年能一直保持最初的那份赤诚之心，按照你喜欢的方式去生活，我们永远陪伴着你
Absolut_Ken_,:#治愈春天#江苏镇江·焦山夏季篇春夏秋冬的江南风光各不相同，不用只是在意“烟花三月下扬州”绿洲
人民网湖北频道,:【全国首创抗“疫”医护#表情包#正式上线了！】今天，华中科技大学附属协和医院代管的江汉方舱医院首创的#抗疫医护#表情包正式发布！表情包的整体形象为活力四射的抗击疫情医护人员形象，生动活泼、温暖无限、正能量满满！它是“治愈患者，挽救生命”的精神力量！发布抗击疫情医护表情包的设想，源于武汉江汉开发区方舱医院的院长张进祥，“方舱医院的医护工作者每天在舱内救治病友时，都都穿着厚厚的防护服、戴着密闭严实的口罩，生动形象的表情包则可以作为他们的化身。”@人民网@人民日报@头条新闻@人民微博
什物凶猛,:整理家务真的挺治愈的，今天拖了两遍地，擦了茶几，现在坐在这里看着这些成果很开心。
小居崽崽,【YH】！！！就很可爱啊！！！_绿绿茶的微博视频
豚豚钱多多,:福冈的超治愈的天气&凑凑活活的我日本·博多駅
立信2012,【惠迪吉24小时心理支持热线纪实｜我们才是蒙恩的人】#武汉加油#每日一善[超话]##微感动#几天前，澎湃新闻的记者采访了惠迪吉志愿者刘洋（曼兑）（http://t.cn/A67CzRyy）。刘洋曾经是东方卫视的主持人，现在是东方财经·浦东频道的新闻主播，是一位心理咨询师，也是24小时心理支持热线的咨询师，但是她经常说，“这辈子能成为惠迪吉的志愿者才是最值得骄傲的，因为在这里有机会面对无数个真实的生命，无论是留守的孩子，还是电话背后的求助者，都让我必须来到真实的世界迎向命运，我们（志愿者）才是那个蒙恩的人！”http://t.cn/A67CZAsz
合群琰琰,:天气晴宜收集快乐☀️#治愈不开心#
粤北森林的树,👒✨
垄上频道,:【过半！湖北累计治愈出院病例占确诊病例的53.8%，还有这些好消息！】截至3月2日24时，湖北累计治愈出院病例36167例，累计确诊病例67217例。累计治愈出院病例占累计确诊病例的53.8%，占比超过半数。此外，还有这些最新好消息你应该知道详情请戳→过半！湖北累计治愈出院病例占确诊病例的53.8%，还有这些好消息！
秃头老汉儿,超棒的宫崎骏动画作品轻音乐集锦
爱豆花的姑娘,:治愈失恋系列
韩城老陈,:『李跃华15例“治愈”患者情况如何？至少6例治疗后被确诊住院|患者|新冠肺炎_新浪新闻』李跃华15例“治愈”患者情况如何？至少6例治疗后被确诊住院
人人爱开封,:【开封清零！】截至目前，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无新增确诊病例，无疑似病例。密切接触者已全部解除医学观察。（开封市卫生健康委员会）
一杯清风醉,:《雪山凶灵》：5人被困雪山，怪事不断发生，只有1人存活#那些治愈的笑话#一杯清风醉的微博视频
捧花的我盛装出席200802,:♡能治愈你的从来都不是世界，而是明白。长沙
医药卫生报,:河南省新冠肺炎疫情防控专题第二十二场新闻发布会召开河南新冠肺炎治愈率为96.1%本报讯（记者杨冬冬刘旸）3月3日下午，记者从省政府新闻办召开的河南省新冠肺炎疫情防控专题第二十二场新闻发布会上获悉，目前全省新冠肺炎治愈率为96.1%，中医诊疗指导重症、危重症患者率100%。河南省卫生健康委员会副主任张若石介绍了全省疫情防控最新进展情况。省委宣传部副部长方启雄主持发布会。张若石说，疫情防控涉及多领域、多层次、多方面，在这场横向到边、纵向到底的疫情防控体系里，每个人都是“共建、共治、共享”的一分子。目前，河南省已有7个省辖市新冠肺炎患者清零，全省新冠肺炎治愈率为96.1%。在院治疗患者中有轻症病例20例，重症病例5例，危重病例2例。全省全力救治重症和危重症患者，进一步加强整体护理，充分发挥医疗与护理的协同作用。郑州大学第一附属医院、河南省人民医院先后投入百余台设备，有三批次累计千余名医护人员参与救治，涉及呼吸科、传染科、重症监护等多学科；共采集31位新冠肺炎康复者恢复期血浆11200毫升，用于21名患者的救治。中医诊疗指导重症、危重症患者率100%。张若石说，现阶段医疗救治成绩的取得，离不开全省广大白衣战士的牺牲和奉献。全省86万卫生健康工作者担当白衣天使使命，取消节假日，全员上阵守岗，义无反顾、冲锋陷阵，舍小家、为大家，与时间赛跑，与病魔斗争，始终奋战在抗疫一线，用生命守护生命。每个人做好自我防护，落实好联防联控措施，就是对新时代最可爱的人最好的回报。不能因为某个环节出现问题，引发连锁反应而“一失万无”。3月2日，省新冠肺炎疫情防控工作监督举报电话共受理群众来电176件，其中投诉举报类85件、疫情咨询类88件，其他类3件。截至目前，累计受理群众来电4589件，均已及时回复或转交有关省辖市疫情防控领导机构核查处理。
曾经的炮灰02,:新冠肺炎老人治愈后需返回养老机构的应隔离观察14天http://t.cn/A67Cp2Ts
灰指甲吴闲,:灰指甲治疗，这位严重的灰指甲治愈了，我微博里面有治疗视频，从治疗开始到治愈，需要治疗灰指甲的患者都是可以联系我的#灰指甲##怎么办呢，我有灰指甲#上海·云锦新苑
通化发布,:全省无新增确诊病例新增治愈出院5例全省无新增确诊病例新增治愈出院5例
快兰斯24小时财经直播,:实时播报：【云南3月3日下午最新通报：新增新冠肺炎治愈出院病例1例现有确诊病例仅剩3例】3月3日0时至12时，无新增确诊病例。新增治愈出院病例1例（保山市）。截至3月3日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。全省129个县市区均为低风险。（央视新闻）
通化发布,:全省无新增确诊病例新增治愈出院5例全省无新增确诊病例新增治愈出院5例
快兰斯24小时财经直播,:实时播报：【云南3月3日下午最新通报：新增新冠肺炎治愈出院病例1例现有确诊病例仅剩3例】3月3日0时至12时，无新增确诊病例。新增治愈出院病例1例（保山市）。截至3月3日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。全省129个县市区均为低风险。（央视新闻）
