爱澎澎1972,:『【1294】致敬，闪亮的名字！逆行，海河的荣光！！』【1294】致敬，闪亮的名字！逆行，海河的荣光！！
刃给给QaQ,抽个海河牛奶18袋，可备注口味，好喝的奶有的是，不止真果粒个人推荐草莓牛奶和咖啡牛奶，别看包装土，真的好喝（我第一次喝到咖啡牛奶的时候惊为天人，不齁甜、略带苦味的口感把我这个不喜欢咖啡的人圈粉了，草莓牛奶、巧克力/可可牛奶口感很新鲜，是那种喝一口爽到眼睛眯起来的甜度，椰子没喝过估计也不差，看你们自己口味）这个奶是天津本地牌子，外地基本上都是在超市买零售袋装不太好买成箱的，我CP在天津待过一年，跟我科普说这个奶还是国家质检优质奶去年接触到这个牌子以后我几乎一周三次每次两袋，再也不去想飙升的体重（没，还是运动了），个人喜欢喝冰镇的，但是加热后一定会满屋香气这周六（3月7号）下午抽，无须关注，转发即可，只抽支持自由创作、抵制恶意举报的朋友，不抽抽奖号，会视奸@微博抽奖平台——————————3月3日——————————底下评论有位朋友加码一份的，7号一起抽两个幸运鹅，一人一份以及我的朋友们，我这边先暂时不接受其它加码啦，一是工作比较忙，二我不是做广告的只是个自来水
天津市儿童医院微博,:不松劲、不停步，“天童医人”精锐战队再胜病魔！http://t.cn/A67lChxh天津市儿童医院今天致敬最美逆行者致敬天童医人，致敬不惧疫情的逆行英雄，谢谢你们的奋不顾身，谢谢你们的默默坚守，谢谢你们的毅然逆行，为我们扛起了希望、撑起了健康。2月28日深夜10点35分，当人们都还在梦乡中，一声“集结令”他们抛下困意和家人，急赴与病毒抗争的“疫”线。由9名医生和6名护士组成的天津市儿童医院第三批医疗队迅速集结，在副院长崔华雷护送下，入驻海河医院，投入战“疫”队伍。作为医护人员，他们明白，越是疫情严峻时刻，越是考验自己的时候，责任、使命和义务让他无论何时只要召唤就第一时间到位，无惧风险，冲锋在前。面对疫情，在院党委的领导下，全院医护人员积极响应号召报名医疗队，请战奔赴一线，这充分彰显了天童医人不畏艰难，勇于奉献的精神。天津市儿童医院党委书记陶格龙、院长刘薇，以及全体领导班子成员对再次出征的15名“勇士”不避凶险、克服困难、挺身而出的逆风飞扬精神给予肯定和感激，要爱护自己、做好防护，这是对自己、对病患、对同事、对家人的负责，是头等大事，是其他一切的基础；要以精湛的医术救治患儿，以医者仁心温暖患儿，以不畏险恶、顽强斗争的精神鼓舞患儿；要发挥党员模范先锋作用，让医疗队临时党支部闪耀战斗堡垒的光辉。你们是同事、战友，也是朋友，大家一定要互相关爱、帮助与沟通，团结协作、并肩作战；你们代表的是天津市儿童医院，要做一支有朝气、有责任、有技术的队伍，把我们的战斗力在战场上充分展现。当你们在工作中遇到困难，或是家人需要帮助，一定要告诉医院，医院将是你们强大的后盾。院长刘薇还为每一次出征的医疗队建立沟通联络的微信群，从工作和生活处处关爱大家。在群里，刘薇院长每日都询问大家在一线的工作情况、有没有遇到什么困难、身体状态好不好、家里人有没有需要医院帮助的，这一句句暖心的话语和有力的行动激励着每一位“战士”勇往直前。副院长郑继萍还代表医院为“逆行者”以及他们的家人送去诚挚的慰问和感谢。这是在第三批医疗队出征的当晚于玫副主任医师的女儿为妈妈画的一幅画，她的女儿写道：“妈妈你一定要注意安全，这是你在家和穿防护服的样子。你永远是最勇敢的‘白衣天使’。”勇战疫情的“白衣天使”们哪里还顾得上家人和自己的孩子，他们哪一个不是舍小家为大家。作为第三批医疗队专家组成员、外部联络员以及队长，综合内科副主任医于玫坦言感觉自己就是大家的家长，一定要把大家平安地带回来。1994年出生的冯阳护士是这批队员中最年轻的一位，在得知医院要组织医疗队的时候，便主动请缨参加。“我每天都在关注疫情变化，心一直揪着。我想去，我要去，我想献一份自己的力。”他说。90后护士王野是一位大男孩，在海河医院救治患儿期间，他写道：有人说当时代的灰尘，落在个人的头上，就是一座山。可就算它是压了孙悟空500年的五指山，当时代当组织选择了我们的时候，我们也要拼尽全力傲起身姿，挺起我们不屈的脊梁。因为我们身下所要守护的是祖国的未来，是祖国的希望。披上一袭白衣，同病魔厮杀。是我们的职责、使命，更是我们的荣耀！我辈当义不容辞的成为逆行者！也许不久的将来疫情退去，我们会被大家忘记，但在我们人生经历中已经留下一份美好。也许在年迈回忆人生时，我也可以骄傲的说一句，年轻时我也为了祖国人民的健康事业奋斗过！我骄傲！我自豪！疫区的他们护士于丽在赴海河医院期间，写下的文字。晚上八点多，他们依然奋战在一线。他们在自己胸前写下大大的“儿童医院”字样。3月4日，当第三批医疗队顺利完成任务后，他们得以凯旋。临回程前，因他们所住的酒店都是海河医院的医护们在帮着进行日常的食宿服务，为了给“战友”们减少工作量，方便其他“逆行者”的使用，15名医疗队队员们撤离前打扫了各自的房间，他们说这些事情是微不足道的，但这些善举正代表了天津市儿童医院的形象。截至目前，天津市儿童医院医疗队已经选派了共37人进驻海河医院。第一批医疗队由9名医生和6名护士组成；第二批医疗队替换了护理组，新队员由7名护士组成，第一批医生组集体请愿要求继续在一线奋战，医院充分考虑了队员的健康状况和患儿的实际情况，以及新老交接的安全性，允许医生组延迟一周替换；第三批是由9名医生和6名护士组成的医疗队。供稿∣宣传科
朽木樱琪亚,感觉首页没有看到抽@真果粒竞品的？那我来抽#光明乳业#好了。看看我们光明吧
yituxiaorui,:【1294】致敬，闪亮的名字！逆行，海河的荣光！！【1294】致敬，闪亮的名字！逆行，海河的荣光！！
睡眠廢話,抽个海河牛奶18袋，可备注口味，好喝的奶有的是，不止真果粒个人推荐草莓牛奶和咖啡牛奶，别看包装土，真的好喝（我第一次喝到咖啡牛奶的时候惊为天人，不齁甜、略带苦味的口感把我这个不喜欢咖啡的人圈粉了，草莓牛奶、巧克力/可可牛奶口感很新鲜，是那种喝一口爽到眼睛眯起来的甜度，椰子没喝过估计也不差，看你们自己口味）这个奶是天津本地牌子，外地基本上都是在超市买零售袋装不太好买成箱的，我CP在天津待过一年，跟我科普说这个奶还是国家质检优质奶去年接触到这个牌子以后我几乎一周三次每次两袋，再也不去想飙升的体重（没，还是运动了），个人喜欢喝冰镇的，但是加热后一定会满屋香气这周六（3月7号）下午抽，无须关注，转发即可，只抽支持自由创作、抵制恶意举报的朋友，不抽抽奖号，会视奸@微博抽奖平台——————————3月3日——————————底下评论有位朋友加码一份的，7号一起抽两个幸运鹅，一人一份以及我的朋友们，我这边先暂时不接受其它加码啦，一是工作比较忙，二我不是做广告的只是个自来水
橙子_苏,感觉首页没有看到抽@真果粒竞品的？那我来抽#光明乳业#好了。看看我们光明吧
天津生活本地资讯,:#为天津点赞#【清零战役打响！期待的0，近了】海河医院今天又有好消息传来：又有4名新冠肺炎患者治愈出院。截至目前，我市已累计治愈出院128人，在院治疗患者仅剩5人！
风刮起大地,:那海鸥…那海鸥…#新型冠状病毒##抗击疫情希望同行##海河##天津#
__伦敦以西,:#窗外风景打卡#出去透透气。今天风景很好，海河两岸跑步的人很多。马路上开始堵车了，估计离复工也不远了。天津·匠心厨房
knowmeandtrustme,:你是拥有山川海河的神明而我是与神明交错而发光的少女
