貓咪Chul的希天才,:从来没有这么喜欢过一个人，可能是老了吧……
zZ你能不秒睡吗,:从这段感情里学会的:1、没有足够的资本，不要说爱情。2、没人愿意一直当舔狗，舔着舔着就走了，可能去舔别人了，也有可能是被人舔。3、该舔对方的时候还是要适当舔一舔，要不对方会觉得不平衡，会认为你没那么爱他。4、改掉不愿意主动发消息的行为，偶尔也要主动主动，偶尔也要粘一粘。http://t.cn/A67pcwSR
9527先生,:#钟南山李兰娟等10个院士团队齐聚湖北#重磅消息来袭！！！致敬一线专家！疫苗研制方面取得了重要阶段性成果！军事医学前方专家组已经在武汉工作了一个多月。由军事医学研究院陈薇院士领衔的科研团队争分夺秒，集中应急科研攻关，在疫苗研制方面取得了重要阶段性成果。#直击疫情防控第一线##疫情结束了#http://t.cn/A67pc7EL
爱吃糖的小仙女Sunny,:晚上睡不着，在回想过去的事情，入大学的第一天开始，我现在感觉当时的我并不是真正的我，真正的我是很内向的不善于跟人沟通，而我却在一直强力逼自己做另外的自己，虽然同寝室的室友知道我真实的我，但是可能只是冰山一角吧。我大学以前，高中，初中，不了解我的人都觉得我的突然沉默只是因为心情不好，但是现在觉得可能那个时候人都比较冷漠，谁管你心情不好，不会去猜测你的心思。我自己也冷漠，我比任何人知道自己是个怎样的人，会突然沉默，有时也会突然不说话，但其实只是真实的我，但是别人会说你不开心。成长了很多，走了那么多路，可能当初觉得是真心交待的，也许会因为时间的流逝而慢慢生疏。也许以前还会感叹，但是现在觉得倒是为曾经拥有而满足，现在的人，说不清楚的，但是我是一直有个心里的称，有些人我不愿意回消息那就是真的不愿意了，有些人发个朋友圈我只是看看并不点赞也不评论，也许对方评论我的我会回，当代人的友情就是这个样子。论真心的又有几个呢。就算当初坦诚相待，但是珍不珍惜的这份心一看就看出来了。
一华独秀,:【钻石公主”号重现？载有1200名乘客邮轮在挪威港口接受隔离】3月3日，据彭博社刚刚消息，一艘载有1200名乘客的德国邮轮在挪威的Norwegian港接受整体隔离，此前，该邮轮上两名乘客进行了新型冠状病毒检测。(凤凰网)#钻石公主号有40名美国人确诊感染##日本钻石公主号累计确诊218例##新型冠状病毒#http://t.cn/z8AofgI
StarrySky-KKK,:其实从传出有这个综艺的消息时我就去官博看过，看到官博名字第一反应就是想到五月天人生无限公司，心里有点不舒服，隐隐觉得不对劲。直到今天果然不祥的预感实现了…但是官方已经作出回应（非常感谢及时回应但是不得不说实在巧妙），内容和结果都是意料之中。嗯…还是算了，删了，不希望双方因为这件事使得交情和利益受到损害。愿一切顺利。
三峡商报,:#宜昌战疫故事#【社区2000多户都领到政府配发的蔬菜一户也不落下】前几天，看到宜昌市伍家岗区，西陵区政府为市民每户配发20斤新鲜蔬菜，高新区市民在想，什么时候政府给我们小区配发蔬菜？昨天，记者从高新区东苑街办深圳路社区胡静书记那里了解到，各个社区的格格们准备在群里发消息，这两天高新区也要给每家每户发20斤新鲜蔬菜。今天早上，深圳路社区开始通知各个志愿者，大家准备好，大卡车随时就要来了。盼望着，盼望着，春天来了，新鲜蔬菜也来了。一辆辆满载蔬菜的大卡车开过来了。在高新区东苑街办经济发展办公室的胡梦雪的指挥下，志愿者排起长队领蔬菜。车子到了小区门口，胡梦雪脱掉外套，第一个爬上一米多高的卡车，当起搬运工。在她的带动下，志愿者争先恐后，一小车，一袋袋，大约半个小时，整个小区的菜下完了，在小区门口排放得整整齐齐。看到志愿者都在帮忙下载蔬菜，楼上部分居民陆陆续续下楼了。2号楼的刘先生，已病退多年，身体不大好，但是，他不听劝阻，非要加入搬运队伍，和年轻人一样，一包包往小区楼道口拧。为了避免漏领，按照包保楼栋顺序，志愿者挨个楼栋，挨个单元送菜。按单元住户户数，把菜全部送到单元楼楼下，然后通知单元楼居民下楼领取。经过几个小时的战斗，志愿者个个都汗流浃背，居民个个笑逐颜开。居民陈女士说，家里有7口人，蔬菜消耗量大，隔壁楼栋的覃女士听到后赶紧说，我们家只有两个人，吃不完这多菜，我分一部分你们家。以前从来没有打交道的两户人家一下子熟悉了。二号楼陈女士住六楼，拧20斤蔬菜上楼很吃亏，志愿者赶紧上去帮忙。领到蔬菜的居民纷纷表示，还是党和政府好！大家在群里都竖起大拇指点赞！（三峡商报全媒记者王凌云）
炎小念a,:#王源[超话]##王源的ins日记##在源点等你#@TFBOYS-王源2020.3.3号你去波士顿的第一百八十二天最近常想起18.19年的日子被爆出来面试伯克利的消息时你没有说什么第二天发了《我不知道》真的是很会诛杀我心啊歌词听得我难过又欣慰不已十八岁演唱会那时就猜到你的决定在那之前我是偏向你远走的所以我多高兴你选择做自己831演唱会给了我一辈子美好的回忆第一次为一个人奔赴他乡我没有一丝犹豫和恐惧爱会给我很多力量和动力尽管结束散场后我哭到不能自己也依旧为你开心庆幸演唱会后剃了寸头出现在机场的画面说真的着实把我吓了一跳佩服你勇敢与决绝刚到波士顿是发烧感冒黏人又想家的乖宝宝有常常给我们分享你的生活虽然后来一段时间没怎么更新但想到你能拥有多些属于自己的时光就没什么好贪心了的很多事情都有它存在的意义等来年想起依旧会感谢自己当下的决定的好久不见的虎头崽我也期待你在万人体育场开属于王源的演唱会我一定会是舞台下的其中一位等你
楠木or乔木,:#李汶翰粉丝复工攻略#lwh#李汶翰一路成年#宝贝晚安啦！今天好困💤，就不等你更新信息了呦！明天一切顺利！等你的好消息
Jenny_yy,:真是太好了
就吃了个瓜,:啊啊啊啊啊为什么不回你消息你还能自言自语发那么多条我觉得我说的够清楚了啊
Psyche-71,:一看到群消息就害怕，我还啥都没动
嘿帆MeU,#Luna纪录片#雪莉退队成员是通过新闻知道的所以产生了误会，在此期间四年没联系过，luna雪莉四年之后误会解开，而且约定好要见面，luna也跟粉丝说过，但再见面就是三周之后的葬礼，所以luna也很难过。
辣片味的草莓,:三月你好呀你一定会带来好消息的♥
布丁不町,:这种时候，没有消息就是最好的消息！
单词怒吼RK7M,:可以保护那些我在乎的人！我一直在刷新、你没回我消息的时候！
酥炸冥王星,:仿佛我给暗恋对象发消息他刚回还没有打开看
力挺小彦,陈薇院士。新冠疫苗临床快来了。临床试验是药物的试金石。需要说明的是，她是埃博拉疫苗的发明人，做新药的。不是盲目试药。
天蝎座的小姑凉,:集美给我带来了好消息希望能成功
张日曦12138,:只要你明天在晚上九点之前给我发一条消息，我连命都是你的。
zZ你能不秒睡吗,:从这段感情里学会的:1、没有足够的资本，不要说爱情。2、没人愿意一直当舔狗，舔着舔着就走了，可能去舔别人了，也有可能是被人舔。3、该舔对方的时候还是要适当舔一舔，要不对方会觉得不平衡，会认为你没那么爱他。4、改掉不愿意主动发消息的行为，偶尔也要主动主动，偶尔也要粘一粘。http://t.cn/A67pcwSR
毒舌体育,:卡利亚里俱乐部官方宣布了主帅罗兰多-马兰离任的消息。马兰从2018年夏天开始执教卡利亚里，本赛季投入重金的卡利亚里希望得到一个好成绩，来庆祝俱乐部百年庆典，但是本赛季的卡利亚里高开低走，经历了连续12轮不胜后，卡利亚里决定辞掉马兰。
VantageFX万致-汇市攻略,:市场消息：美联储将基准利率下调50个基点。黄金急速拉升至1622美元/盎司
Doing李凤鑫,:据可靠消息称：你们喜欢看锁骨😂😂滨州·邹平县
蜜糖小啵倚星辰,:#爆胎草莓粥[超话]#等会等会爆胎要去创造营2020？？？？？？看到好多个消息说确定要去了到底是不是真的啊
ceicei麻麻,今天，新增不止是成都是0，四川全省都是0成都
9527先生,:#钟南山李兰娟等10个院士团队齐聚湖北#重磅消息来袭！！！致敬一线专家！疫苗研制方面取得了重要阶段性成果！军事医学前方专家组已经在武汉工作了一个多月。由军事医学研究院陈薇院士领衔的科研团队争分夺秒，集中应急科研攻关，在疫苗研制方面取得了重要阶段性成果。#直击疫情防控第一线##疫情结束了#http://t.cn/A67pc7EL
爱吃糖的小仙女Sunny,:晚上睡不着，在回想过去的事情，入大学的第一天开始，我现在感觉当时的我并不是真正的我，真正的我是很内向的不善于跟人沟通，而我却在一直强力逼自己做另外的自己，虽然同寝室的室友知道我真实的我，但是可能只是冰山一角吧。我大学以前，高中，初中，不了解我的人都觉得我的突然沉默只是因为心情不好，但是现在觉得可能那个时候人都比较冷漠，谁管你心情不好，不会去猜测你的心思。我自己也冷漠，我比任何人知道自己是个怎样的人，会突然沉默，有时也会突然不说话，但其实只是真实的我，但是别人会说你不开心。成长了很多，走了那么多路，可能当初觉得是真心交待的，也许会因为时间的流逝而慢慢生疏。也许以前还会感叹，但是现在觉得倒是为曾经拥有而满足，现在的人，说不清楚的，但是我是一直有个心里的称，有些人我不愿意回消息那就是真的不愿意了，有些人发个朋友圈我只是看看并不点赞也不评论，也许对方评论我的我会回，当代人的友情就是这个样子。论真心的又有几个呢。就算当初坦诚相待，但是珍不珍惜的这份心一看就看出来了。
意料螳螂导数ZS,:挤不进去的世界就不要硬挤：也不是为了体现自己的大方，如果在乎你的人看到你的未接一定会回的：打一次就够了、你不曾懂我！我不是为了显示自己的大度。消息吧。你以为，一路走来
几筐废话,:不是为什么睡觉之前我总是收到这种消息
是霁颜啊,希望收到信息的你，可以做个好梦，加油。@新世相@中国日报
一华独秀,:【钻石公主”号重现？载有1200名乘客邮轮在挪威港口接受隔离】3月3日，据彭博社刚刚消息，一艘载有1200名乘客的德国邮轮在挪威的Norwegian港接受整体隔离，此前，该邮轮上两名乘客进行了新型冠状病毒检测。(凤凰网)#钻石公主号有40名美国人确诊感染##日本钻石公主号累计确诊218例##新型冠状病毒#http://t.cn/z8AofgI
StarrySky-KKK,:其实从传出有这个综艺的消息时我就去官博看过，看到官博名字第一反应就是想到五月天人生无限公司，心里有点不舒服，隐隐觉得不对劲。直到今天果然不祥的预感实现了…但是官方已经作出回应（非常感谢及时回应但是不得不说实在巧妙），内容和结果都是意料之中。嗯…还是算了，删了，不希望双方因为这件事使得交情和利益受到损害。愿一切顺利。
透明二三,:#李栋旭[超话]#大型求救现场！各位集美们！救救孩子叭！我主要想知道安卓手机（我的是华为）能下载哪儿些软件可以了解到老李头（或者韩圈）的最新消息啊！我只知道ins但我下载不到正版软件，求大佬告知线源！
极乐77777,:#财经##股票#受此消息影响，美股直线拉升！
可耐的洋,:终于有一个心满意足的消息了
周晨54451,:杜锋临危受命，担任中国男篮新一届主教练2019年...中国男篮利好消息！杜锋迎回全能卫士，或会创奇迹拿到奥运会席位中国男篮利好消息！杜锋迎回全能卫士，或会创奇迹拿到奥运会席位
王-圣,:知道你太累可能睡着了，就不发消息把你吵醒了～亲爱的晚安～
新视界V,大摩将中国列入资产避难国！
清清清清尹,:这几天唯一的好消息了真的是特别特别特别想你
草派镜棱屿岛,:我记得上一次我骂的也是西南石油男的他没回我消息我骂他钓鱼哈哈哈看来我真的跟西南石油的男的杠上了
LH___s,:我不知道是酒精的麻醉还是寂寞的借口，之后的我们竟然表演得如此自然。?#cos正片##COS[超话]#那个吻究竟代表了什么?我不懂不问不吵闹。#人体写真##拍照[超话]##户外#不得不承认这是我的错，是我自己的太在乎，#Re:从零开始的异世界生活##蕾姆#?放不下，这些年来只要听到关于你的消息我的心跳就不自觉的疾速起来，#FGO##fate##fate/grandorder#也正因为这样你喜欢上了我#今日美貌限定##月樱的写真集#，喜欢上了喜欢你的我。但这不是爱!#烨哥的浮力时间#等待是最劳累的事情最熬人的事最磨人的事。五年的追赶却也搭不上你的车，因为这里终究不是终点，只是一个休憩的小站!我终于明白赶不上的车就别追了……http://t.cn/A67ZHg7l[赞啊]
玉渔yu,:你为什么不回我的消息就因为我没发吗
Marchisio_,天蝎面对讨厌的人的时候：
会给招贤提亲,:相比奥迪A3；全新奥迪A4将于今年9月份的法兰克福车展首发亮相；新一代A4的轴距有所增加。据可靠消息得知、同时！
蜜拓蜜衡欣益生菌珠子白肌酸,【全国总工会：#企业应按正常标准向在家上班职工付工资#】中华全国总工会下发《关于做好新冠肺炎疫情防控期间支持企业安全有序复工复产和劳动关系协调工作的通知》。《通知》要求，要切实维护职工合法权益。要监督企业履行依法隔离期、医疗期职工工资支付义务，对于企业安排以灵活方式在家上班的职工，按照正常工作期间的工资收入支付工资。http://t.cn/A67CDVcw
GS幽灵,:3月3日消息，今日，苹果联合创始人史蒂夫·沃兹尼亚克（SteveWozniak）发推称，自己和妻子珍妮特（Janet）两人可能感染新冠肺炎，“可能是美国新型冠状病毒肺炎的0号病人”。
Sue-庆,这7秒简直就是今晚让我心脏最爆炸的7秒拿着🎁背着手蹦蹦跳跳跳到镜头前一点头再甜(jiao)甜(xiu)一笑叫你的名字简直就是霹雳无敌螺旋爆炸究极甜(我明明真的站定年上的今晚我…Chocokkk7_的微博视频
感化涵,:你妈十二点了给我发消息
李后琳wxl,:#巴萨[超话]#所以重大消息到底是啥？[摊手]贵阳·绿苑小区
人间有味是清欢dy,:#十七周年继续宠爱张国荣#一直很想你，却从来没有这么表达出来。好怀念从前。十七年了，记得那年得知你不在的消息，除了震惊就是悲痛。十七岁的我哭的稀里哗啦，感到心痛，后来好久都不敢看你的电影，听你的歌，因为控制不住的就想哭。就像现在此时此刻，想起你依旧流泪。默默关注超话看到依旧好多人记得你，喜欢你心里很开心。如果你也知道是不是也会很开心呢？在我心里你一直都在，是真正的巨星与艺术家，你是传奇，你是风华绝代之一代名伶，张国荣！哥哥，我想你。
大耳朵查理k,:晚上十点以后再给我发消息的客户真的不止一遍想把他拖黑拖黑在拖黑！临沂·角沂馨苑社区
-我活在梦里,一个不是很冷的知识：五年前b站还能看没有黄段子的无聊世界
yiyiLuos,:我真的很讨厌不回消息又不说去干什么，等什么时候想起你才回，说了n+1遍都没有起色好了几天打回原型，我都已经不嗨想说话，对牛弹琴讲不听叫不醒装睡的人
碎碎念的心心,各位网友：老爷子虽经全力救治仍于2月28日中午在光谷同济医院离世。
爱吃瓜的vicky,:#罗云熙[超话]##罗云熙月上重火#lyx#罗云熙皓衣行#@罗云熙Leo[色]@罗云熙SUP官方数据站三十日安利罗云熙DAY12喜欢上他以后最幸福的时候现在说起来有点可笑和心酸，那时我们刚从最低谷爬起来，熙熙新剧未接，6他的都是些不太入流的小制作，商务代言的消息也么有。当时真捏了一把汗，怕美玉再次蒙尘。然后突然有一天代言有了，虽然现在看起来有点心酸，接的片子也不错。怎么说呢，有种苦尽甘来，有了盼头一起奔小康的幸福感。现在熙熙越来越好，但当时最朴素的幸福感觉也不会再有了。接下来是被熙熙带飞的的幸福感，让我继续幸福下去吧
四品园丁小T,【女子发朋友圈称被疑似人贩子强拉上车警方：拉人者误认成自己妻子女子发布不实信息
魚缸外面,:虽然在家办公，也是忙的晕头转向的一天。蹦跶了一个小时，出了一斤汗，没吃晚饭也没觉得饿。练了一个小时琴，年前弹得比较熟的曲子果真不会了！不会了！
Super苏棠啊,:希望以后好消息继续🙏🏻
李继锋,:#东京奥运允许被推迟至年底举行#《每日邮报》消息，日本奥运大臣桥本圣子接受采访时表示：按照奥运会举办城市合同，国际奥委会可以作出取消奥运会决定的原因只有‘本届奥运会如果不能在2020年举办’。即只要在2020年的话，可以延期举办。但#日本正尽全力让奥运会如期举行#。“如果新冠病毒蔓延无法得到控制，原本在7月底开幕的东京奥运会可能会延迟今年年底才开始。”http://t.cn/A67NIh3P
Gutfeeling99,:最近干活干的特别辛苦，也很有成就感。然而呢，让人心灰意冷，好像也就是几分钟的事。做一百件好事，也抵不过睡前的一个坏消息。
首席分析师-孙健,#山河智能：公司制造的挖掘机、凿岩机、掘进机、采煤机均可用于煤炭采掘目前在研的还有无人电动挖掘机、无人电动矿车等绿色矿山施工装备#这公司题材想象力挺多啊，。口罩机，智能机械，工业软件，就是没怎么涨😂
Runaink,:社恐到跟老师发消息拳头握得越来越紧浑身上下都在尴尬
刘江恒指纳指,:追到位的刚刚追到1000刀了回调点我们继续没追到就10个点，没事这里出了个消息面8940继续多纳指，止损默认10点#今日看盘##纳指#恒生指数2003德指2003纳指2003原油03黄金2002期货恒生指数hkHSI
手指相對的ET婆,【#刘真#惊传自发性脑出血！　“开颅手术抢救中”状况不明朗…医师：高危险等级】据医界传来的消息，国标舞女王刘真今（3日）下午接受脑部电脑断层检查时，发现有自发性脑出血状况，院方已紧急安排开颅手术抢救，状况尚不明朗。(agent)台湾·新北市
richJ2015,#HKT48[超话]##田中美久[超话]#【中字】彩蛇是新婚燕尔的小夫妻20.3.3srcut田中美久的微博视频
Gutfeeling99,:最近干活干的特别辛苦，也很有成就感。然而呢，让人心灰意冷，好像也就是几分钟的事。做一百件好事，也抵不过睡前的一个坏消息。
首席分析师-孙健,#山河智能：公司制造的挖掘机、凿岩机、掘进机、采煤机均可用于煤炭采掘目前在研的还有无人电动挖掘机、无人电动矿车等绿色矿山施工装备#这公司题材想象力挺多啊，。口罩机，智能机械，工业软件，就是没怎么涨😂
Runaink,:社恐到跟老师发消息拳头握得越来越紧浑身上下都在尴尬
刘江恒指纳指,:追到位的刚刚追到1000刀了回调点我们继续没追到就10个点，没事这里出了个消息面8940继续多纳指，止损默认10点#今日看盘##纳指#恒生指数2003德指2003纳指2003原油03黄金2002期货恒生指数hkHSI
