深圳侨报,:#深圳天气#今日我市阴天间多云，有小雨；气温18-22℃；东风3-4级，最大阵风7级；相对湿度75%-95%。（深圳市气象局）http://weibo.com/u/1048717800
南京云上科技有限公司,【机器人“抗疫”进行时】在深圳市第三人民医院，忙碌在一线的医护人员有一群机器人小帮手，分别是室内测温巡检机器人、室外智能防疫机器人、医疗咨询机器人、消毒机器人…戳视频，看机器人如何在真实的医院环境中助力“抗疫“！中报视频的秒拍视频
深圳商报,:#防控疫情深圳在行动#【深圳连续2日“0”新增！累计418例，在院74例（截至3月3日）】截至3月3日24时，深圳累计报告“新冠肺炎”确诊病例418例。3月3日当天全市无新增确诊病例，当天出院病例9例（从2月26日起不再公布出院个案）。累计报告确诊病例中，男性198例、女性220例。按照病例管理地区划分，南山区87例、福田区82例、龙岗区71例、宝安区62例、龙华区34例、罗湖区32例、光明区11例、坪山区7例、盐田区6例、大鹏新区2例、其他（指由机场、车站、码头、关口、路卡等直接送往定点医院的）24例。目前，重症5例、危重症3例，死亡3例，累计出院341例。74例确诊病例均在深圳市第三人民医院隔离治疗。102例密切接触者正在接受医学观察。http://t.cn/A670rDfE
新浪广东,:【3月3日深圳连续2日“0”新增累计418例，在院74例】截至3月3日24时，深圳累计报告“新冠肺炎”确诊病例418例。3月3日当天全市无新增确诊病例，当天出院病例9例累计报告确诊病例中，男性198例、女性220例。按照病例管理地区划分，南山区87例、福田区82例、龙岗区71例、宝安区62例、龙华区34例、罗湖区32例、光明区11例、坪山区7例、盐田区6例、大鹏新区2例、其他（指由机场、车站、码头、关口、路卡等直接送往定点医院的）24例。目前，重症5例、危重症3例，死亡3例，累计出院341例。74例确诊病例均在深圳市第三人民医院隔离治疗。102例密切接触者正在接受医学观察。#广东抗击新型肺炎#
深圳生态环境,:深圳市生态环境局发布的空气质量时报显示，2020年3月4日9时深圳市11个监测点的空气质量指数级别全部为优。详情请登录http://t.cn/RxeVMgo。
深圳交警,:#深圳交警一线[超话]#【未申报绿码还闯禁行路段？这些货运车辆通通曝光！】自2月23日起，深圳优化货运限行政策，前提是货车司机必须提前在“深圳市车辆申报系统”进行防疫申报登记的货运车辆，才可以适用以上限行政策。未在“深圳市车辆申报系统”进行防疫申报登记的货运车辆仍按原限行规定执行。对于违反限行、禁行规定的违法行为，深圳交警将定！期！曝！光！http://t.cn/A670BkdJ
广东共青团,:【#广东连续两天无新增病例#新增出院48例，累计出院1129例】截至3月3日24时，广东全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。
佛山新闻网,:#早安佛山#【今日降温，有中到大雨
新快报,:#同舟共济战疫情#【3月3日广东无新增确诊病例】截至3月3日24时，广东省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。（广东卫健委）
风雪_LL,:#墨迹天气#深圳市，【今天】雷阵雨，16~22℃，东北风7.2km/h；【明天】小雨，15~20℃，东北风7.2km/h；3月4日发布。查看详情：http://t.cn/RtalvFq
乐居网天津,:【天房集团、深圳津房物业拟转让烟台津房置业70%股权】3月3日，从天津产权交易中心获悉，天津房地产集团有限公司（简称“天房集团”）、深圳市津房物业发展有限公司（简称“深圳津房”）拟共转让烟台市津房置业有限公司（简称“烟台津房置业”）70%股权，转让底价5638.55万元，信息披露起始日期为2020年3月3日-2020年3月30日。http://t.cn/A67NfeZO
E伊丝特儿,【机器人“抗疫”进行时】在深圳市第三人民医院，忙碌在一线的医护人员有一群机器人小帮手，分别是室内测温巡检机器人、室外智能防疫机器人、医疗咨询机器人、消毒机器人…戳视频，看机器人如何在真实的医院环境中助力“抗疫“！中报视频的秒拍视频
铁板烧薯条可乐套餐,:深圳公交实时信息一直中断这个问题不处理一下吗
