卓明信援通讯社,:#最新疫情地图##疫情地图#湖北省新型冠状病毒肺炎县级现有确诊病例数据分布图，数据截至3月2日24时。3月2日，湖北全省现有病例28216例，较前一日下降2327例，降速7.62%。#应急管理[超话]#
凵凵凵凵凵匸卍,:#正能量偶像肖战#肖战#肖战三十三旁白#【坚信爱会赢！文艺界致敬战斗在抗击疫情一线的所有人
施陆舜2018,:这几天。李跃华行医事件沸沸扬扬，关注度越来越大。湖北省自己调查难免有失公正。应另有机构调查
荆楚网,:#湖北加油武汉挺住#【涉嫌哄抬价格武汉一公司面临“顶格”罚款300万元】#全力抗击新型冠状病毒肺炎#3月3日，湖北省武汉市市场监督管理局发出行政处罚听证告知书，拟对武汉土家二妹餐饮服务有限公司哄抬价格违法行为，依据《中华人民共和国价格法》《价格违法行为行政处罚规定》等法律法规规定，“顶格”罚款300万元。经查，2020年2月4日至2020年2月29日，该公司在电商平台上销售蔬菜，订单量共计6630份。其中，网售西红柿价格22元/公斤、四季豆价格36元/公斤、胡萝卜价格25元/公斤。武汉白沙洲农副产品大市场有限公司提供的同期上述蔬菜价格分别为：西红柿7.5元/公斤，四季豆16元/公斤，胡萝卜4元/公斤。另查明，该公司还在其网上店铺信息栏中标明：茄子7元/个，鲜玉米10元/个，白萝卜6-8元/个。《告知书》称，这种销售方式客观上造成了消费者的恐慌情绪，推动了新冠肺炎疫情防控期间蔬菜价格过快上涨，情节极其严重，性质极其恶劣，影响极坏，且经市场监管部门约谈和告诫仍拒不改正，遂依法作出上述决定。#湖北加油武汉挺住#
北斗云,:【#停课不停学#陕西滞留湖北女教师山坡上上网课，湖北移动：你的信号我们来保障！】为了给学生上号网课，回湖北麻城探亲的西安翻译学院英语教师王媛爬遍山坡寻找信号，一个收纳箱，两把凳子，一台电脑包，怕影响网速，她一直不出镜，直到学校开视频会议，她的事情才“暴露”了，并迅速在网络传开，2月25日，湖北省移动黄冈分公司迅速组织专班，解决王媛老师的燃眉之急。在前往基站的路上，移动的工作人员更是经过了十几道关卡，抬着几十斤重设备，最后冒着寒风徒步走了2、3公里才到达了该教师所在村庄，两个多小时迅速搭建起了基站，经过一系列优化调整，网络信号强度达到了满足上网课的需求，保证了王媛老师能在家安心给学生们上网课，非常时期，移动人竭尽全力，只为传递温暖和力量@南方都市报@国资小新@新华网@人民网@工信微报http://t.cn/A67pxtZF
武汉来了,记住，支付宝的那个湖北健康码，要天天打卡，不要断，这个码估计要一直用到疫情消失的那一天，特别是外地准备回武汉的朋友们，切记切记！
钦北检察,:#疫情动态播报#【#湖北将有序关停方舱医院#逐步恢复正常医疗秩序】3日，湖北省卫生健康委员会副主任涂远超在发布会上表示，湖北将有序推进医疗秩序分区分级管理，分类分步实施，比如高风险区武汉市要继续将疫情防控作为当前头等大事，同时也要合理用好用足现有的医疗资源，尽最大努力满足患者正常的医疗需求，并重点保障急危重症、血液透析、肿瘤、孕产妇、儿童等患者急需的医疗需求，同时指定了首批重点医院来全面转为提供综合性的医疗服务，后续也将根据疫情防控实际逐步缩减新冠肺炎收治的定点医院，有序关停方舱医院，分批分布逐步恢复正常医疗秩序。http://t.cn/A67NIDA0
-漂洋-,:@澳大利亚驻华使领馆@美国驻华大使馆@泰国驻华大使馆@泰国头条新闻@澳洲新快报除了湖北省以外，中国大陆已经非常非常安全！（湖北省一直被封闭中）。现在对中国人的旅游禁令是缺乏事实根据的。『实时更新|新冠肺炎疫情地图』实时更新|新冠肺炎疫情地图
天津身边事,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。
时尚兰州,:#兰州爆料##兰州万众一心全民战疫#【甘肃省下发《湖北来甘返甘人员防控工作方案》】我省新冠肺炎疫情联防联控领导小组办公室日前下发《湖北来甘返甘人员防控工作方案》，我省将对湖北省来甘返甘人员实行集中隔离医学观察。by@GSTV百姓有话说GSTV百姓有话说的微博视频
随心走2019,:#钟南山李兰娟等10个院士团队齐聚湖北##42322名医务工作者从全国各地支援湖北#湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。42322名医务工作者从全国各地支援湖北.@人民日报
