大葱丶蘸酱,:感谢来自五湖四海的帮助，已收到满满的爱
香山网,:珠海解除森林火险预警信号！珠海市气象台于3月4日15时45分解除珠海市森林火险预警信号。来源：珠海特区报#珠海##珠海身边事#
优雅四会,:【2020年3月4日，广东无新增确诊病例】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
珠海政府网,:【珠海市将出台政策推动经济运行尽快重回正轨推动重点项目复工开工加大制造业扶持力度】3月4日，市政府常务会议审议并原则通过《关于有效降低疫情影响促进经济平稳运行的实施意见》。《实施意见》结合做好“六稳”工作要求，着力稳投资、促消费、稳外贸、稳外资、抓产业、建机制，促进全市经济尽快恢复稳定运行，明确提出3月上旬规模以上工业企业100%复工复产，3月中旬重点项目100%复工。详戳→http://t.cn/A67T0FfX#珠海身边事##百城行动战疫情#
珠海政府网,:【珠海市城市管理综合执法局明确分工压实责任以战斗姿态做好城管领域疫情防控工作】1月24日以来，全市各区城管执法部门共清理活禽流动摊贩176宗，整治“七乱一占”违法行为5469宗，处理各类投诉326宗；组织出动人员12300余人次，车辆1030余台次进行道路清扫、公厕清洁，清理卫生死角420多处，消杀垃圾中转站544座、公厕98间。详戳→http://t.cn/A67TpkLo#珠海身边事##百城行动战疫情#
珠海政府网,:【珠海市斗门区住建行业精准稳妥复工复产推动项目应复尽复应开尽开】截至3月4日，斗门区住建行业共有240个项目，累计复工195个，复工率81.3%；区政府投资项目46个，累计复工44个，复工率95.7%；省、市重点项目中，省重点建设项目15个，累计复工15个；市重点建设项目41个，累计复工36个，复工率87.8%。详戳→http://t.cn/A67TNtl6#珠海身边事##百城行动战疫情#
珠海政府网,:【珠海市万山区规模以上企业100%复工复产严格落实防疫和安全生产工作】截至3月2日18时，万山区已复工复产企业625家、复工个体工商户120家，已复工企业占全区企业总数的78.42%。其中，88家规模以上企业已全部复工，复工率100%。详戳→http://t.cn/A67TNviL#珠海身边事##百城行动战疫情#
珠海政府网,:【珠海市斗门区规上工业企业复工率100%3135家企业“开工大吉”跑出复工复产“斗门加速度”】截至3月4日，斗门区（不含富山工业园）复工企业3135家，其中规模以上企业360家。复工总人数79623人，返岗率77.7%。全区规上工业企业复工162家，复工率已达100%。复工规上工业企业占2019年规上工业总产值100%。详戳→http://t.cn/A67TC37h#珠海身边事##百城行动战疫情#
珠海政府网,:【2020年度珠海市高端学术交流资助项目申报开始啦！】详戳下图#珠海身边事#（via.珠海市科学技术协会）
澳亚卫视,:#澳门身边事##澳门万象#【珠海医院采取双保险助企业快速复工】据珠海市卫健局消息，广东省卫生健康委公布，截至3月4日9时，珠海市无新增新型冠状病毒感染的肺炎确诊病例，珠海市累计确诊病例98例，累计死亡病例1例，累计治愈出院82例，现有在院病例15例。3月4日，珠海市人民医院医疗集团横琴区新冠检测及防疫指导团队，来到横琴新区某施工现场，为共计近150名复工人员进行了新型冠状病毒抗体和核酸双项检测采样，并开展防疫指导，以“双保险”助力企业快速安全复工复产。http://t.cn/A67TcFdH
珠海天气,:【珠海市疾控中心提醒您】钟南山的这条呼吁，是时候认真对待了！事关每个家庭
澳亚卫视,:#澳门身边事##澳门万象#【香洲区餐饮店可提供限制性堂食】近日，珠海市香洲区市场监督管理局连续发布了两则通告，引导区内餐饮恢复"限制性堂食"以及美容美甲等场所，通过“预约”制恢复营业。澳亚卫视的微博视频
