珠宝匠,:浮力通知
财经新媒体,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
Doria小鱼,:#Doria小鱼[超话]#有一句话说得特别好。你怎么度过这个疫情，就会怎么度过这一生。从2月初离开山东回到重庆，转眼一个月了。这一个月时间没有停下过努力的脚步，上网学专业、做课件，和团队的人一起开会打磨产品。自己去录视频，剪视频，经常一天下来看到手机就想吐。但是相应的，慢慢看到了回报。很多人眼中那些成功的人只会取巧罢了，他们看不到背后的努力。但又怎样呢，毕竟疫情过后，大家的生活依然会回归有序，错过的终将错过，努力过的一定会开花结果。希望大家都不辜负2020的这个春天。[心]
深圳机场地产-领航城,:#领航城·领誉##深圳房地产#疫情过后，大户型将成为最佳选择！如何挑选大户型？这5大硬核指标一定要get！疫情大考之后，选房一定要认准“5大硬核指标”！
21世纪经济报道,:【#工信部鼓励对困难学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。（人民日报）
娄底公安,#致敬公安英雄[超话]#【痛心！黑龙江七台河市公安局辅警周明广牺牲在疫情防控一线】#疫情当前警察不退##抗疫一线群英谱#3月1日，黑龙江七台河市公安局茄子河分局宏伟派出所辅警周明广、于佳昕在岚峰村执行完疫情防控任务后，驾车回派出所，因山道结冰路滑车辆失控，发生单方交通事故。当日21时30分许，周明广经全力抢救无效因公牺牲，年仅32岁。于佳昕正在全力抢救。
衡阳发布,:#抗击新冠肺炎湖南在行动#【致敬！援建雷神山工人回家：社区送口罩牛奶慰问
肖l云锦n,:#肖战#xz#肖战捐赠医疗物资#xz#正能量偶像肖战#你的很多粉丝在武汉前线治病救人，每次看到他们都热泪盈眶！这次疫情让我们见证了什么是中国医护，敢而无畏
肖l云锦n,:#肖战#xz#肖战捐赠医疗物资#xz#正能量偶像肖战#你的很多粉丝在武汉前线治病救人，每次看到他们都热泪盈眶！这次疫情让我们见证了什么是中国医护，敢而无畏
粉红de诱惑,:南京地震了明天和意外真的永远不知道谁会先来一场疫情，让我明白存款的重要性后悔以前花钱大手大脚
河北综合广播,:【#宝马男酒驾欲冲卡遭逼停#：以为交警忙于防控疫情不查酒驾】近日，江苏常州警方设卡检查时，发现一宝马车拒绝检查测温，还试图逃跑，警方立即将其逼停。经现场测温排除发烧等症状后，驾驶人王某某被测出酒精含量达到醉酒标准。王某某称轻信酒精可防病毒谣言，喝酒后心存侥幸开车上路。目前，民警依法暂扣车辆进一步处理。http://t.cn/A67NztR6
