tjf微笑,:为打赢疫情防控阻击战贡献湖南科技力量http://t.cn/A670eDVF
宁夏税务,:#战胜新型冠状病毒#陈润儿到宁东基地督导检查园区企业疫情防控和复工复产时强调主动帮助企业排忧解难有序推动企业复工复产陈润儿到宁东基地督导检查园区企业疫情防控和复工复产时强调主动帮助企业排忧解难有序推动企业复工复产
仙游今报,:#关注新冠肺炎#【全国已有#4128万多名党员捐款47.3亿元#】响应党中央号召，连日来，全国广大共产党员踊跃捐款支持新冠肺炎疫情防控工作的热情不减。据统计，截至3月4日，全国已有4128万多名党员自愿捐款，共捐款47.3亿元。捐款活动正在进行中。（新华社）
武威职业学院,:甘肃省关于新冠肺炎疫情防控期间人员管理的通告-武威职业学院http://t.cn/A67j5DnU
爆笑图片会,:有一说一，但论视频内容反映的情况而言，这位防疫人员很有问题！这那叫劝回，这是推搡！别说警察，正常人也受不了这个…#武汉通报5起违反疫情防控纪律典型案例##全民都爱笑#爆笑图片会的微博视频
小rua同学,:#4128万多名党员捐款47.3亿元#原来每人捐一点汇聚起来是如此之多，参与四十亿大项目十分光荣，相信中国有能力，有信心，有把握打赢这场疫情防控狙击战。以后多多参与，回报祖国❤️
江南阴雨断桥殇,:【疫情防控甘肃在行动】连续工作22天，没空害怕——张掖护师支援武汉战“疫”记http://t.cn/A67paXCt
泰山网1545,:【涉案20000只！泰安依法查处一批违法违规口罩！出自这家公司！】2月4日，山东省市场监管局公布第十批疫情防控防护用品违法典型案例。案例一：2月20日，泰安市泰山区市场监督管理局依法对山东鼎恒祥瑞商贸有限公司进行执法检查。经查，该公司存在涉嫌销售无中文警示标识口罩的违法行为，涉案口罩共20000只。目前，泰山区市场监督管理局已依法查处。
长乐未央,:#联防联控未央在行动#“小身影，大力量”——疫情防控，谭家街道蒲公英志愿者的那抹红（二）随着疫情防控政策的调整，西安市“一码通”成为每位居民出行必备的通行证，为了使辖区群众快速了解“一码通”使用情况，在出行上班时“快人一步”，谭家街道蒲公英志愿者从2月29日起，分两批开展“一码通”志愿服务，做到了辖区22个村、社区全覆盖。
南国都市报,:#新型肺炎疫情阻击战#【健康教育线上学！海南推出系列健康教育课程视频】图为切实做好2020年春季学校健康教育工作，保障学生身心健康，结合当前新冠肺炎疫情防控工作，海南省教育厅和海南省教培院推出系列健康教育线上教学课程。该课程紧紧围绕以“生命观、生活观、生态观”为主线的“三生教育”，以提高学生的健康防病能力为目标，通过线上教育提高学生的健康常识，增强学生的自我保护意识，促进大中小幼学生身心健康。系列健康教育课程分为“防疫知识教育”“疫期心理健康”“生命教育”三个主要内容，以生理、心理、生态文明教育网上教学课程为基础，通过现场录制和编辑现有网络课程的方式，按照时间节点依次推出。课程的推送有两种途径。一是由省教育研究培训院在好研网（http://t.cn/RWtTT51）上专设的“生命健康教育专题”栏目推出，供全省中小学老师、学生及其家长下载使用；二是省教育研究培训院把课程资源推送给各市县、学校，再由各市县向辖区内中小学校推送。海南省教育厅将于3月份安排四次全省中小学统一时间观看视频。每周遴选1讲作为精品课程进行重点推送（推送课程名单及时间见下表），各市县、学校组织全体中小学生在规定的时间统一居家线上观看。此外，海南省教育厅强调，各市县学校认真梳理学校健康教育工作的各项制度规定，加大推进落实力度，确保学校健康教育工作落地落实落细。同时各校要做好春季易发生的其它传染病，如流感、手足口病等传染病防控工作。（南国都市报记者黄婷）
浮梁发布,:#这里是江西##联防联控江西在行动#【景德镇市新型冠状病毒感染的肺炎疫情防控应急指挥部通告（第5号）】针对近期部分国家新冠肺炎疫情有上升趋势，为严防国（境）外疫情输入，全力保障我市人民群众和国（境）外来景人员生命安全和身体健康，现就做好防止国（境）外疫情输入工作的有关事项通告如下：一、主动登记报告。近14天所有国（境）外来景人员要第一时间到住地所在社区、村（组）和工作单位主动报告，进行登记备案。须如实报告本人相关信息，包括出发地、途经地和抵景的时间、航班号、车次，以及近期每天的活动范围和接触人员。二、落实隔离措施。自通告之日起，国（境）外来景人员要主动落实隔离措施，配合做好健康检测等防控措施。如有发热、咳嗽等症状，及时报告，并到定点医疗机构就诊。对故意隐瞒国（境）外来景事实、不主动登记报告、不服从隔离留观的个人，公安机关将依法依规予以处罚。同时，鼓励广大市民积极提供国（境）外来景人员线索，向社区、村（组）、工作单位或当地疫情防控指挥部报告，共同努力做好全市疫情防控工作。景德镇市新型冠状病毒感染的肺炎疫情防控应急指挥部2020年3月4日
