鱼山蚊,一线疾控医生的心声：请不要再骂我们了！疾控人的心声
Gauharrr,#伊犁[超话]#坚。持啊[doge]wAitfor生的微博视频
桂系小诸葛,:美国疾控中心官员：截至本周末美国所有州的公共卫生实验室都将能够进行新冠冠病毒检测。（评：关注美下周的数据。）
英雄豪杰锦上添花,:分享：中国疾控中心病毒病所专家驰援伊朗，指导开展新冠病毒检测http://t.cn/A67pot1Z
bryanShangHai,日本医学界普遍觉得窝憋的做法是瞎搞。还是先考虑一下8月份的奥运会能不能保得住吧！都提前给丫一个月时间来抄作业，如果还摁不住的话，那就打脸。新冠泛滥的损失可比我们封城损失大得多了去。日本、美国这些国家没有经历过SARS大流行，他们对传染病的认识就停留在流感上。新冠病毒患者早期症状轻微，不咳嗽不发热的也不少，这其中有20%的人会在十天左右的时间里进展成重症。如果没有及时干预，就后转入危重，然后公共卫生体系瘫痪。韩国已经发生了四起居家隔离病人在家中死去的案例。日本会例外？病毒会网开一面？
品石屋8016,:分享网易新闻《6家商场超市现新冠病例，中国疾控中心建议：只买东西不要逛》6家商场超市现新冠病例，中国疾控中心建议：只买东西不要逛来自@网易新闻客户端#网易新闻#
香港紫荆卫视,:【与意大利返浙确诊6人同航班，男子英国返回浙江后被隔离】#紫荆快讯#近日，浙江省新增境外（意大利）输入性确诊病例共8例，并公布了这8人的活动轨迹。梨视频联系到一名从英国回浙江后被隔离人员，其与意大利回国被确诊的其中6人同一航班，他称接到疾控中心电话后才知情，目前已隔离。#新型肺炎抗疫全记录#http://t.cn/A67Nnb5Q
小强热线-浙江教科,:【最新！两架载有意大利华侨的飞机3日晚抵达杭州，有关方面严阵以待！】#浙江新型冠状病毒肺炎#据@央视新闻：3月3日晚8点45分，由北京飞往杭州的中国南方航空CZ6163次航班，降落在了杭州萧山国际机场。航班上共有147人，其中6人（5大1小）来自意大利的华侨华人，目的地是浙江青田。除了这架已经降落的CZ6163次航班上的6人外，另一架正在飞往杭州的CA1706航班（22:18降落）上，也有32人（这32人全部都是青田籍，在意大利工作）。外防输入，萧山机场将有什么措施？萧山国际机场运行总监吴湘江：1、杭州市疾控中心的主任带队6个人上飞机，对整个飞机进行排查；2、一旦在排查中发现有症状旅客，立即送至筛查点进行筛查；针对有症状旅客座位的前后三排进行留观；3、对无症状的旅客走旅客大通道，还需要测体温、检查健康，只有这些都符合条件才能离开机场；4、对来自疫区的旅客都送留观点进行留观，留观结束后，转送由相应地区的政府将本地华侨接送回当地，进行进一步的排查和留观。http://t.cn/A67pXTY5
牛犇马云,我发表了头条文章:《疫情预警的第一道防线为何形同虚设》疫情预警的第一道防线为何形同虚设
辜友陈博客,:3月2日，重庆市政府新闻办举行新冠肺炎疫情防控工作例行新闻发布会。重庆市疾控中心专家、流行病学博士宿昆对相关病例进行通报。
山西省社会事务调查中心,:我发表了头条文章:《30人开会，11人感染！中国疾控中心：复工复产尽量少开会》30人开会，11人感染！中国疾控中心：复工复产尽量少开会
Romanticswallow,忽视、欺骗、失职：浙江8人逃离意大利背后忽视、欺骗、失职：浙江8人逃离意大利背后
JasaRat-,:【全国累计六家超市现新冠病例疾控中心提醒只买不逛】天津宝坻百货大楼出现聚集性案例，疾控中心对通风、消毒等防疫措施作出具体要求http://t.cn/A679R3rd（来自财新客户端）
TV哇哇,:巴西发现的病毒又与中国的病毒有所不同，当然，进一步的研究还需要更多的数据公开，西媒不要先入为主就好，谁是李鬼还不明确。另外，美国又在隐瞒尸体，非要国家疾控中心认定才能算一个死亡数据，好吧，人死了连数字也不算是中国公知骂武汉某些官员的话，现在还给美国。
常州新发现,:#常州爆料#3月2日，金坛公安分局接报警称：有人在网上转发关于武进区某镇出现“新冠肺炎”确诊病例的信息。经查，系金坛区某公司财务人员汤某（女，金坛人），在发布提醒员工加强防疫保护通知时，将道听途说的相关信息编辑其中，并加入“接区疾控中心通知”内容，发布在公司内部员工微信群中，后被大量转发，对社会造成一定不良影响。经调查，金坛区疾控中心未发布该通知，汤某已被金坛警方依法治安处罚。常州市公安局金坛分局水北派出所2020年3月3日
五常生态环境,【（视频版）中国疾控中心提示：超市卫生防护指南】#新型冠状病毒##抗击新型肺炎我们在行动#疾控科普的微博视频
都市快报,:【刚刚，2架载有意大利华侨的飞机到达杭州萧山国际机场！白岩松现场连线】今晚将有多名从意大利回国的华人华侨到达杭州萧山机场。由北京飞往杭州的南航CZ6163上有6名，国航CA1706上有30多名。白岩松现场连线，萧山机场运行总监吴湘江介绍，杭州疾控中心会对整个飞机进行排查，将有症状的旅客送排查点，对有症状旅客的前三排和后三排，安排旅客留观。对无症状的旅客，测温，检查健康码后才能离开机场。对来自疫区的旅客，都送留观点留观→http://t.cn/A67pJogZ
沁源政法FXJ,【#6种情况不应该进行消毒#】中国疾控中心研究员张流波表示，①不对室外环境大规模消毒；②雨雪天气不对室外环境消毒；③不对外环境空气消毒；④#不直接用消毒剂对人全身喷洒#消毒；⑤不对外环境水塘、水库、人工湖投消毒剂；⑥#不在有人的情况下对室内空气消毒#。人民日报的微博视频（人民日报）
失去老爸的人,:洛阳疾控中心全景直播http://t.cn/A67pxLKS@优酷
星视频,:【北京通报武汉刑满释放人员进京详细路径，相关失职人员被处罚】3月2日，北京。北京市新型冠状病毒肺炎疫情防控工作新闻发布会，公布武汉刑满释放人员黄某英进京事件调查及处理情况。分别对东城区政府、大广高速求贤检查站、北京市疾控中心、崇文门外街道办及新怡家园社区的相关人员予以处罚。http://t.cn/A67pMeZY
book41,:回顾一下2009年猪流感（2009H1N1）的历程：2009年4月15日首个病例在美国发现；到5月份全美国50个州都有发现；到6月底上报病例数超过5万，美国疾控中心（CDC）估算实际感染人数超过百万；7月22日，首个疫苗开始临床试验；9月15日，美国FDA批准了4个疫苗，11月16日批准了第5个疫苗；10月24日，美国白宫宣布进入全国紧急状态；12月份，美国民众广泛接种疫苗；2010年1月以后，美国的感染病例数快速下降；10月份，美国的白宫宣布结束全国紧急状态。事后，根据美国CDC的估计，从2009年4月到2010年4月这一时期，美国约有6080万人感染病毒、27.4万人住院（估计数目的下限19.5万人，上限高达40万人）、死亡12469人（下限8868人，上限18306人）。——研发疫苗的时间，哪怕从4月15日算起到9月15日，也只是5个月，实际时间更短。不过，猪流感毕竟还是流感，流感疫苗的技术是成熟的，因此相对较快。作者：汤诗语
