凤凰网山东,:#山东累计治愈出院511例#【3日0-12时，山东新增治愈出院14例，累计治愈出院511例】2020年3月3日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院14例，累计治愈出院511例。截至目前，追踪到密切接触者16963人，尚有526人正在接受医学观察。
旅游达人SUSAN,老胡今天又要说可能招骂的话了。中国需要及时调整政策，真正推动复工复产，推动城市恢复活力。前段时间，少数地方复工复产过程中出现个别的聚集性暴发病例，整个省、市都因此承受了巨大压力，相关单位的责任人还受到了追责。我认为应该改变这种局面了。大规模复工复产，难免出现个别病例向周围人的传染，这种事情发生的概率随着中国绝大部分省区已经连续多日病例零增长或偶发一两个新病例而越来越小。各地不能被这样的可能性吓住，整个国家更不能被它吓住。今天中国湖北以外广大地区与韩日、欧洲甚至美国比起来已经是最安全的地方，我们不能为追求“绝对安全”而行动迟缓，不敢放手抓经济，那样的静态防疫不是公共卫生的应有之义。只要世界上疫情仍在流行，中国也就不可能有绝对安全。中国的优势在于，我们已经建立起了卓为有效的全民防控体系，各地现在要做的是，让这个防控体系为经济和社会活动的全面恢复来服务，与它们有效对接，而不是让这个体系成为我们继续前行的障碍。浙江今天刚刚通报了7个新增病例，都是从意大利输入的病例，浙江能够迅速发现这些病例，阻断病毒的传播路径，这就是防控体系在起作用。这几个病例并不会实际提升浙江的防控风险，浙江的复工复产大局也根本无需受这些病例的影响。从武汉封城开始，中国的抗疫取得了巨大成绩，但我们决不能待在这个成绩里苟安，新增几个病例就让我们震动得不得了。偶尔新增几个病例，我们要有足够的信心和定力承受这样的情况。老胡深信，在已经形成了有效防控体系和大家保持着高度警惕性的情况下，几个新增病例绝对翻不了防控的大盘。我们不能夸大偶发的新增聚集性病例对全国防控体系的冲击。老胡主张，中国应继续不搞大型聚集活动，比如开大会、足球比赛、文艺汇演等等需再推后一段时间。但是一般性的商业活动应当开放了，而且不能光是商场、餐馆开着门，但谁都不敢进。其实大家都已经憋坏了，只要各地政府和媒体别再吓唬大家，人们自然会回到各类消费场所中去。防控要继续做，大家能戴口罩的场合继续戴口罩，这很重要。基层防控部门要继续掌握新冠疫情的所有蛛丝马迹。我们需要形成这样的动态体系，这当中要有组织和动员力、智慧、勇气的共同参与。只有在世界上仍有疫情火苗在燃烧的情况下把中国经济真正恢复起来，我们的抗疫才能最终被打一个高分。
海南广播电视总台微博,:【海南发布最新风险提示：建议对2月27日后从疫情较重国家入境抵琼人员，做好健康服务登记】我省已连续12日确诊病例报告为零。但近期受复工复产、国外疫情快速发展，以及对新冠肺炎防控意识有所淡化等影响，不排除从省外、国外输入疫情并导致疫情反复的可能。因此，在疫情还未终止前，仍应提高警惕，坚持依法防控、分区分级、精准施策，提高防控的科学性、针对性、精准性，加强重点人群、重点场所、重点单位管控，以巩固防控成果。防控建议如下：一是持续严防省外国外疫情输入。建议对2020年2月27日以后从疫情较重国家入境抵琼人员，按照国家有关要求开展新冠肺炎入境检疫，进行追踪和健康服务登记。有症状者送发热门诊就诊排查，无症状者集中隔离医学观察14天。二是加大复工复产管理和指导。复工复产企事业单位应建立防控机制，严格按照我省疫情防控要求和技术指南落实相关措施。三是严防输出。各市县应切实推动“健康一码通”管理，践行“健康出行，一码当先”。对红码和黄码人员要严格按要求管理，责任到人。
shuangyu两棵,:发布了头条文章：《美媒：全美已经报告102例新冠肺炎病例6人死亡》美媒：全美已经报告102例新冠肺炎病例6人死亡
阳光重庆,:【3月3日发布会|重庆待排查疑似病例已降至个位数，疫情防控形势持续向好】重庆之声3月3日讯重庆市新冠肺炎疫情防控工作第三十八场新闻发布会3月3日下午举行，市卫生健康委副主任周林通报了我市的疫情情况。3月2日0-24时，我市无新冠肺炎新增确诊病例，新增治愈出院病例19例。截至3月2日，我市现有在院确诊病例101例（其中重型病例7例，危重型病例2例），累计报告确诊病例576例，累计治愈出院病例469例，累计死亡病例6例。累计排除3519例疑似病例，现在尚有3例疑似病例正在排查中。累计追踪到密切接触者23592人，已解除医学观察23235人，现在尚有357人正在接受医学观察。4个集中救治医院现收治患者101例。无外籍人士病例。截至3月2日，我市连续7日无新增确诊病例，29个区县连续14日无新增确诊病例，待排查的疑似病例已经降成个位数只有3例了，疫情防控形势持续向好。但随着各单位复工复产，人员流动性增加，人员聚集风险加大，疫情反弹的压力不容忽视。疫情发生以来，我市紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。（重庆之声记者夏蕴秋）
爱在古玩,#浙江新增7例均为意大利输入病例#预防境外输入必须立即转成禁止境外输入……#308兵团有话说#境外测量体温的标准是以多少度为标准？或者在机场安排对每个从境外回来的使用核酸检测
穗城流年,:#最新疫情地图#好消息，广州连续六天0病例，已确诊346例共治愈271例。
海南网络广播电视台,:【海南发布最新风险提示：建议对2月27日后从疫情较重国家入境抵琼人员，做好健康服务登记】我省已连续12日确诊病例报告为零。但近期受复工复产、国外疫情快速发展，以及对新冠肺炎防控意识有所淡化等影响，不排除从省外、国外输入疫情并导致疫情反复的可能。因此，在疫情还未终止前，仍应提高警惕，坚持依法防控、分区分级、精准施策，提高防控的科学性、针对性、精准性，加强重点人群、重点场所、重点单位管控，以巩固防控成果。防控建议如下：一是持续严防省外国外疫情输入。建议对2020年2月27日以后从疫情较重国家入境抵琼人员，按照国家有关要求开展新冠肺炎入境检疫，进行追踪和健康服务登记。有症状者送发热门诊就诊排查，无症状者集中隔离医学观察14天。二是加大复工复产管理和指导。复工复产企事业单位应建立防控机制，严格按照我省疫情防控要求和技术指南落实相关措施。三是严防输出。各市县应切实推动“健康一码通”管理，践行“健康出行，一码当先”。对红码和黄码人员要严格按要求管理，责任到人。
花朵财经,:韩国新增新冠肺炎确诊病例374例，累计确诊病例5186例。
花朵财经,:韩国新增新冠肺炎确诊病例374例，累计确诊病例5186例。
雅爱筝乐,:#上海已追踪71名浙江输入病例密切接触者#为什么中国政府还不颁布政策暂停国际航班！！！之前国内疫情严重的时候，国外政府都是直接禁停中国！！！现在通过大家的努力国内疫情好不容易出现好缓，政府还在等什么，隔离这段时间，不能出门，没工作，没收入，物价高，还要承担各种房贷等贷款，若是国外输入导致国内疫情加重了，让我们还要继续等一年吗？！强烈要求中国政府，暂停国际航班输入！！！不要让民众失望！！！
