种子拯救者,@种子拯救者大老师，它们这是怎么了，能救么？可以恢复到以前么
绿色蒲江,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
肺癌医僧王昆,有一类病人（III期肺癌患者），这类患者约占非小细胞肺癌的30%，他们既可能被治愈，也可能不可治愈，因此对III期病人的治疗就变得非常重要。在半个世纪以来，对III期肺癌病人，从单纯做手术、单纯做放疗加上化疗，无论我们怎样争取，三、五年生存率大概在20%-30%，也就是说只有20%-30%的病人，我们可以把他拉回到治愈的程度，而70%、80%是不能治愈，这些病人将发展成晚期病人。太平洋（PACIFIC）研究，这个研究的结果告诉我们，在传统放疗化疗基础上，加上英飞凡，可以提高五年生存率到57%，英飞凡治好了一半左右的、处在非常艰难时期的病人。
lonelybird_,收到一个小男孩的私信说：你放心，黑人来了我绝对不保护你”？？？？弟弟，你保护好自己就行了
精彩渝水,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
美林村·美林街,:在这里，3D打印新冠肺炎患者肺部病灶模型获成功http://t.cn/A67S8SxY
天威耗材,:#天威早报#2020年3月4日星期三———————————————【行业资讯】◆从“还原”患者肺部到速造隔离屋中国3D打印助力战“疫”湖南郴州市第一人民医院运用3D打印技术，“打印”出当地一重症新冠肺炎患者的肺部模型，用于指导临床治疗。此模型依照患者肺部病灶CT数据进行3D重建后制作而成，真实还原了患者的肺血管、细小支气管及病灶范围等，相较平面的CT图像，这种等比例彩色三维立体模型，可使医生更精准地评估患者病情，更便于进行病例讨论及开展后期科研教学工作等。【新闻快览】1.中消协直指网游三大乱象：虚假宣传、擅改道具等。2.东京奥运会被允许推迟至年底举行，最终决定权归国际奥委会所有。3.全国总工会：企业应按正常标准向在家上班职工付工资。4.财政部：1月份全国共销售彩票272.10亿元，同比下降43.3%。5.互联网人求职现状：逃离互联网的人增多求稳可以牺牲涨薪。6.谷歌通知欧洲8000员工居家办公取消云计算线下大会。7.高盛：全球经济或陷入衰退边缘。8.国际电联启动6G研究工作。【小威推荐】中标快讯|天威中标上海市采！http://t.cn/A670H3yh———————————————以上早报由天威小助手汇总整理
寻人总动员鸣警,:【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
xlhan0033,:祥龙翘首，吟退疫情病灶魑魅魍魉。安心以待，祈佑大好河山风调雨顺！潮州xlhan0033的微博视频
我腹肌好疼,:【一个月不换内裤，23岁的女孩竟有这种奇葩行为？】女孩的身体开始出现不适。朋友立即将她送到了医院检查。检查结果竟是外阴癌前病变。”医生：“她一个月才换一次内裤，熬夜，抽烟等等，都会增加感染的机会，使抵抗力下降。目前，芳芳已经通过手术成功切除外阴癌前病变病灶，其结果正在进一步化验中。
sh土著人故事,#医学科普#湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病变，三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。新华网的秒拍视频#美国新增4名死亡病例#
