瀚晪,:我的抑郁症状表现为打开冰箱要发呆五秒钟
Souls-jao,:无以上症状要接吐了
八戒悟不空,:现在看日韩伊意包括灯塔美帝综合表现，连最初的鄂汉正府十分之一都不如，须知当初对新冠科学认知完全未知，即使全按常规非典那套响应机制压根没用，非典一上身立即现形可控制在医院内，这类潜伏期长传染力超强无症状微症状…其它国家在已知都这德性
武汉三镇旅游圈,:【#沙特约旦首现新冠肺炎确诊病例##伊朗病例数超过1500#】综合新华社驻外记者报道：新冠肺炎疫情继续在中东地区蔓延，沙特阿拉伯和约旦2日分别宣布首个确诊病例，伊朗累计确诊病例达到1501人，黎巴嫩、伊拉克等国病例数继续攀升。鉴于伊朗疫情严重，世界卫生组织开始向其提供援助。　　据沙特阿拉伯通讯社当地时间2日晚报道，沙特卫生部宣布确诊首例新冠肺炎病例。患者是沙特公民，从伊朗途经巴林返回沙特后出现相关症状，随后被确诊为新冠病毒感染。患者已被送往医院隔离治疗。　　沙特卫生部发言人穆罕默德·阿卜杜勒-阿里1日在新闻发布会上表示，沙特已在全国指定25家疫情防控专门医院。　　约旦卫生部2日宣布，一名30岁约旦籍男子被确诊为新冠病毒感染，这是该国出现的首例确诊病例。约旦卫生大臣萨阿德·贾比尔表示，该男子早前从意大利返回，目前已被转移到医院隔离治疗。他说，若确诊病例达到20例，约旦将暂停公共活动，学校将停课。　　伊朗卫生部公共关系和信息中心主任扎汉普尔2日说，伊朗新增确诊病例523例，累计确诊患者人数升至1501人，其中66人死亡，291人治愈。　　世卫组织2日表示，目前在密切关注伊朗的新冠肺炎疫情。伊通社报道说，世卫组织援助伊朗的试剂盒、手套、外科口罩和呼吸器等总计7.5吨医疗物资2日晚间运抵德黑兰。此外，一个由医生、流行病学家和实验室专家组成的6人医疗队将于3日抵达伊朗。　　伊拉克卫生部2日表示，伊拉克当日新增7例新冠肺炎确诊病例，其中5例来自首都巴格达。截至当日，伊拉克已报告26例确诊病例。　　卡塔尔卫生部2日宣布，卡塔尔当日新增4例新冠肺炎确诊病例，其中2人是卡塔尔公民，另外2人是外籍雇工。卡塔尔累计确诊新冠肺炎病例达7例。　　黎巴嫩卫生部2日宣布，黎巴嫩当天新增3例新冠肺炎确诊病例，总确诊病例数达到13例。　　以色列卫生部2日晚表示，当天以色列新增2例新冠肺炎确诊病例，累计确诊病例升至12例。新增病例都是以色列人，均曾前往意大利旅行。　　埃及卫生部2日凌晨发表声明说，埃及确诊第二例新冠肺炎病例。卫生部发言人哈立德·穆贾希德在声明中说，确诊患者为一名外籍人士，确诊时已出现轻微症状，但健康状况稳定。穆贾希德说，埃及卫生部已对这名患者的密切接触者采取了严格的隔离措施。
火齐珠也,:刚刚随便翻了一下微博，发现之前看病的医生回国了，已经在接诊了。看了他发了一个病例，有些症状跟我挺像的，他讲了几个后续治疗方案。我当时能大概保持正常之后他要出国了，下一步治疗他让我去找了他老师看。我在他老师诊室等的时候很多人，前年一个女孩子才初中生十几岁吧很漂亮，已经在治了一段时间但是就诊的时候医生问了就哭着说疼，疼得好长时间睡不着，我看她一边哭一遍说难受我也难受。我后来没跟他老师也没继续治，他老师那人太多了。现在医生回国了，我不知道要不要找他再看看。说实话，我很害怕，我不想到疼得睡不着的那一步，也不想到手术那一步。三次关节腔注射我都够呛了，真的挺害怕的。
西海都市报官方微博,:【返岗需要隔离吗？青海人速看，权威解答来了】企业开复业和重大项目开复工问答问：企业开复工需要办理什么手续？答：根据青海省政府《关于采取有效措施全力推进复工复产的补充规定》要求，非重点防控地区和一般防控地区企业复工复产不再办理申报手续，由企业在严格落实疫情防控和安全生产措施的前提前下，自行开复工。问：人员返岗是否需要进行隔离？答：外省来青务工人员，由户籍地、居住地、所在企业、用人单位等任何一方提供证明：到青之前14天无病史、与病患人员无接触史、无湖北旅居史、经检测无症状的，不再进行隔离，由用工单位自行进行符合要求的健康管理，企业所在地疫情防控处置工作指挥部负责监管到位。省内返岗务工人员，用工单位实行符合规定的岗位健康管理，由企业所在地疫情防控处置工作指挥部负责监管到位。户籍在外地，有证明上岗前14天在青海且没有外省活动史、没有与新冠肺炎患者接触史的视同省内返岗务工人员。问：在协助企业运输原材料等方面有何措施？答：企业运送员工、运载原料、产品的，可租用青运公司车辆。企业点对点接送员工返岗上岗车辆，企业原料、产品运输车辆，只要有当地疫情防控处置工作指挥部证明凭证，省界检测站、重点地区检测站及各类检测站要保证优先通行。企业无力解决健康管理场所、保障运载运送车辆的，当地县级及县级以上防控指挥部、复产复工领导小组负责协调解决。问：中小微企业能否申请缓缴水电费等？答：在疫情防控期间，中小微企业缓缴三个月水、电、气费用，“欠费不停供”，免收滞纳金或违约金。对疫情防控期间暂不能满负荷生产的企业，向当地供电公司申请减容、暂停、减容恢复、暂停恢复，减免相应的容量电费。自2月1日至6月30日，除高耗能行业用户，工商业用户用电价格在现行价格的基础上降低5%。问：还款困难的企业是否可以申请贷款补贴？答：根据省政府出台的《应对新冠肺炎疫情支持中小微企业发展和推动重大项目开复工的政策措施的补充规定》，受疫情影响造成流动性困难的中小微企业贷款本金，可以给予临时性延期偿还安排。问：企业租赁的国有产权房屋能否享受减免？答：在疫情防控期间，中小微企业和个体工商户，凡是租用国有产权房产、场地、设备的，在执行《青海省人民政府关于印发应对新冠肺炎疫情支持中小微企业发展和推动重大项目开复工政策措施的通知》(青政〔2020〕15号)第16条规定的基础上，免除场地、设备租赁费用。问：受疫情影响的企业在养老、失业、工商保险费用方面有哪些优惠？答：从2020年2月到6月，对中小微企业免征养老、失业、工伤保险单位缴费;从2020年2月到4月，对大型企业减半征收养老、失业、工伤保险单位缴费。对符合困难企业认定条件的实行缓缴社会保险费政策，缓缴期可延长到6个月。个体工商户按单位参保企业职工养老、失业、工伤保险的，参照中小微企业享受减免政策。（记者/彭娜）
选股宝APP,:国风塑业：3月2日合肥市二院通过疫情网报告一例新冠病毒无症状感染者，为公司生产车间一名普通员工。对此，公司已启动应急预案，于3月1日对本部生产线陆续临时停产。本次疫情造成本部生产线临时停产，预计将对公司本期业绩造成一定影响。
北京胡同2008,:
路胖是个清瘦的姑凉好么QAQ,:#上海已追踪71名浙江输入病例密切接触者#好多人说上海机场有责任上海的入境检查有问题但是除了量体温还有什么有效的方法吗总不能所有无症状的人全部隔离14天吧也不能停航班不让入境吧那咋办啊
疤痕整形杨川峰,:#双眼皮[超话]#手术做的好不好之——切口疤痕是否明显
上海大学顾传青,:全国看武汉！湖北省副省长杨云彦介绍：新冠肺炎患者增量风险仍未得到根本控制全省还有2万多名患者在院救治，6000多名重症、危重症患者仍需加大救助力度。同时“像武汉市每天还有三位数的新增病例。”他介绍，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象。
燕窝达人娜娜NANA,:🌈手脚‎冰凉--请吃阿胶糕尤其是脚‎部‎手脚冰凉难‎过‎冬阿胶‎糕‎帮你改善‎畏寒‎、气‎血‎不通的‎症状‎
上海大学顾传青,:全国看武汉！湖北省副省长杨云彦介绍：新冠肺炎患者增量风险仍未得到根本控制全省还有2万多名患者在院救治，6000多名重症、危重症患者仍需加大救助力度。同时“像武汉市每天还有三位数的新增病例。”他介绍，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象。
燕窝达人娜娜NANA,:🌈手脚‎冰凉--请吃阿胶糕尤其是脚‎部‎手脚冰凉难‎过‎冬阿胶‎糕‎帮你改善‎畏寒‎、气‎血‎不通的‎症状‎
出馬仙龍鳳堂-古月,:#出马仙文化[超话]#带仙缘的弟子未立堂口就开始打坐，无论是用道家的还是佛家的打坐方法，都极其容易招惹邪灵入体，一旦邪灵入体，可能会出现灵感很强，会看事，托梦等症状出现，让很多弟子误认为这就是自己的仙家，这就是仙家在跟自己沟通，这是一件很危险的事情。古月遇到过很多这样的弟子，即使是知道自己带仙缘，但一切也都好好的，症状什么的都很轻，可越是打坐，出现的症状越多，而且也越来越频繁，所以带仙缘却还未立堂口的弟子，千万不可自行打坐#算命##出马仙##因果##修行#
移动的咖啡豆,:大姨妈来之前的症状又多了个头疼
浙江在线,:#新冠肺炎全球进展#【苹果联合创始人自称或是美国新冠肺炎首批感染者妻子回应了】苹果联合创始人斯蒂夫·沃兹尼亚克（SteveWozniak）2日在社交平台发文称，两个月前，他们从中国返回美国，他的妻子珍妮特（Janet）就出现严重的咳嗽，随后去看了医生。珍妮特的咳嗽症状从1月4日开始，沃兹尼亚克认为，自己和妻子很可能是美国首批新冠肺炎的感染人群。不过，在引发热议之时，珍妮特很快打消了这种怀疑，她向美媒透露，自己的咳嗽实际上由鼻窦炎引起。via海外网http://t.cn/A67Nq2PN
福星AK,:划重点！意大利输入的体温无异常
圆梦医生,:日本游轮差不多是唯一一个进行过大范围核酸检测的场所。发现无症状感染者占一半，就是说无症状感染者和有症状者数量一样多。“无症状感染者不算病例，因此不需要报告”，中国报告的8万例均是有症状且咽部核酸阳性（估计大多数未做肛拭），无症状感染者该有多少？加上还有很多症状轻微或仅有轻度腹泻没去医院就诊的数量应该一目了然。中国通过停止聚餐控制住了疫情，海外即很快出现聚集性疫情。今天浙江两例境外输入病例在意大利是餐厅工作，潜伏期内通过肠道排毒得污染多少食物，传染多少人？聚集性发病説明病毒是密切接触传播，香港做过实验，近距离收集采样病人呼出的空气中检测不到病毒，而唾液中病毒拷贝数巨大。
鄂蚕,:十问冠状病毒1.病毒的传播途径到底是什么？空气还是气溶胶？鼻口还是手？2.病毒进入某个人体内需要多大的剂量才能感染成功？一百个？一千个？百万个？3.病毒感染后需要多少天才有传播力？4.患者具有传播力的时候有没有症状？患者传染性最强是什么时候？5.病毒看起来全身各器官都能损害，到底在体内是通过血液还是淋巴液扩散？或者直接攻击免疫系统？6.病毒有没有变异，毒性减弱了没有？7.感染康复的患者是否有足够的抗体，是否能获得一段时间的免疫力？这种免疫力可以持续一个月，还是一年，还是一生？8.儿童对病毒的特殊抵抗力是否与儿童免疫系统的特殊性有关？儿童具有扁桃体和胸腺等特殊免疫器官。9.老年人易危重，到底是病毒感染本身，还是病毒诱发了老年人自身的基础疾病？10.冠状病毒，你是谁，你从何处来，又到何处去？http://t.cn/z8KxoB3
八百万的触手,:总有人自嘲是不惜一切代价的代价？呸，你也配？就像@维稳先锋卡菊轮之前吹的唢呐，湖北武汉现在做的是把毒性强的新冠病毒隔离消灭，无症状低毒性的养成普通流感，武汉现在吃一口半口国有饭的哪个不是潜在病毒携带者？某社区工作人员发热确诊，社区问领导怎么办？拿着诊断书进方舱就不用来上班了。试剂盒发放到街道，某街道工作人员自己拿来测了一下，无症状阳的！医护工作者，志愿者，下沉社区的工作者，千千万万维护着水电煤网物流的工作者，物业，清洁工人们才是代价！http://t.cn/R2WxQOQ
政委灿荣,:据商业内幕头条报道，一名最近刚从日本返回纽约的男子因有咳嗽发烧和头痛的症状主动到纽约市立医院急诊室就诊，考虑到日本已经有200名以上新冠肺炎确诊病例，该男子怀疑自己感染了新冠病毒。在市立医院进行了20项基本病毒检测都为阴性后，CDC依据条例拒绝了该男子的新冠病毒检测要求，并允许其照常活动，包括乘坐地铁。依据CDC的指导原则，有近期日本旅行史的人员只有当病症足够严重到必须住院治疗时才会被当做潜在新冠病毒病人对待，而这一规则也同样适用于有中国、伊朗、意大利和韩国旅行史的人员。所以，该男子的诊断医生最终只能做出了“非新冠病毒疑似病例”的决定，并建议他“烧退之前，待在家中。”
美德医齿科平台,:
常鸿所陈剑峰律师,:【与北京朝阳工亡案家属沟通】两大块儿：1、是否属于工亡？因为死前两三天据说有食欲不振等症状，当天去单位是准备请假上医院瞧瞧；据说领班带女士到黑诊所治疗未经请示公司领导；2、黑诊所负责人被检方依法逮捕，医疗纠纷案如何解决？建议家属先离京回家，疫情后再来京面谈。说同行黄律师推荐找我的。
田野的华章,:为什么新冠肺炎会有无症状患者呢？病毒致病性是一样的，但进入不同的机体产生的反应会有所不同。一种是为了防疫病毒，身体内会产生紧急免疫反应，另一种是自身免疫反应不能有效激活，因此病毒扩散。
圈地自萌的小米粒,:最近的一些迷幻现象魔幻发言我感觉都是大家在家呆久了，心理出了一些问题，多出去小走一下可能会缓解这种胡言胡语的症状，以及公主病的心理特质
足迹3166,:我想要有一口整齐白皙的牙齿！不想要现在的门牙太大，一颗2号牙存在反颌问题。去君臣口腔、华众口腔、樱华口腔说我是因为共性症状和有口呼吸导致黑眼圈引起的。矫正方案是后牙伸长的话，面型会更长。不知道怎么样@成都正畸指南能告诉我这家怎么样吗？性价比高吗？#成都牙齿矫正##成都中线不齐如何矫正#
naturan32,#韩国新冠肺炎病例破千#韩国疫情的一个坏消息，和一个好消息。韩国疾控中心的最新反馈，已完成对大邱地区所有1900名新天地教徒检测。其中，1300人回复出现症状，600人回复无症状。1300名有症状者中，87.5%确诊感染。600名无症状者中，70%确诊感染。此外，"有症状的"非信徒大邱市民的排查后确诊率，保持在"极低"的状态，大邱市方面预计，1日开始的确诊速度将会降低。当然前提是，如果疫情没有扩散到其他地区。
塔城消防,:#浙江8输入病例在意大利同一餐厅工作#【如何识别无症状感染者他们是怎么“隐身带毒”传染他人的（央视网）】无症状感染者是如何传播病毒的？出现无症状感染者，是因为潜伏期长，还是因为个人免疫力导致病毒无法攻击却能存活，又或是因为病毒不攻击与其共生？无症状感染者会不会成为超级传播者？如果无症状感染者一直未被发现会怎样？该如何防控？视频为你解密隐形带“毒”者。http://t.cn/A67ijZVc
足迹3166,:我想要有一口整齐白皙的牙齿！不想要现在的门牙太大，一颗2号牙存在反颌问题。去君臣口腔、华众口腔、樱华口腔说我是因为共性症状和有口呼吸导致黑眼圈引起的。矫正方案是后牙伸长的话，面型会更长。不知道怎么样@成都正畸指南能告诉我这家怎么样吗？性价比高吗？#成都牙齿矫正##成都中线不齐如何矫正#
naturan32,#韩国新冠肺炎病例破千#韩国疫情的一个坏消息，和一个好消息。韩国疾控中心的最新反馈，已完成对大邱地区所有1900名新天地教徒检测。其中，1300人回复出现症状，600人回复无症状。1300名有症状者中，87.5%确诊感染。600名无症状者中，70%确诊感染。此外，"有症状的"非信徒大邱市民的排查后确诊率，保持在"极低"的状态，大邱市方面预计，1日开始的确诊速度将会降低。当然前提是，如果疫情没有扩散到其他地区。
教书匠杰-哥,:#看新闻学英语#comedownwith患，得（病）host招待asymptomatic〔人或疾病〕无症状的pathogen病原体，致病菌occurrence发生的事
中国商网-中国商报,:【湖北疫情增量风险仍未根本控制】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。疫情增量风险仍未根本控制。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。#湖北回应首家方舱医院休舱#
二三里辽宁,:沈阳桃仙国际机场排查出的7名呼吸道症状患者核酸检测结果为阴性沈阳网讯3月2日18时，沈阳市卫生健康委发布，3月1日16时至3月2日16时，沈阳桃仙国际机场共排查出7名具有呼吸道症状的患者。市卫健部门接到报告后，按照新型冠状病毒肺炎疫情防控应急预案和转运流程，立即组织沈阳急救中心专车将上述7名患者转入市第四人民医院北陵院区进行隔离治疗，同时采集样品，经市疾病预防控制中心实验室核酸检测结果均为阴性。来源：沈阳网
魔都考研糖宝,:#考研#【TED：也许这才是你抑郁和焦虑的原因】我40岁了，在我一生中，年复一年，严重的抑郁和焦虑症状在美英等国家不断浮现出来，横扫整个西方世界。我想要搞清楚为什么。为什么这开始发生在我们身上？为什么过去的每一年里，越来越多人发现更难以度过每一天？TEDNews的微博视频
qwertyuiopoiuytrqe,法国上层发布中国的研究结果：0-9岁和9-19岁分别占感染人数的1%。五种冠状病毒在法国存在了好几年，对青少年无碍，要不不感染，要不感染后在不知不觉中自愈。另外，50%的人感染了新冠毒无症状、轻症35%、中等症状10%...只有5%的人有重症和并发症（老人）。所以，现在最大的危险是无症状的带毒者、特别是少年儿童，传染长者。对策是注意保护老人，医院只收重症以避免挤垮医院，备有5000张病床，目前情况下足以应付（法国的人口是中国的1/20）。无症、轻症居家隔离，统计意义上的后遗症和死亡率为0，自愈率很大。有症状发展，打15求医，不要自己去就医，避免感染别人。没有治新冠毒的药、也没有疫苗...所以，有症状，对症治疗。轻症或没有症状，就“家里蹲”，跟流感一样等自愈。#法兰西的故事#
贰胎年代,:#产后调理#脾受损，人就荒废一半！脸上的脾虚症状，一眼就能看出，尽早调理。贰胎年代的微博视频
时间国际视频,:【已致6人感染！日本女护士确诊前不戴口罩参加演唱会狂嗨5小时】3月2日，日本高知县政府召开新闻发布会称，该县一名女护士确诊新冠肺炎。这名女护士在出现新冠肺炎症状后，仍然和友人一起观看了LiveHouse演唱会。最终导致同场观众和工作人员中，包括她和朋友在内的6人确诊。目前，大阪府已要求政府派遣聚集性感染专家团队，对该事件进行详细调查。http://t.cn/A67NbwEE
海外助孕小天使,:有少量出血，小便多，嘴巴金属味？#备孕#可能是胚胎在着床！#怀孕初期症状##试管婴儿生儿子##卵巢早衰供卵供精##柒月健康泰国试管婴儿#着床是受精卵植入母体子宫，也就是说你怀孕了。那么，在怀孕最最的早期，也就是受精卵着床时期，你的身体又会有什么样的感受呢？留意是否有少量出血还不到来月经的时候？那么少量出血可能是着床迹象。这通常与普通月经不同，出血量很少，可能看起来就像来月经的头两天。注意绞痛症状你可能会在怀孕初期感到腹部绞痛，会在来月经时感到腹部绞痛，也可能在月经前出现这个症状。这是经前综合症的常见症状。着床痛与经痛相似。留意腹部绞痛的严重程度。如果特别痛，你应该去看医生。要是疼痛转移到身体另一侧，也应该去看医生。这两种状况都可能意味着身体出问题了。注意小便次数是否比别人多受精卵着床的其中一个症状是尿频（但并非所有人都会出现这种状况）。你的身体会分泌更多人绒毛膜促性腺激素，增加流向膀胱附近的血流，导致尿频。观察头晕症状孕妇可能会觉得头晕，主要是因为激素变化。但是，有的医生认为这也可能是身体正在制造更多血给胎儿的缘故。留意你是否更觉得饥饿有时候，即使是怀孕初期，你可能会比平时更常感到饥饿。如果症状持续超过一两天，可能是受精卵已经着床。检查是否恶心晨吐这个词并不恰当，因为孕妇在孕期中的任何时候都有可能感到恶心和呕吐。早在怀孕后2周就可能出现这个症状。留意是否对某些食物和味道反感怀孕初期的其中一个症状是突然对某个食物和味道反感。这个症状会引发晨吐（即使你之前很喜欢这个味道或食物）。注意是否呼吸困难这个症状最常出现在怀孕初期和后期。你可能觉得比平时更容易喘不过气来。不管何时出现这个症状，都必须告诉医生。嘴巴里有金属味有的女性在怀孕不久后，会感到嘴巴里有金属味。经前综合症不会出现这个症状。http://t.cn/R2Wx8NM
每天都网购,:#非防控重点地区只抓防控是懒政##你眼中的新疆到底有多美##新疆統一隔離無症狀人群#行吧，以后就这样打卡了
慕乡空谷,:#韩国累计确诊新冠肺炎5186例#
名城早报,:【#中医药在湖北新冠肺炎防治中发挥重要作用#】“临床发现，中医经验方在减轻发热咳嗽症状、控制病情进展，提升人体免疫力方面有独特优势。”湖北省中医院新型冠状病毒肺炎防治专家杨毅说。　　新冠肺炎疫情发生后，全国中医药系统医疗队员3350人、5支国家中医医疗队739名医务人员驰援武汉，进驻武汉市金银潭医院、湖北省中西医结合医院、雷神山医院救治患者，同时在武汉市江夏区整建制托管大花山方舱医院，收治患者416人，开展中医药特色救治。　　“中医药早期介入干预，稳定人心，减少新发患者，从源头上防控疫情蔓延发挥了作用。”湖北省卫生健康委中医综合处负责人介绍，仅武汉市面向集中隔离观察点隔离人员和有需求的居家密切接触者，发放中药汤剂近32.1万人份，发放中成药24.8万人份，隔离人员基本做到中药应服尽服。　　湖北还以方舱医院为重点，推动中医药全面参与治疗。16个方舱医院累计收治病例11740人，同步配送中药汤剂和金花清感胶囊等4种中成药，中药使用率99.93%。在14家定点医疗机构的重症、危重症患者中，也强化中医药全程参与。　　1月25日，61岁的钱先生因持续高热、呼吸困难被送到湖北省中医院光谷院区急诊科，随后确诊为新冠肺炎，由于基础疾病多，病情发展快，钱先生被两次宣告病危。湖北省中医院急诊科主任李刚副教授团队，进行十多天中西医结合治疗和调理后，2月17日康复出院。　　“中医药治疗贯穿钱先生治疗全病程。”李刚说，“根据不同病程，开具‘肺炎2号’‘肺炎3号’‘肺炎4号’和‘肺炎5号’方。他能转危为安，中医药发挥了重要作用。”出院后，钱先生将继续服用一段时间“肺炎5号”方汤剂。　　68岁的重症患者霍先生与钱先生同一天出院。两人病程发展有所不同，治疗过程中，中药使用也略有差异。“霍先生入院后，先采用抗感染的西药，控制炎症反应，再用中药对症调理。”　　湖北省中医院肺病五科负责人冯毅说，中医药参与治疗，能促进肺部病灶吸收，减少甚至解决肺组织损伤、肺纤维化等并发症和后遗症。目前，随访出院患者，均反馈病情稳定且在逐步康复中。　　据统计，湖北确诊病例中医药使用率为88.93%。截至2月28日24时，全省43家定点中医医院累计收治确诊病例7246人，中医药使用率为97.71%，患者发烧、乏力、咳嗽等症状和影像学表现均明显改善。　　张伯礼等3位院士领导的团队，在武汉临床研究初步结果也表明，中西医结合总体疗效，明显优于单纯西药治疗。@新华网
随县检察,:【北京回应“望京一韩国人确诊”：患者并非新冠肺炎】3日，北京市就疫情防控召开新闻发布会。北京市朝阳区望京街道工委副书记、办事处主任杨晓昇介绍，2月27日上午，在北京市朝阳区望京街道某社区，一位从韩国返京的外籍人士致电社区，称身体不适，并伴有呕吐症状。社区工作人员第一时间联系120，将其送往医院。后经医疗机构确认，并非新冠肺炎。该人士出院后，继续返回社区进行居家隔离。@中国新闻网
