天厨星-林功宇,:《伊朗新增586例新冠肺炎确诊病例累计2922例》伊朗新增586例新冠肺炎确诊病例累计2922例http://t.cn/A67l8YH4
辽宁交通广播,:#抗击新冠肺炎疫情进行时#【丹东近期的4例确诊病例，目前病情稳定了】截至2020年3月4日13时，我市累计报告确诊病例11例，治愈出院7例，4例在省集中救治大连中心治疗，病情平稳。丹东市新冠肺炎疫情防控指挥部2020年3月4日
yocogetu日本疫情速报,:#日本疫情#实时更新日本新冠肺炎感染病例#日本新型肺炎#宮崎県出现了县内首例确诊病例日本·东京
湖南电台,:【湖南累计治愈出院率达91.1%，中医药参与治疗比例100%】截至3月4日12时，湖南累计报告确诊病例1018例，出院病例927例，在院治疗87例，累计治愈出院率达91.1%，近10天有8天为确诊病例零报告，接受医学观察者人数降至329人。湖南综合施治科学救治患者，将肺康复治疗、营养支持治疗、心理治疗等措施应用于轻症患者的救治，深化中西医协同，遵循中医辨证施治原则。目前，在院患者中医药参与治疗比例100%。全省122个县市区中有114个连续14天以上无新增确诊病例，有4个市州实现确诊患者治愈清零。（湖南电台《全省新闻联播》记者刘继衡|编辑张冠）@新浪湖南@芒果动听@湖南交通频道官方微博@金鹰955电台@893汽车音乐电台@湖南电台新闻综合频道@FM901湖南经广@News938潇湘之声@湖南年代音乐台@975摩登音乐台#湖南省应急广播湖南交通频道##湖南防控新型肺炎##防控疫情我们在一起##湖南防控新冠肺炎##湖南电台新冠肺炎资讯#
新华播报肖华,:#全球抗疫第一线#【#马来西亚累计确诊新冠肺炎50例#】当地时间4日下午，马来西亚卫生部总监召开记者会说，马来西亚新增14例新冠肺炎确诊病例，创下单日最高确诊病例纪录。新增的第37名患者至第50名患者当中，绝大部分都和第26名确诊患者有接触。目前马来西亚累计确诊病例50例，其中治愈出院22例。（总台记者徐荃乐）
呼吸内科女医生,:#中国境外确诊病例超过1万#终南山院士说过：新冠肺炎不是中国的病，他一个是人类的病。#新冠肺炎已开始在日本流行#目前来看，在美日韩自己欧洲一些国家，疫情的控制态势并不乐观。上海·上海交通大学附属第一人民医院南院
高淳市场监管,:#全民战疫#【世卫组织：#新冠肺炎与季节性流感有4大不同#
最-时光,北京大叔自制N95口罩最-时光的微博视频
柯周-,:#中国境外确诊病例超过1万##中国境外确诊病例八成来自韩意伊#截至北京时间3月3日16时，各国公布的新冠肺炎疫情数据显示，中国境外新冠肺炎确诊病例已经超过1万例。
财经961,:【在新冠肺炎疫情防控中，采用了哪些高精尖的技术和设备？】1针对确诊病例数量不断下降，防护服产能逐渐提高，会用于出口吗？一个多月以来，物资保障组加强统筹协调，采取有力措施，通过动员企业复工复产，支持企业技改扩产扩能，加强人员、物资、运输的保障协调，防护服的产能和产量得到了快速的增长。目前，防护服的生产供应已经由十分紧缺转为能够满足需求。每日我们协调保障湖北地区防护服的数量达到了25万件，已经连续十几天超出湖北地区的需求。虽然现在全国现有确诊的病例数量在下降，但是疫情防控仍处于吃劲的阶段，防护服的生产供应仍不能放松。下一步，在充分保障湖北地区需求的同时，要兼顾全国其他地区的防控需要，同时我们也引导企业注重疫情形势的变化，增强生产柔性，确保产品质量按需组织生产，提升有效供给能力。我们也注意到，目前疫情在全球多个国家出现，部分地区疫情在加剧，防护物资也出现了紧缺的情况。中国是防护服生产的大国，我们也鼓励国内防护服的生产企业积极对接国外需求，按相应标准规范生产出口，为全球共同抗击疫情做出贡献。2在新冠肺炎疫情防控中，采用了哪些高精尖的技术和设备？在这次新冠肺炎的临床救治过程中，像我们过去了解的一些设备，比如呼吸机、体外膜肺氧合机（ECMO）、P3移动实验室，还有移动的CT等等这些高精尖设备都投入到救治工作中，发挥了重要的作用。这些设备是通过驰援湖北的医疗队随身携带，还有从全国范围内紧急征调，以及在全球范围内紧急采购等多种方式迅速调集，用于武汉临床救治。呼吸机和体外膜肺氧合机（ECMO）主要是为了重症患者提供呼吸支持。P3移动实验室为方舱医院提供核酸检测，由于它是可以移动的，哪儿有需要，移动P3车就可以开到哪儿去，能够快速完成检测任务。移动的CT为方舱医院提供了CT的检查，因为它的特点就是灵活机动、高效便捷，这样患者就可以就近进行CT检查。据了解，一个胸部CT检查时间大概不到3分钟。这些高精尖设备的应用，对于满足一线的救治发挥了非常重要的作用。下一步，我们将按照国务院联防联控机制的有关要求，与有关单位做好需求的对接，保障医疗设备尤其是危重症救治的医疗设备的供应，精准合理分配，把这些设备分配到相关的医疗机构。3在推进“健康码”各地互认等信息互通方面做了哪些工作？当前我们抗击新冠肺炎有一个极有力的技术手段，就是利用大数据。疫情发生以来，按照党中央、国务院的部署，电信企业以及科技企业充分利用数据资源，紧急建立了疫情大数据的分析模型，聚焦重点区域、重点时间结点来分析预测确诊、疑似患者以及密切接触人员等重点人群的流动情况。同时，我们积极会同相关部门以及地方政府来做好疫情联防联控，取得了一些阶段性的成效。比如，我们的基础电信企业为全国手机用户免费提供本人到访地短信的查询服务，经用户授权可以查询近15日和30日内到访省市的信息。阿里、腾讯等科技企业也及时开发了一些小程序，推出疫情防控的“健康码”。这些服务都为复工复产提供了方便快捷的“通行证”。我们也鼓励各省加强自身的防控，省际间互信互利，为广大复工复产的群众提供便利。同时，作为监管部门，在数据分析使用的过程中，我们依据个人信息保护的有关法律法规，严格落实数据安全和个人信息保护的有关措施，切实加强监管，防范数据的泄露、数据的滥用等违规行为。4诊疗方案里面提到的主要治疗药物和药品供应情况能不能满足现在的需求？结合新型冠状病毒感染肺炎诊疗方案和有关专家的建议，我部依托“国家重点医疗物资保障调度平台”，对30种重点药品和70余种中药饮片的生产、销售和库存等情况开展每日的动态监测，从监测情况看，α-干扰素、激素类药物、检测试剂盒等重点品种，目前能够满足武汉湖北一线的需求。中成药中药饮片的生产比较正常，库存也相对充足。春节以来，我们积极协调原料药和制剂企业复工复产，解决企业复工复产中的人员出行、原料货源和交通运输等实际困难，目前6家企业恢复了磷酸氯喹的生产，市场的供应比较充分，现在已经运抵湖北的磷酸氯喹有15万人份，阿比多尔的生产也已经恢复正常，能够满足临床使用需要。下一步，我们结合湖北省以及其他省市提出的使用需求，将积极做好各类防疫药物的供需对接，并密切关注有关专家提出的特效治疗药物的研究进展，会同有关部门做好生产的衔接。我们也相信，我们有信心也有能力能够保证湖北和全国各地的治疗药物的需求。5现在负压救护车的保障情况如何？在疫情防控之初，大量的患者急需转运救治，当时负压救护车成为了社会各界高度关注的首批重要物资，按照国务院联防联控机制的总体部署，我们医疗物资保障组第一时间组织国内的主要生产企业，在春节期间就已经开始加班加点的生产。我们通过下达任务书等等方式，组织上汽大通、江西江铃、北汽福田等一些企业主动加班加点生产。在这个过程中，我们积极协调企业遇到的瓶颈问题，当时在春节期间，人力物力，包括资金流等等都是问题，大家与时间赛跑，与疫情赛跑，主要企业纷纷都立下了军令状，克服工期紧、人手短、物料缺等这些问题，将原本30天的工期大大缩短，到2月5日仅仅用10天就下线了244台负压救护车，送往了防疫的一线，应该说这对一个企业生产汽车来说，真的是原来不敢想象的。截至目前，我们全国负压救护车日均产能已经超过100辆，重点企业已经累计生产将近2000辆。在这个过程中，确保湖北武汉的需要，一直是我们的核心任务，在各方的努力下，总体来说湖北省各个阶段的负压救护车的需求还是得到了比较好的满足。比如2月5日前后，火神山、雷神山建成之时，当时就已经有20余辆负压救护车运抵待命。到2月15日的时候，360辆负压救护车抵达了武汉，为打赢“应收尽收”的攻坚战发挥了重要的保障作用。在这个过程中，也有一些感人的事情，比如我们的企业冒着全国普降大雪的恶劣天气，千方百计地抢运，相关的省市，比如辽宁、天津、河北、河南，包括湖北四省一市的交警持续接力护卫，让华晨汽车40辆负压救护车顶风冒雪跨越了2000公里，很快地从沈阳赶到了武汉等等，这些事情举不胜举。截至3月3日晚上，各重点企业已经运抵湖北省的负压救护车达到了690辆，覆盖了全省17个地市，其中武汉就有329辆，应该说总体满足了湖北省疫情防控当前的需要。在这个过程中，我们还专门下发通知，并会同卫健委等部门加强企业产品质量安全以及产品售后服务保障等等方面的工作，确保负压救护车有的用、用的好。6疫情过去之后重要的医疗救治设备会不会出现冗余的情况？在这次疫情防控的过程中，各级政府采购、征调，社会捐赠了大量的医疗设备，目前均集中用于湖北和武汉的定点医疗机构。疫情过后，为了做好相关医疗设备的合理使用，在中央指导组的指导下，国家卫生健康委正在会同国家发改委以及湖北省，研究制订疫情后医疗设备处置的方案，切实加强疫情应急医疗设备的统筹管理和科学调配。同时，也利用这次机会来提升湖北省各级医院和基层医疗卫生机构的装备水平。
南充网警巡查执法,:【疫情期间乘坐公共交通工具指南
