林要carpediem,:美国政府从上到下加上各种相关机构对新冠肺炎的反应态度和处理措施我只能用WTF
土豆豆终结者,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
比喜欢哥哥多一点,:[20200303]幸好昨天没有拖延，赶上国内下午收稿[加油]，梦里收到回执，继续加油。被拉进几个团购的社区群，看着盐水鸭三个字口水都要流下来了
天津李军私家侦探,:疫情限制了绝大部分的活动。到哪里都必须登记，测体温，姓名，证件，电话，同行人，租赁合同........约30分钟后进。#私家侦探社区[超话]#
一个兴趣使然的网名,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
清香幽兰llx,:刚刚看到一篇新余本地某社区卫生院抗疫的报道，首先该卫生院不是指定发烧疑似确诊医院，其次不是隔离点，疫情期间可能大部分人工作量都多少会有所增加，报道里面多次点名提到该社区卫生院院长，副院长，办公室主任，护士长，不管抗疫也好日常诊疗也罢，在一线的都是基层的医生和护士，再者几个定点抗疫医院都没有特别指名道姓报道相关领导。http://t.cn/RJZ8KTp
1111___11111,昨天肖战粉丝跟AO3的事儿，很多金融圈（#区块链#）的朋友都因为#孙宇晨#的引导，而跑娱乐圈去吃瓜了。其实我到现在也不清楚肖战粉丝都干嘛了，反正看到的是孙宇晨又准备撒钱了……在追逐热点事件上，社会他孙哥从来没有错过
斑目晴子,:社区的工作人员都要守到半夜一点。确实太辛苦了。我觉得不是很有必要；我刚回四川的时候，他们是守到晚上十点就可以的。因为守门无聊，晚上又没多少人出入，我遛狗路上被好几个人问了大胖，什么品种？咬不咬人？撕不撕家？哎你说普通话，不是本地人哈？哪儿的？本地话能听懂不？……等等等等。
梁哥好纯粹,:#微博辟谣#此人恶意将素人视频截图造谣成艺人，不但侵犯素人的权益，此造谣言论，严重危害了艺人明星的名誉权。同时该用户的暴力低俗言论严重危害未成年网友身心健康，严重违反了《微博社区管理规定(试行)》，严重破坏网络治安环境。请尽快处理，谢谢。.
小野猫gogogo,:#抗击冠病进行时#在家隔离第四个14天，县城已经连续一二十天没有新增病例，市里已经连续3天没有新增病例了，社区还处于管制状态，难道不能一个地域在一定时限比如14天内没有新增病例了，准许内部流动么？一大家人在家里呆着2个月3个月……，没有工资来源，面对房贷车贷和不断攀升的物价，有多焦躁不说，咋还不看到解封的希望呢
周小虎2010,#美国疫情#美国财长姆努钦：首先要关注的是对#新型冠状病毒#传染社区的健康影响，而不是经济影响。政府的目标是分发近100万份检测试剂盒。#新冠肺炎#的情况仍在发展，财政部成立的工作组可能会建议采取特殊行动，来帮助中小型企业。我将探讨所有可用选择，来解决受病毒影响的经济领域。目前不考虑撤销对华关税。
