上海众合,:如果结果不如你所愿，就在尘埃落定前奋力一博
一股作气Can,:3月3日晚，最近的行情真的很符合我的方法，我今晚复盘的其中一个工作是，在环保板块中选择滞涨股，我是一个一个翻的，结果当我翻到这个股票后，我就不用继续翻了，因为它太符合我的买入规则了，V+们，明天可以开盘就买入（如果还有仓位的话），其他人，转发可以送。
北斗瑶光1986,妻子终于同意离婚，当天一身红裙气质脱俗去民政局，结果悲剧了#热门电影大推荐##三分钟看电影#性挑逗的微博视频
萄里佳,带着漫威萌新的老公看复联从此这个世界又多了一个心碎之人（对不起我又看哭了）cr.fitwingsKIMKILLS的微博视频
_苏小喵_,:好不容易克服懒癌想做个萝卜排骨汤，锅都烧开了结果发现我周六买的排骨坏了有味道了
粉红妹小猪佩奇,:#王子健朱闪闪#太心疼朱闪闪了，太单纯了，一心想着开单，结果却被骗了，咱下次能长点心吗，@孙佳雨_PaNdA别再让人担心你了#朱闪闪遭遇潜规则#
有位逗比在求职,给需要的朋友们安利下字魂（虽然好像很多人都有在用了），字体种类很多还有新款会更新，很多免费商用字体都有不用再去一个个找，个人商用的话价格也很划算，不管上班还是搞同人都是快速提升画面美感的利器
布达拉弓没有弓,:能遇见的未来的结果是最让人难受的
有双下巴的咸鱼,:和两位著名司机打了一晚上牌的结果我承认我有赌的成分
小九luckying,:#我在北京等你[超话]#真的是为了过审被剪辑得乱七八糟
河南法制报微博,:【综合消息：#美国又有4人死于新冠肺炎#巴西对病毒基因测序发现不同】综合新华社驻外记者报道：美洲新冠肺炎病例数量继续增加，美国华盛顿州卫生官员2日宣布该州又有4人死于新冠肺炎。巴西研究人员对病毒基因测序的结果显示，巴西两个确诊病例体内的病毒有所不同。　　美国华盛顿州金县卫生官员杰弗里·杜钦2日在新闻发布会上说，华盛顿州又有4人死于新冠肺炎，但这4个死亡病例此前未纳入美国疾病控制和预防中心的统计。　　美疾控中心2日发布的数据显示，截至1日美国共有91例确诊或推定阳性病例，有2个死亡病例。推定阳性病例指的是已在某些实验室检测结果为阳性，但未经过美疾控中心确认性检测的病例。　　加拿大安大略省卫生部2日宣布又确诊3例新冠肺炎病例。加拿大全国累计确诊病例数增至27例。　　巴西卫生部2日最新公布的数据显示，目前巴西有2例确诊病例。巴西阿道弗·卢茨研究所和圣保罗大学医学院的研究人员对这两个病例体内的病毒进行了基因测序，结果发现首个病例体内的病毒与在德国发现的病毒更加相似，而第二个病例体内的病毒则与在英国发现的病毒更加相似。二者与在中国发现的病毒也有所不同。据介绍，这两名患者都是今年2月在意大利感染后回到巴西的。　　圣保罗大学医学院研究人员埃斯特尔·萨比诺表示，病毒出现的变异是疫情在相关地区传播留下的印记，可被研究人员用于追踪病毒传播路径。（新华视点）⑦
坚果爸爸最帅xz,:不是说1号以后网络暴力已经构成犯罪了么，结果呢
西安电视台官方微博,:#关注新冠肺炎#【深圳首例境外输入病例93名密切接触者已全部找到】深圳卫健委：3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会，省卫生健康委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。周紫霄介绍，广东省卫健委于3月1日凌晨1点47分，接到深圳市卫生健康委报告1例境外输入新冠肺炎病例。病例详情回顾：3月1日，网传深圳报告1例境外输入新冠肺炎病例，现将有关情况说明如下：患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月27日，孙某由英国伦敦飞往香港（航班号CX250），http://t.cn/A67Nkkf9，15:30渡轮（船次3A109）从香港至深圳蛇口码头，在码头入境时体温无异常。随后，孙某打车回家。返程期间，孙某全程佩戴口罩。回家后，孙某自述没有外出。2月29日上午10时，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果亦为阳性。目前孙某已被转到深圳市第三人民医院隔离治疗，病情稳定，疾控部门已对其住所等区域进行消杀。经过初步排查，截至3月1日，该病例的密切接触者共有93人，目前已有46人被集中隔离（家庭密接者4人、出租车司机1人、渡轮船员11人、渡轮乘客28人、海关密接者2人），他们均未出现异常情况。另有47名渡轮乘客（含港、台及外籍人士）正在排查中，其中22人在追查和转运至隔离点，对于离深的25人，深圳已发函请求异地协查。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。广东省卫健委以及深圳市高度重视，省市联动立即组织开展流行病学调查和密切接触者追踪等工作。该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点并安排采样检测。截至3月3日下午3时，68人核酸检测结果阴性，1人结果待出。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。周紫霄表示，广东将继续严格落实“四早”防控要求，继续筑牢交通检疫、发热门诊筛查、重点人群管理疫情防控“三道”防线，通过早发现，实现早报告，早诊断，早隔离，早治疗。
yzxz520杨,#肖战#xz#肖战余生请多指教#所有的一切都是未知的，我们能做好的，就是当下。我交出了一份答卷，然后答卷给了我答案，给了我反响，仅此而已。没有一件事情是一步登天，我认为所有的成果，所有出来的结果，都有一个积累的过程，而这个积累就需要坚持。
区区小拾,:#肖战#我还以为本人终于发声了，结果就是一堆粉丝营销在洗地
月球下的兔,:烦哦买了个投影仪以为快乐要回来了结果墙纸是有花纹的投上去视频跟打了马赛克一样
莎士比心-,:想用这个卷头发来着，结果翻车了
喵哩saliy,:#火箭军回应护士向国家要男朋友#推荐一个超厉害的塔儸师@塔儸占心前一阵子和谈了十年的男朋友分手、难受的无法释怀，后来经过朋友介绍去找他测了一下我们还有没有复合的可能。结果完全出乎我的意料，不仅把我们的感情经历算了出来，而且在他的指导下我们真的复合了，本来感觉这次分手已经很彻底不报希望了。。现在我们也准备结婚了，挺谢谢他的帮我挽回了这么可贵的一段感情
O小小豌豆O,同一种方法，自己论文里的结果vs.别人论文里作为比较方法的结果
五花刺猬,肖根一粗現場一片狼嚎😭😭😭😭😭#疑犯追踪##肖根大法好#上海·上海国际工业设计中心秒拍视频.
甜橙味少年,:#武汉被打配菜员发声#为什么处理结果是辞退？？不能一有事一出问题就辞退了之。辞退属于用人单位做出的处罚，需要的是执法执纪！违纪该处分处分，违法该拘留拘留。而且不能只处罚城管，动手的女的相对也要处罚！只有这样，以后遇见问题才能好好协商解决，否则执法不敢，泼皮更泼。西安
月球下的兔,:烦哦买了个投影仪以为快乐要回来了结果墙纸是有花纹的投上去视频跟打了马赛克一样
彭飞宇啊,:今天@当代智汇发了一篇推送，辩论赛中《评委发现有伪证，该不该直接判负？》。然后我看全辩会的会员群里就热烈的讨论起了各种评委检证制度的尝试。我觉得，也不能太指望这个形式上的检证，毕竟检证只能排除刻意造假和出处存疑等问题，但要真正为了辩论有意义，还是要靠我们的思考。比如“安，就是女的在房子里面安分守己，如果女人不安分守己，很容易造成牝鸡司晨的结果。”你觉得这个证据有力不？原文引用自中文核心期刊《冰川冻土》。
你要好好的加油,冻了4个小时的正宗🥔Amphetamine丨元与均棋的微博视频
莎士比心-,:想用这个卷头发来着，结果翻车了
听雨-闻风,:#北京通报黄某英离汉到京事件调查结果#这处罚究责体贴又周到，公安分局检查站街道办物业公司卫健委疾控中心一个都不落。
我踏月色而來久武,:去年年底對台灣中學生海峽兩岸認知的調查結果，很有意思，給大家參考參考，圖多.
磕博肖的XBack,:转了一整天的避雷避雷，结果还是踩到了，专注反黑，躺尸了，再见
我有點太喜歡你啦,koko美食家呜呜呜呜呜呜这个cut真的奶疯了吃面包：这个必须要用手拿来蘸着吃抹点黄油真的好好吃唔黄油真的好好吃稍稍有点酸奶油的味道啊想要点汤应该要点汤才对的啊（koko叹气）吃甜菜根沙拉：好吃唔我一次都没吃过甜菜根就只是水果这个不是萝卜非常酸噢真的好甜太甜了噢（越吃越甜(·•᷄ࡇ•᷅)）cr.jjkdnielhttp://t.cn/A67NHKs5
湘人李,:啊啊啊，紧急求助@爱剪辑，今天下午安装了新版本，剪辑了一会儿，然后保存，就关闭了。现在想继续剪辑，结果程序进不去，总是闪退。怎么处理哈？
花苞绽绽,:论一个佛系粉丝如何进化成氦金粉丝的，这真是个大系统的论文，改天我会从心理学、生物学、新闻学、经济学等等各方面探讨的，过程不重要，结果很重要🙈🙉🙊葫芦岛
我有點太喜歡你啦,koko美食家呜呜呜呜呜呜这个cut真的奶疯了吃面包：这个必须要用手拿来蘸着吃抹点黄油真的好好吃唔黄油真的好好吃稍稍有点酸奶油的味道啊想要点汤应该要点汤才对的啊（koko叹气）吃甜菜根沙拉：好吃唔我一次都没吃过甜菜根就只是水果这个不是萝卜非常酸噢真的好甜太甜了噢（越吃越甜(·•᷄ࡇ•᷅)）cr.jjkdnielhttp://t.cn/A67NHKs5
湘人李,:啊啊啊，紧急求助@爱剪辑，今天下午安装了新版本，剪辑了一会儿，然后保存，就关闭了。现在想继续剪辑，结果程序进不去，总是闪退。怎么处理哈？
花苞绽绽,:论一个佛系粉丝如何进化成氦金粉丝的，这真是个大系统的论文，改天我会从心理学、生物学、新闻学、经济学等等各方面探讨的，过程不重要，结果很重要🙈🙉🙊葫芦岛
是柚子汁呀,:他。。又上热搜了啊不希望是这样的结果的我很难过我做回我的路人可是也不想看到他这样。。啊
奥蒂列特_Odelette,:剧情是主线参加网络抽选「拍出很酷的照片」就有机会去巴黎和君岛一起参加甜品品鉴会。听到慈郎撒娇迹部都要脱口而出带你去就带你去了（。）结果慈郎只是想要学帅气的姿势XDp4的入江，想对迹部做什么…（p5～p6是君岛铁粉文太
仍见山水,:刚刚有个小号关注我，立刻把它移除了，结果还关注，立刻移除后拉黑
摘下星星送给小杰,:钉钉这个垃圾软件怎么还能私聊啊🌿我以为我微信把老师删了就没事了结果钉钉上被找了🌿
