质子弹,【#美主持人要求中国为新冠病毒道歉#自说自话荒谬至极搭档当场打断
敬丫头-,【巴西首例新冠肺炎患者病毒基因组序列公布研究人员：病毒已开始突变】#巴西研究人员称新冠病毒已开始突变#巴西在2月26日出现首例确诊病例，其曾前往意大利北部的伦巴第旅游。巴西科学家与英国科学家合作，紧急针对该名61岁的患者进行“冠状病毒基因定序”，结果发现其体内的新冠病毒同武汉公布的病毒基因相比存在3处不同，表示病毒在传播过程中已经发生突变。http://t.cn/A6708eYq
大理小糖,:#中国科研团队发现新冠病毒已突变#世界卫生组织干事长谭德塞3日表示，全球新冠肺炎致死率是3.4%，高于先前估计的2%，至于季节性流感的致死率则往往不到1%。
谁知盘中粽,法国一医科专家称：中国处理新冠毒的手法冲击了西方传统#法国[超话]##法兰西的故事#西方有自己一套的SOP处理流行病和瘟疫（如流感、法国的三段制），但是，这次新冠毒先在中国爆发，中国完全没有“抄西方的作业”、全部重新（手忙脚乱地）搞过，导致了事实上的治疗和防范流程，跟西方以前的做法大相径庭，并从道德上冲击了西方的应对理念。西方疫情后发，受中国影响最大的是意大利，“抄中国的作业”、采取了罕见的“封村”措施。法国在排查问题上也受到中国的影响，在现在的第二阶段做了一些排查，但是，到了下一个阶段，会不会停止排查？-西方的传统流程上没有“排查”，这也是为什么美国、日本、新加坡等国并没有主动去测试的原因。美国会被迫去像中国一样去排查吗（道德上的压力）？流感每年导致几十万人死亡，没有任何一个国家在应对时做排查，西方的做法是事后有个统计，并为明年制造疫苗。中国连统计都没有。新冠毒后，世界会对流感会采取新的应对方式吗？
李铁锤屁话大全,#张文宏预测新冠病毒最终发展#新冠病毒究竟是会像非典一样销声匿迹，还是像流感一样长期存在，目前是没法预料的，但种种特征标明，它长期与人类缠斗的可能性很高。虽然在中国，新增病例持续下跌，迟早会跌入个位数区间，确实有较大几率重获抗击非典的胜利。然而，病毒是否消失要看全世界，不只是中国。中国方案是付出了极大代价，以雄厚的举国资源，以及强大的控制力所支撑的。目前有若干国家正在爆发，但不是所有国家都能复制这个方案。如果在某些国家失控或者弃疗，都将为其转变为长期病毒提供机遇。第二，新冠传染性远强于非典，爆发前没有很明显的预警期，很突然，这一特征在各个国家都得到了证实。第三，感染基数已经远高于非典，至少十倍起跳。感染基数意味着适应和突变的几率也同步提升，一些潜伏期较长的毒株将获得不断繁衍的机会。第四，需要警示的是病毒毒性变弱来换得长期共存的所谓“流感化”，不一定。新冠病毒2~4%的致死率很尴尬，一方面远高于百分之零点几的流感致死率，一方面又显著低于SARS、MERS，这意味着很多地区会不够重视，取决于发展的程度和生命的贵贱，譬如在战乱和饥饿肆虐的非洲，可能根本不当个事。但在和平小康的国家是无法忍受的，如果像流感那么大的感染基数，死亡人数将非常可观。然而百分之95以上的生存率，已经足够病毒在不搞死宿主的前提下顺利传播了，其实并不需要牺牲什么毒性来交换。目前看来，在中国之后爆发的伊朗、意大利、韩国等地，毒性没有出现降低，病死率甚至在提高，根据世卫组织最新报告，要高于之前2%的估计。这上下几个百分点对人类很重要，但对病毒没什么区别。在中国湖北以外病死率很低，是有前提的，因为患病者主要是湖北流出的人群，而流动人口并不是全年龄的样本，而是集中在身强力壮的中青年群体，并不是所谓二代毒性减弱的标志。全年龄段真实的病死率，要看将来综合的结果。如果最后，在一些国家得到控制，而在一些国家长期化，一些地区将不得不长期设防来保卫抗疫成果，而另一些地方尽情肆虐，毒株不停地出现变异，蕴含着无穷无尽的风险。全国一盘棋，武汉不消停，全国都不能摘口罩。然后就会发现，世界也是一盘棋，国际航班不可能永远停下去，将来如果各国此起彼伏地发生疫情，我们也不敢摘口罩。我们现在的极端措施，可防一切传染病，人都在家里，出去全戴口罩，一回家就洗手，连流感都找不到途径。但是只要一解禁，流感开始流通的时候，新冠也会以同样的战斗力等着我们，一不小心又是个爆发……最坏的情况就是，我们往常的生活方式可能再也回不去了。（注：本文为博主参与话题讨论，非张文宏医生发言）
语无风,:#新冠肺炎与季节性流感有4大不同#世界卫生组织的最新说法，那些口口声声把新冠病毒说成大号流感的人脸疼吗？应对新冠病毒就不能像应对普通流感一样，采取隔离措施是非常有必要的。当然如果新冠病毒长期存在的话，人体和病毒应该会渐渐互相适应，从而长期共存。那时病毒的致死率应该就没有这么高了。
营养师王桂真,:吃什么能软化血管？5种营养素帮您呵护血管，保护大脑和心脏血管分布在全身各处，这些血管出现问题，对于健康危害较大。就拿大众熟悉的心脑血管疾病来说，心脑血管疾病是严重危害人体健康的疾病，也是列为人类非意外死亡因素的前两位。这些疾病致残率和致死率都比较高，血管健康也被更多人所关注。随着年龄的增加，身体各项功能也会逐渐下降，血管的脆性和通透性增加，更容易诱发心脑血管问题。血管出现问题，血液流通也遇到了障碍。这个时候可能很多人都会问，吃什么能够软化血管，软化血管就需要增加血管的弹性。可能您听说过喝红酒软化血管，其实红酒中所含有的白藜芦醇对于血管来说作用并不大，并且白藜芦醇在红酒中的含量并不高。如果是想通过喝红酒来软化血管，需要大量饮酒，这样做就会造成酒精摄入量高，喝红酒弊大于利。既然红酒不能软化血管，我们吃什么才能做到。想要增加血管的弹性，降低血管的脆性，这就需要增加维生素C的摄入量。别小看维生素C，女性可能都想增加肌肤的弹性，而维生素C就可能促进胶原蛋白的合成。血管壁的弹性也是与胶原蛋白密不可分，研究发现大剂量的维生素C具有降低血胆固醇和预防动脉粥样硬化的作用。维生素C参与动脉壁成分胶原蛋白的合成，缺乏时会导致动脉壁脆性和通透性增加；维生素C还参与胆固醇降解为胆汁酸的反应，同时还具有抑制维生素A和多不饱和脂肪酸的氧化作用。可以说维生素C对于保护血管有一定的作用，饮食上就要增加维生素C的摄入量。维生素C主要存在于新鲜的蔬菜和水果中，多吃蔬菜可以补充维生素C，尤其是新鲜的叶菜类蔬菜，维生素C的含量更高。除了维生素C，还有几种维生素对于保护血管健康也有一定的作用。脂质代谢异常会增加心脑血管疾病的发病风险，这个时候就要增加维生素B6和维生素pp。维生素B6可以促进动脉壁基质成分酸性黏多糖的合成，而维生素PP是糖原分解和脂肪合成过程中所需的几种主要酶的辅酶，大剂量的维生素PP可使血清胆固醇和三酰甘油的含量下降。维生素E具有抗氧化作用能够防止多不饱和脂肪酸和磷脂的氧化，有助于维持细胞膜的完整性，提高氧利用率，增强心肌对应激的适应能力。维生素E还能够抗凝血、增强免疫力、改善末梢循环，防止动脉粥样硬化。对于叶酸，大多数人比较熟悉，也是源于孕妇需要补充叶酸。其实不仅孕妇需要补充叶酸，冠心病患者也要及时补充叶酸。叶酸可以降低活性氧和改善血管内皮功能，从而避免冠状动脉微小损伤，铲除冠心病接触。虽然很多食物中含有叶酸，但是叶酸容易氧化，缺乏叶酸也就成为常见的问题。对于冠心病患者或具有冠心病危险因素的人群可以选择叶酸补充剂，为身体及时补充叶酸。#健康中国2030##我的健康十八式#
FinalIntro,昨天晚上，在德国医院读博的同学和我打电话吐槽。她给我吐槽了一大堆槽，例如：1、欧洲有个反蒙面法，很多地方买医用口罩需要开证明。2、亚裔+戴着口罩上街，如果碰上种族主义者，可能会被殴打。3、欧美人就不爱戴口罩，和医院医生护士住一栋楼搞得她躲都没地方躲。4、国境边界没关，她平时买菜都去荷兰买，鬼知道每天都跑进来哪里的人，希腊那边还在扛中东非法移民。5、德国一边让民众不要恐慌，但是医生护士私下里都在囤口罩，毕竟德国口罩也不够用。6、拜外媒传统艺能所赐，欧美（及日韩）民众普遍认为，中国隐瞒了大量死亡数字——但是相对的，他们又认为这个病不厉害，所以不怎么需要戴口罩。我问我同学，它们是如何做到，一边相信中国国内死了非常多人，一边又认为这个病不够厉害的？同学说，如果这问题有解，我就不用在家躺尸了。我们吐槽这么多不是为了比烂，也不是为了自豪，只是说明我们俩都很累。我们俩都知晓，这个星球上的沙比是根本不能被过滤掉的事实，但是又打心眼里想去一个沙比浓度稍微低一点的地方安静地躺尸，仅此而已。
就像跌进了深深的湖水,:很担心欧美人不管新冠肺炎了，让其随意发展变成常见流行病，那作为湖北人的我至今在家关着岂不白费了......后来想了想美国体育产业那么发达，就算致死率低体育系统也应该承受不住这样的打击吧，应该也会全力抗击病毒的。
心生欢喜欢喜一生,:新闻联播说韩国🇰🇷日本🇯🇵意大利🇮🇹美国有多少多少的发病，我想知道他们的致死率有多少？还有除了日本韩国以外，其他国家的都不抢口罩？要有医嘱才能戴？心咋那大！
朱漆方台,传染病的发生是很混沌的，很难预测。各国情况不同，况且人们现在对新冠病毒肺炎的了解也还很初级，所以有的国家不停工，不隔离，不检测，不戴口罩，将来结局未必就差。
