闻且如是_,#HereatAWS#
医师报社,:【医师报直播进行时，现场花絮】医师报执行总编辑张艳萍亲自率队，现场连线多位知名专家，与网友在“云端”面对面。截止目前，在线人数已超4万。
昌平报,:【爱心战“疫”，服务居民】一把电动推剪、一把剪子、一把梳子、一块围布，几样简单的工具，是马池口镇村民谢一墩和张艳萍为居民服务的全部装备。在疫情防控期间，为了方便居民们理发，他们两个人自愿当起了免费理发师。“开业”一周以来，谢一墩与张艳萍已经累计为50多位居民提供义务理发服务。理发过程中，他们严格落实卫生防疫措施，所有人都佩戴口罩，保持相应的安全距离，并实行预约服务制，理发工具也做到了一客一消毒。
玉溪供电,:【心系独居老人，电力小姐姐们又开始行动了】“大娘，我们又来看你了”。近日，南方电网云南玉溪华宁供电局宁州供电所的4名女职工，带上供电所员工节省下来的口罩、洗手液等防疫用品再次到辖区看望独居老人胡大娘，与老人坐下来拉家常，讲解如何佩戴口罩，并为老人检查居家用电安全隐患、更换新插座。（郭艳萍高松）@云南电网公司@玉溪同城@玉溪那点事
胖小玉胖,:快乐肥宅水曾艳萍给我准备的明早某些人就要吃上老妈做的丰盛早饭了
三峡日报,:#三峡日报在现场#【伍家乡灵宝村“内销＋外运”为菜农解忧】3月1日，伍家乡综合执法中心、退役军人服务站、灵宝村委会一行人将15000余株“三早育苗”运抵点军区土城乡销售，满足当地农民种植需求，同时也解决了灵宝村菜农的菜苗滞销难题。连日来，灵宝村两委班子在做好疫情防治的同时，摸排辖区供需情况，采取“内销＋外运”的方式解决菜农菜苗滞销问题。一方面，通过村民群、朋友圈发布菜农联系方式和可售卖的品种，满足附近村民需求。同时，积极寻找外销渠道，了解到点军区土城乡有大量菜苗需求。“前几天看着大棚里的菜秧子长势喜人，却难找销路，愁得没办法，这下终于放心了。”灵宝村村民夏昌华说。（记者@三峡日报易玮玮，通讯员杨艳萍、杨荣）
快让我卢克look,少说话，多干活儿
广州铁路,:#交通战疫24小时##疫情防控交通动态#【疫情难挡春风暖专列送我去上班】2月27日10时30分，伴着一声汽笛长鸣，由长沙客运段长渝车队应急车班值乘的溆浦至宁波复工专列K4682次从溆浦站徐徐驶出，列车上562名旅客在车班工作人员的暖心服务下，踏上了返岗复工的旅途。（唐小平王艳萍）
是仙女味铃铛呀,:饭圈女孩调查表①什么时候开始追星:17年②初恋追星的爱豆是谁:杨洋③对白嫖🐶什么看法:不知道④本命是谁:邢昭林⑤见过自己本命吗:没有⑥在饭圈什么地位:没有地位⑦饭圈人际关系怎么样:一般⑧愿意为蒸煮花💰吗？愿意⑨有墙头吗:有⑩艾特你的人和你关系怎么样:我的好闺蜜⑪艾特你饭圈姐妹十位回答问题，不可以更改拒绝回答问题@玉面小飞龙76553@郭艳萍
云南卫视,:全民战“疫”健康课堂|如何养胃和预防胃病的发生。在这个非常时期，拥有健康的身体，搭建一条良好的免疫系统防线，对抵抗病毒显得尤为重要。胃是我们食物消化吸收的第一站也是最基本的器官，但是胃也是一个爱生病的器官，常言到十人九胃病，足以说明胃病的复杂和多发。如果胃生病了会摧毁我们的健康，严重的甚至会危害我们的生命，所以本期节目我们主要从中医学的角度来聊一聊如何养胃和预防胃病的发生。本期我们邀请到的是，云南省中医医院光华院区脾胃病资深专家曹艳萍主任医师。http://t.cn/A67cMl70
医师报社,:【直播花絮③】中国NOSES联盟携手《医师报》举办新型线上继教、义诊活动http://t.cn/A67cIDeT《医师报》执行总编辑张艳萍现场连线歌唱家刘和刚。医师报社的微博视频
给我一盒柠檬茶,:祝我的艳萍生日快乐，第七个生日
sufzufxgjxjgurstuifdxig8gx,你因一时脑子抽筋，干过什么莫名其妙的糗事____________________________________
HLJTV主持人田茜萌,:田茜萌发图吗？王艳萍，褚天舒，张静，张海玉，鄂艳，张旭雯，杨伟玲，邓辉，王丹丹，文秀华，王秋馥，杨轶男，张冬梅💚南宁
龙牌饼干,少说话，多干活儿
乱园--柳,少说话，多干活儿
用户7346223450,:@政宏 ，这几个相册都是你制作的，给我们留下难忘美好的回忆与珍贵的镜头。@绍仁，惭愧啊。我技不如人。还是你们的云美摄作品好，一直都是我想学而至今学不来的好技术。春节前艳萍慰问我，我还闹着要学呢。惭愧啊。技不如人。还是你们的美摄作品好，一直都是我想学而至今学不来的好技术。春节前艳萍同学来慰问我，我还闹着要学呢。
武汉交通广播,:#平凡人们给我更多感动#【公益联盟快讯—巾帼不让须眉
易烊千玺家的小黄鸭,:啊啊啊啊啊啊啊啊啊啊我靠！我本来以为补得作业艳萍不会改的，结果！！！
李怪怪家的小兽,:#2020中国大学生好创意，为中国加油!武汉加油!#@全国大广赛组委会作者:罗艳萍学校:武汉工商学院作品立意:疫情肆虐，虽源头在武汉，但已蔓延至全国乃至部分国家了，这就不单单是中国在作战，是地球村里的每个村民在共同作战斗，我们相信，终有一日，病毒会被赶出村。
云南信息报,:【28日起昆明至蒙自、河口、曲靖部分动车恢复开行】2月28日，记者从中国铁路昆明局集团有限公司（以下简称：昆明局集团公司）获悉，自28日起，将陆续恢复开行昆明至蒙自、河口，昆明至曲靖部分动车组列车。据了解，受新冠肺炎疫情和客流变化影响，1月底昆明至蒙自、河口，昆明至曲靖部分动车组采取临时停运。连日来，昆明局集团公司根据疫情防控形势，分析研判客流变化，有序组织恢复开行昆明至蒙自、河口，昆明至曲靖停运动车组列车，满足务工人员和城际间旅客出行需求。此次恢复开行的列车车次为：自2月28日起恢复开行昆明—蒙自C8304次、C8312次，蒙自—昆明C8306次，昆明—曲靖C8370次、C8372次、C8376次，曲靖—昆明C8371次、C8373次、C8377次；自2月29日起恢复开行蒙自—昆明C8302次，昆明—河口北C8338次，河口北—昆明C8340次。铁路部门提醒，请旅客出行前及时关注12306网站及各车站列车恢复开行的变化公告，尽量通过互联网购票，前往车站等公共场所请佩戴口罩，进出公共场所请做好“云南抗疫情”扫码，听从工作人员安排，接受体温检测，有序出行。(云南信息报记者张艳萍)
郑州财经电子商务学院,:#电子商务学院##武汉加油#电子商务学院电商教研室借助强国视频召开了电子商务专业疫情防控线上教学工作阶段性推进会，会议对疫情期间的电子商务专业线上教学工作进行了总结，指出了近期工作中存在的问题，并探讨了解决方案。学院书记宋艳萍及全体电商教研室教师参加了会议，会议由李想主持。
阿炳06356,:宋艳萍字晓芳，祁晓轩字连山，马子奇字洪宇
渠县融媒体中心,:王飞虎调研我县服务业复工复商情况2月26日，县委副书记、县长王飞虎调研我县服务业工作开展情况、主持召开统筹防控“五复”工作调度会，并对相关工作提出要求。王飞虎先后到财富中心、英伦城邦、仁和公园、中农联、天誉城、古今香、锦悦半岛等地，详细了解企业疫情期间营业情况，听取业主开工复营面临的困难和问题，检查指导企业复工复商。王飞虎指出，当前疫情防控处于胶着对垒状态，全县上下要毫不放松抓好疫情防控各项工作，务必高度警惕麻痹思想、厌战情绪、侥幸心理、松劲心态，在抓好疫情防控工作的同时，科学组织复工复商。王飞虎要求，相关部门要加强宣传组织，引导业主落实主体责任，做好消杀、登记工作。各乡镇（街道）、村（社区）要创新思路，在服务群众上通过多点位、分楼栋，划小单元，避免群众扎堆。商务部门要加强对商业业态的监测，拿出帮扶措施，有序推动复工复商工作。要坚持规划引领，把商业规划、业态布局、特色街区与去库存相结合。招商部门要结合综合体和特色街区打造，依托品牌优势，瞄准三类500强企业，依靠商业巨头，扬长避短，招大引强。要成立专班，做好方案，围绕“集中度、创新度、融合度、跨界度”开展招商，促进渠县服务业大发展。当天，王飞虎还主持召开统筹防控“五复”工作调度会，他要求精准落实中央、省、市新部署、新要求，切实统筹疫情防控和经济社会发展；精准把握疫情防控新态势，分行业、分类别强化复工、复产、复业、复学、复岗的动态监管，强化复工复产营运服务扶持；精准压实责任，切实强化督导，在夺取疫情防控阻击战和经济社会发展总体战中践行初心使命、展现担当作为，圆满完成各项经济社会发展目标。县领导陈国斌、李渠、徐远航、刘艳萍分别参加调研、出席会议。
西安网,:【许艳萍丨穿上白衣走进离危险最近的地方】#战疫情西安在行动#“在疫情肆虐时，发热门诊是距离危险最近的地方。但对于医护人员来说，穿上这身白衣，病人们就已将性命交付给我们，一定不要怕。许艳萍丨穿上白衣走进离危险最近的地方”西安交大一附院东院发热门诊护士长许艳萍对同事说...
阳江同城会,:#阳江爆料#【90后护士瞒着家人出征只留下一个善意的谎言】阳江市首批驰援湖北的医疗队中，有这样一位逆行勇者，有“抗疫老兵”，为了不让家人担心牵挂，她起初瞒着父母毅然选择出征。她就是来自阳西总医院护士姚艳萍，一位自称护理老兵的90后。阳江新闻NEWS的微博视频
复方汤剂后遗症,<结果还是走上这条路的Twice…>Cr.PannRealtimeRankinghttp://t.cn/A67ZNtv8
渠县融媒体中心,:2月25日，县委副书记、县长王飞虎主持召开新冠肺炎疫情防控工作调度会，安排部署当前疫情防控工作。针对当前疫情防控工作，王飞虎要求，全县各级各部门要坚持疫情警戒和指挥调度力度不减，务必高度警惕麻痹思想、厌战情绪、侥幸心理、松劲心态，继续保持严防严控态势，坚决打赢打胜新冠肺炎疫情防控“阻击战”。要坚持全覆盖动态摸排和风险防控不减，压实“五方”责任，加强对公共场所、工地、企业、农贸市场的摸排，进一步抓实抓细抓小各项防控工作。要坚持保畅保运，让经济活起来的力度不减，严禁封路、堵路、断路，保障高速公路、国省干线、县道、村道畅通，为复工复产提供保障。要坚持分类分区管控，提升服务效率能力力度不减，精准完善防控措施，严防疫情扩散和输出。要坚持发热发烧前哨源头管控，防控后续跟踪治理力度不减，坚决防止交叉感染。要坚持宣传引导、劝导、疏导力度不减，采取喜闻乐见接地气的方式，教育引导群众正确面对疫情，落实好安全防护措施，做到不信谣、不传谣、不聚集、不打堆、不串门、防感染、防扩散。要坚持落实防控要求，有序恢复经济社会力度不减，做好务工人员返岗服务和复工复产工作，加快推进重大项目建设，加强经济运行分析应对，营造良好发展环境。要坚持构建激励约束机制力度不减，加大抗疫一线党员干部、医务工作者和赴鄂赴武医务人员的关心关怀，进一步做好后勤保障和服务工作。当天，王飞虎还到渠县康缘精神病医院、渠县戒毒所、渠县疾控中心、渠城农资农机销售网点检查督导防控和春耕生产等工作，并就相关工作提出要求。县领导陈晓军、刘艳萍、徐学锋分别参加会议和检查督导。
哈尔滨广播电视台,:【看这“吉祥八宝”！龙江工美人创漆艺新作为抗疫祈福】在全国人民抗击疫情的时刻，作为工美人、黑龙江省工艺美术大师的夏立军、白艳萍，在阻击疫情的基层工作中主动作为，弘扬龙江四大精神，创作了"吉祥八宝"，祈望抗疫胜利、天下祥瑞。"吉祥八宝"，即八吉祥，又称八瑞吉祥，八宝吉祥，藏语称"扎西达杰"。夏立军和白艳萍以佛教吉祥八宝为主题，采用漆艺传统晕金款彩的技法，寓意在党中央的坚强领导下，必将逢凶化吉、远离灾难，福智圆满，取得抗疫战争的胜利。http://t.cn/A67Z58Is
南京晨报,:#关注江苏新型肺炎疫情#【“非典”勇士，再战“新冠”的15天】“2003年，我们组成的是专家突击队，7个人管一个省的病人救治；这一次，我们是攻坚队，需要直接面对病人，重要的是坚守好阵地……”2003年，39岁的冯旰珠前往内蒙古自治区奋斗在抗击非典的第一线，时隔17年，56岁的他再次出征黄石，直面新冠肺炎。http://t.cn/A67ZLE7x通讯员陈艳萍南京晨报/爱南京记者钱鸣
二虎皮鹦鹉,:《梅园人家》王艳萍、《蓝冰世界》谢长血、《雾罩青城山》苏昌鉴、《报春梅》刘力军、《梅园之春》林宏旋、《千年古刹梅花香》谢隆标、《万丈霞光金山寺》王艳萍、《拉网》林文强、《老廊桥新风尚》谢何平
新晚报,:【“吉祥八宝”！龙江工美人新作为抗疫加油】吉祥八宝即八吉祥，又称八瑞吉祥，八宝吉祥。工美人、黑龙江省工艺美术大师的夏立军、白艳萍的这次创作题材以佛教吉祥八宝为主题，采用漆艺传统晕金款彩的技法，寓意在党中央的坚强领导下，必将逢凶化吉、远离灾难，福智圆满，取得抗疫战争的胜利。
自贡医事通,2月26日，自贡市妇联主席沈焰林、副主席周彦作、组联部部长宋艳萍一行莅临我院开展赴鄂一线医务人员“送菜到家”行动，亲手为我院援助湖北、武汉医护人员的家属送上了绿色蔬菜，为他们送上了妇联的关爱和温暖，把党和政府的关怀送到坚守一线医护人员及其家人的心上。我院在家领导班子成员参加活动，并现场慰问了部分援助湖北、武汉医务人员家属。@自贡医事通@自贡网@自贡头条@健康自贡@健康四川官微
郑州财经电子商务学院,:#电子商务学院#电子商务学院召开疫情防控和线上教学工作阶段性总结及推进会本次会议就学院线上教学工作一周以来整体情况及各教研室教学情况开展总结和下一步工作安排为主题。院长冀延卿、书记宋艳萍、副院长郭瑞强、张柯，教学秘书、教研室主任参加了本次会议。会议由冀延卿主持。
