啵啵的豆奶拿铁,:淦我妈一打开电视就在播蝗灾把老子ex到了
难懂阿三的世界,:#带着微博去印度#印度蝗灾7天就消灭了，这么厉害的吗？难懂阿三的世界的微博视频
奋斗的漫将,:10分钟告诉大家这次蝗灾的真实情况，以及为什么肯定不会来中国。吟游诗人基德的微博视频http://t.cn/EbpChYj
马赛克海盗,巴巴的蝗灾看来是真的中华之鹰01的微博视频
宝鸡陈仓检察,:【中国工作组：#巴基斯坦蝗虫进入交配繁殖阶段#】来自中国的蝗灾防治工作组，正在巴基斯坦旁遮普省巴克卡的蝗灾区考察。专家表示，目前蝗虫的密度仍比较大，且正进入交配繁殖阶段，蝗灾比预想得要严重。当地植保部门的工作人员也表示，如果蝗虫顺利完成繁殖，幼虫将带来更大灾害——它们无法飞行，将留在农作物附近啃食，几天内就能吃光一片地。（总台记者崔如）http://t.cn/A679YMtH
衡阳消防,:【#沙漠蝗虫如何肆虐数国#？动画还原蝗灾形成原理】据联合国粮农组织发布报告显示，一场大范围的蝗虫灾害席卷了从西非到东非、从西亚至南亚等大部分地区。据了解，一个普通规模的沙漠蝗群就拥有4000万只成员，它们日行150公里，消灭约3.5万人的粮食，被称为“移动粮食收割机”。它们的繁殖能力也特别夸张，并且在受到攻击时，会向天敌释放剧毒氢氰酸，那么他们是如何出现的，对我国会有影响吗？我们该如何抵御这场灾难？#蝗虫##巴基斯坦蝗虫进入交配繁殖阶段#http://t.cn/A674F3Tr
陸林強日記,:目前，亿万蝗军已扑向印度，直逼中国境内。中国当局2日已发出紧急通知，并派遣专家前往巴基斯坦考察蝗灾。专家惊觉，此次蝗灾比预想还严重，这个沙漠蝗虫个头大，攻击性强而且狂咬人，专家们在视察中都被蝗虫咬，令人不寒而栗，蝗军先头部队疑似已抵达新疆边界桐乡市
九宫数传人,:蝗灾的五行归类与预测2002年壬午年之九宫列表一二三四五六七八九大运癸壬辛庚己乙丙丁戊小运乙丙丁戊癸壬辛庚己流年辛庚己乙丙丁戊癸壬今年的大小运年月列表一二三四五六七八九大运癸壬辛庚己乙丙丁戊小运乙丙丁戊癸壬辛庚己流年庚己乙丙丁戊癸壬辛正月辛庚己乙丙丁戊癸壬今年印巴出现的蝗灾，看了视屏的人都是毛骨悚然的，那种铺天盖地的态势太震撼了。作为一个预测师对所有的天灾预测都是份内事，而且是义不容辞。然而易界前辈很少有关蝗灾方面的理论，所以我们还得从头来，要预测蝗灾首先就是五行归类，蝗虫是克木的，克木分两种，一种是金克木，像冰箱冻死庄稼就是金克木；另一种是火能焚木，就我国最近年出现的蝗灾是2002年夏天，而今年印巴是发生在正月，而且很快就消失了，就这两例蝗灾得出结论，蝗虫就是丁火，上面排了两个局，第一个是2002年的大运乙丑，小运己已，流年壬午。壬午局的六宫是丁火与乙丑同宫。丁火焚烧乙木。下一个局是庚子的三宫出现乙木与小运丁酉同宫，又戊寅月的六宫出现丁火与乙丑大运同宫。这绝不是巧合，木哀火旺，木火同宫相煎必遭蝗灾。按这个思路，今年还有个壬午月和甲申乙酉月是出现同一种格局的，而且蝗灾最猖狂是夏秋，不得不防。如果如期而至，那饥荒就在明年了。http://t.cn/z82rwAb
日照陈玉明,:发表了博文《从太空卫星拍照看蝗虫：巴基斯坦蝗灾影响有多大？》从卫星下传的影像图来看，颜色越深，说明植被越茂密，作物生长情况越优良，越接近成熟期。因此，对比同期图像中的绿色面积和颜色深度，可直观看出植被从太空卫星拍照看蝗虫：巴基斯坦蝗灾影响有多大？
山茶花3634088485,:中国专家考察巴基斯坦蝗灾。听说沙漠蝗咬人，女记者有点慌。>>http://t.cn/A67WFP7w精选集：关注全球蝗虫灾害，共22个作品，快来围观吧
长淮清韵,【#沙漠蝗虫如何肆虐数国#？动画还原蝗灾形成原理】据联合国粮农组织发布报告显示，一场大范围的蝗虫灾害席卷了从西非到东非、从西亚至南亚等大部分地区。据了解，一个普通规模的沙漠蝗群就拥有4000万只成员，它们日行150公里，消灭约3.5万人的粮食，被称为“移动粮食收割机”。它们的繁殖能力也特别夸张，并且在受到攻击时，会向天敌释放剧毒氢氰酸，那么他们是如何出现的，对我国会有影响吗？我们该如何抵御这场灾难，为什么说#靠吃没办法消灭蝗虫#？http://t.cn/A674F3Tr（小央视频）#巴基斯坦蝗虫进入交配繁殖阶段#
中华之鹰01,:巴巴的蝗灾看来是真的中华之鹰01的微博视频
ccccv莲子咖啡,:中国专家考察巴基斯坦蝗灾。听说沙漠蝗咬人，女记者有点慌。>>http://t.cn/A67WrYCr中国专家考察巴基斯坦蝗灾。听说沙漠蝗咬人，女记者有点慌。
懒人酱,:【慎点！】蝗灾...懒人酱的微博视频
基督再临的日子,:从太空看蝗虫：巴基斯坦蝗灾影响有多大？_植被http://t.cn/A67WonLT
海洋之声2013,:中国蝗灾防治工作组考察巴基斯坦蝗灾区中国蝗灾防治工作组考察巴基斯坦蝗灾区
stone1025,:记得年前看《唐砖》，虽然后来弃了，但是应该刚看到在说唐朝又是瘟疫又是蝗灾的部分。。突然想起来，就随便叨叨一句
国世平,星期一大盘如预期一样反弹，而且反弹幅度较大，上证指数大涨3%以上。我在周五股市暴跌的时候，提醒投资者以前没来得及上车，现在到了上车的时候。如果今天开盘买进股票的，应该多少有点收获。现在还有一个利好的消息是，大摩将我国股市提升至增持。大摩为什么这么判断，就是全世界很多国家的疫情存在非常大的不确定性。我一直说，什么是风险？风险就是不确定性。现在世界上很多国家疫情的发展有非常大的不确定性，相反中国的疫情很快就会控制，没有不确定性，相比之下，持有中国的股票更为安全。短时间内，我国股市的风险得到释放，但并不是说牛市已经开启，说牛市是慢牛的，牛市稳健走来，这是非常不负责任的。在牛市没有到来的时候，第一是反贪，不要贪婪。第二是及时把获利锁定。http://t.cn/AigLRkOm
海南大学团委,:【#小汇播报##中国工作组考察巴基斯坦蝗灾区#：情况比预想严重】据介绍，#中国工作组称巴基斯坦蝗灾比预想严重#。此次灾害中的沙漠蝗虫与中国境内常见的东亚飞蝗相比，不但个头较大，攻击性较强，对生态的破坏也十分严重。目前中巴两国专家正密切合作，共同应对此次蝗灾。（央视）http://t.cn/A679pnMl
阿关格格,#AO3#很多吃瓜路人搞不清楚这两天肖战粉丝和各圈路人之间发生了什么，我们都写了下。很长的一篇，其中我们大概说了下AO3是什么，什么是同人文，以及，何为举报之恶。当然了，目前看来，肖战粉丝还是不知道她们做了什么，她们以一己之力得罪了那么多圈子，大家是在愤怒什么。现在已经不仅仅是粉圈撕x了，而是一群人用利维坦作恶，可惜，她们到现在还不清楚到底错在哪里了。#肖战粉丝举报老福特##227大团结##肖战粉丝举报ao3#发布了头条文章：《肖战的粉丝，大概真的想把他搞糊掉》http://t.cn/A67i2G9j
_L_jt,对蝗灾没概念的朋友可以看看了，中午饭就不用吃了…元何元的微博视频
YH真的不擅奔跑,【#中国科研团队发现新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。对不同亚型的深入了解，将有助于新冠肺炎的差异化的治疗和防控。以上研究来自中国科学院主办的《国家科学评论》于3月3日发表的论文《关于SARS-CoV-2的起源和持续进化》。论文通讯作者为陆剑研究员（北京大学生命科学学院生物信息中心）、崔杰研究员（中国科学院上海巴斯德研究所）。http://t.cn/A67Wwyzc
闲地,:读《三国志》（8）董卓没有死于联军的讨伐，而被王允利用吕布杀之。但虎去狼来，董的部下李傕、郭汜又来祸害一番，而此果讨董联军解体，开始相互攻击，与农民义军混在一起。而恰在此时，中原蝗灾起，粮食无收，一斛粮食（现在的120斤）要卖到五十多万钱，饥民甚至出现人吃人的惨状，百姓真是无法活下去。这段时间，曹操主要与袁术集团作战，包括攻打徐州的陶谦，陶谦守城不战不出。后来，曹操因为他的父亲和全家在辞官归家途中，被陶谦部下所害，发兵复仇讨陶谦，杀戮过度，受史学家所谴责，冤有头、债有主，为父报仇情由可原，但过多残害对手部下，过于残忍，这大概是曹操的历史污点。
都江堰司法,:#巴基斯坦蝗虫进入交配繁殖阶段#什么是蝗灾？一平方公里有8000万只成年蝗虫的蝗群科学懂不懂的微博视频
网易数读,:#沙漠蝗有侵入中国的风险#虽然侵入并形成灾害的风险较低，不过还是有可能从西藏、新疆和云南进入中国。要消灭沙漠蝗，农药少不了。目前中国一共有72万家农药企业，需要防控蝗灾的重点区域四川、云南的农药企业数分别为39950和36336家，排名第四和第六。但西藏和新疆就比较少了，尤其是西藏，只有624家。@天眼查
别离开妮,:（BD）印度和巴基斯坦出现蝗灾，用什么方法可以灭杀？拉电网行吗？目前为止，印度和巴基斯坦的蝗灾已经出现十分失控的可怕场景。这两个国家启动了紧急状态预案，号召全国人民团结起来，一起对抗蝗灾。有朋友，想问了，对付漫天的蝗虫攻击，有什么好方法吗？如何能给彻底灭杀？拉电网拦截行不行？可以肯定的一点是，拉电网拦截是最差的一种。首先，这种办法耗电太多，设备一次性损坏，无法维修。电网和铁丝网一样，作为战场武器，对步兵和坦克兵都要很强的拦截效果。这是因为，人类一旦触电，就会被烧焦，然后电网继续工作，没人可以靠近。如果电网拉在高空，让蝗虫来撞，蝗虫不认识，分分钟数千亿蝗虫撞上来，电网就坏了，而且是无法修复的损坏。更重要的是，电网如何能拉到蝗虫飞行的高度？即便是电网可以弄死很多蝗虫，也会引发可怕的火灾。袭击印度和巴基斯坦的蝗虫属于沙漠蝗虫，喜欢在干旱半干旱地区活动。如果大量蝗虫触电而死，会点燃地表植被，引发比蝗灾还要可怕的火灾。当然，电网拦截蝗虫，在巴基斯坦和印度没有可行性。因为这两个国家人口众多却工业化比较滞后，电力在他们那里都是稀缺资源，拉电网的钢铁也很贵。使用电网拦截，会造成大面积电力损失和电力网络损坏，这等于造成了蝗灾的次生灾害。电网拦截不可行，印度和巴基斯坦有什么好方法进行蝗灾治理呢？这一点，印度和巴基斯坦应该好好学学我们一五期间的办法。1949年，新中国刚刚成立。蝗虫灾害已经成为威胁我国人民的主要灾害。据有记载的资料统计，1912~1949年间，发生蝗灾的有2100余县次，平均每年约57县次发生蝗灾。在总结我国之前2000多难治理蝗虫灾害的历史中，我们总结到了如篝火诱杀、开沟陷杀、器具捕打、掘除蝗卵等方法。这些方法的共同特点是，主要使用人力扑打，效率很低。民国时期引进的机械和药物治理蝗虫的技术，因为长期战乱，没有得到有效的推广。因为种种原因，我国在建国初期蝗灾十分泛滥。1951年蝗灾面积达到1500万亩，1952年达到3779万亩，之后多年，每年的蝗灾面积都打到1000万亩以上。对于耕地面积只有18亿亩的中国来说，这就是心腹大患。新中国如何治理蝗灾，用仅仅10年时间就消灭了困扰我们2000年的蝗灾呢？主要经验有三条；1，建立蝗灾侦查和预报制度。我国在蝗灾发生的重点区域都建立了灭蝗组织，并且推行了责任制。通过责任制推广，人们对治理蝗灾的工作相当重视，否则要承担一定赔偿责任。1953年农业部正式建立侦查蝗虫预报组织，通过技术手段，能够及时总结蝗虫的情报网络，及时上报，从而制定相应的灭蝗计划。2，科学捕蝗，药械治蝗。1952年农业部提出以药械消灭为主、人工捕打为辅的战术。安徽省泗洪县广泛应用喷粉、毒饵，7天内消灭2.5万余亩的蝗蝻，所用日工不到1万个。群众反映，过去打蝗虫3个月还打不净，今年几天就打完了，也没有耽误生产。事实证明，只有使用药物和器械，才能事半功倍！3，广泛发动群众，打人民战争。即便是使用了药物和器械，大蝗虫还是需要靠人力。为了最快速度消灭蝗灾，不少地区开始了灭蝗竞赛，不少地方评选灭蝗模范村和模范个人。一些地方则是以工代赈方式，对灭蝗群众给予粮食补助。消灭蝗虫，依靠科学技术，二考团结群众，二者缺一不可。而我国灭蝗工作中，科学技术的运用十分有效。第一次飞机灭蝗，每天早晚喷射农药、杀虫剂，喷洒区域的蝗虫灭杀率达到了90%以上。印度和巴基斯坦，出现蝗虫灾害，一方面是因为距离东非和西亚的沙漠蝗虫源头比较近，另一方面是两国政府社会治理能力有缺陷。蝗虫这种灾害，在现代防控体系和飞机播撒药剂的双重打击下，基本上没有存活机会。希望两国能够早日消灭蝗虫http://t.cn/A67oxjeF
隐匿黑夜_鬼鬼,老了，没看懂为什么战。晚安。
静电鱼,:史书上说蝗灾「遮天蔽日」，大概就是这个景象。#静电鱼讲奇闻#静电鱼的微博视频
网红正义八卦,:#肖战#《人物》专访语录以及导演、制作人、前辈老师们对他的一些评价，自律清醒、懂得反思、善良绅士
微博科普,#草地贪夜蛾疫情#【农业部警告四连，世界十大植物害虫之一草地贪夜蛾这么厉害？】年初，一支规模可观的沙漠#蝗虫#大军从非洲之角来势汹汹，横扫东非、中东及南亚大片土地，却在印度政府一句“蝗灾基本结束”的声明中暂时戛然而止。几乎与此同时，我国农业农村部发出警告：另一种同样漂洋过海而来的入侵害虫，正令我国一半以上的玉米种植区域（约1亿亩左右）面临严重威胁。它就是被国际农业和生物科学中心评为世界十大植物害虫之一的草地贪夜蛾。它是如何跨山越海的？它会造成何种影响？我们该如何防治？#张文宏预测新冠病毒最终发展##中国境外确诊病例超过1万##肖战ins头像##霸王别姬动态海报#http://t.cn/A67Omr2s
中国新型肥料网,:#新浪看点#蝗灾比预想严重！中国面临入侵风险！蝗灾比预想严重！中国面临入侵风险！
小夭vvvv,这期视频9分钟：从日本揽下“钻石公主号”的活，把自己整崩盘开始。聊聊兼顾人权的防疫工作有多难，希望可以引发你对于这两个月以来，所见所闻的思考。（视频开头提出了一个问题，可以考虑暂停作答，再继续往后看。只是一个思想实验，没有标准答案。）（日本官员后续的骚操作太多，视频跟不上，不讨论）http://t.cn/A67htjeM
十三的下午茶,:国家林业和草原局3月2日发布紧急通知称，在东非、中东、南亚肆虐的蝗灾恐袭击西藏、云南
