嘿哈耶,:所以这畜牲到底为什么要吃蝙蝠
展花一尺趾留香,:1880年有气象记录以来，南极气温首次突破20℃。打屁的企鹅北极熊死亡…疫情、蝗灾、山火、雪灾、干旱、火山爆发、飓风、海啸、洪水肆虐、永久冻土层解冻、北极甲烷大爆发、珊瑚礁死亡、澳大利亚大蝙蝠咬人……遗憾的是，多少人正在无视这些预警？地球母亲生病了，我们绝不能再装睡。
梅子留酸软齿牙_,:内个吃蝙蝠的你去见见我们老师吧给我写写作业吧
猫什么树,:上网课四天让我想把吃蝙蝠的再骂一万次
喜欢729和德云社的小周啊,:#天官赐福[超话]#我需要一个花城用他的厄命劈了吃蝙蝠的那个＊＊我不想上网课孩子太苦了
Chino小天使,我们来讲讲那些「游戏里你学到的有用知识」吧。比如：1.印象最深的，我第一个在通过游戏学到的英文单词是“waterfall”，在我的RPG入门作【圣剑传说3】中。几年后这个词作为生词出现在了阅读理解中，白赚2分耶
吴波俊星辉茂亨,:为你做同一件事！大方好看：往往不是人做的事。这款复古黄色系蝙蝠款式毛衣外套：而只是做事的人；✎SimpleLife丨不同的人……
冯冯今天吃饱了,:收到这两个字现在的讨厌程度不亚于蝙蝠.
wang-zhi-cheng,:几年以后，新冠状病毒的影响早就过去了。已经被绝大多数人忘记了，我们也搞不清楚他的真正身份是什么？研究的内容早就不了了之了，蝙蝠也已经被社会绝大多数人相信，是病毒的来源。这就是造谣，必须要一个有足够多的人口，而且必须足够傻的两大前提条件。只有这样，才能声势浩大，惶惶恐恐。
培根卷淡,:蝙蝠摩托和蝙蝠车的路透给我感觉要么韦恩集团破产了要么这部拍的是无主之地前情提要
万能青年97,:一个月终于洗澡了，为啥才洗澡呢，这事儿还得从一只蝙蝠说起
梦回情关十九,【★美病毒改造监控计划始末：为改造出全新病毒，美从中国拿走上万件病毒样本】[文/AlexCui（生物信息学博士，美国生物科技公司科学家）]根据美国NGO机构ECO生态健康联盟PREDICT项目公开的数据显示，自2008年4月至2018年9月，PREDICT项目针对冠状病毒总计在中国采集了约388批次，其中8680件来自蝙蝠，老鼠及人体的病毒样。据统计，总共至少有上万件左右的动物及人体的病毒，被运至美国的试验室里。拉尔夫·巴里克团队正是据此项目获得蝙蝠类SARS的SHC014病毒S蛋白基因序列，进而在2015年于美国北卡罗来那实验室人工改造出新型SARS病毒，通过SHC014病毒S蛋白能够传染给人但不致病，而嵌合SARS-CoVMA15病毒后新制造出重组冠状病毒SHC014-MA15增强毒性能够让人发病。此后，谁都再难预料冠状病毒会在美国实验室内重组成什么形态？http://t.cn/A67yigNZ
清河社区卫生服务中心,:新型冠状病毒肺炎是一种急性传染性疾病，冠状病毒属于单股正链RNA病毒，既往已知感染人的冠状病毒有6种，此次从武汉市不明原因肺炎患者下呼吸道分离出的冠状病毒，为种属于β属的新型冠状病毒，即2019新型冠状病毒属于第7种。目前研究显示与蝙蝠SARS样冠状病毒同源性达85%以上，诱发因素为老年人及有基础疾病患者，感染后病情较重，所以我们要做好个人防护，不要去人群聚集处，勤洗手，多饮水，注意休息等。
大辣椒美人,我虽然不是肖战粉丝，但我为什么会大半夜如此愤怒@凤凰网娱乐的行为。是因为我们都知道偶像这个东西是没有标准的，所以你如何定义一个人是另外一个人的粉丝呢？基本上都是口说无凭的。而粉丝和偶像之间也没有任何协议合同，即然没有合同，凭什么要为所谓粉丝的错误而承担责任呢？有没有人冷静的想过，改革开放之后，我国政府都在一直大力推荐法治社会进程。我们处罚一个人应该都有法可依才对。凤凰网作为国内顶级网络大媒体，不光背弃了媒体应有的客观公正，还无视法律的重要性，凤凰网如此，许多公众亦如此，看来我国建设法治社会的道路真的任重而道远。试想一下如果这一次肖战遭到了封杀，会带来什么后果，这就意味着接下来如果资本方想搞死哪个明星就太容易了。直接雇佣一个人（反正资本有的是钱），让这个人故意去做一些违背道德的事情，然后再宣称是为了某某偶像做的，煽动舆论封杀该偶像。那么这个偶像就会被封杀。而这个被雇佣的人，也不用付出太大代价，因为违反道德但不违法是不需要付出代价的，还能顺便拿一笔钱，何乐不为。而资本方呢则借此搞死了对手公司的明星。之后对手公司为了报复又如法炮制一个同样的事件，再搞死始作俑者。就这样周而复始，那么娱乐圈将变得混乱不堪。因此我强烈呼吁此时到此为止，绝不可封杀肖战。这不是肖战一个人的事情，这关系到整个娱乐圈的秩序问题。绝不能开这个头！我说的每一个字都是站在公正公平的原则上说话，没有个人情绪。我也并不是为了维护肖战，而是希望中国娱乐圈可以更加正规秩序化。天天勾心斗角批斗这个批斗那个，弄得制片方也天天胆战心惊，哪里还有心思把精力集中在作品上？影视是文化的重要组成部分，如果影视不能崛起，还谈什么文化复兴？而影视的崛起必须要靠规则和秩序来解决，绝对不能依靠一群人的情绪化逻辑所左右。
柠檬菠萝都不酸啊,:#楼上请停止你的噪音[超话]#楼上全家吃蝙蝠了吧
红豆-泡芙,:到底是哪个王八蛋吃蝙蝠了！！！拉出来宰了！！！
若寒1203,:#香港狗#狗为什么不能感染，狗不是哺乳动物吗？你们忘了蝙蝠了吗？管好自己的猫狗吧
真轩辕剑,我们来讲讲那些「游戏里你学到的有用知识」吧。比如：1.印象最深的，我第一个在通过游戏学到的英文单词是“waterfall”，在我的RPG入门作【圣剑传说3】中。几年后这个词作为生词出现在了阅读理解中，白赚2分耶
DCForeverBla-RTSC,:新蝙蝠车感觉有回到未来的风格是要复古吗
风伊月_醉逍遥,感觉D伯爵跟纽特可以成为好朋友呢…………
论智识贩卖所的伙计,:蝙蝠不吃别的东西，专吃虫豸。只要是虫豸，无论什么都是好的。他捕食硬壳的甲虫，精瘦的蚊子，肥胖的蛾；糟蹋田稻，弄枯蒲桃，蛀坏果树，咬破呢绒，以及奔赴灯火的一切的虫，在人家的檐下飞来飞去的蝙蝠，所吃的虫不知有多少，连数也数不清楚。虫豸又小，蝙蝠又是不会饱的。周作人译《蝙蝠与癞虾蟆》，法布尔著。
漂亮不漂亮吖,:复工没一周，每天戴着口罩上班脸已经在过敏边缘了
CHILLWILL,:
小LEO朋友,:#香港狗#所以这只狗到底是沾染病毒还是感染病毒？是人传狗还是确定了会狗传人？为什么好多人都没有试纸，现在连狗都有机会接受核酸检测？如果这体现了生物平等那是否可以对宠物仁慈一点进行治疗？保护我家狗狗吧，两只毛孩子四十多天没出门了，活得比人都谨慎。希望人们不要忘记蝙蝠的教训，敬畏自然，尊重生命吧。
波动回来,:三人叩头谢恩，到殿下，又与众星官都相见了。阎君领回森罗殿，留住三日，然后临凡，各赴任所去了。至今元旦令节，家家画钟馗神像，目睹蝙蝠，手持宝剑，悬挂中堂，户户写神荼、郁垒名字，供奉大门，自此鬼魔消除，四海永清，万民安乐，共庆太平，千万斯年矣。（本传完）
小仙不爱糖,#枪腔锵呛[超话]#今日惊蛰，蛇都出洞了，你们还得继续在家呆着[笑哈哈]#裸枪[超话]#
hiMaetamong,:一月的蝙蝠二月的鸡三月的你我变穷比
