北京华军中医医院中医血液科,:谢别录主任用手机与患者进行远程会诊指导诊疗.mp4生活咨讯的优酷视频@优酷
新闻夜航,:【黑龙江援助湖北医疗队专家组巡回医疗走进汉川】3月3日，省卫健委副主任方庆伟带领两名专家来到汉川市人民医院重症病区进行巡诊，两名专家分别来自于重症医学科和呼吸内科专业，是哈尔滨医科大学附属一院支援武汉医疗队的队员，巡诊专家和支援汉川人民医院重症病区的黑龙江省医院专家一起对4名危重患者进行了讨论，对前期的诊疗给予了充分的肯定，同时对下一步的治疗提出了建议。省医院医疗团队将尽全力继续抢救重症患者，严控病死率。#武汉集结号##钟南山李兰娟等10个院士团队齐聚湖北#http://t.cn/R2WxClD
安贞之吉尊道贵德,:新冠肺炎诊疗“上海方案”公布：中西医结合提高协同疗效，重型患者给予中药可截断病情上海中医药今天新冠肺炎诊疗“上海方案”公布：中西医结合提高协同疗效，重型患者给予中药可截断病情
FM901湖南经广,:春节前夕新冠肺炎疫情突然爆发，明康中锦研发生产的医用无创呼吸机和高流量无创呼吸湿化治疗仪是临床一线极为重要的治疗设备，并纳入《新型冠状病毒感染的肺炎诊疗方案》。明康中锦迅速成立指挥小组，号召全员大年初二返程，初三紧急复工。恰逢春节假期和疫情的双重影响，上游供应链基本处于休假状态，库存原材料告急。工信部和湖南省工信厅领导在了解相关情况后紧急协调，并出具了《关于保障呼吸机等医疗装备配套生产的函》。公司派出了10人的供应链协调小组前往广东等地，特别是深圳市。在政府领导和社会各界人士的支持下，供应链小组每家供应商逐个落实，现场协作！供应链的所有企业在2月15日得以全面复工！复工后，公司盯紧每家供应商的生产，鼓励扩大产能。每天所有零配件从供应商的车间到高铁，再到公司产线，实现无缝对接！国外供应商的零配件每天加急发航空运输，从上海海关直接提货，通过高铁当天直达长沙。期间供应链协调小组同事一直坚守深圳。由于疫区对于设备的需求日益猛增，已经远远超出正常产能范围。为帮助医护人员救治更多患者，明康中锦制定了紧急扩产方案，新增产品生产线，把研发部门等同事召集到附近酒店，封闭培训生产，实行两班轮换制，同时加强质量控制。通过紧急的扩产，公司产能已经提升近三倍，陆续向包括武汉在内的全国疫区发送近5000台设备。目前斯百瑞®高性能无创呼吸机、高流量无创呼吸湿化治疗仪已经进入火神山、雷神山、金银潭医院、协和医院、同济医院、中南医院等多家重点救治单位，用于重症和危重症患者的救治当中！
中国青年报,:#青年战疫#【驰援金银潭ICU四十天，#最难时钟南山鼓励他相信自己可以#】桑岭在金银潭医院南楼，参与新冠肺炎的重症、危重症患者的救治工作。他觉得在这工作的过程，就是解决一个又一个困难的过程。刚开始，除了医护人员短缺外，医疗设备也捉襟见肘，桑岭需要和团队的医护一起去搬氧气瓶。氧气瓶一人多高，搬起来比搬一个人还沉，16张床就意味着16个氧气瓶，平均每1~3小时就得换个氧气瓶。每位患者都是危重症，得打起百倍的精神，一刻也疏忽不得，报警设备不断想起，“确实太难了！”桑岭回忆，第一天的工作结束后，他身心疲惫，没想到战斗如此艰苦。晚上，他拨通了钟南山院士的电话。钟南山院士除了给出一些诊疗建议外，还对他说，“静下心来，我相信你可以。”在随后的战斗中，桑岭也在反复地告诫自己，“千万不可以乱打仗，首先要认清楚现在的形势，安静下来，看看自己到底缺什么，能不能找人帮忙，然后再看看还有哪些东西可以通过自己能力改进，凡事都得一步一步来。”http://t.cn/A67NkG5l
神经衰弱狸花喵,【#新冠肺炎激素使用之争#：有非典前车之鉴，该不该再用？】面对新冠肺炎这一人类从未经历过的全新疾病，糖皮质激素类药物的使用，正在临床实践中引发争议。早在17年前非典期间，因其实际操作过程中剂量、疗程难以把握，以及一系列较为严重的毒副作用，糖皮质激素类药物就曾受到诟病。到了此次疫情，针对糖皮质激素类药物，在国际上，世界卫生组织（WHO）旗帜鲜明表达反对态度，在国内，亦有专家表示，此类药物对新冠肺炎治疗弊大于利，希望一线医生“要克制使用糖皮质激素的欲望”。但也有不少专家认为，此类药物“在关键时刻可以救命”，应该在严格限定的条件下酌情使用。#新型冠状病毒#http://t.cn/A67NrEsZ
太原晚报,:【世卫组织技术团队飞抵伊朗带去10万试剂盒】据世界卫生组织证实，世卫组织的一支技术团队已于2日飞抵德黑兰，以支援伊朗防控疫情。他们还带去了足够1万5000名医护人员用的防护、医疗用品，以及足够给10万人做检测的试剂盒。#众志成城战疫情##伊朗将中国诊疗方案译成波斯语#http://t.cn/A6791ZOG
孝感晚报,:#我们共度难关孝感加油#【简易实用规范操作科学防疫黑龙江医疗队有份“战疫宝典”】3月3日，记者从黑龙江支援医疗队应城分队获悉，一张《应城新冠肺炎诊疗指导路径》，因为简洁规范、条理清晰的注明了不同时期新冠患者不同治疗方法，成为应城市中医院治疗新冠肺炎的“战疫宝典”。这份“战疫宝典”是在应城市工作了30天的黑龙江支援医疗队队员——牡丹江红旗医院呼吸科副主任医师倪薪，根据最新新冠肺炎诊疗指南，对疫情期间的会诊及相关治疗方案进行梳理总结，提炼制定的。“当时只是想用自己的专业优势、摸索的经验和心得为治疗新冠肺炎做点什么。”说起制定这个指导路径的原因，倪薪说，每天在查房、参与重症组患者会诊、到外院和留观点巡诊时，会把自己的心得记录下来，结合应城当地诊疗实际情况，对会商、会诊、巡查病人的诊疗方案进行整改和总结，在2月26日制定出《应城新冠肺炎诊疗指导路径》。这个指导路径因其简易实用、规范操作，得到医疗队员高度认可，被大家称为“战疫宝典”，并在各级医疗会上及应城中医院得到推广应用。倪薪说，齐心协力、科学防疫，现在应城中医院治愈患者出院人数大幅上升，医护人员对打赢这场疫情阻击战充满信心。记者蒋润涛通讯员武淑华
想要朱贝贝的Gucci,#养红小基地[超话]##浙江新增7例均为意大利输入病例#要加强防控注意安全#伊朗将中国诊疗方案译成波斯语#希望对他们有帮助吧
东南早报,:【好消息！泉州又1名新冠肺炎患者治愈出院！】3月3日，泉州又1名新冠肺炎患者（晋江人）治愈出院。目前，泉州共有41名新冠肺炎治愈出院患者。据悉，该患者于2月25日被确诊为新冠肺炎确诊病例收治于泉州市定点医院。在福建省、泉州市两级专家组科学指导，诊疗团队精心诊治、细心护理下，病情迅速改善，已经连续体温正常超过3日，呼吸道症状好转，两次新型冠状病毒核酸检测阴性。经省专家组会诊评估，符合国家卫健委最新版的新型冠状病毒感染的肺炎确诊病例解除隔离和出院标准，于今日治愈出院。（记者张沼婢龚翠玲来源：泉州市卫健委）
话匣子FM,:【外交部：#中方在能力范围内向外方提供支持#】今天，外交部发言人赵立坚表示，中方已向巴基斯坦、日本、非盟等提供了检测试剂，向很多国家分享了诊疗方案，中方向伊朗派遣志愿专家团队。我们将视疫情发展，在继续做好本国疫情防控的同时，在力所能及的范围内向外方提供支持。（央视新闻）#共同战疫原创接力#
医药卫生报,:守护生命，他们奏响了抗击疫情的最强音——南阳市中心医院抗击疫情剪影◎本报记者乔晓娜通讯员张晓茜张馨月釆集鼻咽拭子标本时，新冠肺炎患者必须摘掉口罩，冒着随时被感染的可能，他们没有临阵退缩，只想早日抓住这个“隐形杀手”；镜下观察采集到的样本，需要身着全套防护装备，在密不透风的负压生物实验室里连续操作数个小时，他们没有叫苦不迭，只想早日给出检验结果；看诊、施治、取样、化验……接连续几个小时甚至更长时间，都要穿着厚重闷热的防护服在隔离病房进行，他们没有叫苦叫累。隔离区里南阳中心医院新冠肺炎救治组精心护理患者。他们虽然离病毒最近，但他们不惧生死，永葆持续战斗激情；他们是一群无畏的战士，他们拼命与死神赛跑，誓死与病毒抗争，用生命守护生命；他们就是南阳市中心医院的“最强战队”——新冠肺炎救治专家组。一场突如其来的疫情，把浓浓的中国年味儿变成了没有硝烟的战场。南阳市中心医院作为全市新冠肺炎确诊病例、重症、危重症病例救治定点医疗机构，在市委、市政府、市卫健委的统一部署下，院党委高度重视、快速响应，迅速成立了院新冠肺炎防治指挥部，并成立了5大救治专家组，400余名医务人员主动请缨，积极参战，用血肉之躯筑起一道道健康防线，悉心守护着人民群众的生命安全。南阳中心医院新冠肺炎救治专家组会诊。为了确保对新冠肺炎患者精准、有效的诊治，医院的这个“最强战队”应运而生。这个由呼吸、重症、感染、中医及相关部门共同组成专家组，通过对每一例确诊病人进行多学科联合会诊，进而采用西医结合的救治方案。南阳首例重症新冠肺炎患者康复出院。在诊疗中，该专家组经常深入隔离区病房观察病情，对轻症、普通、重症、危重症分层施治，而对重症、危重症病人还会给予重点关注，并组织多次专家会诊。在救治中，“最强战队”奏响了抗击疫情的最强音，创造出了南阳中心医院救治史上的一个个奇迹。其中包括2月2日，南阳市首位“新冠”康复出院的栾某，2月4日，南阳市首位重症治愈出院的马某；2月14日，98岁的治愈出院的朱某（他是目前为止已知的全国最高龄治愈患者）；2月20日，南阳市首批新冠肺炎治愈者捐献血浆（两位捐献者均为南阳市中心医院康复患者）和2月22日，南阳市首次使用新冠肺炎康复者恢复期血浆，用于救治新冠肺炎确诊患者。南阳首批康复患者捐献血浆。医院为了更好的方便专家小组开展救治工作，还在第一时间快速建立了ICU危重症隔离病区、重症隔离病区、轻症、普通隔离病区，并特设儿童疑似病区，进而做到分层治疗、科学施治，确保病人收得进去，转得出来，科学有序，治疗有效。与此同时，医院还克服困难，紧急购置了移动X光机、呼吸机、ECMO、监护仪等多种抢救设备，尤其是ECMO和连续性血液滤过技术是首次在南阳市联合应用于危重患者救治。为了将救治经验分享给更多的医务人员，使更多患者得到及时有效的救治，该“战队”还分批次派出了多名医护人员支援前线，不分昼夜往返于社旗、淅川等县市区参与会诊。自1月22日至3月2日24时，该院共收治新冠肺炎确诊患者51人，其中危重症8人，重症16人，确诊新冠肺炎患者临床治愈出院46人，双阴排除转本院其他科室6人，中医、中药在新冠肺炎救治工作中使用率达100%。
Dr蔡鸣_九院口腔颌面外科,:今天终于恢复了专家门诊，看了好几个年前手术复诊的病人，所幸恢复得都很好👍，初诊复诊都要预约哦。明天做年后第一台手术，是个牙槽突裂的男孩。我们正在逐步恢复诊疗，目前先以非重点地区的软组织手术为主。真希望能够快点回到常态
上海爆料头条,:【足不出户“云”诊疗上海首家儿童互联网医院已上线】3月2日上午，在上海市儿童医院儿科重症监护室里，因患腺病毒性肺炎已经两次使用ECOM（人工膜肺）的小患者可可正在和爸爸进行“远程探视”，这是互联网医院的功能之一。2月28日，上海市儿童医院获得了市卫健委颁发的互联医院牌照，上海首家儿童互联网医院正式上线，包括在线咨询、在线复诊、远程探视、远程联合门诊等多种功能。#上海战疫##上海加油#（新民晚报）#上海·上海市儿童医院[地点]#http://t.cn/A67SZjs7
