薅羊毛小分队,:招商银行APP扫图1如果是工资卡的用户可以试试这个他行卡转入后的实物抽奖转盘
香港紫荆卫视,:#疫情防控甘肃在行动##紫荆快讯#【庆阳市最后一例新冠肺炎确诊患者治愈出院】3月3日，庆阳市第3例新冠肺炎确诊患者张某某治愈出院。2月10日晚，张某某由庆城县人民医院转入庆阳市人民医院集中救治。通过中西医结合治疗，患者病情持续改善，经省、市专家组会诊，认为达到《甘肃省新型冠状病毒感染的肺炎确诊患者出院流程》规定的四条出院标准，3月3日下午出院。根据甘肃省新冠肺炎出院患者管理要求，进入庆城县集中医学观察点进行医学观察。至此，庆阳市3例新冠肺炎确诊患者全部治愈出院。
Huiooc,:#华南海鲜市场开始消杀工作##微贷网##微贷网立即退还本金#请大家关注一个疫区困难家庭的故事吧。@微贷网@杭州金融办@衣锦夜行的燕公子@人民日报这是今天下午联络到一位湖北疫区的受害者，他最大的心愿就是可以缩短回款期限，尽快收到他的本金和利息，不要让这个本就困难的家庭雪上加霜。全文由受害者撰写。请大家看看吧。我是一名普通山区家庭的孩子，由于父母曾在杭州打过工，2019年2月父母商量了许久后，将家里所有的积蓄16万选择投入了杭州微贷网一年期，后来才意识到这种理财观念的不成熟，一家人每天无不担心着半辈子攒下来的血汗钱。不幸的是父亲于2019年8月开始心脏感到不适，9月诊断出心脏病（频繁早博），用家里的零用钱并找亲戚借了2万元做了初步的吃药治疗，由于凑不够做心脏搭桥手术的钱，无奈手术拖了3个月，病情也日益恶化，每次我都陷入深深地自责并安慰父亲道：等投的钱一到期我们就可以做手术了。父亲患病以来一直由母亲在家照料并负责家里的农活。但今年1月底母亲开始高烧不退，2月初转入湖北省鄂州市中心医院确诊为新型冠状病毒肺炎，并采取了隔离治疗，由于医院拒绝由家人照顾，我和父亲也只能在家隔离，每天都忧心忡忡。我去年刚刚研究生毕业也没攒到多少钱，妹妹也刚毕业在镇上的医院当护士抗击肺炎，收入也很微薄，这三个月以来一直在期待着投入微贷网的积蓄可以快点到期给父亲手术，眼看还有几天就到期了，却突然看到微贷清盘，需要按照实际底层日期分期返还本金的消息，这对于我家来说简直是一个噩耗，我感觉天都要塌了一样，这两天彻夜难眠，至今日都不敢将这个消息告诉还在隔离治疗的母亲，只能通过亲戚朋友的资助在暂渡难关！但是微贷网姚总，三年我们真的等不起！恳求你们缩短期限，将我的本金和利息早日还回来！可怜我们这个一无所有的家庭吧。
冬天121,【张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率】近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率。http://t.cn/A67C8laK
永靖检察,:#疫情防控甘肃在行动#【庆阳市最后一例新冠肺炎确诊患者治愈出院】3月3日，庆阳市第3例新冠肺炎确诊患者张某某治愈出院。2月10日晚，张某某由庆城县人民医院转入庆阳市人民医院集中救治。通过中西医结合治疗，患者病情持续改善，经省、市专家组会诊，认为达到《甘肃省新型冠状病毒感染的肺炎确诊患者出院流程》规定的四条出院标准，3月3日下午出院。根据甘肃省新冠肺炎出院患者管理要求，进入庆城县集中医学观察点进行医学观察。至此，庆阳市3例新冠肺炎确诊患者全部治愈出院。（来源：陇东报微信）
屎喵一号,美联储将基准利率下调50个基点！美股盘中急速转涨。
七台河发布,:#坚决打赢疫情防控阻击战#81岁重患，出院！3日，省新冠肺炎重症救治中心再次传来好消息，一名81岁重症患者治愈出院。据了解，2月14日，该患者从鸡西转入省新冠肺炎重症救治中心ICU，临床表现为发热和呼吸困难，并伴有冠心病、糖尿病等基础性疾病，经专家会诊，针对患者的情况，为其制定了个体化的治疗方案。2月20日，该患者病情好转，转出ICU，进入过渡病房继续治疗。2月23日、2月25日，医护人员连续对其进行两次核酸检测，均为阴性。经专家组评估，符合出院标准，于3月3日出院返回鸡西，进行隔离14天的医学观察。“医护人员像儿女一样无微不至地照顾我，她们是世界上最好的医生。”出院时，这位患者十分激动。他说，现在最迫切的心愿就是回家给老伴儿做顿饭。黑龙江日报
程澄不是冯程程,:亚里士多德对于悲剧的说法是，一个比较好的人由于自己的过失由顺境转入逆境，观看者观看悲剧之后产生怜悯和恐惧而达到净化。这件事其实已经近乎是一个悲剧，一个洋溢着才华的人成为众矢之的。我的怜悯是由于我十分不想看到我曾经那么看好的人会变成这样，我的恐惧来自于我最喜欢最喜欢的男孩会不会也给我致命一击。我在等一个真相。须知，学艺先学德，再糊也是公众人物，务必三缄其口三思其行，喜爱与尊重应当是双箭头。
小贝贝vo,【#方舱医院读书哥出舱了#！还承诺帮忙照顾15岁小病友】前不久，在武汉国际会展中心方舱医院，一位年轻人躺在病床上专心看书的照片走红，网友称他为：“清流哥”。2月28日，“清流哥”已痊愈，出舱转入隔离点。据了解，他从@武汉大学博士毕业后去美国深造，目前在佛罗里达州立大学教书，研究方向是高分辨冷冻电镜。“清流哥”出舱时，还对病友许下承诺，要帮忙照顾他们家15岁的小病友。http://t.cn/A67MeWUz#教育的力量#
新晚报,:【黑龙江省传染病防治院21名确诊患者符合出院标准已转入医学观察区】3月3日，记者从黑龙江省传染病防治院获悉，从2月29日-3月3日，医院陆续有21名新型冠状病毒肺炎患者经过治疗，符合出院标准，已转入医院医学观察隔离病区。这21名患者经过治疗后，无发热满3天，两次核酸检测阴性，影像经专家联合会诊确认为治愈。截至目前，省传染病防治院累计治愈出院患者44人。（记者朱虹）http://t.cn/A67pGEuG
甘肃发布,:#疫情防控甘肃在行动#【庆阳市最后一例新冠肺炎确诊患者治愈出院】3月3日，庆阳市第3例新冠肺炎确诊患者张某某治愈出院。2月10日晚，张某某由庆城县人民医院转入庆阳市人民医院集中救治。通过中西医结合治疗，患者病情持续改善，经省、市专家组会诊，认为达到《甘肃省新型冠状病毒感染的肺炎确诊患者出院流程》规定的四条出院标准，3月3日下午出院。根据甘肃省新冠肺炎出院患者管理要求，进入庆城县集中医学观察点进行医学观察。至此，庆阳市3例新冠肺炎确诊患者全部治愈出院。（来源：陇东报微信）
哈尔滨日报,:【今天，这两所医院又有26人出院！】好消息！又有26人出院！省传染病防治院：21人，哈市传染病医院：5人。患者将按照要求，转入指定隔离点继续隔离14天。今天，这两所医院又有26人出院！
财经961,:【天津连续零新增后再现复阳患者重灾区宝坻曾万人大排查】连续4日无新增新冠肺炎患者后，天津昨日（3月2日）再次出现2例出院确诊病例核酸检测阳性的现象。3月2日，天津2例确诊病例在出院后继续集中隔离观察期间核酸复检为阳性，目前均已转入天津市海河医院观察。天津连续零新增后再现复阳患者重灾区宝坻曾万人大排查
江苏高速96777,:3月3日21时51分，G25长深高速连云港段由于G15沈海高速834K事故影响，由杭州往连云港方向1717K灌云北枢纽处禁止车辆转入G15沈海高速。
花花和尚998,:回家！另，岳母和老婆两次核酸阴性后转入集中点隔离。顺利的话，两周后也将回家！
