秒拍资讯,:【惨不忍睹！#辽宁一河边现百只野生鸟类尸体#志愿者：疑有人投毒
平安辽宁,#辽阳v交警#【雪警战疫，护佑安全】#襄平警事#3月3日下午，辽阳地区普降大雪。为有效应对此次降雪天气带来的影响，辽阳交警以“雪”为令，迅速出动，全警上路。出动警车120台次，出动警力300余人。加强对国省干道、危险路段的巡逻管控。同时，加强对易拥堵路段的疏导。全力保障百姓平安出行。http://t.cn/A67NW4Uz
魅力白塔,:辽阳市白塔区经济合作局官方抖音账号已经开通，欢迎关注。
时间视频,:【惨不忍睹！#辽宁一河边现百只野生鸟类尸体#志愿者：疑有人投毒
东北新闻网,:【3月３日0时至24时无新增确诊病例，新增３例治愈出院】#抗击疫情辽宁在行动#2020年3月3日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增3例治愈出院病例，其中鞍山市1例、锦州市1例、葫芦岛市1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院106例，死亡1例。现有18名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心6人、大连中心8人、锦州中心2人），其余2名分别在朝阳市、葫芦岛市定点医疗机构隔离治疗。18名在治患者中，重型病例1例，危重型病例1例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2823人，已解除医学观察2725人，现有98人正在接受医学观察。（辽宁日报）
辽阳教育官微,:我发表了头条文章:《辽阳市小学课程线上教学正式登陆辽阳广播电视台教科频道日热播》辽阳市小学课程线上教学正式登陆辽阳广播电视台教科频道日热播
王晔-小晔哥,:@腾讯体育你的沈阳篇视频做的很暖，但灯塔市是属于辽阳市的。
辽阳就业,:辽阳市人社局全力保障疫情期间农民工返岗复工3月3日上午，一辆载有17名返岗复工农民工的大巴车从辽阳出发，将前往甘肃省敦煌市，拉开了辽阳市抗击新冠肺炎疫情以来，农民工返岗复工跨省转移就业的大幕。根据辽宁省人社厅《关于做好全省农民工返岗复工“点对点”服务保障工作的通知》（辽人社明电〔2020〕31号）文件精神，我市在做好疫情防控的前提下，积极推进“点对点”服务保障工作，一边抓疫情防控，一边组织农民工返岗复工，有序组织农民工返岗复工。重点开展了以下几项工作：一是健全组织领导，形成返岗合力。由市人社局牵头，协调市卫生健康委、市交通局成立了农民工返岗复工“点对点”服务协调小组，明确各自职责，加强部门协作，确保在做好疫情防控的前提下，帮助农民工安全有序返岗。二是畅通信息渠道，促进有序返岗。人社部门通过官网、官微等，第一时间发布企业开复工信息、防疫要求等，并指导企业通过各种方式向农民工通报有关情况。依托人社局官网、基层公共就业服务平台、就业微信公众号等，动态掌握农民工返岗需求信息，提供出行指导，避免盲目外出。三是建立联动机制，确保顺畅返岗。坚持分区分级指导，强化输入地和输出地的对接，畅通返岗服务衔接渠道，引导劳动者合理安排返岗时间和交通方式。对成规模、集中性返岗的务工者，会同相关部门开通专车专列等，努力实现“出家门上车门，下车门进厂门”。四是注重防疫保障，促进安全返岗。配合有关部门，指导用工企业建立职工健康档案，随访健康状况，做到全覆盖，确保达到防疫要求。对于行前14天内和在途没有相关症状的，体温测量正常后，方可返岗复工。如果出现发热、乏力、咳嗽等不适症状的，立即进行隔离观察，及时送诊排查。目前，已有200余名农民工计划分别到北京、济南、青岛、太原、敦煌、秦皇岛等地外出务工。下一步，辽阳市将进一步做好协调保障工作，动态掌握农民工返岗需求信息，充分发挥出“点对点”作用，开通专车，实现“出家门、上车门、下车门、进厂门”，为农民工服好务，全力助力企业开工复工。辽阳市人力资源和社会保障局2020年3月3日
辽阳气象,:道路结冰黄色预警信号：预计4日白天到夜间，辽阳地区将出现道路结冰，对交通有影响，请注意防范。辽阳市气象台2020年3月4日7时7分发布http://t.cn/R95SjSK
当时我就笑愣了,:【滴！女童腿卡婴儿床】辽宁省辽阳市一女童腿卡进了婴儿床，消防员救援时秒变“超级奶爸”，各种宠爱，暖不？～
辽阳气象,:大雪黄色预警信号：目前，辽阳地区已经出现3.8到4.8毫米的降雪，预计4日0时到8时，将出现1到2毫米的降雪，请注意防范。辽阳市气象台2020年3月4日00时28分发布http://t.cn/R95SjSK
