南瓜5号,:节后第一次出差，还好德清近自驾能去
illion的羊毛裤溅上了味噌汁,:#王一博[超话]#💚#正能量艺人王一博#wyb#王一博谢允#这是最开始存的三张照片，到现在223天，来的有点晚，不过还好没错过，全程被爱豆带飞1997💚未来可期@UNIQ-王一博
李宏毅的sweet_然,:一个假期，终于还是撸了一个妆了！长时间不画了还真的手生了
地瓜还是拔丝好,:#和父母吵架后的你#很早的事了，有一回夏天在亲戚家住，和我爸睡一张床，头顶的吊扇特别低，一天晚上蚊子太厉害了和我爸起来打蚊子，一个没注意从床上站起来风扇刮到眼，还好那个吊扇速度很慢很慢，就像手指按了下眼皮，我爸眼珠子登时瞪起来了，我第一反应不是诉苦，而是怕他向我发脾气。我爸发脾气之前就爱瞪眼然后音调拔得老高，特吓人，而且父母们都这样，孩子自己折腾伤了自己第一反应是骂孩子（这个有心理学解释的我理解）从那时候到现在，一想起这事来就觉得自己真特么可悲
J哥的快乐生活,:马上就要拆牙套了。想当初大牙错位+龅牙每天照镜子都被丑哭，不仅如此还有下巴后缩，侧面没有轮廓，活得自闭的日子终于结束啦。还好找到@矫正之家，推荐去了西安画美口腔、西美口腔、诺贝尔牙科，现在上切牙牙冠显露3/4以上，露牙龈在2mm以内，是理想的微笑了！！真的活出了漂亮的自我，真香！#西安哪里牙齿矫正好##西安正畸地包天牙齿#
一晴某某一,:还好我不混饭圈，我听不懂饭圈语言
又是爱上泡泡龙的一天,:我就想说。。大家一定要理智追星。。不要给自己的爱豆带来不必要的麻烦。。佛系追星从我做起。。（还好我比较佛）
糖衣陷阱·,:#王源[超话]##王源南都娱乐封面##王源大主宰#“但还好啦~~~~~”
狐狸的朋友i,:《附加遗产》绝对是我目前看188男团最有感觉的一本，洛大佬的渣更多的是外在得渣，骗钱为主，相当于感情上的背叛和身体的不忠，相比于宋居寒邵群赵镜锦辛甚至俞风城我真的接受得来洛羿骗小辉哥，他做了很多错事，但还好他那股子对小辉的狠绝和势在必得也更让人明白他真的爱温小辉，这就是怪物的爱，温小辉接受了怪物狠觉暴戾表里不一，经历了怪物的陷阱欺瞒装模作样，觉得刻骨铭心依旧舍不得他，所以他最后得到了毫无保留的洛羿，为他们期待吧，未来得日子。我觉得这篇简直不是写渣，是写虐
艾利斯顿林晓黎yoho,:不知道为啥今天一天没读书其实感觉也还好不到通知复试时间那天我不死心只要我祈祷的够虔诚就有可能取消笔试
ChoAmun,:还好沈听白等来了他的曲曼婷
GOEx_Global,#Steem社区怼上孙宇晨#据@财经网链上财经稍早报道，Steem社区从@区块链孙哥手中夺回了7个投票席位，现正号召大家投票，称已经准备好新的软分叉版本，将彻底封锁被孙宇晨掌控的帐号。昨日，又一Steemit工程师离职，柚子币创始人BM表示乐于吃瓜，观望DPos机制下的结果，并向离职员工抛出橄榄枝，表示Voice项目正缺人手。看来，资本霸权与社区间的角力仍在进行，你怎么看
俗人Insomnia,上舰上的少，有没有人科普一下新瓜的主人公
Yumiko嘻嘻,:#vip陪练[超话]#微博里怎么那么多说坑的呢，其实我真的觉得还好啊
Reset243,看的出来我前面有点使劲了一下，后来弥补的吗？
金金贵贵小七仔,:少年动了心，又被抽空，但还好
芒果奶油派·,:就是人家16岁比丁程鑫十八岁过的还好呗
爱柚子的哈哈,:呦吼还好过年前去过迪士尼🏰杭州·江干区体育中心
一二三四跟着我的拢龙一起走鸭,:一个看文记录画怖看完很久了，一直没记录。现在已经忘了刚刚看完的心情了。好像吐槽的也吐槽的差不多了。一篇不错的无限流，偏恐怖一点；晚上看的话会有点吓人白天还好。感情线可有可无。脑洞挺大的也带出了很多东西
七号的耳朵,万物复苏的季节，是什么唤醒味蕾？当然是#肯德基疯狂星期四#！香辣#鸡翅尖回归#疯四！15根只要9.9元，唤醒状态，助你初春回血！19.9元3份原味圣代（冲绳黑糖珍珠酱）和19.9元2杯热拿铁（中），美好值UP！就在明天，和@M鹿M#鹿晗#一起“疯”享吧！这个春天，有你真好！香辣鸡翅尖15根只要九块九
初秋是几月,:再也不要相信物化老师的鬼话，明明说开学以后再检查作业，结果今天突然检查，还好“抢救”比较及时
小梁童鞋最可爱,:#有时候真的讲出来也没人信#“我还好，你保重。”
一起吃牛肉呀,#翔霖[超话]#[后来的你们会怎样呢][无论是后来故事怎么了，也要让后来人生精彩着]iBE+HE两条线咋看都行🤫请勿上升小朋友视频里球衣素材图片来源@TheThirdCandy小时候球衣来源找不到了
是濛不是萌蒙梦,:热搜给我看傻了
咬碎饼干,:#周震南[超话]#zzn#周震南朋友请听好#这段不知道大家都看过没有[兔子]“开心呢，也还好，不开心呢，也还好”@R1SE-周震南喜欢你会永远开心🥰咬碎饼干的微博视频
酷酷咔叽caci,:补完了太阳的后裔一口气看完太好看了
休等书斋书,#阴阳师手游[超话]##阴阳师缘结神#☆全新SSR式神缘结神即将登场☆“本神明可以单身，但你们两个必须在一起哦！”网易阴阳师手游的微博视频
芋圆uu_,:我真的太讨厌口腔溃疡了！！！以前高中的时候老有一次还好一个上次看我妈起了溃疡我还想着我好久没起了我都没说出来！！！！结果我起了
可甜可盐的小贝壳,#张艺兴[超话]##张艺兴会好的##mac亚太代言人张艺兴#20200304惊天劈叉与愣愣兴翻翻搬来我们同名“～～～～音”上的视频一则，没看过的贝壳儿们来收获今日份的欢乐
追剧小仙女Fairy,:#幸好姜文试镜程蝶衣没成功#还好还好，不然哪来这部经典之作，看的我哭死了，点赞分享给你们
雪糕啾仔的老父亲,:想逛bm了！！虽然更适合瘦女孩但款式真的还蛮好看的！主要还很便宜！我是正常穿着还好上镜有点显胖！好像最近好多新款都好好看好想逛呜呜呜
柴郡猫没脖子,在对偶像的各种称谓里，一个我不太能理解的是「小孩」，但如果真要称呼对方小孩，那就自己先试着做个成年人吧。
黄松随行笔记,:马上就要拆牙套了。想当初上排骨性加牙性前突导致上颌两个智齿深龋，下颌智齿近中阻生。不仅如此还有虎牙和牙弓不调的突起位置和眼下的泪沟形成夹角，形成深法令纹。真是让我活得难受。还好有@矫正之家，推荐去了无锡瑞尔齿科、佳贝尔口腔、远东口腔。现在排齐牙齿改善笑容！真的活出了漂亮的自我#无锡隐形牙套矫正多少钱##无锡牙齿矫正那里好#
请你吃汉堡好不好_,:还好我是亲生的要是我妈是我未来婆婆我真的要哭晕在厕所每天都得担心心脏能不能受得辽
看到王源肾上腺素就升高,:#王源[超话]##王源牧尘##王源大主宰#哥你确定还好啦就没有心疼一丢丢嘛[大侦探皮卡丘微笑]@TFBOYS-王源
香草冷萃黑咖啡,:还好劳资当初听话要不然呵呵香草冷萃黑咖啡的微博视频
哈士球的女朋友,:#龙卷风袭击美国已致25人死亡#晚上睡不着波士顿的却风特别大不过还好没有龙卷风🌪️每年中部都龙卷风所以不奇怪我妈看到新闻每次都怕我要被刮走
吃火锅十级学者,:日记：今天走了快一万七千多步我的腿好像已经不是我的腿了出门一定要戴口罩啊还好晚上在阿姨家吃火锅好幸福
无畏无退,:我要是死了前两天看别人吐槽苏城码上有照片，我还纳闷哪里来的照片，还好我没有，今天一点开苏城码，哪来的照片！！！！都不好意思出示苏城码了我哭
战斗士玲小俪,:口罩护目镜封印了我们的颜值，还好我的相机里有我同事们的照片。#湖北武警回应护士向国家要男朋友#@湖北武警可以给我留一个吗
J哥的快乐生活,:马上就要拆牙套了。想当初牙弓过小，牙列拥挤每天照镜子都被丑哭，不仅如此还有下巴化妆修容、用头发遮挡，也还是不好看，活得自闭的日子终于结束啦。还好找到@矫正之家，推荐去了长沙市口腔医院、熙美口腔、麦仕牙医，现在除了牙齿变漂亮以外，脸也更美丽，痘痘也神奇的消了！！真的活出了漂亮的自我，真香！#长沙小诊所矫正牙齿靠谱吗##长沙矫正牙齿好么#
放飞的程姣妮,:想骂人来着刚张嘴我就哭了太丢人l更可怕的是当自己负能量的时候越来越不敢找人倾诉了，难怪那么多人抑郁，还好我能哭
我真的很讨厌打雷,:最近护肤品涨价了还好之前双十一囤了一堆小样没有卖小样使我快乐
坂本嘤嘤怪,:下午改论文格式，应该是我版本的原因有个问题改了一个多小时死活改不过来，离查重就差临门一脚了我真的急得发慌，然后就顺带问了句已经在开始查重的同学，没想到她二话不说喊我直接发过去帮我弄。平常真的都是点头之交，都没咋在一起玩，她人真的太好了
银河时光机,#时代少年团[超话]#💥#宋亚轩0304生日快乐#那一首成长的歌谣哼着唱着小小朋友就成了翩翩少年祝@时代少年团-宋亚轩16岁生日快乐带着这份纯真一直开心下去吧[蛋糕]时代少年团的微博视频
YUYAN--,:2017太辣鸡了因为幼稚伤了好多人错过了一封邮件跟好朋友恩断义绝还好后来都一前一后回来了信也看到了
月亮超级冷,:我记得我看向你的时候眼神很平静还好我们都健忘
柴狗和小乖,:经济数学太难了呜呜呜救命！老师好水我受不了了我真的听不懂了还好前几天把经济数学退课了我再坚持一段时间可能真的遭不住了这周经济数学课终于完了佛了b站相见我今晚再努力一下
包子免费听歌咯,:当冰哥把我写好的on_message改成on_event
小李小李_不讲道理,:#网课忘记闭麦有多尴尬#刚刚就发声了，我妈在旁边看我进入网课，指责我老师已经在了你现在才进去。还好我机智，及时看了一下麦克风，说了一声“嘘”，再去闭麦。而且还好我妈用土话骂的我。别人听不懂kkk
JeokWooDong,:我晕了回家没有直飞的航班还好是个通程航班上个月末就找导员开证明今天也没开下来回家好难🤯🤯🤯
孙可乐0320,:还好没胖多少
草莓浅浅塘,#易烊千玺朋友请听好#哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈或或或或或或哈或或或
晨与瑜洲_,:卧槽卧槽嘴一快说出了兮jb脏
沐西Sun,:#我们都还好#@非正式会谈来啦来啦，洗衣机+保鲜膜
iv_uiw,:#网课#还好我被绿了
挞莎奶奶,:规划饮食的第二天忍不住...炒个肉丝（切出来是肉块了.....
沐西Sun,:#我们都还好#@非正式会谈来啦来啦，洗衣机+保鲜膜
iv_uiw,:#网课#还好我被绿了
挞莎奶奶,:规划饮食的第二天忍不住...炒个肉丝（切出来是肉块了.....
董文康8899,:早上只对着镜子一笑，就会发现牙齿特别丑！从小就是这样，俗称玉米龅牙。一笑起来上牙龈就都露出来了。其实闭着嘴巴的时候也还好，只是因为龅牙，放松情况下嘴巴其实无法完全闭紧。有什么解决方法吗？费用大概多少？需要多长时间才能恢复正常？@牙齿矫正之家，以通过箍牙齿吗，你能帮我推荐下呢，天津欢乐口腔、惠欣口腔、关爱口腔如何想听你的意见！#天津牙齿矫正医院##天津牙齿上下牙咬合不齐#
Cuteasfnck,在fb上看到Szondi心理分析测验，看看你内心的阴暗面或升华面可能是什么，大家可以来试一试。「图中有八位人像，都是Szondi医师的患者，他们分别经历过不同的精神病症。请你开始仔细观察每位的面部相貌，挑选出当你在半夜独自回家，不想同时走在一条小路上的人，或者最不想单独一块搭乘电梯的对象，也可以是因为该位对象外表的关系，会令你感到恐惧或者厌恶，所以不想共处一室。」测试目的是，藉由观察精神疾病患者之面相进行情绪感知（共感），来探索人类潜意识或生命其中阶段造成之创伤所压抑的情绪。也就是潜意识当中可能存在的隐藏个性。⚠️注意：这是一项数多年前的心理测验，且部分症状在现今已不被定义为精神疾患。这些患者相貌，原本各别代表一项或偏于某项病症之特征，因此测验结果仅为不同个性做出的假设性心理分析，不代表你具有某种精神障碍或心理症状。⚠️注意：可以多选，但一样不代表你必然拥有这些病症。选项解析我放在评论了。
脱了袜子一米五八,:我的脑子🧠……还好没废
蜜糖小天有只烊,:#网剧危险的她#讲真，比傻白甜的剧要好看
慕雨竹音,:刷微博刷到了一条杠精的微博，评论里全是支持的声音，杠什么的都有，服了，感觉全天下都得罪他们了，有一天可能会杠天杠地杠空气吧，说着自己喜欢的不能硬让别人喜欢，做的却是我说的你必须承认是对的
青柠守望,:#辽宁新增3例确诊均为丹东病例##对2月12日后境外入丹东人员核酸检测#咱也不知道怎么个社区防控法，咱家单元开放式的，第一期就贴个条就完事了，第二期还好内容写的到保安处领取出入证，过去一问人家说你们那可领可不领，真是不一样，物业费一年没少交，回迁户和商品房的待遇真不一样，唉，真是特殊时期看出特殊问题！也就那么回事吧，看着就是形式的http://t.cn/R2Wx94B
随便起的一名儿,:还好我在十六岁的时候就明白，有些人不可能就是不可能，没缘分就是没缘分。
TT整形创始人,:还好不用出去见人，这个刘海被我剪的相当💯上海
油条蘸豆浆煎包加点醋,:早上醒了想去买煎饼发现今天没有就买了簸箕饭名字是饭为啥结果是肠粉
好物安利喵,:作为一个标准的宅家少女
