新浪重庆,:#重庆抗击新冠肺炎#【最新：重庆连续8日无新增确诊病例现有在院确诊病例为零区县增至14个】2020年3月3日0—24时，重庆市无新冠肺炎新增确诊病例报告，新增治愈出院病例21例。新增治愈出院病例中，万州区5例、涪陵区1例、江北区2例、九龙坡区1例、南岸区1例、合川区1例、綦江区1例、大足区1例、铜梁区1例、垫江县2例、忠县1例、云阳县1例、奉节县1例、巫山县1例、石柱县1例。截至3月3日24时，重庆市现有在院确诊病例80例（其中重型病例5例、危重型病例2例），累计死亡病例6例，累计治愈出院病例490例，累计报告确诊病例576例。累计追踪到密切接触者23602人，已解除医学观察23288人，尚有314人正在接受医学观察。具体情况如下：专家认为，截至3月3日，我市连续8日无新增确诊病例，现有在院确诊病例降至80例，现有在院确诊病例为零的区县增至14个，疫情发展态势积极向好。但是，零增长并不等于零风险。随着企业复工复产比例不断提高，来渝返渝人员包括境外来渝返渝人员不断增加，当前疫情防控形势依然严峻复杂，仍有很大的不确定性，面临着反弹压力，决不能盲目乐观，必须抓紧抓实抓细各项防控措施。重庆市卫生健康委提示：当前仍然是疫情防控的关键时期，广大市民千万不要放松警惕，依然要持续做好个人防护，坚持少出门、戴口罩、勤洗手、不聚餐、不聚集。如果出现发热、咳嗽、乏力等可疑症状，请戴好口罩，及时到发热门诊就诊。
中国成都美食网,:《一例“离奇”感染：没去外地、没接触过病例，超市员工却感染了》3月2日重庆市新冠肺炎疫情防控工作第三十七场新闻发布会上通报了一则“离奇”的感染病例。http://t.cn/A6705RFv
重庆天气,:#出行天气#主城今天8-14时，雨，10-13℃;14-20时，阴，13-14℃。外出时段(7-9时)，阴天有小雨10℃左右。重庆市气象台03月04日6：30发布。
在路上的夏烟,:【重庆市江津四面山景区】四面山风景区位于重庆市西南部，距离重庆市主城区130公里，距江津城区90公里，属云贵高原大娄山北翼余脉，系地质学上的倒置山，拥有世界自然遗产“丹霞地貌”的特征，极具世界级品质的景观观赏价值。
股票职业操盘手16606150217牛,:这次疫情造成的经济损失原重庆市市长黄奇帆讲至少几万亿损失，何止是经济损失大家有目共睹、切身感受！要知道解决全民免费医疗问题每年只需要两三千亿，而前十年前三公消费已经近万亿，当官不为民做主不如回家种红薯！他们有句当官不发财请我都不来，天不管公鸡叫不叫都会天亮的，你说对吧！
重庆out_man,:我提出了问题“位于重庆市南岸区南滨路“雷士大厦”烂尾楼空置多半政府迟迟未解决?”，重庆市南岸区南滨路为观景区，雷士大厦烂尾楼政府一直未解决，大大影响南滨路的景观以及城市形象，希望央视...位于重庆市南岸区南滨路“雷士大厦”烂尾楼空置多半政府迟迟未解决?@央视新闻
重庆out_man,:我提出了问题“请跟踪重庆南岸区南滨路雷士大厦后续发展?”，位于重庆市南岸区南滨路雷士大厦烂尾楼已经多年未动工，并且南岸区政府也不出面决绝，恳求央视曝光此事，请跟踪重庆南岸区南滨路雷士大厦后续发展?@天眼查
稻城亚丁小田哥,:【重庆旅游攻略】两只学生党每天自然醒的自由行D1解放碑商圈+八一路好吃街+四川美院虎溪校区+洪崖洞+千厮门大桥D2成功打卡火锅+磁器口古镇+解放碑商圈D3长江索道+山城步道+中山四路+三峡博物馆+重庆市人民大礼堂ps.有时候看夜景不用特地到某个地方，在轻轨上虽一路而过的近但在眼前，会更让人想要留住这样的美，推荐夜晚搭乘重庆轨道交通2号线和6号线，感受这个城市不一样的夜晚。投稿：三分钟热度谈什么最爱
红场衣裳救下,:餐饮：有期徒刑10年。并伪造重庆市巴南区建委主要领导签名骗取公款127万余元！常德·澧县
玩味仙生,:【重庆连续7日无新增确诊病例，吃货网友：为了烤肉，加油！】截至3月2日24时，重庆市现有在院确诊病例101例，累计报告确诊病例576例。累计追踪到密切接触者23592人，已解除医学观察23235人，尚有357人正在接受医学观察。专家认为，重庆市连续7日无新增确诊病例，29个区县连续14日无新增确诊病例，待排查疑似病例降至个位数，疫情防控形势持续向好。#重庆身边事#http://t.cn/A67p74fahttp://t.cn/EGc2DE2
Plus旅行情感,:【重庆旅游攻略】两只学生党每天自然醒的自由行D1解放碑商圈+八一路好吃街+四川美院虎溪校区+洪崖洞+千厮门大桥D2成功打卡火锅+磁器口古镇+解放碑商圈D3长江索道+山城步道+中山四路+三峡博物馆+重庆市人民大礼堂ps.有时候看夜景不用特地到某个地方，在轻轨上虽一路而过的近但在眼前，会更让人想要留住这样的美，推荐夜晚搭乘重庆轨道交通2号线和6号线，感受这个城市不一样的夜晚。投稿：三分钟热度谈什么最爱
