三秦都市报,:【阿念：我#转院去火神山医院陪外婆#
鹤城晚报,:【81岁重患，出院！】3日，省新冠肺炎重症救治中心再次传来好消息，一名81岁重症患者治愈出院。据了解，2月14日，该患者从鸡西转入省新冠肺炎重症救治中心ICU，临床表现为发热和呼吸困难，并伴有冠心病、糖尿病等基础性疾病，经专家会诊，针对患者的情况，为其制定了个体化的治疗方案。2月20日，该患者病情好转，转出ICU，进入过渡病房继续治疗。2月23日、2月25日，医护人员连续对其进行两次核酸检测，均为阴性。经专家组评估，符合出院标准，于3月3日出院返回鸡西，进行隔离14天的医学观察。“医护人员像儿女一样无微不至地照顾我，她们是世界上最好的医生。”出院时，这位患者十分激动。他说，现在最迫切的心愿就是回家给老伴儿做顿饭。
环球网,:【#武汉将分批分步恢复正常医疗秩序#：#武汉重点保障肿瘤孕产妇等医疗需求#】湖北省卫生健康委员会副主任涂远超表示，在严防严控基础上，重点保障急危重症、血液透析、肿瘤、孕产妇儿童等急需的医疗需求，指定首批重点医院转为提供综合性医疗服务。后期根据防控实际，逐步缩减新冠肺炎收治定点医院，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。http://t.cn/A67NLCQ5
南昌房天下,:【2020年3月2日南昌市新型冠状病毒肺炎疫情情况】2020年3月3日，江西省卫生健康委发布疫情通报，2020年3月2日0-24时，江西省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例，累计确诊病例935例，治愈出院病例870例，死亡病例1例；现有重症病例5例，疑似病例1例。其中南昌市报告新增新型冠状病毒肺炎确诊病例0例，新增出院病例4例，累计报告确诊病例230例，累计出院病例216例。　　南昌市报告无新增确诊病例。　　各县（区）已确诊病例中，南昌县42例；进贤县37例；安义县5例；东湖区14例；西湖区35例；青山湖区15例；青云谱区14例；新建区9例；经开区5例；高新区43例；红谷滩新区11例。　　目前追踪到密切接触者4183人，尚有187人正在接受医学观察。　　南昌市卫生健康委员会　　2020年3月3日
damiren,:得了急重症的病跑遍医院不给收治，广大网友发动民间力量at天南地北花花绿绿的网络昵称寻求一个救命渠道。画面好诡异啊（不是说这样不好）虽然这种事情最近不少见，但怎么想还是很奇怪啊。去医院好好看个病原来是一个高级blessing了。人就不是人啊——不管说多少次，每次想到这一点就还是毛骨悚然啊
直播南京官方版,:【重症病房里的“小广播”：我们希望患者能获得身体上和心理上的双重康复】江苏援湖北医疗队队员、中大医院重症医学科护士顾德玉已经驰援武汉一个多月了，他一直在武汉华中科技大学同济医院中法新城院区的重症病房工作。他介绍说，由于突然失去了与外界的联系，许多患者、尤其是老年患者会变得很恐惧和担忧。于是，从2月27号开始，一个特殊的“小广播”在重症病房里响起了。顾德玉和几个同事每天尽可能收集更多的有关新冠肺炎的治疗信息和权威发布，通过“小广播”说给患者们听，帮助患者们树立信心，也为他们带去了温暖与力量。顾德玉说：我们来的目的就是让患者早日康复，这种康复不仅仅是身体上的，还有心理上的。
重庆市教委,:【我#转院去火神山医院陪外婆#
Qing,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
汪朝江,【#我家7人在一线#】疫情发生后，武汉市民汤毅有7位家人投身战疫一线：学医的老婆，疫情一发生就主动上了前线；护士表妹杨思思，主动请缨到了重症监护病房；在120工作的表妹徐赛群，一天要接送患者20多趟……汤毅也没闲着，他购买防护物资给医护人员，用这样的方式守护亲人。加油！#共同战疫#，期待你们早日团聚！http://t.cn/A676BnWg
广州越秀发布,:【“看着病人好起来，就是最开心的事”】在进病房的最后一道门前，广东医生吴永明稍微停了一步，然后才推门走入。3月2日早上，是他在洪湖市人民医院住院部四楼重症监护病房的最后一次查房。按照指挥部安排，广东医疗队将病房的患者进行分流，根据实际情况转往其他地方，不再收治新冠肺炎病人。洪湖淅淅沥沥的小雨下了一整天，所幸7名病人在这天全部完成转运。在告别前，开心、紧张和不舍混杂而成的情绪，在病房蔓延开来。http://t.cn/A67KrJOj
土木蔡东锋,:#武汉将分批分步恢复正常医疗秩序#在严防严控基础上，重点保障急危重症、血液透析、肿瘤、孕产妇儿童等急需的医疗需求，指定首批重点医院转为提供综合性医疗服务；
