美东侨报,:#全国最新疫情地图#【#新冠肺炎#全国累计确诊80424例】截至3月3日20时31分，全国累计确诊病例80424例（昨日新增120），现有确诊27427例（新增-2572），疑似病例520例（新增143），现有重症6416例（新增-390），累计治愈病例50013例（新增2654），累计死亡病例2984例（新增38）。
JSTV荔枝视频,:【#黄石小汤山危重症清零#江苏医疗队：离回家的日子越来越近了！】近日，在黄石和江苏两地医护人员的共同努力下，黄石市的出院病例数不断增加。“黄石小汤山”市中医医院的最后3名重症患者转到了市中心医院，全部由来自江苏的医护人员治疗、看护。江苏医疗队赵炜医生说：感到很欣慰，离回家的日子越来越近了！http://t.cn/A67WQrSt
长安号官微,:#西安抗疫最前线##关注新冠肺炎#【#日本新冠肺炎确诊总数破千#】据日本放送协会(NHK)报道，4日，日本山口县政府发布消息称，该县下关市1名40多岁的男性被确诊感染新型冠状病毒肺炎。报道称，这使日本新冠肺炎确诊病例总数达到1000例，其中重症58例，死亡12例。
长安号官微,:#西安抗疫最前线##疫情动态播报#【内蒙古连续14天无新增确诊病例，新增出院5例】2020年3月3日8时至4日7时，内蒙古自治区报告无新增新冠肺炎确诊病例，无新增疑似病例，确诊病例新增治愈出院5例，疑似病例新增治愈出院1例，1例危重病例转为重症病例，1例重症病例转为普通病例。截至3月4日7时，内蒙古自治区累计报告新冠肺炎确诊病例75例，现存确诊病例15例，确诊病例治愈出院59例，死亡病例1例，疑似病例治愈出院9例，重症病例1例，危重病例1例。目前，尚在接受医学观察的密切接触者136人。当日解除医学观察14人。（人民日报）
健康夏津,:2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。来源:山东省卫健委(XJCDC)
奉化论坛,:【浙江昨日无新增确诊病例】2020年3月3日0-24时，浙江省无新增新型冠状病毒肺炎确诊病例，新增出院病例21例。其中：新增出院病例中，宁波市3例、温州市10例、台州市8例。截至3月3日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例6例（其中危重3例），累计死亡1例，累计出院1107例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市4例、嘉兴市1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市154例、温州市466例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市120例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41229人，当日解除医学观察71人，尚有597人正在接受医学观察。（from:浙江日报）
北京电台,:【#北京治愈率逐步提高已达70%#，死亡病例绝大多数有严重基础疾病】截至3月3日，北京市累计报告确诊病例417例，已治愈出院294例，治愈率已达70%。随着患者治疗的进展，将会有更多患者治愈出院，治愈率还会逐步提高。今天，新冠肺炎北京重症救治专家组组长、北京天坛医院副院长周建新介绍，死亡病例中，有7例具有严重基础疾病，包括高血压、冠心病、心脏瓣膜病和慢性阻塞性肺病。多数患者的直接死亡原因为严重基础疾病。死亡病例的平均年龄为79岁，危重型病例中绝大多数在70岁以上。（北京日报）#抗击新型肺炎北京在行动#
云南省人民政府网,:#云南疫情最新通报#【97.13%！云南省新冠肺炎患者治愈出院率位列全国第三】截至3月3日24时，云南省累计报告确诊病例174例，已累计12天无新增确诊病例。治愈确诊新冠肺炎病例共计169例，救治重症、危重症患者累计18例，治愈出院率达到97.13%，位列全国第三位。（云南省卫生健康委员会）
昆明发布,:#疫情最新情况#【无新增！截至3月4日12时，云南累计治愈出院169例，现有确诊病例3例】3月4日0时至12时，无新增确诊病例。截至3月4日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南省卫生健康委员会）
今日烟台,:#烟台新闻#【烟台无新增！3月4日0-12时山东新冠肺炎疫情情况发布】据山东省健康委员会官方微信公众号健康山东消息，2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。（来源：健康山东）详见:http://t.cn/A67lIrkN
南阳同城会,:#南阳快讯##南阳战疫#【3月3日南阳0新增】2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。
