一心向大海,:防护做得好，健康有保障http://t.cn/A67oARrp
留坝宣传,:【记得带上！出门复工这样使用健康码！】为有力阻断疫情蔓延传播，有序推进经济社会秩序恢复，陕西省疫情防控平台推出健康码，通过红黄绿三色二维码，快速进行人员精准识别和精准施策。健康码是新冠肺炎疫情防控期间外出乘坐长途客车、火车、飞机等公共交通工具及外出复工的健康证明。健康码分红、黄、绿三色。其中低风险人群为绿码，中风险人群为黄码，高风险人群为红码。健康码如何分类？绿码本人可凭码通行。判断标准：（1）县外低风险地区来留返留人员；（2）在数据更新日期前本人没有暴露在新冠病毒污染的环境中；（3）本人近14天无发热、乏力、咳嗽、腹泻、结膜炎等任何不适。黄码本人须在所在单位和镇村、社区监督下居家隔离14天，在连续申报健康打卡14天正常后，可转为绿码。判断标准：县外中风险地区来留返留且提供健康证明人员。红码本人须接受集中隔离观察，如有咳嗽、发热等症状需在防护下专人专车到指定发热门诊就诊，在连续申报健康打卡14天正常后，可转为绿码。判断标准：（1）近14天内和新冠肺炎患者有密切接触的人员；（2）县外高风险来留返留人员；（3）已出现发热、乏力、咳嗽、腹泻、结膜炎等症状的人员。如何使用健康码1个人健康码是来留返留、省内出行、复工复产复学、日常生活及进出商场、超市等公共场所的重要凭证；在查验时直接出示截图保存的个人健康码或登录系统领取。2企业、工厂、商超、车站、宾馆等场所的疫情防控管理员根据个人健康码的颜色，分类进行处置，查验通过后方可通行。3疫情防控管理员发现健康码为黄色的对相关人员进行劝返，要求其居家隔离；发现健康码为红色的，根据实际情况进行综合评估，有发热或呼吸道症状的采取“一事三处置”措施，无发热或呼吸道症状的采取定点酒店集中隔离14天，期间出现异常情况的按照“一事三处置”程序处理。如何申领个人健康码1扫描以下二维码，或通过关注“健康陕西公众服务”微信公众号、下载“健康陕西公众服务”APP等方式进行申领。长按或扫一扫关注“健康陕西公众服务”公众号，点击“健康填报”申领陕西健康码苹果手机：扫码下载“健康陕西公众服务”APP，点击“个人健康信息登记”填报申领陕西健康码；安卓手机：复制以下链接到浏览器打开，下载“健康陕西公众服务”APP，在首页点击“个人健康信息登记”填报申领陕西健康码。下载链接：http://t.cn/A67P2MiK。2点击“机关事业单位人员健康申报”或“复工复产人员信息填报”，根据提示如实填写个人信息。机关事业单位人员点击“机关事业单位人员健康申报”申领个人健康码；企业人员点击“复工复产人员信息填报”申领个人健康码。如实填报个人情况、住址、工作单位等信息获取手机验证码，自动生成个人健康码并截屏保存。
aaaaaoeiuv,:#浙江多名华侨从意大利回国#回来就回来当初国内疫情爆发最严重的时候人家也没少出力现在国外也出现了疫情而且防护措施也没有国内好为什么不让人回来做好隔离和其他防护措施不就行了吗不知道骂人的是什么心理过河拆桥不带这样的吧
xxj警告,:#德国载有1200名乘客游轮检测结果出炉#好好隔离，做好防护工作吧🙏#中国境外确诊病例超过1万#希望可以更加的严控入境人员，我们现在的成果来之不易
三振出局_nwo,【应对新冠肺炎疫情#伊朗将暂时释放5.4万名囚犯#】美国有线电视新闻网（CNN）3日报道称，伊朗ISNA通讯社援引该国司法部门发言人伊斯梅利（GholamhosseinEsmaili）消息，伊朗3日宣布将暂时释放逾5.4万名囚犯，以防止新型冠状病毒进一步传播带来影响。ISNA称，该发言人表示，释放囚犯是在伊朗卫生部的监督下进行的。“无论是‘安全囚犯’还是普通囚犯，他们的健康对我们来说都非常重要，”ISNA援引伊斯梅利的话说。另据英国广播公司（BBC）报道，暂时获释的囚犯新型冠状病毒检测结果需呈阴性。但被判处五年以上有期徒刑的“安全囚犯”则不允许释放。#新冠肺炎最新海外动态#
william_hkf,:#世卫组织称中国防控经验要与世界分享#我真的笑了“戴口罩戴口罩真的很重要”这最基本而且最有效的防护措施他们都不照做...
北海消防119,:#韩国忠南西山乐天化学工厂发生爆炸#【发生爆炸如何自救
龙游检察,:#正义锐评#【央企复工率91.7%口罩够吗？】截至2月26日，中央企业所属4.8万户子企业复工率为91.7%。保证人员健康、防护到位是复工复产的前提。在防“疫”最吃紧的时刻有这么高的复工率，令人高兴。但这却不能掩盖一个问题——大规模复工，工人师傅们有口罩吗？【正义锐评】央企复工率91.7%，口罩够吗？
十升喵,:英国买口罩的小伙伴要注意区别哦，尤其是网购口罩，可能会出现买错的情况。如下图，第一张图是同学收到的口罩，有点像帽子，带子固定地方使用的订书机，口罩部分类似过滤纸，这种主要是防尘的。后面的口罩图是3M的，主要是防雾霾的，一般防护最好的是N95口罩或KN95口罩，其中一次性的外科口罩或普通的医用口罩也有一定的防护作用。网上买口罩部分网购商家可能会出现延迟发货，然后假装发货了，还显示已到了，实际上根本没发货，发邮件过去才说没货了让退款的情况。
名城早报,:【返岗上班，如何做好个人防护？
精彩渝水,:#全民战疫#【出门买买买，该如何做好防护？
