中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
优雅四会,:【2020年3月4日，广东无新增确诊病例】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
清远日报,:#每日疫情#【3月4日，清远无新增新冠肺炎病例】我市3月4日无新增病例。截至3月4日24时，全市累计报告新冠肺炎确诊病例12例（男性6名，女性6名），年龄介于2-62岁之间，其中清城区6例、清新区1例、英德市1例、连山壮族瑶族自治县3例、阳山县1例。已全部出院，无死亡病例。有10名密切接触者正在接受医学观察。据广东省卫生健康委网站通报：截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，全省在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。清远市卫生健康局2020年3月5日
佛山市祖庙博物馆,:疫情通报|4日广东确诊0新增！新增出院30例，累计出院1159例！截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
韶关发布,:【韶关“五举措”有序推进餐饮业复工复业】记者昨日从市市场监管局获悉，近段时间来，全市市场监管部门在做好疫情防控的同时积极做好民生保障，从五个方面落实《韶关市推动餐饮业有序复工复业指引》，助力餐饮业有序复工复业。韶关“五举措”有序推进餐饮业复工复业
韶关发布,:【我市公交车逐步恢复正常运营县际班车已基本恢复开通】记者昨日从韶关市公共汽车有限公司获悉，根据当前情况，该公司对市区部分早晚高峰时段公交线路进行了加密班次安排，并重点恢复或调整了1、2、3、9、10、13、15、19、20、22等线路公交车班次，这些线路经过的主要区域为城区返工集中地、各大居民小区，调整时段主要在早上6时半至8时半、下午5时半至7时。其中，行政服务中心公交线路已于2月3日全部恢复，其它线路已于2月13日起逐步恢复。http://t.cn/A67TCELm
韶关天气,:#午间天气#【市区短时天气预报】预计未来三小时，市区，多云到阴天，偏北风1-2级，15到18度。韶关市气象台2020年3月5日11时发布
韶关那些事儿,:#韶关身边事#【好消息！韶关今日起至疫情结束，每天3万个口罩可预约订购！】#韶关爆料#为解决韶关市民的口罩购买问题，韶关市决定从今日起至疫情结束，每天投放2万个平面口罩（普通），1万个折叠口罩（kn95级别），为市民提供线上预约购买并配送口罩服务。韶关发布今日刊登预约通告，指导广大市民如何进行微信预约订购，敬请垂注。http://t.cn/RyhWvRV
DV现场,:【4日广东新增确诊病例0例，新增出院30例】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
韶关民声网,:【今天起，我市提供线上预约购买并配送口罩服务！】为满足韶关市民需要，坚决打赢我市疫情防控阻击战，韶关市决定自3月5日起为广大市民提供线上预约购买并配送口罩服务。市民可以通过微信搜索“韶关战疫”进入小程序页面（或扫描下方的葵花码），点击“口罩预约购买”进行预约。实名预约购买口罩具体规则请戳→http://t.cn/A67TtKhK@韶关同城
南方都市报,:【广东新增出院30例2例为危重型病例治愈出院】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。http://t.cn/A67TAZiy
