省份,城市,确诊人数,治愈人数,死亡人数
安徽,安庆,80,15,0
安徽,蚌埠,134,2,3
安徽,亳州,92,7,0
安徽,池州,15,3,0
安徽,滁州,12,3,0
安徽,阜阳,132,13,0
安徽,合肥,150,15,1
安徽,淮北,24,5,0
安徽,淮南,24,4,0
安徽,黄山,9,1,0
安徽,六安,59,3,0
安徽,马鞍山,32,2,0
安徽,铜陵,27,7,0
安徽,芜湖,31,3,0
安徽,宿州,33,3,0
安徽,宣城,6,2,0
澳门,澳门,10,1,0
北京,昌平区,19,0,0
北京,朝阳区,56,0,0
北京,大兴区,36,2,0
北京,东城区,9,0,0
北京,房山区,14,0,0
北京,丰台区,30,2,0
北京,海淀区,57,0,0
北京,怀柔区,7,0,0
北京,门头沟区,3,0,0
北京,密云区,6,0,0
北京,石景山区,13,0,0
北京,顺义区,10,0,0
北京,通州区,17,0,0
北京,西城区,39,0,0
北京,延庆区,1,0,0
福建,福州,63,12,0
福建,龙岩,6,1,0
福建,南平,19,2,0
福建,宁德,24,4,0
福建,莆田,51,1,0
福建,泉州,43,10,0
福建,三明,13,1,0
福建,厦门,31,2,0
福建,漳州,17,3,0
甘肃,白银,4,0,0
甘肃,定西,8,1,0
甘肃,甘南州,6,0,0
甘肃,金昌,1,1,0
甘肃,兰州,35,6,2
甘肃,临夏州,3,2,0
甘肃,陇南,4,0,0
甘肃,平凉,8,0,0
甘肃,庆阳,3,0,0
甘肃,天水,12,1,0
甘肃,张掖,2,1,0
广东,潮州,5,0,0
广东,东莞,62,3,0
广东,佛山,70,15,0
广东,广州,317,43,0
广东,河源,3,0,0
广东,惠州,53,1,0
广东,江门,20,1,0
广东,揭阳,8,1,0
广东,茂名,11,1,0
广东,梅州,13,4,0
广东,清远,10,3,0
广东,汕头,25,5,0
广东,汕尾,5,1,0
广东,韶关,7,2,0
广东,深圳,375,56,0
广东,阳江,13,1,0
广东,湛江,21,6,0
广东,肇庆,15,3,1
广东,中山,58,14,0
广东,珠海,86,4,0
广西,百色,3,0,0
广西,北海,36,2,0
广西,防城港,17,1,0
广西,贵港,8,0,0
广西,桂林,30,5,0
广西,河池,21,0,1
广西,贺州,4,0,0
广西,来宾,11,0,0
广西,柳州,22,3,0
广西,南宁,41,0,0
广西,钦州,8,0,0
广西,梧州,5,3,0
广西,玉林,9,1,0
广西,安顺,4,0,0
广西,毕节,21,0,0
广西,贵阳,29,2,0
广西,六盘水,10,1,1
广西,铜仁,9,5,0
广西,遵义,24,1,0
海南,昌江,6,0,0
海南,澄迈,7,1,1
海南,儋州,11,1,0
海南,定安,3,0,0
海南,东方,3,0,0
海南,海口,29,6,0
海南,临高,6,1,0
海南,琼海,6,0,1
海南,三亚,45,11,1
海南,万宁,13,0,0
海南,文昌,3,0,0
河北,保定,30,9,0
河北,沧州,32,10,1
河北,承德,7,1,0
河北,邯郸,27,3,0
河北,衡水,8,2,0
河北,廊坊,26,5,0
河北,秦皇岛,9,0,0
河北,石家庄,27,3,0
河北,唐山,31,2,0
河北,邢台,21,4,1
河北,张家口,21,2,0
河南,安阳,46,10,0
河南,鹤壁,18,0,0
河南,济源,4,0,0
河南,焦作,28,1,1
河南,开封,25,1,0
河南,洛阳,28,2,0
河南,漯河,31,6,0
河南,南阳,136,12,2
河南,平顶山,54,13,1
河南,濮阳,11,0,0
河南,三门峡,7,3,0
河南,商丘,86,9,1
河南,新乡,48,6,0
河南,信阳,228,28,0
河南,许昌,32,2,0
河南,郑州,132,39,0
河南,周口,65,13,0
河南,驻马店,126,14,0
黑龙江,大庆,14,0,1
黑龙江,大兴安岭地区,2,0,0
黑龙江,哈尔滨,146,15,0
黑龙江,鹤岗,5,1,0
黑龙江,黑河,4,0,0
黑龙江,鸡西,38,1,0
黑龙江,佳木斯,15,5,0
黑龙江,牡丹江,12,1,0
黑龙江,七台河,15,0,0
黑龙江,齐齐哈尔,32,0,1
黑龙江,双鸭山,38,1,2
黑龙江,绥化,39,3,4
湖北,鄂州,790,61,26
湖北,恩施州,195,31,2
湖北,黄冈,2332,279,52
湖北,黄石,835,82,5
湖北,荆门,656,69,21
湖北,荆州,1075,56,17
湖北,潜江,90,3,3
湖北,神农架林区,10,6,0
湖北,十堰,505,59,1
湖北,随州,1095,26,12
湖北,天门,261,12,10
湖北,武汉,18454,1234,748
湖北,仙桃,438,41,11
湖北,咸宁,515,51,5
湖北,襄阳,1063,49,12
湖北,孝感,2642,139,41
湖北,宜昌,772,52,8
湖南,常德,73,15,0
湖南,郴州,33,13,0
湖南,衡阳,45,16,0
湖南,怀化,39,15,0
湖南,娄底,69,12,0
湖南,邵阳,91,22,0
湖南,湘潭,32,11,0
湖南,益阳,54,16,0
湖南,永州,42,13,0
湖南,岳阳,134,21,1
湖南,张家界,5,3,0
湖南,长沙,219,48,0
湖南,株洲,68,11,0
吉林,白城,1,0,0
吉林,公主岭,6,1,0
吉林,吉林,5,2,0
吉林,辽源,6,0,0
吉林,四平,12,1,1
吉林,松原,2,1,0
吉林,通化,4,0,0
吉林,长春,40,11,0
江苏,常州,31,6,0
江苏,淮安,46,5,0
江苏,连云港,37,4,0
江苏,南京,84,22,0
江苏,南通,35,5,0
江苏,苏州,80,13,0
江苏,泰州,34,5,0
江苏,无锡,45,4,0
江苏,宿迁,12,3,0
江苏,徐州,63,10,0
江苏,盐城,18,3,0
江苏,扬州,18,3,0
江苏,镇江,12,1,0
江西,抚州,67,9,0
江西,赣州,72,7,1
江西,吉安,19,4,0
江西,景德镇,5,1,0
江西,九江,101,13,0
江西,南昌,196,46,0
江西,萍乡,26,1,0
江西,上饶,111,13,0
江西,新余,110,22,0
江西,宜春,83,10,0
江西,鹰潭,14,1,0
江西,鞍山,3,0,0
