nodename,nodeclass,describe,properties
"马洪明","人物","马洪明是广州华侨医院医生","中文名：马洪明"
"孙宝清","人物","孙宝清，博士毕业于英国格拉斯哥大学（University of Glasgow）物理系，曾为英国格拉斯哥大学博士后助理研究员。现为山东大学信息科学与工程学院教师。","中文名：孙宝清；"
"欧阳铭","人物","欧阳铭，字日新，泰和人，明朝官员。以荐除江都县丞。兵燹后，民死徙者十七八。铭招徕拊循，渐次复业。","姓名：欧阳铭；性别：男；字号：日新；职业：官员；所处时代：明朝；出生地：泰和；"
"刘升明","人物","刘升明： [1]  男，汉族，1983年8月生于湖北咸宁；历任名企职业经理人，2008年创立广东和生投资集团有限公司，现担任和生国际控股集团有限公司董事局主席、首席执行官；广东和生投资集团有限公司董事长；上海和生实业（集团）有限公司董事长；湖北和生商贸（集团）有限公司董事长；广东省经济学家企业家联谊会副会长；广东省企业家理事会副理事长；广州湖北商会副会长。","中文名：刘升明；出生日期：1983年8月12日；性别：男；行业：物业实体投资、商业贸易、投资管理；方向：投资集团；公司：广东和生投资集团有限公司；职位：广东和生投资集团有限公司董事长；主要成就：创立广东和生投资集团有限公司；获得荣誉：广东省优秀企业家”、“广东省诚信企业家”荣誉称号；职业：企业家、投资家；民族：汉族；出生地：湖北省崇阳县咸宁；外文名：Liu Sheng Ming；国籍：中国；身高：174；人生目标：让中国的企业真正走向世界；"
"吕嘉春","人物","tern tern Can","中文名：吕嘉春；出生日期：1967年2月；性别：男；英文名称：Jiachun Lu；教学职称：医学博士，博士后，博士生导师；"
"郑劲平","人物","郑劲平，男，广州医学院第一附属医院、广州呼吸疾病研究所教授，主任医师，硕士生导师。目前担任中华医学会变态反应学会委员、中华医学会呼吸病学会中青年委员兼肺功能和危重监护学组成员、中国吸烟与健康协会委员、广东医学会变态反应学会常委、广州呼吸病学会常委，任《Chest》中文版编委、《国际呼吸杂志》编委。","中文名：郑劲平；性别：男；职位：主任医师；科室：呼吸内科；"
"柯昌文","人物","柯昌文，硕士，广东省疾病预防控制中心主任技师，病原微生物所所长，兼任中山大学硕士研究生导师。","中文名：柯昌文；出生地：广州；民族：汉族；国籍：中国；职业：医生 广东省疾病预防控制中心主任技师；毕业院校：中山大学；籍贯：广东省；"
"罗炜","人物","罗炜，毕业于北京大学数学系，浙江大学数学科学中心博士后。数学系， 浙江大学数学研究中心。","中文名：罗炜；出生日期：1975年2月21日；性别：男；民族：汉族；国籍：中国；职业：教师；毕业院校：北京大学；"
"新型冠状病毒","病毒","新型冠状病毒（COVID-19），因2019年武汉病毒性肺炎病例而被发现，2020年1月12日被世界卫生组织命名。冠状病毒是一个大型病毒家族，已知可引起感冒以及中东呼吸综合征（MERS）和严重急性呼吸综合征（SARS）等较严重疾病。新型冠状病毒是以前从未在人体中发现的冠状病毒新毒株。2019年12月以来，湖北省武汉市持续开展流感及相关疾病监测，发现多起病毒性肺炎病例，均诊断为病毒性肺炎/肺部感染。人感染了冠状病毒后常见体征有呼吸道症状、发热、咳嗽、气促和呼吸困难等。在较严重病例中，感染可导致肺炎、严重急性呼吸综合征、肾衰竭，甚至死亡。目前对于新型冠状病毒所致疾病没有特异治疗方法。但许多症状是可以处理的，因此需根据患者临床情况进行治疗。此外，对感染者的辅助护理可能非常有效。做好自我保护包括：保持基本的手部和呼吸道卫生，坚持安全饮食习惯，并尽可能避免与任何表现出有呼吸道疾病症状（如咳嗽和打喷嚏等）的人密切接触。世界卫生组织将新冠状病毒命名为“COVID-19”。","中文学名：新型冠状病毒；别名：2019新型冠状病毒；外文名：COVID-19；界：病毒界；目：网巢病毒目（Nidovirales）；科：冠状病毒科（Coronaviridae）；属：冠状病毒属（Coronavirus）；中文名：新型冠状病毒；病原学：冠状病毒；传染病：是；传播途径：唾液，呼吸道，密切接触；潜伏期：14天；临床表现：发热、乏力、干咳为主；疫苗预防：否；预防措施：戴口罩；就诊科室：勤洗手；"
"浙江医科大学","大学","浙江大学医学院（Zhejiang University School of Medicine）的前身是1912年由近代著名医学家厉绥之等人创办的浙江医学专门学校和1945年8月创设的国立浙江大学医学院两所学校合并（1952年2月）而成的浙江医学院，1960年4月改名为浙江医科大学。1981年被国务院批准为全国首批博士和硕士学位授予单位。1998年，与浙江大学、杭州大学、浙江农业大学合并成立新的浙江大学，并于次年重组成立了浙江大学医学院和药学院。2009年浙江大学实行大部制，将医学院和药学院重组，成立浙江大学医学部。2014年浙江大学实施学部制优化改革，医学部更名为医药学部，医学院和药学院独立建院。截至2013年12月底，医学院设有7个院系，开办4个本科专业；共有教职员工和医护人员近16000人，在读医学生约5000人（其中本科生约2500人，硕士研究生1300余人，博士研究生1200余人，留学生500余人）。","中文名：浙江大学医学院；外文名：Zhejiang University School of Medicine；别名：浙医；校训：仁心仁术，求是求新；类别：公立大学；类型：公立大学；知名校友：厉绥之，陈宜张，郑树森，李兰娟，郑树，朱预；所属地区：浙江杭州；主要院系：基础医学系，公共卫生系，临床医学系，口腔医学系；主管部门：浙江大学；学校属性：211工程，985工程，2011计划；国家重点学科：4 个；学校地址：浙江杭州余杭塘路866号；硕士点：9（一级学科） 个；博士点：6（一级学科） 个；院士：5、人；主要奖项：国家科技进步奖和技术发明奖19项（截至2013年12月）；别称：浙医；创办时间：1912年；学校类别：公立大学；学校类型：医学；现任校长：刘志红；博士后流动站：5；专职院士：5 人；学校代码：19335；"
