id,nodename,nodeclass,propertytext
"character/R100","马洪明","人物",""
"character/R101","孙宝清","人物",""
"character/R102","欧阳铭","人物",""
"character/R103","刘升明","人物",""
"character/R104","王大礼","人物",""
"character/R105","周玉民","人物",""
"character/R106","吕嘉春","人物",""
"character/R107","郑劲平","人物",""
"character/R108","莫红缨","人物",""
"character/R109","柯昌文","人物",""
"character/R85","陈如冲","人物",""
"character/R111","罗炜","人物",""
"character/R112","姚卫民","人物",""
"character/R113","新型冠状病毒2019-nCoV","病毒","导致: “新型肺炎”；"
"character/R114","SARS冠状病毒","病毒","导致: “重症急性呼吸综合征”；"
"character/R115","传染病临床","领域",""
"character/R116","浙江医科大学","学校","文献: “杭州”；"
"character/R117","H1N1流感战役","战役","研究进展: “急性呼吸道传染病”；爆发地点: “德克萨斯州、加利福尼亚州、墨西哥”；"
"character/R118","H7N9禽流感","战役","研究进展: “H7N9型禽流感”；爆发地点: “安徽、上海”；"
"character/R119","2020年2月1日，李兰娟院士带队驰援武汉：“四抗二平衡”新方案抢救危重症病人。抵达后在武汉大学人民医院展开工作。","事件","顺承: “2020年2月4日，李兰娟院士团队在武汉发布重大抗病毒研究成果 “阿比朵尔、达芦那韦能有效抑制冠状病毒””；所属期刊: “武汉”；"
"character/R120","2020年2月4日，李兰娟院士团队在武汉发布重大抗病毒研究成果“阿比朵尔、达芦那韦能有效抑制冠状病毒”","事件","所属期刊: “武汉”；"
"character/R121","2020年2月1日，“我打算比较长期地在那里，与那边的医护人员共同奋斗。我自己希望到金银潭医院，所有危重症集中的那个医院。”","言论",""
"character/R122","2003年，仅用一夜，隔离1000多人。就是这位73岁的老人，在十七年前创造SARS“零严重后遗症”、无医务人员感染、无二代病人的奇迹。","事迹","所属期刊: “深圳”；"
"character/R123","2014年首次对甲型H1N1流感大流行有效防控及集成创新性研究获得国家科技进步奖一等奖（排名第五）","事迹",""
"character/R124","2015年人感染H7N9禽流感诊治研究的理论创新和技术突破获得社会团体一等奖；","事迹",""
"character/R125","2017年以防控人感染H7N9禽流感为代表的新发传染病防治体系重大创新和技术突破获得国家科技进步奖特等奖（排名第一）","事迹",""
"character/R126","绍兴","城市",""
"character/R127","1993年至今复旦大学附属华山医院感染病科党支部书记、主任","履历","摘要: “主任、党支部书记”；类型: “复旦大学附属华山医院”；"
"character/R129","国家科技进步二等奖","奖项","奖项名次: “二等奖”；"
"character/R131","省科技进步一等奖","奖项","奖项名次: “一等奖”；"
"character/R132","省科技进步二等奖","奖项","奖项名次: “二等奖”；"
"character/R133","浙江省科学技术进步一等奖","奖项","奖项名次: “一等奖”；"
"character/R134","本科临床传染病学配增值第9版","书籍",""
"character/R135","传染病学第9版人卫版","书籍",""
"character/R136","传染病学第3版","书籍",""
"character/R137","感染病学学习指导及习题集","书籍",""
"character/R138","肝衰竭新进展","书籍",""
"character/R139","B3型柯萨奇病毒感染对胰岛细胞糖尿病相关LncRNA表达的影响","文章","发布: “沈雅婧”；相关: “李兰娟”；"
"character/R140","中国近30年微生态学发展现状及未来","文章","发布: “李兰娟”；"
"character/R801","H7N9禽流感病毒裂解佐剂（MF59）疫苗的长期免疫原性研究","文章",""
"character/R142","H7N9禽流感病毒分子生物学变异的研究进展","文章","发布: “李艳华”；相关: “李兰娟、杨仕贵、高海女”；"
"character/R143","中国人工肝研究——跟跑者迈向领跑者","文章","发布: “李兰娟”；"
"character/R144","党支部书记","职务",""
"character/R145","主任","职务",""
"character/R146","复旦大学附属华山医院","机构","所在城市: “上海”；"
"character/R147","上海","城市",""
"character/R149","沈雅婧","人物",""
"character/R151","吴晓鑫","人物",""
"character/R152","沈吉友","人物",""
"character/R153","李艳华","人物",""
"character/R154","高海女","人物",""
"character/R155","杨仕贵","人物",""
"character/R156","高等教育出版社","机构",""
"character/R157","杭州","城市",""
"character/R158","刘大庆","人物","籍贯: “吉林省”；事迹: “面对疫情，刘大庆放弃春节休息，让妻子儿女咱家照顾九旬母亲，大年初一戴口罩执勤。工作之余，主动在所里清扫卫生、买菜做饭。”；职责: “驻守新型冠状病毒疫情第一线”；死亡原因: “突发脑溢血”；履历: “吉林铁路公安处吉林北站公安派出所 民警”；性别: “男”；死亡时间: “2020-01-28”；民族: “汉”；"
"character/R159","何建华","人物","籍贯: “内蒙古自治区”；事迹: “曾在太和派出所、指挥中心、育文派出所等地工作。组建民事纠纷调解小组，创造了辖区连续十年都无重大刑事案件的业绩；曾荣记个人三等功1次、嘉奖6次，荣获先进个人和全盟十佳社区民警等荣誉称号。”；职责: “疫情爆发期间，在人流量较大的突泉县汽车客运站开展工作”；死亡原因: “脑出血”；履历: “突泉县公安局育文派出所 民警”；性别: “男”；死亡时间: “2020-01-26”；民族: “汉”；"
"character/R187","吉林铁路公安处吉林北站公安派出所","职务",""
"character/R189","民警","机构",""
"character/R163","辅警","职务",""
"character/R290","突泉县公安局育文派出所民警","履历","摘要: “民警”；类型: “突泉县公安局育文派出所”；"
"character/R165","突泉县公安局育文派出所","机构",""
"character/R166","张文宏","人物","籍贯: “福建厦门”；参与事件: “2020年2月3日，《张文宏教授支招防控新型冠状病毒》（数字版）网络发布。、2020年1月29日晚上，张文宏在疫情新闻发布会上表示：1自己一定要亲自下病房查房。2科室把所有岗位的医生全部换成党员”；发表: “2020年1月29日，疫情新闻发布会。“党员冲在最前线，什么是前线？现在就是！””；事迹: “2013年，H7N9，第一时间在国际上客观报道了中国案例；、2003年，张文宏随老师参与非典的救治和防疫工作，他的老师华山医院感染科终身教授翁心华时任上海市“非典”专家咨询组组长。非典结束后，张文宏协助翁心华一起主编了国内首部介绍SARS的专业书籍。、2014年，埃博拉，参加了援助西非的紧急救援队。、2020年初，新冠肺炎，成为上海医疗救治专家组组长。”；出生地: “温州瑞安”；履历: “1993年至今 复旦大学附属华山医院 感染病科党支部书记、主任”；重要成果: “《 成人急性感染性腹泻治疗新进展》、《认识肝炎 知行合一（病毒性肝炎宜指导和释疑）》、《重点感染性疾病的防治（第2版）》、《高毒力肺炎克雷伯菌血清型、毒力基因分布及分子标志物探索》、《结核病诊断技术新进展》、《细菌持留与抗生素表型耐药机制》、《翁心华疑难感染病和发热病例精选与临床思维》、《抗结核药物所致肝损伤相关危险因素及临床处置对策》、《张文宏教授支招防控新型冠状病毒》、《肺炎克雷伯菌肝脓肿70例临床分析》”；性别: “男”；获奖事件: “上海市银蛇奖、中华医学科技奖”；同事: “郑建铭、尹有宽、金嘉琳、秦艳丽、张舒、张峰、陈明泉、翁心华、卢清、李宁、章婉琴、朱利平、吴吉芹、邵凌云、黄翀、张继明、施光峰、黄玉仙、陈澍、徐肇玥、蒋卫明、卢洪洲”；现任机构: “复旦大学附属华山医院”；民族: “汉”；国籍: “中国”；研究方向: “各种疑难感染性疾病”；毕业院校: “上海医科大学”；参与战役: “埃博拉战役、非典战役、H7N9禽流感、新型冠状病毒战役”；"
"character/R167","各种疑难感染性疾病","领域",""
"character/R168","上海医科大学","学校",""
"character/R169","埃博拉战役","战役","研究进展: “埃博拉出血热（EBHF）”；爆发地点: “西非”；"
"character/R170","2020年1月29日晚上，张文宏在疫情新闻发布会上表示：1自己一定要亲自下病房查房。2科室把所有岗位的医生全部换成党员","事件",""
"character/R171","2020年2月3日，张文宏教授支招防控新型冠状病毒（数字版）网络发布。","事件",""
"character/R172","1980年广东省科技进步三等奖","事件","所属期刊: “广东省”；相关奖项: “广东省科技进步三等奖”；"
"character/R173","脑出血","事件",""
"character/R174","1982年广州市科技成果一等奖","事件","相关奖项: “广州市科技成果一等奖”；"
"character/R175","2008年广东省科学技术二等奖","事件","所属期刊: “广东省”；相关奖项: “广东省科学技术二等奖”；"
"character/R176","1994年中国卫生部重大科技成果三等奖","事件","相关奖项: “中国卫生部重大科技成果三等奖”；"
"character/R177","2008年广州市科学技术进步一等奖","事件","相关奖项: “广州市科学技术进步一等奖”；"
"character/R178","2008年广州市科学技术进步二等奖","事件","相关奖项: “广州市科学技术进步二等奖”；"
"character/R179","2009年中国国家级教学成果二等奖","事件","相关奖项: “中国国家级教学成果二等奖”；"
"character/R180","1997年省科技进步一等奖","事件","相关奖项: “省科技进步一等奖”；"
"character/R181","1998年国家科技进步二等奖","事件","相关奖项: “国家科技进步二等奖”；"
"character/R182","2001年省科技进步一等奖","事件","相关奖项: “省科技进步一等奖”；"
"character/R183","2003年省科技进步一等奖","事件","相关奖项: “省科技进步一等奖”；"
"character/R184","突发脑溢血","事件",""
"character/R185","吉林铁路公安处吉林北站公安派出所民警","履历","摘要: “民警”；类型: “吉林铁路公安处吉林北站公安派出所”；"
