relation,node1,node2
"导致","character/R113","character/R59"
"导致","character/R114","character/R60"
"文献","character/R116","character/R157"
"研究进展","character/R117","character/R294"
"爆发地点","character/R117","character/R315"
"爆发地点","character/R117","character/R314"
"爆发地点","character/R117","character/R313"
"研究进展","character/R118","character/R194"
"爆发地点","character/R118","character/R316"
"爆发地点","character/R118","character/R147"
"顺承","character/R119","character/R120"
"所属期刊","character/R119","character/R56"
"所属期刊","character/R120","character/R56"
"所属期刊","character/R122","character/R58"
"摘要","character/R127","character/R145"
"摘要","character/R127","character/R144"
"类型","character/R127","character/R146"
"发布","character/R139","character/R149"
"相关","character/R139","character/R21"
"发布","character/R140","character/R21"
"发布","character/R142","character/R153"
"相关","character/R142","character/R21"
"相关","character/R142","character/R155"
"相关","character/R142","character/R154"
"发布","character/R143","character/R21"
"所在城市","character/R146","character/R147"
"发布","character/R150","character/R151"
"相关","character/R150","character/R21"
"相关","character/R150","character/R152"
"事迹","character/R158","character/R212"
"职责","character/R158","character/R213"
"死亡原因","character/R158","character/R184"
"履历","character/R158","character/R185"
"事迹","character/R159","character/R234"
"职责","character/R159","character/R211"
"死亡原因","character/R159","character/R173"
"履历","character/R159","character/R290"
"摘要","character/R164","character/R162"
"类型","character/R164","character/R165"
"参与事件","character/R166","character/R171"
"参与事件","character/R166","character/R170"
"发表","character/R166","character/R192"
"事迹","character/R166","character/R188"
"事迹","character/R166","character/R186"
"事迹","character/R166","character/R190"
"事迹","character/R166","character/R191"
"出生地","character/R166","character/R193"
"履历","character/R166","character/R127"
"重要成果","character/R166","character/R231"
"重要成果","character/R166","character/R219"
"重要成果","character/R166","character/R225"
"重要成果","character/R166","character/R227"
"重要成果","character/R166","character/R230"
"重要成果","character/R166","character/R229"
"重要成果","character/R166","character/R221"
"重要成果","character/R166","character/R232"
"重要成果","character/R166","character/R226"
"重要成果","character/R166","character/R228"
"获奖事件","character/R166","character/R326"
"获奖事件","character/R166","character/R325"
"同事","character/R166","character/R744"
"同事","character/R166","character/R726"
"同事","character/R166","character/R740"
"同事","character/R166","character/R728"
"同事","character/R166","character/R741"
"同事","character/R166","character/R723"
"同事","character/R166","character/R729"
"同事","character/R166","character/R733"
"同事","character/R166","character/R735"
"同事","character/R166","character/R736"
"同事","character/R166","character/R738"
"同事","character/R166","character/R730"
"同事","character/R166","character/R742"
"同事","character/R166","character/R724"
"同事","character/R166","character/R743"
"同事","character/R166","character/R725"
"同事","character/R166","character/R727"
"同事","character/R166","character/R737"
"同事","character/R166","character/R739"
"同事","character/R166","character/R731"
"同事","character/R166","character/R732"
"同事","character/R166","character/R734"
"现任机构","character/R166","character/R146"
"国籍","character/R166","character/R23"
"研究方向","character/R166","character/R167"
"毕业院校","character/R166","character/R168"
"参与战役","character/R166","character/R169"
"参与战役","character/R166","character/R26"
"参与战役","character/R166","character/R118"
"参与战役","character/R166","character/R27"
"研究进展","character/R169","character/R293"
"爆发地点","character/R169","character/R317"
"所属期刊","character/R172","character/R352"
"相关奖项","character/R172","character/R40"
"相关奖项","character/R174","character/R41"
"所属期刊","character/R175","character/R352"
"相关奖项","character/R175","character/R43"
"相关奖项","character/R176","character/R42"
"相关奖项","character/R177","character/R44"
"相关奖项","character/R178","character/R45"
"相关奖项","character/R179","character/R46"
"相关奖项","character/R180","character/R131"
"相关奖项","character/R181","character/R129"
"相关奖项","character/R182","character/R131"
"相关奖项","character/R183","character/R131"
"摘要","character/R185","character/R162"
"类型","character/R185","character/R160"
"事迹","character/R197","character/R484"
"职责","character/R197","character/R485"
"死亡原因","character/R197","character/R384"
"履历","character/R197","character/R486"
"国籍","character/R197","character/R23"
"摘要","character/R199","character/R308"
"类型","character/R199","character/R201"
"参与事件","character/R21","character/R119"
"参与事件","character/R21","character/R120"
"发表","character/R21","character/R121"
"事迹","character/R21","character/R125"
"事迹","character/R21","character/R122"
"出生地","character/R21","character/R126"
"履历","character/R21","character/R127"
"重要成果","character/R21","character/R143"
"重要成果","character/R21","character/R139"
"重要成果","character/R21","character/R778"
"重要成果","character/R21","character/R776"
"重要成果","character/R21","character/R136"
"重要成果","character/R21","character/R134"
"重要成果","character/R21","character/R142"
