城市,省份,累计死亡,累计治愈,累计确诊
地区待确认,香港,4,336,1000
武汉,湖北,2577,47112,50008
宜昌,湖北,36,894,931
咸宁,湖北,15,821,836
潜江,湖北,9,189,198
鄂州,湖北,59,1335,1394
天门,湖北,15,481,496
襄阳,湖北,40,1135,1175
仙桃,湖北,22,553,575
恩施州,湖北,7,245,252
十堰,湖北,8,664,672
神农架,湖北,0,11,11
黄石,湖北,39,976,1015
荆州,湖北,52,1528,1580
随州,湖北,45,1262,1307
荆门,湖北,41,887,928
黄冈,湖北,125,2782,2907
孝感,湖北,129,3389,3518
地区待确认,台湾,6,99,385
境外输入,黑龙江,0,1,177
哈尔滨,黑龙江,4,194,200
绥化,黑龙江,4,43,47
大兴安岭,黑龙江,0,3,3
黑河,黑龙江,0,14,14
大庆,黑龙江,1,25,26
双鸭山,黑龙江,3,49,52
齐齐哈尔,黑龙江,1,42,43
鹤岗,黑龙江,0,5,5
牡丹江,黑龙江,0,15,15
七台河,黑龙江,0,17,17
鸡西,黑龙江,0,46,46
伊春,黑龙江,0,1,1
佳木斯,黑龙江,0,15,15
境外输入,上海,0,110,216
外地来沪,上海,1,107,111
宝山,上海,1,20,22
青浦,上海,0,6,6
地区待确认,上海,0,0,0
徐汇,上海,1,17,18
静安,上海,1,15,16
黄浦,上海,1,5,6
浦东,上海,0,61,61
嘉定,上海,2,7,9
崇明,上海,0,4,4
金山,上海,0,4,4
虹口,上海,0,7,7
奉贤,上海,0,9,9
杨浦,上海,0,9,9
普陀,上海,0,11,11
长宁,上海,0,13,13
松江,上海,0,14,14
闵行,上海,0,19,19
境外输入,北京,0,71,173
朝阳,北京,0,0,72
海淀,北京,0,0,64
西城,北京,0,0,53
丰台,北京,0,0,43
大兴,北京,0,0,39
昌平,北京,0,0,29
外地来京,北京,0,0,25
通州,北京,0,0,19
房山,北京,0,0,16
东城,北京,0,0,14
石景山,北京,0,0,14
顺义,北京,0,0,10
密云,北京,0,0,7
怀柔,北京,0,0,7
门头沟,北京,0,0,3
延庆,北京,0,0,1
地区待确认,北京,8,403,0
境外输入,广东,0,96,179
广州,广东,1,345,360
揭阳,广东,0,8,10
深圳,广东,3,414,419
河源,广东,0,4,5
佛山,广东,0,84,85
清远,广东,0,12,12
东莞,广东,1,98,99
中山,广东,0,66,66
梅州,广东,0,16,16
肇庆,广东,1,18,19
潮州,广东,0,5,5
湛江,广东,0,22,22
珠海,广东,1,97,98
汕头,广东,0,25,25
阳江,广东,0,14,14
江门,广东,0,23,23
惠州,广东,0,62,62
茂名,广东,0,14,14
韶关,广东,1,9,10
汕尾,广东,0,5,5
地区待确认,广东,0,0,0
境外输入,内蒙古,0,5,80
包头,内蒙古,0,11,11
呼和浩特,内蒙古,0,7,7
乌兰察布,内蒙古,0,3,3
赤峰,内蒙古,0,9,9
锡林郭勒,内蒙古,0,9,9
通辽,内蒙古,0,7,7
鄂尔多斯,内蒙古,0,11,11
呼伦贝尔,内蒙古,0,7,7
巴彦淖尔,内蒙古,1,7,8
兴安盟,内蒙古,0,1,1
乌海,内蒙古,0,2,2
境外输入,山西,0,2,39
晋中,山西,0,37,37
大同,山西,0,12,12
运城,山西,0,19,19
忻州,山西,0,7,7
晋城,山西,0,10,10
长治,山西,0,8,8
太原,山西,0,20,20
朔州,山西,0,8,8
临汾,山西,0,2,2
阳泉,山西,0,4,4
吕梁,山西,0,6,6
地区待确认,澳门,0,10,45
境外输入,福建,0,22,55
莆田,福建,0,56,56
漳州,福建,0,20,20
地区待确认,福建,0,0,0
宁德,福建,0,26,26
龙岩,福建,0,6,6
南平,福建,0,20,20
三明,福建,0,14,14
泉州,福建,0,47,47
厦门,福建,0,35,35
福州,福建,1,71,72
境外输入,浙江,0,20,49
嘉兴,浙江,0,45,46
金华,浙江,0,55,55
台州,浙江,0,146,146
舟山,浙江,0,10,10
衢州,浙江,0,14,14
丽水,浙江,0,17,17
绍兴,浙江,0,42,42
省十里丰监狱,浙江,0,36,36
湖州,浙江,0,10,10
温州,浙江,1,503,504
宁波,浙江,0,157,157
杭州,浙江,0,181,181
境外输入,天津,0,25,47
和平区,天津,0,6,6
河北区,天津,0,12,12
津南区,天津,0,2,2
北辰区,天津,0,6,6
南开区,天津,0,6,6
河东区,天津,1,14,15
宁河区,天津,0,4,4
宝坻区,天津,2,58,60
外地来津,天津,0,6,6
滨海新区,天津,0,3,3
武清区,天津,0,2,2
东丽区,天津,0,4,4
河西区,天津,0,4,4
西青区,天津,0,4,4
红桥区,天津,0,2,2
境外输入,山东,0,5,23
青岛,山东,1,60,63
潍坊,山东,0,44,44
济南,山东,0,47,47
日照,山东,0,16,16
淄博,山东,1,29,30
枣庄,山东,0,24,24
烟台,山东,0,47,47
济宁,山东,0,260,260
威海,山东,1,37,38
临沂,山东,0,49,49
德州,山东,2,35,37
聊城,山东,0,38,38
滨州,山东,0,15,15
菏泽,山东,0,18,18
泰安,山东,2,33,35
境外输入,江苏,0,5,21
连云港,江苏,0,48,48
南通,江苏,0,40,40
苏州,江苏,0,87,87
南京,江苏,0,93,93
无锡,江苏,0,55,55
徐州,江苏,0,79,79
宿迁,江苏,0,13,13
淮安,江苏,0,66,66
镇江,江苏,0,12,12
常州,江苏,0,51,51
扬州,江苏,0,23,23
盐城,江苏,0,27,27
泰州,江苏,0,37,37
境外输入,四川,0,11,21
甘孜,四川,0,78,78
成都,四川,3,141,144
乐山,四川,0,3,3
攀枝花,四川,0,16,16
泸州,四川,0,24,24
德阳,四川,0,18,18
绵阳,四川,0,22,22
广元,四川,0,6,6
遂宁,四川,0,17,17
凉山,四川,0,13,13
内江,四川,0,22,22
阿坝,四川,0,1,1
资阳,四川,0,4,4
眉山,四川,0,8,8
雅安,四川,0,7,7
巴中,四川,0,24,24
达州,四川,0,42,42
广安,四川,0,30,30
宜宾,四川,0,12,12
南充,四川,0,39,39
自贡,四川,0,9,9
境外输入,辽宁,0,12,21
大连,辽宁,0,17,18
鞍山,辽宁,0,4,4
朝阳市,辽宁,1,5,6
丹东,辽宁,0,11,11
葫芦岛,辽宁,1,11,12
铁岭,辽宁,0,7,7
沈阳,辽宁,0,28,28
锦州,辽宁,0,12,12
盘锦,辽宁,0,11,11
阜新,辽宁,0,8,8
本溪,辽宁,0,3,3
辽阳,辽宁,0,3,3
营口,辽宁,0,1,1
境外输入,河北,0,1,9
唐山,河北,1,57,58
张家口,河北,0,41,41
邯郸,河北,0,32,32
石家庄,河北,0,29,29
承德,河北,0,7,7
衡水,河北,0,8,8
秦皇岛,河北,1,9,10
邢台,河北,1,22,23
廊坊,河北,0,30,30
保定,河北,0,32,32
沧州,河北,3,45,48
境外输入,云南,0,2,10
昭通市,云南,0,25,25
德宏州,云南,0,5,5
昆明,云南,0,53,53
保山市,云南,0,9,9
玉溪,云南,1,13,14
红河,云南,0,9,9
曲靖,云南,0,13,13
大理,云南,0,13,13
西双版纳州,云南,1,14,15
文山州,云南,0,2,2
普洱,云南,0,4,4
楚雄州,云南,0,4,4
丽江市,云南,0,7,7
临沧,云南,0,1,1
境外输入,陕西,0,6,11
韩城,陕西,0,1,1
渭南,陕西,0,15,15
咸阳,陕西,0,17,17
西安,陕西,3,117,120
汉中,陕西,0,26,26
杨凌,陕西,0,1,1
地区待确认,陕西,0,0,0
榆林,陕西,0,3,3
商洛,陕西,0,7,7
延安,陕西,0,8,8
宝鸡,陕西,0,13,13
安康,陕西,0,26,26
铜川,陕西,0,8,8
境外输入,重庆,0,0,3
涪陵区,重庆,0,5,5
长寿区,重庆,0,22,22
荣昌区,重庆,0,9,9
大足区,重庆,0,14,14
江北区,重庆,0,28,28
沙坪坝区,重庆,0,9,9
丰都县,重庆,0,10,10
潼南区,重庆,0,18,18
铜梁区,重庆,0,10,10
南岸区,重庆,0,15,15
九龙坡区,重庆,1,20,21
万州区,重庆,4,114,118
两江新区,重庆,0,17,17
巴南区,重庆,0,6,6
渝中区,重庆,0,20,20
垫江县,重庆,0,20,20
云阳县,重庆,0,25,25
奉节县,重庆,0,22,22
石柱县,重庆,0,15,15
綦江区,重庆,0,23,23
渝北区,重庆,0,17,17
彭水县,重庆,0,2,2
忠县,重庆,0,21,21
开州区,重庆,1,20,21
合川区,重庆,0,23,23
巫溪县,重庆,0,14,14
大渡口区,重庆,0,7,7
巫山县,重庆,0,10,10
万盛经开区,重庆,0,1,1
酉阳县,重庆,0,1,1
璧山区,重庆,0,9,9
高新区,重庆,0,4,4
永川区,重庆,0,5,5
江津区,重庆,0,4,4
武隆区,重庆,0,1,1
梁平区,重庆,0,4,4
城口县,重庆,0,2,2
黔江区,重庆,0,2,2
秀山县,重庆,0,1,1
境外输入,河南,0,2,3
漯河,河南,0,35,36
许昌,河南,1,38,39
周口,河南,1,75,76
南阳,河南,3,153,156
信阳,河南,2,272,274
郑州,河南,5,152,157
济源示范区,河南,0,5,5
安阳,河南,0,53,53
新乡,河南,3,54,57
地区待确认,河南,0,0,0
商丘,河南,3,88,91
驻马店,河南,0,139,139
焦作,河南,1,31,32
开封,河南,0,26,26
平顶山,河南,1,57,58
洛阳,河南,1,30,31
濮阳,河南,0,17,17
鹤壁,河南,0,19,19
三门峡,河南,1,6,7
境外输入,甘肃,0,45,47
白银,甘肃,0,4,4
定西,甘肃,0,9,9
地区待确认,甘肃,0,0,0
平凉,甘肃,0,9,9
庆阳,甘肃,0,3,3
兰州,甘肃,2,35,37
甘南州,甘肃,0,8,8
天水,甘肃,0,12,12
陇南,甘肃,0,4,4
临夏,甘肃,0,3,3
张掖,甘肃,0,2,2
金昌,甘肃,0,1,1
境外输入,吉林,0,4,5
通化,吉林,0,6,6
长春,吉林,0,45,45
白城,吉林,0,1,1
四平,吉林,1,14,15
公主岭,吉林,0,6,6
辽源,吉林,0,7,7
延边,吉林,0,5,5
吉林,吉林,0,5,5
松原,吉林,0,2,2
梅河口市,吉林,0,1,1
境外输入,安徽,0,0,1
黄山,安徽,0,9,9
池州,安徽,0,17,17
亳州,安徽,0,108,108
六安,安徽,0,69,69
宿州,安徽,0,41,41
阜阳,安徽,0,155,155
滁州,安徽,0,13,13
宣城,安徽,0,6,6
安庆,安徽,0,83,83
铜陵,安徽,0,29,29
淮北,安徽,0,27,27
马鞍山,安徽,0,38,38
淮南,安徽,0,27,27
蚌埠,安徽,5,155,160
芜湖,安徽,0,34,34
合肥,安徽,1,173,174
境外输入,贵州,0,0,1
贵阳,贵州,1,35,36
遵义,贵州,0,32,32
六盘水,贵州,1,9,10
毕节,贵州,0,23,23
黔南州,贵州,0,17,17
安顺,贵州,0,4,4
黔东南州,贵州,0,10,10
铜仁,贵州,0,10,10
黔西南州,贵州,0,4,4
境外输入,湖南,0,0,1
常德,湖南,0,82,82
娄底,湖南,0,76,76
怀化,湖南,0,40,40
永州,湖南,0,44,44
郴州,湖南,0,39,39
益阳,湖南,0,60,60
湘西自治州,湖南,0,8,8
岳阳,湖南,1,155,156
邵阳,湖南,1,101,102
湘潭,湖南,0,36,36
株洲,湖南,0,80,80
衡阳,湖南,0,48,48
长沙,湖南,2,240,242
张家界,湖南,0,5,5
境外输入,广西,0,2,2
北海,广西,1,43,44
防城港,广西,0,19,19
来宾,广西,0,11,11
柳州,广西,0,24,24
南宁,广西,0,55,55
河池,广西,1,27,28
桂林,广西,0,32,32
玉林,广西,0,11,11
钦州,广西,0,8,8
贵港,广西,0,8,8
梧州,广西,0,5,5
百色,广西,0,3,3
贺州,广西,0,4,4
兵团第九师,新疆,1,3,4
吐鲁番,新疆,0,3,3
乌鲁木齐,新疆,0,23,23
昌吉州,新疆,0,4,4
第八师石河子,新疆,1,3,4
兵团第四师,新疆,1,9,10
伊犁州,新疆,0,18,18
六师五家渠,新疆,0,2,2
兵团第十二师,新疆,0,3,3
巴州,新疆,0,3,3
第七师,新疆,0,1,1
阿克苏,新疆,0,1,1
境外输入,江西,0,2,2
九江,江西,0,118,118
南昌,江西,0,230,230
上饶,江西,0,123,123
新余,江西,0,130,130
抚州,江西,0,72,72
吉安,江西,0,22,22
赣州,江西,1,75,76
萍乡,江西,0,33,33
宜春,江西,0,106,106
鹰潭,江西,0,18,18
景德镇,江西,0,6,6
赣江新区,江西,0,1,1
拉萨,西藏,0,1,1
海口,海南,0,39,39
儋州,海南,1,14,15
三亚,海南,1,53,54
东方,海南,1,2,3
万宁,海南,0,13,13
澄迈县,海南,1,8,9
昌江县,海南,0,7,7
保亭,海南,0,3,3
琼海,海南,1,5,6
临高县,海南,0,6,6
陵水县,海南,0,4,4
乐东,海南,0,2,2
文昌,海南,0,3,3
定安县,海南,1,2,3
琼中县,海南,0,1,1
海北州,青海,0,3,3
西宁,青海,0,15,15
境外输入,宁夏,0,3,3
银川,宁夏,0,34,34
吴忠,宁夏,0,28,28
固原,宁夏,0,5,5
中卫,宁夏,0,3,3
石嘴山,宁夏,0,1,1
宁东管委会,宁夏,0,1,1
