名称,累计死亡,累计治愈,累计确诊
美国,23622,44261,582580
西班牙,17628,64727,169628
意大利,20465,35435,159516
法国,14986,28001,137877
德国,3194,64300,130072
英国,11346,303,89569
伊朗,4585,45983,73303
土耳其,1296,3957,61049
比利时,3903,6707,30589
荷兰,2833,295,26712
瑞士,1138,13700,25688
加拿大,780,7758,25680
巴西,1355,2971,23723
俄罗斯,148,1470,18328
葡萄牙,535,277,16934
奥地利,368,7343,14041
以色列,116,1855,11586
瑞典,919,381,10948
爱尔兰,365,25,10647
韩国,222,7534,10564
印度,358,1181,10453
秘鲁,216,2642,9784
日本本土,143,799,7645
厄瓜多尔,355,597,7529
智利,82,2367,7525
波兰,245,487,6934
罗马尼亚,331,914,6633
挪威,134,32,6605
丹麦,285,2403,6513
澳大利亚,61,2186,6494
捷克,143,519,6059
巴基斯坦,96,1097,5707
墨西哥,332,1964,5014
沙特阿拉伯,65,805,4934
菲律宾,315,242,4932
马来西亚,77,2276,4817
印度尼西亚,399,380,4557
阿联酋,25,852,4521
塞尔维亚,80,118,4054
巴拿马,94,61,3472
卢森堡,69,500,3292
卡塔尔,7,334,3231
多米尼加,177,152,3167
乌克兰,93,97,3102
芬兰,59,300,3064
白俄罗斯,29,203,2919
新加坡,9,586,2918
哥伦比亚,112,319,2852
泰国,40,1288,2579
阿根廷,98,515,2277
南非,27,410,2272
埃及,164,589,2190
希腊,99,269,2145
阿尔及利亚,313,601,1983
摩洛哥,126,203,1763
摩尔多瓦,35,107,1712
冰岛,8,933,1711
克罗地亚,25,400,1650
匈牙利,109,120,1458
伊拉克,78,717,1378
新西兰,9,628,1366
巴林,6,591,1361
爱沙尼亚,28,102,1332
科威特,2,150,1300
斯洛文尼亚,55,152,1212
阿塞拜疆,12,289,1148
哈萨克斯坦,14,138,1091
立陶宛,24,101,1062
亚美尼亚,14,211,1039
波黑,39,206,1037
乌兹别克斯坦,4,85,998
北马其顿,38,44,854
喀麦隆,12,98,848
孟加拉,39,42,803
斯洛伐克,2,107,769
阿曼,4,124,727
古巴,21,121,726
突尼斯,34,43,726
钻石号邮轮,12,639,712
保加利亚,32,71,685
阿富汗,21,32,665
塞浦路斯,12,65,662
拉脱维亚,5,16,655
安道尔,29,128,646
黎巴嫩,20,80,632
科特迪瓦,6,89,626
哥斯达黎加,3,62,612
加纳,8,4,566
尼日尔,13,86,548
布基纳法索,27,161,515
乌拉圭,8,248,483
阿尔巴尼亚,23,232,467
吉尔吉斯斯坦,5,67,419
洪都拉斯,25,7,397
约旦,7,215,391
马耳他,3,44,384
圣马力诺,36,53,371
玻利维亚,28,6,354
尼日利亚,10,91,343
毛里求斯,9,42,324
几内亚,0,17,319
波多黎各,12,0,316
吉布提,2,41,298
塞内加尔,2,178,291
黑山,3,5,274
格鲁吉亚,3,68,272
越南,0,155,265
刚果（金）,20,17,235
斯里兰卡,7,56,218
肯尼亚,9,40,208
委内瑞拉,9,110,189
危地马拉,5,19,167
巴勒斯坦,1,18,161
巴拉圭,7,22,159
萨尔瓦多,6,22,137
文莱,1,107,136
卢旺达,0,42,127
马里,10,26,123
柬埔寨,0,77,122
特立尼达和多巴哥,8,16,113
马达加斯加,0,21,106
摩纳哥,1,6,93
列支敦士登公国,1,55,79
多哥,3,29,77
埃塞俄比亚,3,14,74
牙买加,4,19,73
巴巴多斯,4,13,72
缅甸,4,2,62
刚果（布）,5,5,60
索马里,2,2,60
利比里亚,6,4,59
加蓬,1,1,57
乌干达,0,7,54
巴哈马,8,6,49
坦桑尼亚,3,7,49
圭亚那,6,8,47
赞比亚,2,30,45
海地,3,0,40
几内亚比绍,0,0,38
马提尼克岛,1,0,37
贝宁,1,5,35
厄立特里亚,0,0,34
蒙古,0,11,30
苏丹,4,4,29
利比亚,1,9,26
叙利亚,2,5,25
乍得,0,2,23
安提瓜和巴布达,2,3,23
赤道几内亚,0,4,21
莫桑比克,0,2,21
马尔代夫,0,14,20
老挝,0,0,19
安哥拉,2,4,19
伯利兹,2,0,18
津巴布韦,3,0,17
多米尼克,0,8,16
纳米比亚,0,3,16
斐济,0,0,16
马拉维,2,0,16
圣卢西亚,0,4,15
斯威士兰,0,7,15
尼泊尔,0,1,14
格林纳达,0,0,14
博茨瓦纳,1,0,13
圣基茨和尼维斯,0,0,12
圣文森特和格林纳丁斯,0,1,12
塞舌尔,0,0,11
中非共和国,0,3,11
苏里南,1,6,10
佛得角,1,1,10
塞拉利昂,0,0,10
尼加拉瓜,1,4,9
冈比亚,1,2,9
梵蒂冈,0,2,8
毛里塔尼亚,1,2,7
不丹,0,2,5
布隆迪,1,0,5
东帝汶,0,1,4
巴布亚新几内亚,0,0,2
也门,0,0,1
