报道时间,国家,地区,城市,新增确诊,新增出院,新增死亡,消息来源
3月15日,埃塞俄比亚,埃塞俄比亚,,3,0,0,埃塞俄比亚卫生部
3月15日,巴基斯坦,巴基斯坦,,1,0,0,央视新闻
3月15日,阿塞拜疆,阿塞拜疆,,4,0,0,阿塞拜疆政府防疫指挥部
3月15日,肯尼亚,肯尼亚,,2,0,0,央视新闻
3月15日,菲律宾,菲律宾,,0,0,1,菲律宾卫生部
3月15日,日本,日本,,1,0,0,日本放送协会
3月15日,芬兰,芬兰,,20,0,0,芬兰广播公司
3月15日,留尼旺,留尼旺,,5,0,0,世卫组织
3月15日,法属圭亚那,法属圭亚那,,6,0,0,世卫组织
3月15日,泽西岛,泽西岛,,2,0,0,世卫组织
3月15日,直布罗陀,直布罗陀,,1,0,0,世卫组织
3月15日,法罗群岛,法罗群岛,,3,0,0,世卫组织
3月15日,马提尼克岛,马提尼克岛,,6,0,0,世卫组织
3月15日,圣马丁岛,圣马丁岛,,2,0,0,世卫组织
3月15日,开曼群岛,开曼群岛,,1,0,0,世卫组织
3月15日,圣巴托洛缪岛,圣巴托洛缪岛,,1,0,0,世卫组织
3月15日,根西岛,根西岛,,1,0,0,世卫组织
3月15日,瓜德普罗,瓜德普罗,,1,0,0,世卫组织
3月15日,圣文森特和格林纳丁斯,圣文森特和格林纳丁斯,,1,0,0,世卫组织
3月15日,瑞典,瑞典,,68,0,0,瑞典公共卫生部
3月15日,中国,吉林,通化市,0,1,0,央视新闻
3月15日,摩洛哥,摩洛哥,,12,1,0,摩洛哥卫生部
3月15日,越南,越南,,1,0,0,越南卫生部
3月15日,新加坡,新加坡,,14,0,0,新加坡卫生部
3月15日,斯里兰卡,斯里兰卡,,1,0,0,央视新闻
3月15日,加纳,加纳,,4,0,0,加纳卫生部
3月15日,科威特,科威特,,12,4,0,科威特卫生部
3月15日,巴基斯坦,巴基斯坦,,18,0,0,央视新闻
3月15日,俄罗斯,俄罗斯,,4,0,0,俄新冠疫情防控指挥部
3月15日,阿尔及利亚,阿尔及利亚,,3,0,1,阿尔及利亚卫生部
3月15日,瑞士和列支敦士登公国,瑞士和列支敦士登公国,,374,0,0,瑞士联邦公共卫生部
3月15日,中国,甘肃,境外输入,1,0,0,央视新闻
3月15日,罗马尼亚,罗马尼亚,,22,0,0,罗马尼亚通讯社
3月15日,西班牙,西班牙,,1360,0,93,西班牙卫生部
3月15日,中国,香港,,0,3,0,香港特别行政区政府
3月15日,阿曼,阿曼,,1,0,0,阿曼官方通讯社
3月15日,德国,德国,,1305,31,1,央视新闻
3月15日,日本,日本,,30,0,2,日本放送协会
3月15日,阿联酋,阿联酋,,1,0,0,阿联酋国家通讯社
3月15日,比利时,比利时,,197,0,0,比利时卫生部门
3月15日,马尔代夫,马尔代夫,,2,0,0,马尔代夫健康保护署
3月15日,意大利,意大利,,113,0,0,海外网
3月15日,伊朗,伊朗,,1209,1314,113,伊朗卫生部
3月15日,中非共和国,中非共和国,,1,0,0,央视新闻
3月15日,阿尔及利亚,阿尔及利亚,,8,0,0,央视新闻
3月15日,克罗地亚,克罗地亚,,7,0,0,克罗地亚卫生部
3月15日,约旦,约旦,,6,0,0,约旦卫生部
3月15日,巴林,巴林,,3,46,0,巴林卫生部
3月15日,保加利亚,保加利亚,,7,0,0,央视新闻
3月15日,南非,南非,,13,0,0,南非卫生部
3月15日,马来西亚,马来西亚,,190,7,0,马来西亚卫生部
3月15日,中国,香港,,4,0,0,香港特区政府举行例行发布会
3月15日,卢森堡,卢森堡,,8,0,0,卢森堡卫生部门
3月15日,希腊,希腊,,0,0,1,央视新闻
3月15日,菲律宾,菲律宾,,29,0,3,菲律宾卫生部
3月15日,刚果（金）,刚果（金）,,1,0,0,央视新闻
3月15日,斯洛文尼亚,斯洛文尼亚,,0,0,1,央视新闻
3月15日,刚果（布）,刚果（布）,,1,0,0,刚果国家电视台
3月15日,科特迪瓦,科特迪瓦,,3,0,0,央视新闻
3月15日,哈萨克斯坦,哈萨克斯坦,,2,0,0,央视新闻
3月15日,中国,重庆,长寿区,0,1,0,人民日报
3月15日,印度尼西亚,印度尼西亚,,21,0,0,印尼卫生部
3月15日,印度,印度,,14,0,0,印度卫生部
3月15日,巴基斯坦,巴基斯坦,,1,0,0,央视新闻
3月15日,澳大利亚,澳大利亚,,36,0,0,澳大利亚联邦卫生部
3月15日,阿富汗,阿富汗,,6,0,0,阿富汗公共卫生部
3月15日,泰国,泰国,,32,0,0,泰国卫生部
3月15日,马尔代夫,马尔代夫,,1,0,0,马尔代夫健康保护署
3月15日,台湾,台湾,,6,0,0,台湾流行疫情指挥中心
3月15日,印度,印度,,9,0,1,印度卫生部
3月15日,乌拉圭,乌拉圭,,2,0,0,央视
3月15日,巴西,巴西,,23,0,0,央视
3月15日,日本,日本,,1,0,1,央视
3月15日,中国,甘肃,境外输入,0,1,0,甘肃卫健委
3月15日,新西兰,新西兰,,2,0,0,央视
3月15日,墨西哥,墨西哥,,15,0,0,央视
3月15日,中国,宁夏,银川市,0,1,0,银川日报
3月15日,中国,云南,德宏州,0,0,0,央视新闻 云南卫健委
3月15日,中国,云南,曲靖市,0,0,0,央视新闻 云南卫健委
3月15日,中国,广东,佛山市,0,1,0,广州日报
3月15日,中国,广东,深圳市,0,3,0,广州日报
3月15日,中国,广东,境外输入,1,0,0,广州日报
3月15日,韩国,韩国,,76,324,7,央视
3月15日,委内瑞拉,委内瑞拉,,8,0,0,央视新闻
3月15日,中国,浙江,丽水市,3,0,0,央视新闻
3月15日,中国,浙江,杭州市,1,0,0,央视新闻
3月15日,中国,四川,巴中市,0,3,0,四川卫健委
3月15日,中国,四川,眉山市,0,1,0,四川卫健委
3月15日,中国,四川,成都市,0,1,0,四川卫健委
3月15日,塞舌尔,塞舌尔,,2,0,0,央视新闻
3月15日,爱尔兰,爱尔兰,,39,0,1,央视新闻
3月15日,台湾,台湾,,0,0,0,国家卫健委
3月15日,中国,香港,,1,3,0,国家卫健委
