relation,node1,node2
"导致","character/resource/R113","character/resource/R59"
"导致","character/resource/R114","character/resource/R60"
"文献","character/resource/R116","character/resource/R157"
"研究进展","character/resource/R117","character/resource/R294"
"爆发地点","character/resource/R117","character/resource/R315"
"爆发地点","character/resource/R117","character/resource/R314"
"爆发地点","character/resource/R117","character/resource/R313"
"研究进展","character/resource/R118","character/resource/R194"
"爆发地点","character/resource/R118","character/resource/R316"
"爆发地点","character/resource/R118","character/resource/R147"
"顺承","character/resource/R119","character/resource/R120"
"所属期刊","character/resource/R119","character/resource/R56"
"所属期刊","character/resource/R120","character/resource/R56"
"所属期刊","character/resource/R122","character/resource/R58"
"摘要","character/resource/R127","character/resource/R145"
"摘要","character/resource/R127","character/resource/R144"
"类型","character/resource/R127","character/resource/R146"
"发布","character/resource/R139","character/resource/R149"
"相关","character/resource/R139","character/resource/R21"
"发布","character/resource/R140","character/resource/R21"
"发布","character/resource/R142","character/resource/R153"
"相关","character/resource/R142","character/resource/R21"
"相关","character/resource/R142","character/resource/R155"
"相关","character/resource/R142","character/resource/R154"
"发布","character/resource/R143","character/resource/R21"
"所在城市","character/resource/R146","character/resource/R147"
"发布","character/resource/R150","character/resource/R151"
"相关","character/resource/R150","character/resource/R21"
"相关","character/resource/R150","character/resource/R152"
"事迹","character/resource/R158","character/resource/R212"
"职责","character/resource/R158","character/resource/R213"
"死亡原因","character/resource/R158","character/resource/R184"
"履历","character/resource/R158","character/resource/R185"
"事迹","character/resource/R159","character/resource/R234"
"职责","character/resource/R159","character/resource/R211"
"死亡原因","character/resource/R159","character/resource/R173"
"履历","character/resource/R159","character/resource/R290"
"摘要","character/resource/R164","character/resource/R162"
"类型","character/resource/R164","character/resource/R165"
"参与事件","character/resource/R166","character/resource/R171"
"参与事件","character/resource/R166","character/resource/R170"
"发表","character/resource/R166","character/resource/R192"
"事迹","character/resource/R166","character/resource/R188"
"事迹","character/resource/R166","character/resource/R186"
"事迹","character/resource/R166","character/resource/R190"
"事迹","character/resource/R166","character/resource/R191"
"出生地","character/resource/R166","character/resource/R193"
"履历","character/resource/R166","character/resource/R127"
"重要成果","character/resource/R166","character/resource/R231"
"重要成果","character/resource/R166","character/resource/R219"
"重要成果","character/resource/R166","character/resource/R225"
"重要成果","character/resource/R166","character/resource/R227"
"重要成果","character/resource/R166","character/resource/R230"
"重要成果","character/resource/R166","character/resource/R229"
"重要成果","character/resource/R166","character/resource/R221"
"重要成果","character/resource/R166","character/resource/R232"
"重要成果","character/resource/R166","character/resource/R226"
"重要成果","character/resource/R166","character/resource/R228"
"获奖事件","character/resource/R166","character/resource/R326"
"获奖事件","character/resource/R166","character/resource/R325"
"同事","character/resource/R166","character/resource/R744"
"同事","character/resource/R166","character/resource/R726"
"同事","character/resource/R166","character/resource/R740"
"同事","character/resource/R166","character/resource/R728"
"同事","character/resource/R166","character/resource/R741"
"同事","character/resource/R166","character/resource/R723"
"同事","character/resource/R166","character/resource/R729"
"同事","character/resource/R166","character/resource/R733"
"同事","character/resource/R166","character/resource/R735"
"同事","character/resource/R166","character/resource/R736"
"同事","character/resource/R166","character/resource/R738"
"同事","character/resource/R166","character/resource/R730"
"同事","character/resource/R166","character/resource/R742"
"同事","character/resource/R166","character/resource/R724"
"同事","character/resource/R166","character/resource/R743"
"同事","character/resource/R166","character/resource/R725"
"同事","character/resource/R166","character/resource/R727"
"同事","character/resource/R166","character/resource/R737"
"同事","character/resource/R166","character/resource/R739"
"同事","character/resource/R166","character/resource/R731"
"同事","character/resource/R166","character/resource/R732"
"同事","character/resource/R166","character/resource/R734"
"现任机构","character/resource/R166","character/resource/R146"
"国籍","character/resource/R166","character/resource/R23"
"研究方向","character/resource/R166","character/resource/R167"
"毕业院校","character/resource/R166","character/resource/R168"
"参与战役","character/resource/R166","character/resource/R169"
"参与战役","character/resource/R166","character/resource/R26"
"参与战役","character/resource/R166","character/resource/R118"
"参与战役","character/resource/R166","character/resource/R27"
"研究进展","character/resource/R169","character/resource/R293"
"爆发地点","character/resource/R169","character/resource/R317"
"所属期刊","character/resource/R172","character/resource/R352"
"相关奖项","character/resource/R172","character/resource/R40"
"相关奖项","character/resource/R174","character/resource/R41"
"所属期刊","character/resource/R175","character/resource/R352"
"相关奖项","character/resource/R175","character/resource/R43"
"相关奖项","character/resource/R176","character/resource/R42"
"相关奖项","character/resource/R177","character/resource/R44"
"相关奖项","character/resource/R178","character/resource/R45"
"相关奖项","character/resource/R179","character/resource/R46"
"相关奖项","character/resource/R180","character/resource/R131"
"相关奖项","character/resource/R181","character/resource/R129"
"相关奖项","character/resource/R182","character/resource/R131"
"相关奖项","character/resource/R183","character/resource/R131"
"摘要","character/resource/R185","character/resource/R162"
"类型","character/resource/R185","character/resource/R160"
"事迹","character/resource/R197","character/resource/R484"
"职责","character/resource/R197","character/resource/R485"
"死亡原因","character/resource/R197","character/resource/R384"
"履历","character/resource/R197","character/resource/R486"
"国籍","character/resource/R197","character/resource/R23"
"摘要","character/resource/R199","character/resource/R308"
"类型","character/resource/R199","character/resource/R201"
"参与事件","character/resource/R21","character/resource/R119"
"参与事件","character/resource/R21","character/resource/R120"
"发表","character/resource/R21","character/resource/R121"
"事迹","character/resource/R21","character/resource/R125"
"事迹","character/resource/R21","character/resource/R122"
"出生地","character/resource/R21","character/resource/R126"
"履历","character/resource/R21","character/resource/R127"
"重要成果","character/resource/R21","character/resource/R143"
"重要成果","character/resource/R21","character/resource/R139"
"重要成果","character/resource/R21","character/resource/R778"
"重要成果","character/resource/R21","character/resource/R776"
"重要成果","character/resource/R21","character/resource/R136"
"重要成果","character/resource/R21","character/resource/R134"
"重要成果","character/resource/R21","character/resource/R142"
"重要成果","character/resource/R21","character/resource/R777"
"重要成果","character/resource/R21","character/resource/R137"
"重要成果","character/resource/R21","character/resource/R135"
"重要成果","character/resource/R21","character/resource/R140"
"重要成果","character/resource/R21","character/resource/R138"
"获奖事件","character/resource/R21","character/resource/R181"
"获奖事件","character/resource/R21","character/resource/R183"
"获奖事件","character/resource/R21","character/resource/R182"
"获奖事件","character/resource/R21","character/resource/R180"
"队友","character/resource/R21","character/resource/R715"
"队友","character/resource/R21","character/resource/R716"
"队友","character/resource/R21","character/resource/R714"
"队友","character/resource/R21","character/resource/R717"
"所属救援队","character/resource/R21","character/resource/R718"
"国籍","character/resource/R21","character/resource/R23"
"研究方向","character/resource/R21","character/resource/R115"
"毕业院校","character/resource/R21","character/resource/R116"
"参与战役","character/resource/R21","character/resource/R26"
"参与战役","character/resource/R21","character/resource/R117"
"参与战役","character/resource/R21","character/resource/R118"
"参与战役","character/resource/R21","character/resource/R27"
"参与事件","character/resource/R214","character/resource/R220"
"发表","character/resource/R214","character/resource/R223"
"发表","character/resource/R214","character/resource/R222"
"发表","character/resource/R214","character/resource/R224"
"事迹","character/resource/R214","character/resource/R215"
"事迹","character/resource/R214","character/resource/R216"
"履历","character/resource/R214","character/resource/R217"
"重要成果","character/resource/R214","character/resource/R819"
"重要成果","character/resource/R214","character/resource/R821"
"重要成果","character/resource/R214","character/resource/R812"
"获奖事件","character/resource/R214","character/resource/R380"
"获奖事件","character/resource/R214","character/resource/R379"
"同事","character/resource/R214","character/resource/R754"
"同事","character/resource/R214","character/resource/R751"
"同事","character/resource/R214","character/resource/R753"
"同事","character/resource/R214","character/resource/R752"
"现任机构","character/resource/R214","character/resource/R755"
"国籍","character/resource/R214","character/resource/R23"
"参与战役","character/resource/R214","character/resource/R27"
"摘要","character/resource/R217","character/resource/R68"
"摘要","character/resource/R217","character/resource/R218"
"类型","character/resource/R217","character/resource/R239"
"参与事件","character/resource/R22","character/resource/R28"
"参与事件","character/resource/R22","character/resource/R29"
"发表","character/resource/R22","character/resource/R30"
"发表","character/resource/R22","character/resource/R31"
"事迹","character/resource/R22","character/resource/R32"
"事迹","character/resource/R22","character/resource/R33"
"出生地","character/resource/R22","character/resource/R34"
"履历","character/resource/R22","character/resource/R38"
"履历","character/resource/R22","character/resource/R36"
"履历","character/resource/R22","character/resource/R37"
"履历","character/resource/R22","character/resource/R35"
"履历","character/resource/R22","character/resource/R39"
"重要成果","character/resource/R22","character/resource/R72"
"重要成果","character/resource/R22","character/resource/R388"
"重要成果","character/resource/R22","character/resource/R79"
"重要成果","character/resource/R22","character/resource/R77"
"重要成果","character/resource/R22","character/resource/R49"
"重要成果","character/resource/R22","character/resource/R51"
"重要成果","character/resource/R22","character/resource/R54"
"重要成果","character/resource/R22","character/resource/R78"
"重要成果","character/resource/R22","character/resource/R52"
"重要成果","character/resource/R22","character/resource/R55"
"重要成果","character/resource/R22","character/resource/R47"
"重要成果","character/resource/R22","character/resource/R73"
"重要成果","character/resource/R22","character/resource/R387"
"重要成果","character/resource/R22","character/resource/R76"
"重要成果","character/resource/R22","character/resource/R50"
"重要成果","character/resource/R22","character/resource/R53"
"获奖事件","character/resource/R22","character/resource/R172"
"获奖事件","character/resource/R22","character/resource/R179"
"获奖事件","character/resource/R22","character/resource/R175"
"获奖事件","character/resource/R22","character/resource/R177"
"获奖事件","character/resource/R22","character/resource/R174"
"获奖事件","character/resource/R22","character/resource/R176"
"队友","character/resource/R22","character/resource/R688"
"队友","character/resource/R22","character/resource/R675"
"队友","character/resource/R22","character/resource/R673"
"队友","character/resource/R22","character/resource/R678"
"队友","character/resource/R22","character/resource/R680"
"队友","character/resource/R22","character/resource/R712"
"队友","character/resource/R22","character/resource/R674"
"队友","character/resource/R22","character/resource/R679"
"队友","character/resource/R22","character/resource/R665"
"队友","character/resource/R22","character/resource/R684"
"队友","character/resource/R22","character/resource/R676"
"队友","character/resource/R22","character/resource/R681"
"队友","character/resource/R22","character/resource/R682"
"队友","character/resource/R22","character/resource/R666"
"队友","character/resource/R22","character/resource/R687"
"队友","character/resource/R22","character/resource/R685"
"队友","character/resource/R22","character/resource/R677"
"队友","character/resource/R22","character/resource/R664"
"队友","character/resource/R22","character/resource/R683"
"所属救援队","character/resource/R22","character/resource/R672"
"所属救援队","character/resource/R22","character/resource/R671"
"国籍","character/resource/R22","character/resource/R23"
"研究方向","character/resource/R22","character/resource/R24"
"毕业院校","character/resource/R22","character/resource/R25"
